date,fywiki (100+),fywiki (5+),fywiki (all)
2012/08/19,5,21,67
2012/08/20,5,21,64
2012/08/21,5,20,61
2012/08/22,5,20,59
2012/08/23,5,20,57
2012/08/24,5,22,54
2012/08/25,5,21,57
2012/08/26,5,21,56
2012/08/27,6,20,56
2012/08/28,6,21,57
2012/08/29,6,22,59
2012/08/30,6,22,63
2012/08/31,6,22,63
2012/09/01,6,22,64
2012/09/02,6,19,64
2012/09/03,6,19,64
2012/09/04,6,18,64
2012/09/05,6,16,64
2012/09/06,6,16,65
2012/09/07,6,16,64
2012/09/08,6,15,62
2012/09/09,6,14,63
2012/09/10,6,15,63
2012/09/11,6,16,62
2012/09/12,6,16,61
2012/09/13,6,16,62
2012/09/14,6,16,60
2012/09/15,6,16,61
2012/09/16,6,16,61
2012/09/17,6,16,60
2012/09/18,6,16,61
2012/09/19,6,16,62
2012/09/20,6,16,63
2012/09/21,6,16,63
2012/09/22,6,16,64
2012/09/23,6,16,63
2012/09/24,6,16,63
2012/09/25,6,16,64
2012/09/26,7,17,65
2012/09/27,6,16,65
2012/09/28,6,14,64
2012/09/29,6,15,60
2012/09/30,6,15,63
2012/10/01,6,15,62
2012/10/02,6,15,62
2012/10/03,6,16,60
2012/10/04,6,16,59
2012/10/05,6,16,62
2012/10/06,7,16,59
2012/10/07,7,16,64
2012/10/08,7,17,65
2012/10/09,6,18,65
2012/10/10,5,19,67
2012/10/11,5,18,70
2012/10/12,5,17,70
2012/10/13,5,17,70
2012/10/14,5,17,71
2012/10/15,4,17,68
2012/10/16,4,17,70
2012/10/17,4,16,72
2012/10/18,4,16,70
2012/10/19,5,15,71
2012/10/20,5,16,73
2012/10/21,5,17,76
2012/10/22,5,17,78
2012/10/23,4,17,80
2012/10/24,5,17,77
2012/10/25,5,17,76
2012/10/26,5,16,80
2012/10/27,5,17,79
2012/10/28,4,17,79
2012/10/29,4,16,78
2012/10/30,4,18,77
2012/10/31,4,18,76
2012/11/01,4,19,79
2012/11/02,3,19,81
2012/11/03,4,19,81
2012/11/04,4,19,82
2012/11/05,4,19,83
2012/11/06,4,19,79
2012/11/07,4,18,80
2012/11/08,4,17,80
2012/11/09,4,17,77
2012/11/10,4,17,75
2012/11/11,5,17,72
2012/11/12,5,17,71
2012/11/13,5,17,69
2012/11/14,5,17,71
2012/11/15,5,17,69
2012/11/16,5,18,66
2012/11/17,6,18,65
2012/11/18,5,18,65
2012/11/19,5,18,66
2012/11/20,5,18,68
2012/11/21,5,17,70
2012/11/22,5,17,69
2012/11/23,5,17,72
2012/11/24,5,17,72
2012/11/25,5,17,70
2012/11/26,5,18,73
2012/11/27,6,18,72
2012/11/28,6,18,75
2012/11/29,5,17,75
2012/11/30,5,17,75
2012/12/01,5,17,78
2012/12/02,5,17,76
2012/12/03,6,16,74
2012/12/04,6,16,72
2012/12/05,7,16,75
2012/12/06,7,16,75
2012/12/07,7,16,77
2012/12/08,7,16,80
2012/12/09,7,17,82
2012/12/10,7,18,82
2012/12/11,7,18,87
2012/12/12,8,18,87
2012/12/13,8,18,87
2012/12/14,8,18,86
2012/12/15,8,18,86
2012/12/16,8,18,87
2012/12/17,8,18,89
2012/12/18,8,18,90
2012/12/19,8,17,88
2012/12/20,8,17,86
2012/12/21,8,17,86
2012/12/22,8,17,85
2012/12/23,7,18,87
2012/12/24,7,18,87
2012/12/25,7,18,86
2012/12/26,7,17,81
2012/12/27,7,17,83
2012/12/28,7,19,82
2012/12/29,7,19,83
2012/12/30,7,20,85
2012/12/31,7,20,86
2013/01/01,7,20,88
2013/01/02,7,21,88
2013/01/03,7,21,90
2013/01/04,7,22,86
2013/01/05,6,22,85
2013/01/06,6,22,86
2013/01/07,6,22,83
2013/01/08,6,23,84
2013/01/09,6,24,87
2013/01/10,6,22,86
2013/01/11,6,22,87
2013/01/12,6,22,87
2013/01/13,7,22,86
2013/01/14,7,22,85
2013/01/15,7,22,85
2013/01/16,7,22,84
2013/01/17,9,22,83
2013/01/18,9,22,83
2013/01/19,9,23,84
2013/01/20,9,24,81
2013/01/21,9,24,84
2013/01/22,9,23,82
2013/01/23,9,23,84
2013/01/24,9,25,84
2013/01/25,9,25,86
2013/01/26,9,25,88
2013/01/27,9,24,87
2013/01/28,9,26,88
2013/01/29,9,26,87
2013/01/30,8,27,86
2013/01/31,8,27,86
2013/02/01,8,27,85
2013/02/02,8,27,85
2013/02/03,8,27,88
2013/02/04,8,27,88
2013/02/05,8,28,85
2013/02/06,8,28,86
2013/02/07,8,27,87
2013/02/08,8,27,87
2013/02/09,8,27,89
2013/02/10,8,30,90
2013/02/11,8,29,91
2013/02/12,8,28,93
2013/02/13,8,28,93
2013/02/14,8,28,97
2013/02/15,8,28,98
2013/02/16,8,28,100
2013/02/17,8,29,99
2013/02/18,8,29,98
2013/02/19,8,29,99
2013/02/20,8,30,96
2013/02/21,8,29,95
2013/02/22,8,29,95
2013/02/23,9,27,94
2013/02/24,9,26,92
2013/02/25,9,26,87
2013/02/26,8,24,88
2013/02/27,8,20,84
2013/02/28,8,19,85
2013/03/01,8,19,84
2013/03/02,8,18,82
2013/03/03,8,18,82
2013/03/04,8,17,81
2013/03/05,8,16,77
2013/03/06,8,16,75
2013/03/07,8,14,74
2013/03/08,8,14,75
2013/03/09,7,14,74
2013/03/10,6,14,76
2013/03/11,6,15,73
2013/03/12,7,15,71
2013/03/13,7,15,73
2013/03/14,7,15,75
2013/03/15,7,15,77
2013/03/16,7,14,75
2013/03/17,6,14,75
2013/03/18,6,14,72
2013/03/19,6,14,72
2013/03/20,6,13,68
2013/03/21,6,12,70
2013/03/22,6,12,69
2013/03/23,5,12,71
2013/03/24,5,12,70
2013/03/25,5,12,73
2013/03/26,5,12,75
2013/03/27,5,12,74
2013/03/28,5,12,77
2013/03/29,5,12,79
2013/03/30,5,12,80
2013/03/31,4,13,79
2013/04/01,4,13,78
2013/04/02,4,13,79
2013/04/03,4,15,81
2013/04/04,4,15,79
2013/04/05,4,13,77
2013/04/06,4,13,75
