date,ruewiki (100+),ruewiki (5+),ruewiki (all)
2012/08/19,5,18,37
2012/08/20,5,19,35
2012/08/21,5,18,35
2012/08/22,5,17,36
2012/08/23,5,16,36
2012/08/24,5,18,37
2012/08/25,5,16,37
2012/08/26,5,16,36
2012/08/27,5,16,38
2012/08/28,5,18,38
2012/08/29,5,17,40
2012/08/30,5,18,41
2012/08/31,5,19,40
2012/09/01,5,20,39
2012/09/02,5,20,39
2012/09/03,5,20,38
2012/09/04,5,19,38
2012/09/05,5,18,39
2012/09/06,5,19,39
2012/09/07,5,18,38
2012/09/08,5,18,38
2012/09/09,5,19,35
2012/09/10,5,19,34
2012/09/11,5,19,36
2012/09/12,5,18,35
2012/09/13,5,19,35
2012/09/14,5,19,36
2012/09/15,5,19,34
2012/09/16,5,19,34
2012/09/17,6,19,35
2012/09/18,6,19,34
2012/09/19,6,19,34
2012/09/20,6,19,34
2012/09/21,6,19,32
2012/09/22,6,18,32
2012/09/23,4,18,32
2012/09/24,4,18,32
2012/09/25,4,18,32
2012/09/26,4,17,30
2012/09/27,4,18,29
2012/09/28,4,18,29
2012/09/29,4,18,26
2012/09/30,5,18,25
2012/10/01,5,18,25
2012/10/02,5,18,25
2012/10/03,5,17,26
2012/10/04,5,17,27
2012/10/05,5,17,28
2012/10/06,5,16,28
2012/10/07,5,16,31
2012/10/08,5,16,31
2012/10/09,5,14,31
2012/10/10,5,14,31
2012/10/11,5,15,30
2012/10/12,5,15,30
2012/10/13,5,15,30
2012/10/14,5,13,30
2012/10/15,5,13,31
2012/10/16,4,16,31
2012/10/17,4,16,29
2012/10/18,4,16,29
2012/10/19,4,16,30
2012/10/20,4,17,31
2012/10/21,4,18,33
2012/10/22,4,19,33
2012/10/23,4,19,32
2012/10/24,4,19,32
2012/10/25,4,19,32
2012/10/26,4,20,33
2012/10/27,4,19,33
2012/10/28,4,20,34
2012/10/29,4,20,34
2012/10/30,4,19,33
2012/10/31,4,19,33
2012/11/01,4,19,33
2012/11/02,4,18,33
2012/11/03,4,18,31
2012/11/04,4,18,31
2012/11/05,4,18,31
2012/11/06,4,19,29
2012/11/07,4,19,28
2012/11/08,4,18,29
2012/11/09,4,19,30
2012/11/10,4,19,29
2012/11/11,4,19,29
2012/11/12,5,18,29
2012/11/13,5,18,31
2012/11/14,5,19,30
2012/11/15,5,19,30
2012/11/16,5,19,29
2012/11/17,5,19,32
2012/11/18,5,19,32
2012/11/19,5,16,33
2012/11/20,5,14,34
2012/11/21,5,13,33
2012/11/22,5,14,34
2012/11/23,5,15,34
2012/11/24,5,15,34
2012/11/25,5,15,34
2012/11/26,5,16,34
2012/11/27,5,15,33
2012/11/28,5,15,34
2012/11/29,5,15,35
2012/11/30,5,15,36
2012/12/01,5,15,37
2012/12/02,5,15,36
2012/12/03,5,16,37
2012/12/04,5,16,38
2012/12/05,5,17,38
2012/12/06,5,17,38
2012/12/07,5,18,39
2012/12/08,5,17,38
2012/12/09,5,17,36
2012/12/10,5,17,36
2012/12/11,5,18,37
2012/12/12,5,18,37
2012/12/13,5,18,39
2012/12/14,5,17,40
2012/12/15,5,17,41
2012/12/16,5,17,41
2012/12/17,5,17,38
2012/12/18,5,17,38
2012/12/19,6,17,39
2012/12/20,6,17,38
2012/12/21,6,17,38
2012/12/22,6,17,39
2012/12/23,6,17,39
2012/12/24,6,18,39
2012/12/25,6,18,39
2012/12/26,6,18,39
2012/12/27,6,18,40
2012/12/28,7,19,41
2012/12/29,8,20,40
2012/12/30,9,19,44
2012/12/31,9,19,44
2013/01/01,9,19,44
2013/01/02,8,20,45
2013/01/03,8,21,45
2013/01/04,8,20,45
2013/01/05,8,20,46
2013/01/06,8,20,46
2013/01/07,8,21,45
2013/01/08,8,21,47
2013/01/09,8,20,47
2013/01/10,8,20,47
2013/01/11,7,19,48
2013/01/12,7,19,46
2013/01/13,7,19,45
2013/01/14,7,20,43
2013/01/15,7,21,43
2013/01/16,7,22,45
2013/01/17,7,22,45
2013/01/18,6,22,42
2013/01/19,6,22,45
2013/01/20,6,22,46
2013/01/21,6,22,45
2013/01/22,6,23,46
2013/01/23,6,23,46
2013/01/24,6,23,47
2013/01/25,6,23,47
2013/01/26,6,23,47
2013/01/27,6,23,46
2013/01/28,6,22,46
2013/01/29,7,20,43
2013/01/30,6,21,44
2013/01/31,6,22,45
2013/02/01,6,22,44
2013/02/02,7,22,42
2013/02/03,7,22,42
2013/02/04,7,22,42
2013/02/05,7,22,43
2013/02/06,7,22,44
2013/02/07,7,22,44
2013/02/08,7,22,43
2013/02/09,7,23,41
2013/02/10,7,23,41
2013/02/11,7,23,41
2013/02/12,7,23,41
2013/02/13,7,23,41
2013/02/14,7,22,44
2013/02/15,8,22,44
2013/02/16,8,22,46
2013/02/17,8,22,46
2013/02/18,8,21,44
2013/02/19,8,21,42
2013/02/20,8,20,44
2013/02/21,8,18,43
2013/02/22,8,18,43
2013/02/23,8,18,41
2013/02/24,9,18,41
2013/02/25,9,18,40
2013/02/26,9,18,38
2013/02/27,8,18,38
2013/02/28,9,17,38
2013/03/01,9,16,37
2013/03/02,6,15,34
2013/03/03,7,15,32
2013/03/04,7,15,31
2013/03/05,7,16,30
2013/03/06,7,15,29
2013/03/07,7,15,29
2013/03/08,8,16,29
2013/03/09,8,16,29
2013/03/10,8,16,28
2013/03/11,8,16,29
2013/03/12,9,16,30
2013/03/13,9,15,31
2013/03/14,9,15,31
2013/03/15,9,15,32
2013/03/16,9,14,29
2013/03/17,9,13,30
2013/03/18,9,13,29
2013/03/19,9,13,29
2013/03/20,7,12,29
2013/03/21,7,12,29
2013/03/22,7,12,26
2013/03/23,7,12,26
2013/03/24,6,12,26
2013/03/25,6,12,24
2013/03/26,6,12,24
2013/03/27,6,12,25
2013/03/28,6,14,24
2013/03/29,6,14,24
2013/03/30,5,14,24
2013/03/31,5,13,24
2013/04/01,5,13,24
2013/04/02,4,12,24
2013/04/03,2,11,24
2013/04/04,2,14,26
2013/04/05,2,11,22
2013/04/06,2,9,17
2013/04/07,2,9,15
2013/04/08,2,9,17
2013/04/09,2,9,18
2013/04/10,2,9,17
2013/04/11,1,9,17
2013/04/12,,9,16
2013/04/13,,9,16
2013/04/14,,8,16
2013/04/15,,8,17
2013/04/16,1,8,17
2013/04/17,1,9,17
2013/04/18,1,10,19
2013/04/19,1,10,19
2013/04/20,,10,20
2013/04/21,,9,20
2013/04/22,,9,20
2013/04/23,,9,20
2013/04/24,,9,20
2013/04/25,,9,21
2013/04/26,,8,21
2013/04/27,,8,20
2013/04/28,,7,20
2013/04/29,,7,20
2013/04/30,,7,20
2013/05/01,,7,20
2013/05/02,,7,20
2013/05/03,,7,19
2013/05/04,,5,18
2013/05/05,,5,17
2013/05/06,,5,17
2013/05/07,,4,18
