date,krcwiki (100+),krcwiki (5+),krcwiki (all)
2012/08/19,1,6,16
2012/08/20,1,6,16
2012/08/21,1,6,17
2012/08/22,1,6,17
2012/08/23,1,6,17
2012/08/24,1,6,17
2012/08/25,1,6,17
2012/08/26,1,6,17
2012/08/27,1,6,18
2012/08/28,1,6,20
2012/08/29,1,6,21
2012/08/30,1,6,21
2012/08/31,1,6,21
2012/09/01,1,6,21
2012/09/02,1,6,21
2012/09/03,1,6,22
2012/09/04,1,6,22
2012/09/05,1,6,22
2012/09/06,1,6,23
2012/09/07,1,6,24
2012/09/08,1,6,24
2012/09/09,1,6,24
2012/09/10,1,6,24
2012/09/11,1,6,23
2012/09/12,1,6,23
2012/09/13,1,6,23
2012/09/14,1,6,21
2012/09/15,1,6,20
2012/09/16,1,6,20
2012/09/17,1,6,21
2012/09/18,1,7,20
2012/09/19,1,7,20
2012/09/20,1,7,20
2012/09/21,1,6,19
2012/09/22,1,6,19
2012/09/23,1,6,19
2012/09/24,1,6,19
2012/09/25,1,6,18
2012/09/26,1,6,18
2012/09/27,1,6,15
2012/09/28,1,6,15
2012/09/29,1,6,15
2012/09/30,1,6,13
2012/10/01,1,6,13
2012/10/02,1,6,14
2012/10/03,1,6,14
2012/10/04,1,6,14
2012/10/05,1,6,14
2012/10/06,1,6,13
2012/10/07,1,6,13
2012/10/08,1,6,13
2012/10/09,1,6,12
2012/10/10,1,6,12
2012/10/11,1,6,13
2012/10/12,1,6,13
2012/10/13,1,6,13
2012/10/14,1,6,13
2012/10/15,1,6,12
2012/10/16,1,6,12
2012/10/17,1,6,12
2012/10/18,1,6,12
2012/10/19,1,6,12
2012/10/20,1,6,12
2012/10/21,1,6,13
2012/10/22,1,6,14
2012/10/23,1,6,14
2012/10/24,1,7,15
2012/10/25,1,7,16
2012/10/26,1,7,16
2012/10/27,1,7,16
2012/10/28,1,7,16
2012/10/29,1,7,16
2012/10/30,1,7,16
2012/10/31,1,7,17
2012/11/01,1,7,16
2012/11/02,1,7,16
2012/11/03,1,7,17
2012/11/04,1,7,17
2012/11/05,1,7,17
2012/11/06,1,7,16
2012/11/07,1,7,16
2012/11/08,1,7,16
2012/11/09,1,7,16
2012/11/10,1,7,15
2012/11/11,1,7,16
2012/11/12,1,7,16
2012/11/13,1,7,16
2012/11/14,1,7,16
2012/11/15,1,7,16
2012/11/16,1,7,16
2012/11/17,1,8,16
2012/11/18,1,8,16
2012/11/19,1,8,16
2012/11/20,1,8,16
2012/11/21,1,8,15
2012/11/22,1,8,16
2012/11/23,1,8,14
2012/11/24,1,7,14
2012/11/25,1,8,14
2012/11/26,1,8,14
2012/11/27,1,8,14
2012/11/28,1,8,14
2012/11/29,1,8,14
2012/11/30,1,8,14
2012/12/01,,8,15
2012/12/02,,8,16
2012/12/03,,8,15
2012/12/04,,8,16
2012/12/05,,8,16
2012/12/06,,8,16
2012/12/07,,9,16
2012/12/08,,9,16
2012/12/09,,9,16
2012/12/10,,9,16
2012/12/11,,8,16
2012/12/12,,8,16
2012/12/13,,8,16
2012/12/14,,8,16
2012/12/15,,7,16
2012/12/16,,7,16
2012/12/17,,7,18
2012/12/18,,7,18
2012/12/19,,7,18
2012/12/20,,7,17
2012/12/21,,7,17
2012/12/22,,8,18
2012/12/23,,8,18
2012/12/24,,8,18
2012/12/25,,8,18
2012/12/26,,8,19
2012/12/27,,8,19
2012/12/28,,8,19
2012/12/29,,8,20
2012/12/30,1,8,20
2012/12/31,2,8,20
2013/01/01,2,8,19
2013/01/02,2,8,19
2013/01/03,2,8,18
2013/01/04,2,8,18
2013/01/05,2,7,19
2013/01/06,2,6,19
2013/01/07,2,6,19
2013/01/08,2,6,19
2013/01/09,2,6,19
2013/01/10,2,7,20
2013/01/11,2,8,20
2013/01/12,2,7,20
