date,papwiki (100+),papwiki (5+),papwiki (all)
2012/08/19,2,16,39
2012/08/20,2,15,37
2012/08/21,2,14,36
2012/08/22,2,14,36
2012/08/23,2,14,36
2012/08/24,1,14,36
2012/08/25,1,14,36
2012/08/26,1,14,33
2012/08/27,1,14,35
2012/08/28,1,14,34
2012/08/29,1,14,36
2012/08/30,1,15,36
2012/08/31,1,13,36
2012/09/01,1,13,36
2012/09/02,1,14,37
2012/09/03,1,14,39
2012/09/04,1,14,39
2012/09/05,1,14,41
2012/09/06,1,14,43
2012/09/07,2,14,41
2012/09/08,2,14,42
2012/09/09,2,15,42
2012/09/10,2,16,41
2012/09/11,2,18,43
2012/09/12,2,18,42
2012/09/13,1,18,43
2012/09/14,2,16,43
2012/09/15,2,17,42
2012/09/16,2,17,43
2012/09/17,2,17,43
2012/09/18,2,17,42
2012/09/19,2,17,42
2012/09/20,2,17,42
2012/09/21,2,17,41
2012/09/22,3,15,42
2012/09/23,2,15,43
2012/09/24,2,15,42
2012/09/25,2,16,42
2012/09/26,2,15,41
2012/09/27,2,16,41
2012/09/28,2,16,42
2012/09/29,2,15,40
2012/09/30,3,15,40
2012/10/01,3,17,39
2012/10/02,3,17,39
2012/10/03,3,18,37
2012/10/04,4,19,38
2012/10/05,4,19,37
2012/10/06,4,19,35
2012/10/07,4,18,34
2012/10/08,4,18,35
2012/10/09,4,19,35
2012/10/10,4,18,33
2012/10/11,4,18,33
2012/10/12,5,18,33
2012/10/13,4,17,32
2012/10/14,4,17,34
2012/10/15,4,17,34
2012/10/16,4,17,34
2012/10/17,4,17,34
2012/10/18,4,18,34
2012/10/19,4,18,34
2012/10/20,4,17,36
2012/10/21,4,17,39
2012/10/22,4,16,39
2012/10/23,4,16,38
2012/10/24,4,16,38
2012/10/25,3,16,38
2012/10/26,3,17,38
2012/10/27,4,17,40
2012/10/28,3,17,39
2012/10/29,3,17,40
2012/10/30,2,15,40
2012/10/31,2,15,39
2012/11/01,2,15,39
2012/11/02,2,15,40
2012/11/03,1,15,40
2012/11/04,1,14,40
2012/11/05,1,14,40
2012/11/06,1,14,40
2012/11/07,1,15,39
2012/11/08,1,15,39
2012/11/09,1,16,40
2012/11/10,2,17,40
2012/11/11,2,18,39
2012/11/12,2,19,39
2012/11/13,2,19,37
2012/11/14,2,20,38
2012/11/15,2,20,38
2012/11/16,2,20,37
2012/11/17,2,19,37
2012/11/18,2,19,37
2012/11/19,2,19,36
2012/11/20,2,19,34
2012/11/21,2,18,33
2012/11/22,2,18,33
2012/11/23,2,19,33
2012/11/24,2,20,33
2012/11/25,2,20,34
2012/11/26,2,21,34
2012/11/27,1,21,36
2012/11/28,1,21,34
2012/11/29,1,21,34
2012/11/30,1,20,34
2012/12/01,1,20,34
2012/12/02,1,20,34
2012/12/03,1,20,33
2012/12/04,1,19,35
2012/12/05,1,19,35
2012/12/06,2,19,35
2012/12/07,1,19,35
2012/12/08,1,19,38
2012/12/09,1,19,37
2012/12/10,2,18,36
2012/12/11,2,19,37
2012/12/12,2,19,37
2012/12/13,2,19,37
2012/12/14,2,19,36
2012/12/15,2,19,37
2012/12/16,2,20,37
2012/12/17,2,20,37
2012/12/18,2,20,37
2012/12/19,2,21,39
2012/12/20,1,21,39
2012/12/21,1,21,39
2012/12/22,2,21,39
2012/12/23,2,20,39
2012/12/24,2,20,39
2012/12/25,2,20,39
2012/12/26,2,20,39
2012/12/27,2,20,39
2012/12/28,2,20,40
2012/12/29,2,21,40
2012/12/30,2,21,40
2012/12/31,4,21,40
