date,tnwiki (100+),tnwiki (5+),tnwiki (all)
2013/12/19,,4,19
2013/12/20,,4,19
2013/12/21,,4,19
2013/12/22,,3,20
2013/12/23,,3,20
2013/12/24,,3,20
2013/12/25,,3,20
2013/12/26,,3,20
2013/12/27,,3,20
2013/12/28,,,9
2013/12/29,,,9
2013/12/30,,,9
2013/12/31,,,7
2014/01/01,,,7
2014/01/02,,,6
2014/01/03,,,6
2014/01/04,,,6
2014/01/05,,,5
2014/01/06,,,5
2014/01/07,,,5
2014/01/08,,,6
2014/01/09,,,6
2014/01/10,,,5
2014/01/11,,1,5
2014/01/12,,1,5
2014/01/13,,1,4
2014/01/14,,1,6
2014/01/15,,1,7
2014/01/16,,1,6
2014/01/17,,1,6
2014/01/18,,1,6
2014/01/19,,1,7
2014/01/20,,1,7
2014/01/21,,1,7
2014/01/22,,1,7
2014/01/23,,1,7
2014/01/24,,1,7
