date,chrwiki (100+),chrwiki (5+),chrwiki (all)
2012/08/19,,10,36
2012/08/20,,10,34
2012/08/21,,10,34
2012/08/22,,10,34
2012/08/23,,9,35
2012/08/24,,10,36
2012/08/25,,9,36
2012/08/26,,9,34
2012/08/27,,9,35
2012/08/28,,9,35
2012/08/29,,9,36
2012/08/30,,9,37
2012/08/31,,9,36
2012/09/01,,10,38
2012/09/02,,9,38
2012/09/03,,9,41
2012/09/04,,10,39
2012/09/05,,10,39
2012/09/06,,10,39
2012/09/07,,10,39
2012/09/08,,10,39
2012/09/09,,11,39
2012/09/10,,12,38
2012/09/11,,12,39
2012/09/12,,12,38
2012/09/13,,13,39
2012/09/14,,12,38
2012/09/15,,14,37
2012/09/16,,14,37
2012/09/17,,14,39
2012/09/18,,14,38
2012/09/19,,14,39
2012/09/20,,14,39
2012/09/21,,14,40
2012/09/22,,14,40
2012/09/23,,13,38
2012/09/24,,13,37
2012/09/25,,13,37
2012/09/26,,13,36
2012/09/27,,13,36
2012/09/28,,13,34
2012/09/29,,14,33
2012/09/30,,14,33
2012/10/01,,13,30
2012/10/02,,13,32
2012/10/03,,13,31
2012/10/04,,13,30
2012/10/05,,13,30
2012/10/06,,14,30
2012/10/07,,14,30
2012/10/08,,13,30
2012/10/09,,13,30
2012/10/10,,13,30
2012/10/11,,13,27
2012/10/12,,13,27
2012/10/13,,12,27
2012/10/14,,12,27
2012/10/15,,12,27
2012/10/16,,12,28
2012/10/17,,11,27
2012/10/18,,12,27
2012/10/19,,12,29
2012/10/20,,11,29
2012/10/21,1,11,28
2012/10/22,,11,29
2012/10/23,,11,29
2012/10/24,,11,29
2012/10/25,1,11,29
2012/10/26,1,11,29
2012/10/27,1,11,28
2012/10/28,1,11,29
2012/10/29,1,9,29
2012/10/30,1,9,28
2012/10/31,,9,28
2012/11/01,,9,25
2012/11/02,,10,27
2012/11/03,,10,29
2012/11/04,,10,29
2012/11/05,,9,28
2012/11/06,,9,30
2012/11/07,,9,30
2012/11/08,,8,30
2012/11/09,,8,30
2012/11/10,,8,30
2012/11/11,,8,30
2012/11/12,,9,31
2012/11/13,,10,31
2012/11/14,,10,32
2012/11/15,,11,33
2012/11/16,,11,33
2012/11/17,,10,32
2012/11/18,,10,30
2012/11/19,,11,29
2012/11/20,,11,29
2012/11/21,,11,28
2012/11/22,,12,29
2012/11/23,,12,28
2012/11/24,,13,28
2012/11/25,,14,29
2012/11/26,,14,29
2012/11/27,,13,29
2012/11/28,,13,30
2012/11/29,,13,30
2012/11/30,,13,29
2012/12/01,,13,29
2012/12/02,,13,28
2012/12/03,,13,27
2012/12/04,,13,27
2012/12/05,,13,29
2012/12/06,,14,28
2012/12/07,,14,28
2012/12/08,,14,29
2012/12/09,,12,29
2012/12/10,,12,30
2012/12/11,,12,31
2012/12/12,,12,30
2012/12/13,,12,32
2012/12/14,,11,32
2012/12/15,,11,30
2012/12/16,,11,30
2012/12/17,,11,30
2012/12/18,,11,30
2012/12/19,,11,33
2012/12/20,,11,33
2012/12/21,,10,33
2012/12/22,,10,34
2012/12/23,,10,34
2012/12/24,,9,34
2012/12/25,,9,34
2012/12/26,,9,34
2012/12/27,,9,33
2012/12/28,,9,33
2012/12/29,,10,33
2012/12/30,,10,33
2012/12/31,,11,35
2013/01/01,,11,37
2013/01/02,,11,37
2013/01/03,,11,37
2013/01/04,,11,35
2013/01/05,,11,35
2013/01/06,,11,34
2013/01/07,,11,33
2013/01/08,,12,34
2013/01/09,,13,34
2013/01/10,,13,33
2013/01/11,,13,33
2013/01/12,,12,33
2013/01/13,,12,34
2013/01/14,,12,35
2013/01/15,,12,34
2013/01/16,,11,34
2013/01/17,,11,34
2013/01/18,,11,33
2013/01/19,,10,34
2013/01/20,,10,34
2013/01/21,,10,32
2013/01/22,,10,32
2013/01/23,,10,32
2013/01/24,,10,30
2013/01/25,,10,31
2013/01/26,,10,32
2013/01/27,1,10,31
2013/01/28,1,10,30
2013/01/29,1,10,29
2013/01/30,1,9,28
2013/01/31,1,8,27
2013/02/01,1,7,29
2013/02/02,1,7,29
2013/02/03,1,7,30
2013/02/04,1,7,30
2013/02/05,1,7,31
2013/02/06,1,7,31
2013/02/07,1,7,31
2013/02/08,1,8,33
2013/02/09,1,8,33
2013/02/10,1,6,33
2013/02/11,1,6,33
2013/02/12,1,7,34
2013/02/13,1,7,34
2013/02/14,1,8,35
2013/02/15,1,8,35
2013/02/16,1,8,35
2013/02/17,1,8,35
2013/02/18,1,7,33
2013/02/19,1,7,33
2013/02/20,1,7,32
2013/02/21,1,7,31
2013/02/22,1,7,32
2013/02/23,1,7,32
2013/02/24,1,7,31
2013/02/25,1,7,30
2013/02/26,1,7,31
2013/02/27,1,7,30
2013/02/28,1,7,30
2013/03/01,1,7,30
2013/03/02,1,7,32
2013/03/03,1,7,31
2013/03/04,1,8,31
2013/03/05,1,8,32
2013/03/06,1,8,32
2013/03/07,1,9,35
2013/03/08,2,9,34
2013/03/09,2,9,33
2013/03/10,2,9,33
2013/03/11,2,9,33
2013/03/12,2,10,34
2013/03/13,2,10,33
2013/03/14,2,10,29
2013/03/15,2,10,27
2013/03/16,1,10,26
2013/03/17,1,9,26
