date,chrwiki (100+),chrwiki (5+),chrwiki (all)
2015/11/02,,1,9
2015/11/03,,1,9
2015/11/04,,2,10
2015/11/05,,2,9
2015/11/06,,2,9
2015/11/07,,2,10
2015/11/08,,2,10
2015/11/09,,2,10
2015/11/10,,2,10
2015/11/11,,2,11
2015/11/12,,2,11
2015/11/13,,2,11
2015/11/14,,2,11
2015/11/15,,2,11
2015/11/16,,2,11
2015/11/17,,2,10
2015/11/18,,2,10
2015/11/19,,2,9
2015/11/20,,2,9
2015/11/21,,2,9
2015/11/22,,2,8
2015/11/23,,2,8
2015/11/24,,2,8
2015/11/25,,1,5
2015/11/26,,1,5
2015/11/27,,1,6
2015/11/28,,1,6
2015/11/29,,1,6
2015/11/30,,1,6
2015/12/01,,1,5
2015/12/02,,1,5
2015/12/03,,1,5
2015/12/04,,,4
2015/12/05,,,4
2015/12/06,,,5
2015/12/07,,,5
2015/12/08,,,5
2015/12/09,,,5
2015/12/10,,,5
2015/12/11,,,4
2015/12/12,,,4
2015/12/13,,,4
2015/12/14,,,4
2015/12/15,,,4
2015/12/16,,,4
2015/12/17,,,4
2016/01/18,,,4
2016/01/19,,,4
2016/01/20,,1,7
2016/01/21,,1,8
2016/01/22,,1,8
2016/01/23,1,1,7
2016/01/24,1,1,7
2016/01/25,1,1,7
2016/01/26,1,1,7
2016/01/27,1,1,7
2016/01/28,1,1,7
2016/01/29,1,1,7
2016/01/30,1,1,7
2016/01/31,1,2,8
2016/02/01,1,2,9
2016/02/02,1,2,9
2016/02/03,1,2,9
2016/02/04,1,2,8
2016/02/05,1,2,7
2016/02/06,1,2,8
2016/02/07,1,2,7
2016/02/08,1,2,7
2016/02/09,1,3,8
2016/02/10,1,3,8
2016/02/11,1,3,8
2016/02/12,1,3,8
2016/02/13,1,3,8
2016/02/14,1,3,8
2016/02/15,1,3,8
2016/02/16,1,3,8
2016/02/17,1,3,8
2016/02/18,1,4,10
2016/02/19,1,4,10
2016/02/20,1,4,10
2016/02/21,1,4,10
2016/02/22,1,4,9
2016/02/23,1,4,9
2016/02/24,1,4,10
2016/02/25,1,4,10
2016/02/26,1,4,11
2016/02/27,1,4,11
2016/02/28,1,4,11
2016/02/29,1,4,11
2016/03/01,1,3,11
2016/03/02,1,3,10
2016/03/03,1,3,10
2016/03/04,1,3,10
2016/03/05,1,3,10
2016/03/06,1,3,10
2016/03/07,1,3,10
2016/03/08,1,3,10
2016/03/09,1,3,10
2016/03/10,1,2,9
2016/03/11,1,2,9
2016/03/12,1,2,9
2016/03/13,1,2,9
2016/03/14,1,2,8
2016/03/15,1,2,7
2016/03/16,1,2,7
2016/03/17,1,2,7
2016/03/18,1,2,7
2016/03/19,1,1,6
2016/03/20,1,1,5
2016/03/21,1,1,6
2016/03/22,1,1,6
2016/03/23,1,1,6
2016/03/24,1,1,6
2016/03/25,1,1,6
2016/03/26,1,1,6
2016/03/27,1,1,5
2016/03/28,1,1,4
2016/03/29,1,1,4
2016/03/30,1,1,6
2016/03/31,1,1,6
2016/04/01,1,1,5
2016/04/02,1,1,5
2016/04/03,1,1,5
2016/04/04,1,1,5
2016/04/05,1,1,5
2016/04/06,1,1,5
2016/04/07,1,1,6
2016/04/08,1,1,6
2016/04/09,1,1,6
2016/04/10,1,1,7
2016/04/11,1,1,7
2016/04/12,1,1,7
2016/04/13,1,1,7
2016/04/14,1,1,7
2016/04/15,1,1,7
2016/04/16,1,1,8
2016/04/17,1,1,8
2016/04/18,1,1,9
2016/04/19,1,1,9
2016/04/20,1,1,8
2016/04/21,1,1,8
2016/04/22,1,1,9
2016/04/23,1,1,9
2016/04/24,1,1,9
2016/04/25,1,1,10
2016/04/26,1,1,10
2016/04/27,1,1,9
2016/04/28,1,1,9
2016/04/29,1,1,7
2016/04/30,1,1,7
2016/05/01,1,1,7
2016/05/02,1,1,8
2016/05/03,1,1,9
2016/05/04,1,1,10
2016/05/05,1,1,10
2016/05/06,1,1,10
2016/05/07,1,1,9
2016/05/08,1,1,9
2016/05/09,1,1,9
2016/05/10,1,2,9
2016/05/11,1,2,9
2016/05/12,1,2,9
2016/05/13,1,3,10
2016/05/14,1,3,10
2016/05/15,1,3,10
2016/05/16,1,3,9
2016/05/17,1,3,9
2016/05/18,1,3,8
2016/05/19,1,3,8
2016/05/20,1,3,8
2016/05/21,1,3,9
2016/05/22,1,3,8
2016/05/23,1,3,8
2016/05/24,1,3,8
2016/05/25,1,3,7
2016/05/26,1,3,7
2016/05/27,1,3,7
2016/05/28,1,3,7
2016/05/29,1,3,7
2016/05/30,1,3,7
2016/05/31,1,3,7
2016/06/01,1,3,6
2016/06/02,1,3,5
2016/06/03,1,3,5
2016/06/04,1,3,5
2016/06/05,1,3,5
2016/06/06,1,3,5
2016/06/07,1,3,6
2016/06/08,1,3,6
2016/06/09,,2,5
2016/06/10,,2,5
2016/06/11,,2,5
2016/06/12,,1,4
2016/06/13,,1,4
2016/06/14,,1,4
2016/06/15,,1,4
2016/06/16,,1,4
2016/06/17,,1,4
2016/06/18,,1,4
2016/06/19,,1,4
2016/06/20,,1,3
2016/06/21,,1,3
2016/06/22,,1,3
2016/06/23,,1,3
2016/06/24,,1,3
2016/06/25,,1,3
2016/06/26,,1,3
2016/06/27,,1,3
2016/06/28,,1,3
2016/06/29,,1,3
2016/06/30,,1,3
2016/07/01,,,4
2016/07/02,,,5
2016/07/03,,,3
2016/07/04,,,4
2016/07/05,,,4
2016/07/06,,,4
2016/07/07,,,4
2016/07/08,,,4
2016/07/09,,,4
2016/07/10,,,4
2016/07/11,,,4
2016/07/12,,,4
2016/07/13,,,4
2016/07/14,,,4
2016/07/15,,,4
2016/07/16,,,4
2016/07/17,,,4
2016/07/18,,,4
2016/07/19,,,4
2016/07/20,,,4
2016/07/21,,,5
2016/07/22,,,5
2016/07/23,,,5
2016/07/24,,,5
2016/07/25,,,5
2016/07/26,,,5
2016/07/27,,,5
2016/07/28,,,5
2016/07/29,,,5
2016/07/30,,,5
2016/07/31,,,4
2016/08/01,,,3
2016/08/02,,,4
2016/08/03,,,3
2016/08/04,,,3
2016/08/05,,,3
2016/08/06,,,2
2016/08/07,,,2
2016/08/08,,,2
2016/08/09,,,3
2016/08/10,,,3
2016/08/11,,,3
2016/08/12,,,3
2016/08/13,,,3
2016/08/14,,,3
2016/08/15,,,3
2016/08/16,,,3
