date,amwiki (100+),amwiki (5+),amwiki (all)
2012/08/19,4,14,35
2012/08/20,4,17,36
2012/08/21,4,17,36
2012/08/22,4,16,36
2012/08/23,4,16,36
2012/08/24,4,18,35
2012/08/25,4,16,35
2012/08/26,4,16,34
2012/08/27,4,16,34
2012/08/28,4,16,33
2012/08/29,4,15,36
2012/08/30,4,16,36
2012/08/31,4,16,36
2012/09/01,4,18,36
2012/09/02,4,18,36
2012/09/03,4,19,36
2012/09/04,4,19,36
2012/09/05,4,18,37
2012/09/06,4,19,39
2012/09/07,4,19,39
2012/09/08,4,19,37
2012/09/09,4,19,38
2012/09/10,4,19,38
2012/09/11,4,19,38
2012/09/12,5,19,39
2012/09/13,5,19,41
2012/09/14,5,19,42
2012/09/15,5,19,41
2012/09/16,5,19,42
2012/09/17,5,19,42
2012/09/18,5,19,41
2012/09/19,5,18,40
2012/09/20,5,18,41
2012/09/21,5,17,41
2012/09/22,5,17,41
2012/09/23,5,16,41
2012/09/24,5,16,41
2012/09/25,5,16,41
2012/09/26,5,17,43
2012/09/27,5,17,44
2012/09/28,5,16,44
2012/09/29,5,16,43
2012/09/30,5,16,43
2012/10/01,5,16,40
2012/10/02,5,18,42
2012/10/03,5,18,43
2012/10/04,5,18,44
2012/10/05,5,18,43
2012/10/06,5,18,42
2012/10/07,7,18,42
2012/10/08,6,18,42
2012/10/09,6,18,41
2012/10/10,7,18,41
2012/10/11,7,18,41
2012/10/12,7,19,41
2012/10/13,7,19,40
2012/10/14,7,19,39
2012/10/15,7,18,40
2012/10/16,7,18,38
2012/10/17,6,17,38
2012/10/18,6,17,37
2012/10/19,6,17,39
2012/10/20,6,18,39
2012/10/21,6,19,42
2012/10/22,6,19,42
2012/10/23,6,19,41
2012/10/24,6,19,41
2012/10/25,6,21,42
2012/10/26,6,19,40
2012/10/27,6,18,38
2012/10/28,6,19,38
2012/10/29,6,19,38
2012/10/30,6,20,40
2012/10/31,6,20,41
2012/11/01,6,19,40
2012/11/02,6,17,39
2012/11/03,6,17,38
2012/11/04,6,18,38
2012/11/05,6,19,39
2012/11/06,6,19,39
2012/11/07,4,19,39
2012/11/08,4,19,39
2012/11/09,4,19,38
2012/11/10,4,19,37
2012/11/11,4,19,38
2012/11/12,4,18,38
2012/11/13,4,18,38
2012/11/14,4,18,38
2012/11/15,4,18,38
2012/11/16,4,19,38
2012/11/17,4,19,39
2012/11/18,4,22,39
2012/11/19,4,22,38
2012/11/20,4,21,37
2012/11/21,4,20,38
2012/11/22,4,20,38
2012/11/23,4,20,39
2012/11/24,4,20,39
2012/11/25,4,20,38
2012/11/26,4,20,39
2012/11/27,4,20,40
2012/11/28,4,21,40
2012/11/29,4,21,40
2012/11/30,4,21,39
2012/12/01,4,21,39
2012/12/02,4,21,40
2012/12/03,4,21,42
2012/12/04,4,21,42
2012/12/05,4,21,43
2012/12/06,4,21,43
2012/12/07,4,21,43
2012/12/08,4,22,43
2012/12/09,4,22,43
2012/12/10,4,22,43
2012/12/11,4,22,42
2012/12/12,4,21,42
2012/12/13,4,21,40
2012/12/14,4,21,41
2012/12/15,4,22,41
2012/12/16,4,23,41
2012/12/17,4,23,42
2012/12/18,4,21,40
2012/12/19,4,21,40
2012/12/20,4,21,41
2012/12/21,4,20,39
2012/12/22,4,20,40
2012/12/23,5,20,39
2012/12/24,5,20,40
2012/12/25,5,19,40
2012/12/26,5,19,40
2012/12/27,5,19,40
2012/12/28,5,19,40
2012/12/29,6,20,38
2012/12/30,8,20,38
2012/12/31,8,20,39
2013/01/01,8,21,44
2013/01/02,8,21,44
2013/01/03,8,21,44
2013/01/04,8,21,42
2013/01/05,8,20,42
2013/01/06,8,20,42
2013/01/07,8,19,42
2013/01/08,8,22,42
2013/01/09,8,22,42
2013/01/10,8,22,42
2013/01/11,8,22,43
2013/01/12,8,22,43
2013/01/13,8,22,43
2013/01/14,8,23,44
2013/01/15,8,23,45
2013/01/16,9,24,47
2013/01/17,9,23,47
2013/01/18,7,23,46
2013/01/19,7,23,44
2013/01/20,7,23,44
2013/01/21,7,23,44
2013/01/22,7,23,44
2013/01/23,6,22,42
2013/01/24,6,22,44
2013/01/25,6,23,44
2013/01/26,6,23,44
2013/01/27,6,23,45
2013/01/28,6,23,46
2013/01/29,6,23,45
2013/01/30,6,23,45
2013/01/31,5,23,45
2013/02/01,5,25,44
2013/02/02,5,25,44
2013/02/03,5,25,45
2013/02/04,5,25,45
2013/02/05,5,26,46
2013/02/06,5,25,46
2013/02/07,5,25,46
2013/02/08,5,25,47
2013/02/09,5,25,46
2013/02/10,5,26,45
2013/02/11,5,26,45
2013/02/12,5,26,46
2013/02/13,5,26,46
2013/02/14,5,25,43
2013/02/15,5,24,42
2013/02/16,5,24,44
2013/02/17,5,24,44
2013/02/18,5,24,44
2013/02/19,5,24,46
2013/02/20,5,24,45
2013/02/21,5,24,45
2013/02/22,4,24,46
2013/02/23,4,24,45
2013/02/24,5,23,43
2013/02/25,5,23,43
2013/02/26,5,21,42
2013/02/27,5,21,41
2013/02/28,5,21,42
2013/03/01,5,21,41
2013/03/02,5,21,40
2013/03/03,5,21,37
2013/03/04,5,21,39
2013/03/05,5,20,36
2013/03/06,5,20,37
2013/03/07,6,21,37
2013/03/08,6,21,36
2013/03/09,7,22,39
2013/03/10,7,21,40
2013/03/11,7,20,40
2013/03/12,7,20,41
2013/03/13,7,19,41
2013/03/14,6,19,40
2013/03/15,6,16,38
2013/03/16,5,14,35
2013/03/17,5,13,35
2013/03/18,5,14,33
2013/03/19,5,13,34
2013/03/20,4,13,33
2013/03/21,4,13,32
2013/03/22,4,13,34
2013/03/23,4,13,34
2013/03/24,4,13,33
2013/03/25,4,13,34
2013/03/26,4,14,35
2013/03/27,4,14,35
2013/03/28,3,14,35
2013/03/29,3,14,35
2013/03/30,3,14,34
2013/03/31,3,13,34
2013/04/01,3,14,35
2013/04/02,3,14,35
2013/04/03,2,12,34
2013/04/04,2,12,34
2013/04/05,2,9,29
2013/04/06,2,9,26
2013/04/07,2,9,26
2013/04/08,2,9,25
2013/04/09,2,10,24
2013/04/10,2,10,24
2013/04/11,2,9,22
2013/04/12,2,9,23
2013/04/13,2,10,24
2013/04/14,2,10,24
2013/04/15,2,10,24
2013/04/16,2,10,23
2013/04/17,1,10,24
2013/04/18,1,10,23
2013/04/19,1,10,23
2013/04/20,1,10,22
2013/04/21,1,10,20
2013/04/22,1,10,21
2013/04/23,1,10,21
2013/04/24,1,8,20
2013/04/25,1,8,18
2013/04/26,1,8,19
2013/04/27,1,8,18
2013/04/28,1,8,19
2013/04/29,1,8,20
2013/04/30,1,8,20
2013/05/01,1,8,20
2013/05/02,1,8,20
2013/05/03,1,8,21
2013/05/04,1,8,21
2013/05/05,1,9,19
2013/05/06,1,9,19
2013/05/07,1,9,19
2013/05/08,1,9,18
2013/05/09,1,8,19
2013/05/10,1,8,20
2013/05/11,2,7,20
2013/05/12,2,7,20
2013/05/13,2,6,19
2013/05/14,2,6,19
2013/05/15,2,6,18
2013/05/16,2,7,19
2013/05/17,2,7,18
2013/05/18,2,7,20
2013/05/19,2,7,21
2013/05/20,2,7,21
