date,sdwiki (100+),sdwiki (5+),sdwiki (all)
2012/08/19,,5,21
2012/08/20,,5,20
2012/08/21,,5,19
2012/08/22,,5,17
2012/08/23,,5,16
2012/08/24,,5,15
2012/08/25,,5,15
2012/08/26,,5,15
2012/08/27,,5,15
2012/08/28,,5,15
2012/08/29,,5,14
2012/08/30,,5,15
2012/08/31,,4,15
2012/09/01,,4,16
2012/09/02,,4,15
2012/09/03,,5,15
2012/09/04,,5,18
2012/09/05,,5,18
2012/09/06,,5,21
2012/09/07,,5,22
2012/09/08,,5,21
2012/09/09,,5,22
2012/09/10,,5,22
2012/09/11,,5,22
2012/09/12,,4,24
2012/09/13,,4,24
2012/09/14,,4,23
2012/09/15,,4,22
2012/09/16,,4,22
2012/09/17,,4,23
2012/09/18,,4,23
2012/09/19,,4,23
2012/09/20,,4,23
2012/09/21,,4,23
2012/09/22,,4,23
2012/09/23,,4,23
2012/09/24,,4,23
2012/09/25,,4,21
2012/09/26,,4,22
2012/09/27,,4,23
2012/09/28,,4,24
2012/09/29,,4,24
2012/09/30,,4,24
2012/10/01,,4,24
2012/10/02,,4,24
2012/10/03,,4,24
2012/10/04,,4,22
2012/10/05,,4,22
2012/10/06,,4,19
2012/10/07,,4,18
2012/10/08,,4,18
2012/10/09,,4,17
2012/10/10,,4,17
2012/10/11,,4,17
2012/10/12,,4,16
2012/10/13,,5,17
2012/10/14,,5,18
2012/10/15,,5,18
2012/10/16,,5,18
2012/10/17,,4,16
2012/10/18,,5,17
2012/10/19,,5,17
2012/10/20,,5,18
2012/10/21,,5,18
2012/10/22,,5,20
2012/10/23,,5,20
2012/10/24,,5,20
2012/10/25,,5,22
2012/10/26,,6,22
2012/10/27,,5,21
2012/10/28,,6,21
2012/10/29,,6,23
2012/10/30,,6,23
2012/10/31,,7,22
2012/11/01,,7,22
2012/11/02,,7,22
2012/11/03,,7,22
2012/11/04,,7,22
2012/11/05,,7,22
2012/11/06,,7,22
2012/11/07,,7,22
2012/11/08,,7,22
2012/11/09,,7,22
2012/11/10,,7,22
2012/11/11,,7,23
2012/11/12,,7,23
2012/11/13,,7,22
2012/11/14,,7,22
2012/11/15,,7,21
2012/11/16,,6,22
2012/11/17,,6,21
2012/11/18,,6,21
