date,kuwiki (100+),kuwiki (5+),kuwiki (all)
2012/08/19,11,36,95
2012/08/20,11,36,90
2012/08/21,11,34,89
2012/08/22,11,34,87
2012/08/23,11,34,83
2012/08/24,11,37,83
2012/08/25,11,35,85
2012/08/26,11,36,86
2012/08/27,13,36,88
2012/08/28,13,35,89
2012/08/29,13,38,93
2012/08/30,13,38,93
2012/08/31,12,40,94
2012/09/01,12,40,97
2012/09/02,11,40,96
2012/09/03,11,40,96
2012/09/04,12,40,95
2012/09/05,12,39,94
2012/09/06,10,38,92
2012/09/07,10,38,92
2012/09/08,10,38,92
2012/09/09,10,38,90
2012/09/10,10,36,89
2012/09/11,9,36,91
2012/09/12,10,35,90
2012/09/13,10,34,93
2012/09/14,10,36,97
2012/09/15,10,37,95
2012/09/16,11,40,96
2012/09/17,11,40,97
2012/09/18,10,38,94
2012/09/19,10,37,92
2012/09/20,10,36,92
2012/09/21,10,36,90
2012/09/22,10,35,91
2012/09/23,10,35,89
2012/09/24,10,34,86
2012/09/25,11,35,85
2012/09/26,12,35,84
2012/09/27,12,33,82
2012/09/28,12,35,83
2012/09/29,12,35,77
2012/09/30,12,34,77
2012/10/01,12,33,75
2012/10/02,12,33,76
2012/10/03,12,33,75
2012/10/04,12,34,74
2012/10/05,12,33,73
2012/10/06,13,34,74
2012/10/07,13,35,73
2012/10/08,13,35,74
2012/10/09,13,33,75
2012/10/10,13,34,74
2012/10/11,12,35,76
2012/10/12,12,35,75
2012/10/13,12,35,76
2012/10/14,12,35,74
2012/10/15,12,36,76
2012/10/16,12,35,76
2012/10/17,12,35,76
2012/10/18,12,35,77
2012/10/19,12,36,79
2012/10/20,12,36,82
2012/10/21,12,36,83
2012/10/22,12,36,86
2012/10/23,11,36,89
2012/10/24,11,36,91
2012/10/25,11,37,89
2012/10/26,11,38,89
2012/10/27,11,38,90
2012/10/28,8,33,89
2012/10/29,8,34,90
2012/10/30,8,33,91
2012/10/31,8,33,90
2012/11/01,8,32,89
2012/11/02,8,32,90
2012/11/03,9,31,90
2012/11/04,10,31,90
2012/11/05,10,31,91
2012/11/06,10,32,92
2012/11/07,10,32,91
2012/11/08,10,33,91
2012/11/09,10,31,93
2012/11/10,10,31,93
2012/11/11,10,31,93
2012/11/12,10,31,94
2012/11/13,11,31,92
2012/11/14,11,31,92
2012/11/15,11,31,91
2012/11/16,11,31,89
2012/11/17,11,32,89
2012/11/18,11,32,86
2012/11/19,11,32,86
2012/11/20,11,32,85
2012/11/21,11,32,83
2012/11/22,11,32,82
2012/11/23,11,32,82
2012/11/24,11,32,84
2012/11/25,11,33,86
2012/11/26,11,33,86
2012/11/27,12,34,85
2012/11/28,12,34,83
2012/11/29,12,34,81
2012/11/30,12,34,81
2012/12/01,12,35,83
2012/12/02,12,34,80
2012/12/03,12,32,75
2012/12/04,11,32,79
2012/12/05,11,32,78
2012/12/06,11,32,78
2012/12/07,11,33,79
2012/12/08,11,32,79
2012/12/09,11,32,79
2012/12/10,12,33,76
2012/12/11,12,33,74
2012/12/12,12,33,74
2012/12/13,12,32,75
2012/12/14,12,32,75
2012/12/15,12,32,80
2012/12/16,12,33,80
2012/12/17,12,33,80
2012/12/18,11,34,80
2012/12/19,11,34,80
2012/12/20,11,34,80
2012/12/21,12,35,81
2012/12/22,12,35,79
2012/12/23,11,36,79
2012/12/24,11,36,79
2012/12/25,10,35,79
2012/12/26,10,35,81
2012/12/27,10,35,82
2012/12/28,9,36,82
2012/12/29,10,37,81
2012/12/30,11,36,83
2012/12/31,11,36,84
2013/01/01,11,36,83
2013/01/02,11,35,86
2013/01/03,11,36,83
2013/01/04,10,37,86
2013/01/05,10,38,89
2013/01/06,9,38,88
2013/01/07,9,37,89
2013/01/08,9,39,91
2013/01/09,10,39,93
2013/01/10,10,38,96
2013/01/11,10,38,96
2013/01/12,10,38,96
2013/01/13,11,39,94
2013/01/14,11,37,91
2013/01/15,11,37,91
2013/01/16,11,39,93
2013/01/17,11,39,98
2013/01/18,11,40,97
2013/01/19,10,40,99
2013/01/20,10,40,99
2013/01/21,10,40,98
2013/01/22,10,40,97
2013/01/23,10,40,96
2013/01/24,10,40,95
2013/01/25,10,41,95
2013/01/26,10,40,95
2013/01/27,10,40,96
2013/01/28,10,40,96
2013/01/29,10,42,99
2013/01/30,9,42,97
2013/01/31,9,41,97
