date,ttwiki (100+),ttwiki (5+),ttwiki (all)
2012/08/19,7,25,62
2012/08/20,7,26,59
2012/08/21,7,25,58
2012/08/22,7,25,56
2012/08/23,7,26,55
2012/08/24,7,26,55
2012/08/25,7,25,57
2012/08/26,7,24,57
2012/08/27,7,25,58
2012/08/28,7,26,59
2012/08/29,7,25,61
2012/08/30,7,25,62
2012/08/31,7,26,64
2012/09/01,7,28,65
2012/09/02,7,30,67
2012/09/03,7,30,64
2012/09/04,7,30,63
2012/09/05,8,29,63
2012/09/06,8,29,65
2012/09/07,8,29,63
2012/09/08,8,29,62
2012/09/09,8,29,63
2012/09/10,7,29,64
2012/09/11,7,28,64
2012/09/12,7,27,65
2012/09/13,7,27,66
2012/09/14,7,28,66
2012/09/15,7,28,67
2012/09/16,7,28,67
2012/09/17,7,27,67
2012/09/18,8,28,65
2012/09/19,8,28,66
2012/09/20,8,28,67
2012/09/21,8,27,67
2012/09/22,7,27,68
2012/09/23,7,28,69
2012/09/24,8,28,69
2012/09/25,7,27,70
2012/09/26,7,27,69
2012/09/27,7,27,69
2012/09/28,7,27,70
2012/09/29,7,25,72
2012/09/30,7,25,70
2012/10/01,7,25,70
2012/10/02,7,25,69
2012/10/03,7,27,69
2012/10/04,7,27,68
2012/10/05,7,27,68
2012/10/06,7,26,65
2012/10/07,7,27,63
2012/10/08,7,27,64
2012/10/09,7,26,63
2012/10/10,6,26,62
2012/10/11,6,26,65
2012/10/12,6,26,66
2012/10/13,6,26,64
2012/10/14,6,27,64
2012/10/15,7,27,64
2012/10/16,7,28,66
2012/10/17,7,28,67
2012/10/18,7,27,66
2012/10/19,7,27,65
2012/10/20,7,29,64
2012/10/21,7,29,67
2012/10/22,7,30,68
2012/10/23,7,28,68
2012/10/24,7,26,70
2012/10/25,7,27,70
2012/10/26,7,27,70
2012/10/27,7,27,73
2012/10/28,7,27,73
2012/10/29,7,27,74
2012/10/30,7,28,75
2012/10/31,7,28,76
2012/11/01,7,27,77
2012/11/02,7,28,80
2012/11/03,7,28,81
