date,sewiki (100+),sewiki (5+),sewiki (all)
2012/08/19,1,3,14
2012/08/20,1,4,15
2012/08/21,1,4,15
2012/08/22,1,4,17
2012/08/23,1,4,17
2012/08/24,1,6,16
2012/08/25,,4,18
2012/08/26,,5,19
2012/08/27,1,5,19
2012/08/28,1,5,19
2012/08/29,1,5,16
2012/08/30,1,5,17
2012/08/31,1,4,17
2012/09/01,1,5,19
2012/09/02,1,5,19
2012/09/03,1,5,20
2012/09/04,1,5,20
2012/09/05,1,6,21
2012/09/06,1,6,21
2012/09/07,1,6,20
2012/09/08,1,6,20
2012/09/09,1,7,21
2012/09/10,1,7,21
2012/09/11,1,8,21
2012/09/12,1,8,22
2012/09/13,1,8,23
2012/09/14,1,7,23
2012/09/15,1,7,21
2012/09/16,1,7,21
2012/09/17,1,7,19
2012/09/18,1,7,19
2012/09/19,1,6,19
2012/09/20,1,6,19
2012/09/21,1,6,18
2012/09/22,1,7,19
2012/09/23,1,7,19
2012/09/24,1,7,16
2012/09/25,1,7,16
2012/09/26,1,8,17
2012/09/27,1,8,17
2012/09/28,1,8,17
2012/09/29,1,9,16
2012/09/30,1,9,16
2012/10/01,1,8,14
2012/10/02,1,8,15
2012/10/03,1,8,14
2012/10/04,1,8,16
2012/10/05,1,8,15
2012/10/06,1,8,16
2012/10/07,1,8,17
2012/10/08,1,8,18
2012/10/09,1,7,17
2012/10/10,1,7,17
2012/10/11,1,8,17
2012/10/12,1,7,15
2012/10/13,1,7,16
2012/10/14,1,8,16
2012/10/15,1,8,16
2012/10/16,1,7,16
2012/10/17,,7,18
2012/10/18,,8,19
2012/10/19,,8,19
2012/10/20,,7,18
2012/10/21,,8,20
2012/10/22,,9,19
2012/10/23,,9,19
2012/10/24,,9,19
2012/10/25,,9,21
2012/10/26,,9,23
2012/10/27,,9,23
2012/10/28,,9,24
2012/10/29,,8,24
2012/10/30,,9,26
2012/10/31,,9,27
2012/11/01,,9,25
2012/11/02,,9,27
2012/11/03,,6,29
2012/11/04,,6,30
2012/11/05,,6,30
2012/11/06,,6,29
2012/11/07,,7,29
2012/11/08,,8,29
2012/11/09,,8,29
2012/11/10,,8,29
2012/11/11,,8,29
2012/11/12,,9,28
2012/11/13,,9,29
2012/11/14,1,8,29
2012/11/15,1,8,28
2012/11/16,1,8,26
2012/11/17,1,7,26
2012/11/18,1,7,25
2012/11/19,1,7,24
2012/11/20,1,7,25
2012/11/21,1,6,25
2012/11/22,1,6,25
2012/11/23,1,6,25
2012/11/24,1,6,24
2012/11/25,,6,26
2012/11/26,,6,26
2012/11/27,,6,25
2012/11/28,,6,25
2012/11/29,,6,25
2012/11/30,,6,25
2012/12/01,,6,25
2012/12/02,,6,24
2012/12/03,,6,22
2012/12/04,,7,22
2012/12/05,,7,22
2012/12/06,,7,22
2012/12/07,,6,21
2012/12/08,,6,21
2012/12/09,,6,22
2012/12/10,1,6,22
2012/12/11,1,6,22
2012/12/12,,5,22
2012/12/13,,5,23
2012/12/14,1,5,24
2012/12/15,1,5,27
2012/12/16,1,4,27
2012/12/17,1,4,26
2012/12/18,1,5,27
2012/12/19,1,5,27
2012/12/20,1,4,25
2012/12/21,1,4,25
2012/12/22,1,4,25
2012/12/23,1,4,24
2012/12/24,1,4,23
2012/12/25,1,4,19
2012/12/26,2,4,20
2012/12/27,2,5,20
2012/12/28,1,5,19
2012/12/29,1,6,20
2012/12/30,1,6,18
2012/12/31,1,6,19
2013/01/01,1,6,18
2013/01/02,1,6,20
2013/01/03,1,4,20
2013/01/04,,4,22
2013/01/05,,4,23
2013/01/06,,5,23
2013/01/07,1,6,23
2013/01/08,1,6,23
2013/01/09,,7,24
2013/01/10,1,7,23
2013/01/11,1,7,24
2013/01/12,1,7,25
2013/01/13,1,7,24
2013/01/14,1,7,23
2013/01/15,1,7,21
2013/01/16,1,7,23
2013/01/17,1,7,21
2013/01/18,1,8,21
2013/01/19,1,8,21
2013/01/20,1,8,21
2013/01/21,1,8,21
2013/01/22,1,8,21
2013/01/23,1,8,21
2013/01/24,1,7,21
2013/01/25,1,7,20
2013/01/26,1,7,20
2013/01/27,1,7,22
2013/01/28,1,7,23
2013/01/29,1,7,25
2013/01/30,1,7,25
2013/01/31,1,8,25
2013/02/01,1,8,23
2013/02/02,1,9,24
2013/02/03,1,10,25
2013/02/04,1,10,24
2013/02/05,1,10,24
2013/02/06,1,10,25
2013/02/07,1,10,24
2013/02/08,1,10,24
2013/02/09,1,9,24
2013/02/10,1,9,22
2013/02/11,1,9,21
2013/02/12,1,9,22
2013/02/13,1,8,22
2013/02/14,1,8,22
2013/02/15,1,8,21
2013/02/16,1,8,22
2013/02/17,1,8,23
2013/02/18,1,7,24
2013/02/19,1,7,25
2013/02/20,1,7,25
2013/02/21,1,8,26
2013/02/22,1,8,26
2013/02/23,1,8,25
2013/02/24,1,9,25
2013/02/25,1,8,25
2013/02/26,1,8,21
2013/02/27,1,7,21
2013/02/28,1,7,18
2013/03/01,1,8,20
2013/03/02,1,8,20
2013/03/03,1,8,20
2013/03/04,1,7,19
2013/03/05,1,6,18
2013/03/06,1,6,20
