date,bowiki (100+),bowiki (5+),bowiki (all)
2012/08/19,4,15,34
2012/08/20,4,16,35
2012/08/21,4,15,35
2012/08/22,4,14,35
2012/08/23,4,15,36
2012/08/24,5,15,36
2012/08/25,5,15,34
2012/08/26,5,16,35
2012/08/27,5,18,36
2012/08/28,5,19,36
2012/08/29,4,19,38
2012/08/30,4,20,40
2012/08/31,4,18,43
2012/09/01,4,20,43
2012/09/02,4,20,42
2012/09/03,4,21,42
2012/09/04,4,20,44
2012/09/05,4,21,44
2012/09/06,4,22,45
2012/09/07,4,22,45
2012/09/08,4,22,44
2012/09/09,4,21,45
2012/09/10,4,21,46
2012/09/11,4,21,46
2012/09/12,4,21,47
2012/09/13,4,21,48
2012/09/14,4,21,50
2012/09/15,4,23,50
2012/09/16,4,22,51
2012/09/17,4,23,51
2012/09/18,4,23,52
2012/09/19,4,22,51
2012/09/20,4,22,51
2012/09/21,4,22,51
2012/09/22,4,21,50
2012/09/23,4,21,50
2012/09/24,4,21,50
2012/09/25,4,20,50
2012/09/26,4,20,50
2012/09/27,4,21,47
2012/09/28,4,21,47
2012/09/29,4,20,46
2012/09/30,4,19,44
2012/10/01,4,18,43
2012/10/02,4,18,44
2012/10/03,4,18,43
2012/10/04,4,18,42
2012/10/05,4,18,43
2012/10/06,4,18,41
2012/10/07,4,18,41
2012/10/08,4,18,43
2012/10/09,5,18,41
2012/10/10,5,19,41
2012/10/11,5,19,41
2012/10/12,5,19,40
2012/10/13,5,19,41
2012/10/14,5,19,41
2012/10/15,5,18,39
2012/10/16,5,18,41
2012/10/17,5,17,43
2012/10/18,4,17,41
2012/10/19,4,17,42
2012/10/20,4,18,44
2012/10/21,4,19,45
2012/10/22,4,19,47
2012/10/23,4,19,48
2012/10/24,4,19,49
2012/10/25,4,19,49
2012/10/26,4,20,52
2012/10/27,4,20,52
2012/10/28,5,22,52
2012/10/29,5,22,57
2012/10/30,5,23,59
2012/10/31,5,23,60
2012/11/01,5,23,60
2012/11/02,5,23,61
2012/11/03,5,23,63
2012/11/04,6,23,64
2012/11/05,6,23,64
2012/11/06,6,24,69
2012/11/07,6,27,71
2012/11/08,6,27,71
2012/11/09,6,28,76
2012/11/10,6,28,74
2012/11/11,6,29,73
2012/11/12,6,30,73
2012/11/13,6,30,72
2012/11/14,6,30,73
2012/11/15,6,30,72
2012/11/16,6,30,69
2012/11/17,7,30,71
2012/11/18,7,30,74
2012/11/19,7,29,73
2012/11/20,8,29,73
2012/11/21,8,28,72
2012/11/22,8,30,72
2012/11/23,8,30,74
2012/11/24,8,31,75
2012/11/25,8,31,73
2012/11/26,7,31,73
2012/11/27,8,30,72
2012/11/28,8,30,71
2012/11/29,8,29,71
2012/11/30,7,29,71
2012/12/01,7,30,74
2012/12/02,7,30,76
2012/12/03,7,30,71
2012/12/04,7,30,71
2012/12/05,7,30,70
2012/12/06,7,29,68
2012/12/07,7,29,67
2012/12/08,6,28,66
2012/12/09,6,26,67
2012/12/10,6,25,66
2012/12/11,5,24,66
2012/12/12,5,24,66
2012/12/13,5,23,64
2012/12/14,5,22,64
2012/12/15,5,23,62
2012/12/16,3,23,61
2012/12/17,3,22,58
2012/12/18,3,22,54
2012/12/19,3,23,54
2012/12/20,3,23,54
2012/12/21,3,23,55
2012/12/22,3,23,54
2012/12/23,4,23,55
2012/12/24,4,23,54
2012/12/25,4,23,53
2012/12/26,4,23,53
2012/12/27,4,23,52
2012/12/28,4,23,50
2012/12/29,4,23,48
2012/12/30,5,25,48
2012/12/31,6,25,50
2013/01/01,6,25,49
2013/01/02,6,25,48
2013/01/03,6,25,48
2013/01/04,6,25,47
2013/01/05,6,25,49
2013/01/06,6,23,47
2013/01/07,6,22,47
2013/01/08,6,22,47
2013/01/09,6,22,48
2013/01/10,6,22,50
2013/01/11,5,22,50
2013/01/12,5,23,50
2013/01/13,5,22,50
2013/01/14,5,24,50
2013/01/15,5,24,49
2013/01/16,5,25,49
2013/01/17,5,27,49
2013/01/18,5,26,49
2013/01/19,5,27,50
2013/01/20,5,27,50
2013/01/21,5,26,51
2013/01/22,5,25,50
2013/01/23,5,25,49
2013/01/24,5,25,48
2013/01/25,5,25,49
2013/01/26,5,25,49
2013/01/27,5,23,49
2013/01/28,5,22,48
2013/01/29,4,22,49
2013/01/30,4,22,48
2013/01/31,4,23,49
2013/02/01,4,23,49
2013/02/02,4,23,49
2013/02/03,4,23,49
2013/02/04,6,23,49
2013/02/05,6,23,50
2013/02/06,6,24,49
2013/02/07,5,24,49
2013/02/08,5,25,47
2013/02/09,5,26,46
2013/02/10,5,26,44
2013/02/11,5,25,44
2013/02/12,5,25,43
2013/02/13,5,25,44
2013/02/14,5,23,45
2013/02/15,5,22,47
2013/02/16,5,22,47
2013/02/17,5,22,46
2013/02/18,5,22,46
2013/02/19,5,22,46
2013/02/20,5,21,44
2013/02/21,4,21,44
2013/02/22,4,21,44
2013/02/23,4,22,44
2013/02/24,4,22,43
2013/02/25,4,22,43
2013/02/26,4,20,44
2013/02/27,4,20,42
2013/02/28,4,20,42
2013/03/01,4,20,43
2013/03/02,4,20,44
2013/03/03,4,20,45
2013/03/04,4,19,45
2013/03/05,4,20,44
2013/03/06,4,20,41
2013/03/07,5,21,42
2013/03/08,5,19,40
2013/03/09,5,19,41
2013/03/10,5,19,42
2013/03/11,5,18,42
2013/03/12,6,20,43
2013/03/13,5,19,43
2013/03/14,5,19,43
2013/03/15,5,19,42
2013/03/16,4,17,41
2013/03/17,4,15,40
2013/03/18,4,16,37
2013/03/19,4,16,37
2013/03/20,4,16,37
2013/03/21,4,16,37
2013/03/22,4,16,38
2013/03/23,4,15,37
2013/03/24,4,14,36
2013/03/25,4,13,40
2013/03/26,4,13,40
2013/03/27,3,13,40
2013/03/28,2,13,39
2013/03/29,2,13,38
2013/03/30,2,13,36
2013/03/31,2,12,36
2013/04/01,2,13,36
2013/04/02,2,13,37
2013/04/03,2,12,37
2013/04/04,2,10,37
2013/04/05,2,9,34
2013/04/06,2,9,33
2013/04/07,2,8,30
2013/04/08,2,8,31
2013/04/09,2,8,31
2013/04/10,2,8,33
2013/04/11,,7,33
2013/04/12,,7,33
2013/04/13,,7,35
2013/04/14,,8,35
2013/04/15,,8,37
2013/04/16,,8,36
2013/04/17,,7,37
