date,snwiki (100+),snwiki (5+),snwiki (all)
2013/06/20,,1,14
2013/06/21,,1,14
2013/06/22,,1,15
2013/06/23,1,1,15
2013/06/24,1,2,15
2013/06/25,1,2,15
2013/06/26,1,2,16
2013/06/27,1,2,15
2013/06/28,1,2,14
2013/06/29,1,2,14
2013/06/30,1,2,14
2013/07/01,1,2,13
2013/07/02,1,1,13
2013/07/03,1,1,13
2013/07/04,1,1,13
2013/07/05,1,1,13
2013/07/06,1,1,13
2013/07/07,1,1,13
2013/07/08,1,1,14
2013/07/09,1,2,13
2013/07/10,1,2,13
2013/07/11,1,2,12
2013/07/12,1,2,12
2013/07/13,1,2,13
2013/07/14,1,2,14
2013/07/15,1,2,14
2013/07/16,1,2,14
2013/07/17,1,2,14
2013/07/18,1,2,12
2013/07/19,1,2,13
2013/07/20,1,2,13
2013/07/21,1,2,11
2013/07/22,1,2,11
2013/07/23,1,2,10
2013/07/24,1,2,12
2013/07/25,1,2,12
2013/07/26,1,2,11
2013/07/27,1,2,13
2013/07/28,1,2,14
2013/07/29,1,2,14
2013/07/30,1,2,15
2013/07/31,1,2,15
2013/08/01,1,2,16
2013/08/02,1,3,16
2013/08/03,1,3,15
2013/08/04,1,3,15
2013/08/05,1,3,15
2013/08/06,1,3,14
2013/08/07,1,3,13
2013/08/08,1,4,13
2013/08/09,1,4,13
2013/08/10,1,4,13
2013/08/11,1,4,14
2013/08/12,1,4,15
2013/08/13,1,4,14
2013/08/14,1,4,14
2013/08/15,1,4,14
2013/08/16,1,4,14
2013/08/17,1,4,14
2013/08/18,1,4,13
2013/08/19,1,4,13
2013/08/20,1,4,13
2013/08/21,1,4,13
2013/08/22,1,4,13
2013/08/23,1,3,11
2013/08/24,1,2,11
2013/08/25,1,2,11
2013/08/26,1,2,9
2013/08/27,,2,8
2013/08/28,,2,8
2013/08/29,,2,7
2013/08/30,,2,6
2013/08/31,,2,5
2013/09/01,,2,5
2013/09/02,,2,6
2013/09/03,,2,6
2013/09/04,,2,6
2013/09/05,,2,6
2013/09/06,,2,6
2013/09/07,,3,7
2013/09/08,,3,7
2013/09/09,,3,6
2013/09/10,,3,5
2013/09/11,,3,4
2013/09/12,,3,4
2013/09/13,,3,4
2013/09/14,,3,4
2013/09/15,,3,4
2013/09/16,,3,5
2013/09/17,,3,5
2013/09/18,,2,5
2013/09/19,,2,6
2013/09/20,,2,6
2013/09/21,,2,6
2013/09/22,,2,6
2013/09/23,,2,5
2013/09/24,,2,5
2013/09/25,,2,6
2013/09/26,,2,6
2013/09/27,,2,6
2013/09/28,,2,6
2013/09/29,,2,6
2013/09/30,,2,6
2013/10/01,,2,6
2013/10/02,,2,5
2013/10/03,,2,5
2013/10/04,,2,5
2013/10/05,,2,5
2013/10/06,,2,5
2013/10/07,,1,4
2013/10/08,,1,4
2013/10/09,,1,6
2013/10/10,,1,6
2013/10/11,,1,6
2013/10/12,,1,7
2013/10/13,,1,8
2013/10/14,,1,8
2013/10/15,,1,8
2013/10/16,,1,7
2013/10/17,,1,7
2013/10/18,,1,8
2013/10/19,,1,9
2013/10/20,,1,9
2013/10/21,,1,9
2013/10/22,,1,9
2013/10/23,,2,11
2013/10/24,,3,12
2013/10/25,,3,11
2013/10/26,,3,11
2013/10/27,,3,11
2013/10/28,,3,11
2013/10/29,,3,11
2013/10/30,,3,12
2013/10/31,,3,12
2013/11/01,,3,12
2013/11/02,,3,12
2013/11/03,,2,12
2013/11/04,,2,13
2013/11/05,,2,13
2013/11/06,,2,12
2013/11/07,,2,12
2013/11/08,,2,11
2013/11/09,,2,11
2013/11/10,,2,11
2013/11/11,,2,10
2013/11/12,,2,9
2013/11/13,,2,9
2013/11/14,,2,10
2013/11/15,,2,10
2013/11/16,,2,10
2013/11/17,,2,10
2013/11/18,,2,9
2013/11/19,,2,9
2013/11/20,,3,10
2013/11/21,,3,11
2013/11/22,,2,9
2013/11/23,,3,9
2013/11/24,,12,18
2013/11/25,,12,18
2013/11/26,,12,19
2013/11/27,,12,19
2013/11/28,1,12,18
2013/11/29,1,12,18
2013/11/30,1,12,19
2013/12/01,1,12,19
2013/12/02,1,13,21
2013/12/03,1,13,22
2013/12/04,1,12,23
2013/12/05,1,13,23
2013/12/06,1,14,25
2013/12/07,1,14,25
2013/12/08,1,14,25
2013/12/09,1,14,25
2013/12/10,1,14,25
2013/12/11,1,14,27
2013/12/12,1,14,27
2013/12/13,1,14,27
2013/12/14,1,14,26
2013/12/15,1,14,26
2013/12/16,1,14,26
2013/12/17,1,14,26
2013/12/18,1,14,26
2013/12/19,1,14,26
2013/12/20,1,14,25
2013/12/21,1,14,24
2013/12/22,1,14,24
2013/12/23,1,14,24
2013/12/24,1,5,14
2013/12/25,1,4,12
2013/12/26,1,4,12
2013/12/27,1,4,12
2013/12/28,1,4,12
2013/12/29,1,4,12
2013/12/30,1,3,12
2013/12/31,1,3,11
2014/01/01,1,2,9
2014/01/02,1,2,8
2014/01/03,1,2,8
2014/01/04,1,1,7
2014/01/05,1,2,8
2014/01/06,1,2,9
2014/01/07,1,2,10
2014/01/08,1,2,10
2014/01/09,1,2,10
2014/01/10,1,2,10
2014/01/11,1,2,11
2014/01/12,1,2,10
2014/01/13,1,2,10
2014/01/14,1,2,10
2014/01/15,1,2,10
2014/01/16,1,2,10
2014/01/17,1,2,11
2014/01/18,1,3,12
2014/01/19,1,3,12
2014/01/20,1,3,12
2014/01/21,1,3,12
2014/01/22,1,3,12
2014/01/23,,3,12
2014/01/24,,3,12
2014/01/25,,3,12
2014/01/26,,3,12
2014/01/27,,3,12
2014/01/28,,3,11
2014/01/29,,3,11
2014/01/30,,3,11
2014/01/31,,3,11
2014/02/01,,3,11
2014/02/02,,3,10
2014/02/03,,3,10
2014/02/04,,2,9
2014/02/05,,2,7
2014/02/06,,2,6
2014/02/07,,1,6
2014/02/08,,1,6
2014/02/09,,1,4
2014/02/10,,1,3
2014/02/11,,1,3
2014/02/12,,1,3
2014/02/13,,1,3
2014/02/14,,1,3
2014/02/15,,1,3
2014/02/16,,1,3
2014/02/17,,,2
2014/02/18,,,2
2014/02/19,,,3
2014/02/20,,,3
2014/02/21,,,3
2014/02/22,,1,4
2014/02/23,,1,5
2014/02/24,,2,5
2014/02/25,,2,5
2014/02/26,,2,7
2014/02/27,,2,7
2014/02/28,,2,8
2014/03/01,,2,8
2014/03/02,,2,8
2014/03/03,,2,9
2014/03/04,,2,11
2014/03/05,,2,11
2014/03/06,,2,11
2014/03/07,,2,11
2014/03/08,,2,11
2014/03/09,,2,11
2014/03/10,,2,11
2014/03/11,,2,11
2014/03/12,1,2,16
2014/03/13,1,2,16
2014/03/14,1,2,16
2014/03/15,1,2,17
2014/03/16,1,2,17
2014/03/17,1,2,17
2014/03/18,1,2,16
2014/03/19,1,2,16
2014/03/20,1,2,16
2014/03/21,1,2,15
2014/03/22,1,2,15
2014/03/23,1,2,15
2014/03/24,1,3,16
2014/03/25,1,3,17
2014/03/26,1,3,17
2014/03/27,1,3,17
2014/03/28,1,3,15
2014/03/29,1,3,15
2014/03/30,1,3,14
2014/03/31,1,3,14
2014/04/01,1,3,14
2014/04/02,1,3,14
2014/04/03,1,3,16
2014/04/04,1,3,15
2014/04/05,1,3,15
2014/04/06,1,3,16
2014/04/07,1,3,17
2014/04/08,1,3,17
2014/04/09,1,3,17
2014/04/10,1,3,17
2014/04/11,1,3,12
2014/04/12,1,3,12
2014/04/13,1,3,12
2014/04/14,1,3,11
2014/04/15,1,3,11
2014/04/16,1,3,11
2014/04/17,1,3,11
2014/04/18,1,3,11
2014/04/19,1,3,11
2014/04/20,1,2,11
2014/04/21,1,2,11
2014/04/22,,2,11
2014/04/23,,1,11
2014/04/24,,1,10
2014/04/25,,1,9
2014/04/26,,1,8
2014/04/27,,1,8
2014/04/28,,1,8
2014/04/29,,1,8
2014/04/30,,1,8
2014/05/01,,1,9
2014/05/02,,1,10
2014/05/03,,1,7
2014/05/04,,1,8
2014/05/05,,1,8
2014/05/06,,1,7
2014/05/07,,1,7
2014/05/08,,1,7
2014/05/09,,1,7
2014/05/10,,1,7
2014/05/11,,1,7
2014/05/12,,1,7
2014/05/13,,2,8
2014/05/14,,2,8
2014/05/15,,2,9
2014/05/16,,2,9
2014/05/17,,3,9
2014/05/18,,3,9
2014/05/19,,3,9
2014/05/20,,3,9
2014/05/21,,3,9
2014/05/22,,3,9
2014/05/23,,3,8
2014/05/24,,3,8
2014/05/25,,3,9
2014/05/26,,3,9
2014/05/27,,3,9
2014/05/28,,3,9
2014/05/29,,3,9
2014/05/30,,3,9
2014/05/31,,3,8
2014/06/01,,3,8
2014/06/02,,3,8
2014/06/03,,3,8
2014/06/04,,3,8
2014/06/05,,3,7
2014/06/06,,2,8
2014/06/07,,2,9
2014/06/08,,1,9
2014/06/09,,1,10
2014/06/10,,1,11
2014/06/11,,1,11
2014/06/12,,,10
2014/06/13,,,10
2014/06/14,,,9
2014/06/15,,,9
2014/06/16,,,8
2014/06/17,,,9
2014/06/18,,,10
2014/06/19,,,10
2014/06/20,,,10
2014/06/21,,,10
2014/06/22,,,10
2014/06/23,,,10
2014/06/24,,,9
2014/06/25,,,9
2014/06/26,,,9
2014/06/27,,,10
2014/06/28,,,10
2014/06/29,,,11
2014/06/30,,,11
2014/07/01,,,10
2014/07/02,,,10
2014/07/03,,,10
2014/07/04,,1,12
2014/07/05,,1,12
2014/07/06,,1,10
2014/07/07,,1,10
2014/07/08,,1,9
2014/07/09,,1,8
2014/07/10,,1,8
2014/07/11,,1,8
2014/07/12,,1,8
2014/07/13,,1,9
2014/07/14,,1,10
2014/07/15,,1,10
2014/07/16,,1,10
2014/07/17,,1,9
2014/07/18,,1,9
2014/07/19,,1,9
2014/07/20,,1,9
2014/07/21,,1,9
2014/07/22,,1,8
2014/07/23,,1,8
2014/07/24,,1,8
2014/07/25,,1,8
2014/07/26,,1,8
2014/07/27,,1,10
2014/07/28,,1,10
2014/07/29,,1,9
2014/07/30,,1,9
2014/07/31,,1,9
2014/08/01,,1,9
2014/08/02,,1,10
2014/08/03,,1,9
2014/08/04,,1,9
2014/08/05,,1,9
2014/08/06,,1,8
2014/08/07,,1,8
2014/08/08,,1,8
2014/08/09,,1,8
2014/08/10,,1,8
2014/08/11,,1,8
2014/08/12,,1,8
2014/08/13,,1,8
2014/08/14,,1,8
2014/08/15,,1,8
2014/08/16,,1,8
2014/08/17,,1,9
2014/08/18,,1,9
2014/08/19,,1,9
2014/08/20,,1,9
2014/08/21,,1,9
2014/08/22,,1,9
2014/08/23,,1,9
2014/08/24,,1,10
2014/08/25,,1,11
2014/08/26,,1,8
2014/08/27,,1,8
2014/08/28,,1,8
2014/08/29,,1,9
2014/08/30,,1,9
2014/08/31,,1,10
2014/09/01,,,7
2014/09/02,,,7
2014/09/03,,,7
2014/09/04,,,7
2014/09/05,,,9
2014/09/06,,,10
2014/09/07,,1,12
2014/09/08,,1,12
2014/09/09,,1,13
2014/09/10,,1,13
2014/09/11,,1,13
2014/09/12,,1,12
2014/09/13,,1,13
2014/09/14,,1,13
2014/09/15,,1,13
2014/09/16,,1,12
2014/09/17,,1,12
2014/09/18,,1,12
2014/09/19,,1,12
2014/09/20,,1,13
2014/09/21,,1,13
2014/09/22,,1,13
2014/09/23,,1,13
2014/09/24,,1,13
2014/09/25,,1,13
2014/09/26,,1,13
2014/09/27,,1,13
2014/09/28,,1,12
2014/09/29,,1,12
2014/09/30,,1,13
2014/10/01,,1,13
2014/10/02,,1,13
2014/10/03,,1,13
2014/10/04,,1,14
2014/10/05,,1,11
2014/10/06,,1,11
2014/10/07,,1,11
2014/10/08,,1,11
2014/10/09,,1,10
2014/10/10,,1,10
2014/10/11,,1,9
2014/10/12,,1,9
2014/10/13,,1,8
2014/10/14,,1,9
2014/10/15,,,9
2014/10/16,,,9
2014/10/17,,,9
2014/10/18,,,9
2014/10/19,,,9
2014/10/20,,,8
2014/10/21,,,8
2014/10/22,,,8
2014/10/23,,,6
2014/10/24,,,5
2014/10/25,,,5
2014/10/26,,,6
2014/10/27,,,6
2014/10/28,,,5
2014/10/29,,,5
2014/10/30,,,5
2014/10/31,,,5
2014/11/01,,,5
2014/11/02,,,5
2014/11/03,,,4
2014/11/04,,,4
2014/11/05,,,4
2014/11/06,,,3
2014/11/07,,,4
2014/11/08,,1,5
2014/11/09,,1,5
2014/11/10,,1,5
2014/11/11,,1,5
2014/11/12,,1,5
2014/11/13,,1,4
2014/11/14,,1,4
2014/11/15,,1,4
2014/11/16,,1,4
2014/11/17,,1,4
2014/11/18,,1,5
2014/11/19,,1,5
2014/11/20,,1,5
2014/11/21,,1,5
2014/11/22,,1,5
2014/11/23,,1,5
2014/11/24,,1,7
2014/11/25,,1,6
2014/11/26,,1,6
2014/11/27,,1,6
2014/11/28,,1,6
2014/11/29,,1,6
2014/11/30,,1,6
2014/12/01,,1,6
2014/12/02,,1,6
2014/12/03,,1,6
2014/12/04,,1,6
2014/12/05,,1,7
2014/12/06,,1,7
2014/12/07,,1,6
2014/12/08,,1,6
2014/12/09,,1,6
2014/12/10,,,6
2014/12/11,,,6
2014/12/12,,,6
2014/12/13,,,6
2014/12/14,,,6
2014/12/15,,,6
2014/12/16,,,6
2014/12/17,,,6
2014/12/18,,,6
2014/12/19,,,6
2014/12/20,,,6
2014/12/21,,1,7
2014/12/22,,1,6
2014/12/23,,1,6
2014/12/24,,1,4
2014/12/25,,1,4
2014/12/26,,1,4
2014/12/27,,1,5
2014/12/28,,1,5
2014/12/29,,1,4
2014/12/30,,2,4
2014/12/31,,2,4
2015/01/01,,2,4
2015/01/02,,2,4
2015/01/03,,2,6
2015/01/04,,2,5
2015/01/05,,2,5
2015/01/06,,2,5
2015/01/07,,2,7
2015/01/08,,2,7
2015/01/09,,2,7
2015/01/10,,2,7
2015/01/11,,2,7
2015/01/12,,2,8
2015/01/13,,2,9
2015/01/14,,2,9
2015/01/15,,2,10
2015/01/16,,2,11
2015/01/17,,2,12
2015/01/18,,3,11
2015/01/19,,3,11
2015/01/20,,3,11
2015/01/21,,3,11
2015/01/22,,3,11
2015/01/23,,3,11
2015/01/24,,4,12
2015/01/25,,4,12
2015/01/26,,4,12
2015/01/27,,4,12
2015/01/28,,4,12
2015/01/29,,4,12
2015/01/30,,4,12
2015/01/31,,4,13
2015/02/01,,3,14
2015/02/02,,3,13
2015/02/03,,3,13
2015/02/04,,3,13
2015/02/05,,3,13
2015/02/06,,2,12
2015/02/07,,2,12
2015/02/08,,2,12
2015/02/09,,2,12
2015/02/10,,1,11
2015/02/11,,1,10
2015/02/12,,2,10
2015/02/13,,2,10
2015/02/14,,2,11
2015/02/15,,2,11
2015/02/16,,2,9
2015/02/17,,2,9
2015/02/18,,2,8
2015/02/19,,2,8
2015/02/20,,2,8
2015/02/21,,2,9
2015/02/22,,3,9
2015/02/23,,2,7
2015/02/24,,2,7
2015/02/25,,2,7
2015/02/26,,2,7
2015/02/27,,2,7
2015/02/28,,2,7
2015/03/01,,2,7
2015/03/02,,2,6
2015/03/03,,2,5
2015/03/04,,2,7
2015/03/05,,2,7
2015/03/06,,2,7
2015/03/07,,2,7
2015/03/08,,2,7
2015/03/09,,2,8
2015/03/10,,2,10
2015/03/11,,2,12
2015/03/12,,2,12
2015/03/13,,2,12
2015/03/14,,3,13
2015/03/15,,3,13
2015/03/16,,3,12
2015/03/17,,3,13
2015/03/18,,3,13
2015/03/19,,3,12
2015/03/20,,3,12
2015/03/21,,3,13
2015/03/22,,3,13
2015/03/23,,4,14
2015/03/24,,3,13
2015/03/25,,4,14
2015/03/26,,4,14
2015/03/27,,4,14
2015/03/28,,4,14
2015/03/29,,4,15
2015/03/30,,4,15
2015/03/31,,4,15
2015/04/01,,4,16
2015/04/02,,4,16
2015/04/03,,4,14
2015/04/04,,4,14
2015/04/05,,4,14
2015/04/06,,5,16
2015/04/07,,5,15
2015/04/08,,6,16
2015/04/09,,6,14
2015/04/10,,6,12
2015/04/11,,6,12
2015/04/12,,6,13
2015/04/13,,6,12
2015/04/14,,6,12
2015/04/15,,6,12
2015/04/16,,6,11
2015/04/17,,6,12
2015/04/18,,6,12
2015/04/19,,6,12
2015/04/20,,6,11
2015/04/21,,6,11
2015/04/22,,6,11
2015/04/23,,6,11
2015/04/24,,5,9
2015/04/25,,5,9
2015/04/26,,5,10
2015/04/27,,5,10
2015/04/28,,5,10
2015/04/29,,3,10
2015/04/30,,3,12
2015/05/01,,3,11
2015/05/02,,3,11
2015/05/03,,3,11
2015/05/04,,3,11
2015/05/05,,3,11
2015/05/06,,2,9
2015/05/07,,2,9
2015/05/08,,1,10
2015/05/09,,1,11
2015/05/10,,1,11
2015/05/11,,1,12
2015/05/12,,1,13
2015/05/13,,1,12
2015/05/14,,1,12
2015/05/15,,1,13
2015/05/16,,,12
2015/05/17,,,12
2015/05/18,,,13
2015/05/19,,,13
2015/05/20,,,13
2015/05/21,,,13
2015/05/22,,,13
2015/05/23,,,13
2015/05/24,,,15
2015/05/25,,,15
2015/05/26,,,14
2015/05/27,,,15
2015/05/28,,,15
2015/05/29,,,15
2015/05/30,,,13
2015/05/31,,,13
2015/06/01,,,13
2015/06/02,,,13
2015/06/03,,,14
2015/06/04,,,14
2015/06/05,,,14
2015/06/06,,,14
2015/06/07,,,12
2015/06/08,,,11
2015/06/09,,,12
2015/06/10,,,11
2015/06/11,,,9
2015/06/12,,,9
2015/06/13,,,9
2015/06/14,,1,8
2015/06/15,,2,9
2015/06/16,,2,11
2015/06/17,,3,11
2015/06/18,,3,11
2015/06/19,,3,11
2015/06/20,,3,11
2015/06/21,,3,11
2015/06/22,,3,11
2015/06/23,,2,11
2015/06/24,,2,11
2015/06/25,,2,12
2015/06/26,,2,11
2015/06/27,,2,11
2015/06/28,,2,10
2015/06/29,,2,10
2015/06/30,,2,10
2015/07/01,,2,10
2015/07/02,,2,10
2015/07/03,,2,10
2015/07/04,,2,10
2015/07/05,,2,10
2015/07/06,,3,10
2015/07/07,,3,11
2015/07/08,,3,11
2015/07/09,,3,10
2015/07/10,,3,10
2015/07/11,,3,10
2015/07/12,,3,10
2015/07/13,,3,10
2015/07/14,,2,10
2015/07/15,,2,8
2015/07/16,,2,5
2015/07/17,,2,5
2015/07/18,,2,5
2015/07/19,,2,5
2015/07/20,,2,6
2015/07/21,,2,6
2015/07/22,,2,6
2015/07/23,,2,6
2015/07/24,,2,6
2015/07/25,,2,5
2015/07/26,,2,5
2015/07/27,,2,5
2015/07/28,,3,7
2015/07/29,,3,8
2015/07/30,,3,9
2015/07/31,,3,9
2015/08/01,,2,8
2015/08/02,,2,7
2015/08/03,,2,7
2015/08/04,,2,7
2015/08/05,,2,8
2015/08/06,,2,7
2015/08/07,,3,8
2015/08/08,,3,8
2015/08/09,,3,8
2015/08/10,,3,8
2015/08/11,,3,8
2015/08/12,,3,9
2015/08/13,,3,11
2015/08/14,,3,11
2015/08/15,,3,11
2015/08/16,,3,11
2015/08/17,,3,12
2015/08/18,,3,12
2015/08/19,,3,11
2015/08/20,,3,11
2015/08/21,,3,11
2015/08/22,,3,12
2015/08/23,,3,12
2015/08/24,,3,12
2015/08/25,,3,12
2015/08/26,,3,12
2015/08/27,,2,12
2015/08/28,,2,11
2015/08/29,,2,12
2015/08/30,,2,12
2015/08/31,,2,12
2015/09/01,,2,12
2015/09/02,,2,12
2015/09/03,,2,12
2015/09/04,,2,11
2015/09/05,,2,11
2015/09/06,,1,10
2015/09/07,,1,10
2015/09/08,,1,10
2015/09/09,,1,10
2015/09/10,,1,10
2015/09/11,,1,9
2015/09/12,,1,7
2015/09/13,,1,7
2015/09/14,,,9
2015/09/15,,1,9
2015/09/16,,1,9
2015/09/17,,,10
2015/09/18,,1,10
2015/09/19,,1,10
2015/09/20,,1,10
2015/09/21,,1,9
2015/09/22,,1,9
2015/09/23,,1,9
2015/09/24,,1,10
2015/09/25,,1,10
2015/09/26,,1,8
