date,lawiki (100+),lawiki (5+),lawiki (all)
2012/08/19,33,98,249
2012/08/20,33,100,250
2012/08/21,32,99,251
2012/08/22,31,97,253
2012/08/23,31,96,252
2012/08/24,32,101,253
2012/08/25,32,96,257
2012/08/26,32,97,257
2012/08/27,32,100,263
2012/08/28,30,101,267
2012/08/29,30,103,272
2012/08/30,31,103,270
2012/08/31,31,101,264
2012/09/01,30,100,263
2012/09/02,29,97,262
2012/09/03,27,98,264
2012/09/04,27,98,266
2012/09/05,27,97,269
2012/09/06,27,99,267
2012/09/07,26,101,266
2012/09/08,26,100,265
2012/09/09,25,96,264
2012/09/10,25,95,263
2012/09/11,25,91,261
2012/09/12,26,93,254
2012/09/13,26,92,256
2012/09/14,27,91,253
2012/09/15,28,88,248
2012/09/16,26,88,245
2012/09/17,27,88,245
2012/09/18,26,88,245
2012/09/19,27,85,240
2012/09/20,27,84,239
2012/09/21,26,83,239
2012/09/22,26,83,241
2012/09/23,25,83,236
2012/09/24,26,84,231
2012/09/25,25,83,231
2012/09/26,26,81,225
2012/09/27,27,79,224
2012/09/28,26,79,219
2012/09/29,25,81,216
2012/09/30,26,81,217
2012/10/01,27,82,221
2012/10/02,27,81,219
2012/10/03,27,79,219
2012/10/04,27,79,218
2012/10/05,28,77,217
2012/10/06,29,77,219
2012/10/07,29,74,217
2012/10/08,29,76,220
2012/10/09,29,76,219
2012/10/10,29,75,224
2012/10/11,29,75,225
2012/10/12,29,75,222
2012/10/13,30,76,220
2012/10/14,30,75,223
2012/10/15,30,77,228
2012/10/16,31,79,229
2012/10/17,30,81,228
2012/10/18,31,81,223
2012/10/19,32,83,227
2012/10/20,30,85,228
2012/10/21,31,86,235
2012/10/22,32,86,231
2012/10/23,33,85,230
2012/10/24,31,85,228
2012/10/25,32,87,228
2012/10/26,32,88,233
2012/10/27,32,87,237
2012/10/28,33,86,240
2012/10/29,33,87,242
2012/10/30,33,87,248
2012/10/31,34,88,248
2012/11/01,32,89,249
2012/11/02,31,89,256
2012/11/03,31,88,256
2012/11/04,31,87,258
2012/11/05,31,87,258
2012/11/06,32,89,260
2012/11/07,31,89,257
2012/11/08,31,86,260
2012/11/09,30,86,262
2012/11/10,31,87,262
2012/11/11,31,90,263
2012/11/12,31,89,262
2012/11/13,31,89,259
2012/11/14,31,87,255
2012/11/15,29,87,249
2012/11/16,29,87,248
2012/11/17,29,88,250
2012/11/18,29,82,249
2012/11/19,27,79,251
2012/11/20,28,78,252
2012/11/21,28,79,251
2012/11/22,28,80,257
2012/11/23,29,79,265
2012/11/24,29,79,263
2012/11/25,28,79,262
2012/11/26,28,77,260
2012/11/27,28,76,255
2012/11/28,29,76,257
2012/11/29,29,78,252
2012/11/30,29,78,250
2012/12/01,32,81,250
2012/12/02,32,85,250
2012/12/03,32,86,241
2012/12/04,31,86,244
2012/12/05,31,86,246
2012/12/06,31,86,243
2012/12/07,30,88,242
2012/12/08,29,87,240
2012/12/09,29,88,242
2012/12/10,30,89,245
2012/12/11,31,88,250
2012/12/12,32,87,247
2012/12/13,32,86,249
2012/12/14,31,84,252
2012/12/15,31,85,252
2012/12/16,31,86,251
2012/12/17,31,87,253
2012/12/18,31,87,254
2012/12/19,31,87,254
2012/12/20,31,89,253
2012/12/21,31,90,251
2012/12/22,31,91,244
2012/12/23,31,91,244
2012/12/24,31,89,245
2012/12/25,30,87,241
2012/12/26,29,87,241
2012/12/27,29,88,243
2012/12/28,29,91,242
2012/12/29,30,90,241
2012/12/30,31,90,245
2012/12/31,29,90,244
2013/01/01,29,89,245
2013/01/02,30,88,245
2013/01/03,28,88,245
2013/01/04,29,88,249
2013/01/05,29,89,249
2013/01/06,29,88,246
2013/01/07,30,88,249
2013/01/08,32,88,247
2013/01/09,32,87,241
2013/01/10,31,85,234
2013/01/11,30,86,237
2013/01/12,30,87,246
2013/01/13,30,90,245
2013/01/14,31,90,248
2013/01/15,30,89,251
2013/01/16,33,89,247
2013/01/17,32,87,248
2013/01/18,32,86,250
2013/01/19,32,85,249
2013/01/20,32,85,254
2013/01/21,33,85,255
2013/01/22,33,87,255
2013/01/23,33,89,252
2013/01/24,33,90,255
2013/01/25,33,89,257
2013/01/26,33,88,252
2013/01/27,33,89,251
2013/01/28,33,89,253
2013/01/29,34,89,253
2013/01/30,33,90,254
2013/01/31,33,90,254
2013/02/01,33,91,255
2013/02/02,32,91,250
2013/02/03,31,89,253
2013/02/04,31,89,256
2013/02/05,30,88,260
2013/02/06,30,88,259
2013/02/07,29,87,266
2013/02/08,30,86,269
2013/02/09,31,87,273
2013/02/10,31,89,278
2013/02/11,32,89,272
2013/02/12,34,91,276
2013/02/13,33,91,271
2013/02/14,33,93,272
2013/02/15,32,92,273
2013/02/16,31,94,278
2013/02/17,31,94,278
2013/02/18,32,94,281
2013/02/19,32,94,280
2013/02/20,32,91,286
2013/02/21,32,89,286
2013/02/22,33,91,288
2013/02/23,33,93,287
2013/02/24,32,90,287
2013/02/25,31,89,282
2013/02/26,31,91,285
2013/02/27,30,92,284
2013/02/28,30,91,279
2013/03/01,30,90,278
2013/03/02,31,90,276
2013/03/03,31,90,268
2013/03/04,31,92,273
2013/03/05,30,92,272
2013/03/06,29,93,267
2013/03/07,29,92,262
2013/03/08,30,92,263
2013/03/09,32,93,263
2013/03/10,32,92,264
2013/03/11,31,92,266
2013/03/12,31,91,266
2013/03/13,31,91,264
2013/03/14,26,90,266
2013/03/15,24,87,266
2013/03/16,22,85,261
2013/03/17,22,84,265
2013/03/18,22,81,261
2013/03/19,21,81,259
2013/03/20,21,81,261
2013/03/21,22,80,255
2013/03/22,22,80,249
2013/03/23,22,80,249
2013/03/24,22,80,252
2013/03/25,19,79,254
2013/03/26,19,75,253
2013/03/27,19,74,254
2013/03/28,19,73,252
2013/03/29,19,73,251
2013/03/30,19,72,249
2013/03/31,19,73,250
2013/04/01,18,72,245
2013/04/02,17,69,244
2013/04/03,18,69,241
2013/04/04,17,71,241
2013/04/05,16,67,239
2013/04/06,17,62,231
2013/04/07,17,57,225
2013/04/08,17,58,224
2013/04/09,18,59,222
2013/04/10,18,56,223
2013/04/11,19,57,228
2013/04/12,20,58,226
2013/04/13,20,59,224
2013/04/14,20,59,218
2013/04/15,20,59,217
2013/04/16,20,59,209
2013/04/17,21,61,209
2013/04/18,21,60,207
2013/04/19,22,60,208
2013/04/20,22,61,202
2013/04/21,23,61,205
2013/04/22,24,59,203
2013/04/23,24,57,205
2013/04/24,24,59,206
2013/04/25,24,61,205
2013/04/26,25,61,207
2013/04/27,25,61,209
2013/04/28,25,61,212
2013/04/29,25,60,212
2013/04/30,24,61,209
2013/05/01,24,64,208
2013/05/02,24,63,207
2013/05/03,25,62,207
2013/05/04,26,62,210
2013/05/05,26,60,207
2013/05/06,26,62,205
2013/05/07,27,62,204
2013/05/08,25,59,201
2013/05/09,25,58,201
2013/05/10,25,59,197
2013/05/11,26,58,192
2013/05/12,25,60,196
2013/05/13,25,60,196
2013/05/14,25,60,200
2013/05/15,25,60,202
2013/05/16,24,61,203
2013/05/17,23,61,203
2013/05/18,23,61,206
2013/05/19,23,61,208
2013/05/20,23,59,205
2013/05/21,24,61,206
2013/05/22,22,61,208
2013/05/23,21,60,208
2013/05/24,21,59,208
2013/05/25,21,58,212
2013/05/26,21,59,212
2013/05/27,22,61,211
2013/05/28,23,59,208
2013/05/29,24,61,211
2013/05/30,24,62,211
2013/05/31,22,62,212
2013/06/01,21,63,212
2013/06/02,21,61,209
2013/06/03,21,60,203
2013/06/04,21,60,206
2013/06/05,22,57,206
2013/06/06,21,57,204
2013/06/07,22,58,207
2013/06/08,21,60,209
2013/06/09,21,60,203
2013/06/10,20,60,210
2013/06/11,19,60,210
2013/06/12,18,58,207
2013/06/13,18,58,204
2013/06/14,19,59,205
2013/06/15,19,59,207
2013/06/16,19,60,209
2013/06/17,19,60,208
2013/06/18,20,61,211
2013/06/19,20,59,214
2013/06/20,20,58,212
2013/06/21,21,58,211
2013/06/22,20,57,215
2013/06/23,20,56,218
2013/06/24,20,59,218
2013/06/25,20,57,213
2013/06/26,20,56,209
2013/06/27,21,56,205
2013/06/28,20,54,201
2013/06/29,20,54,194
2013/06/30,20,53,193
2013/07/01,19,53,188
2013/07/02,19,53,189
2013/07/03,19,54,191
2013/07/04,19,55,189
2013/07/05,19,55,188
2013/07/06,18,55,190
2013/07/07,18,56,186
2013/07/08,19,55,179
2013/07/09,19,55,178
2013/07/10,19,56,176
2013/07/11,19,55,173
2013/07/12,19,54,172
2013/07/13,19,52,171
2013/07/14,19,52,167
2013/07/15,19,51,168
2013/07/16,19,55,175
2013/07/17,20,56,174
2013/07/18,20,55,166
2013/07/19,22,56,165
2013/07/20,23,55,163
2013/07/21,21,55,163
2013/07/22,20,54,162
2013/07/23,20,53,158
2013/07/24,20,51,155
2013/07/25,19,51,154
2013/07/26,20,53,156
2013/07/27,20,53,154
2013/07/28,20,53,155
2013/07/29,20,53,158
2013/07/30,20,51,159
2013/07/31,20,51,159
2013/08/01,18,51,162
2013/08/02,15,50,159
2013/08/03,15,52,158
2013/08/04,15,50,162
2013/08/05,16,50,160
2013/08/06,16,50,159
2013/08/07,16,51,160
2013/08/08,15,50,158
2013/08/09,14,52,158
2013/08/10,14,53,157
2013/08/11,14,56,161
2013/08/12,14,56,164
2013/08/13,14,56,167
2013/08/14,14,56,168
2013/08/15,14,55,163
2013/08/16,14,53,161
2013/08/17,17,53,163
2013/08/18,17,53,162
2013/08/19,17,54,161
2013/08/20,17,58,165
2013/08/21,18,58,165
2013/08/22,17,58,167
2013/08/23,17,59,169
2013/08/24,17,58,171
2013/08/25,17,56,172
2013/08/26,16,57,181
2013/08/27,16,59,185
2013/08/28,17,61,185
2013/08/29,17,62,184
2013/08/30,16,61,187
2013/08/31,16,63,185
2013/09/01,16,64,186
2013/09/02,15,61,183
2013/09/03,15,63,181
2013/09/04,15,64,181
2013/09/05,15,65,179
2013/09/06,15,64,178
2013/09/07,15,62,177
2013/09/08,15,63,175
2013/09/09,15,65,174
2013/09/10,15,63,170
2013/09/11,15,61,170
2013/09/12,15,59,167
2013/09/13,15,63,167
2013/09/14,15,63,170
2013/09/15,16,64,177
2013/09/16,15,67,181
2013/09/17,16,70,180
2013/09/18,16,70,181
2013/09/19,16,68,182
2013/09/20,15,69,181
