date,mrwiki (100+),mrwiki (5+),mrwiki (all)
2012/08/19,10,41,135
2012/08/20,10,41,134
2012/08/21,11,42,140
2012/08/22,12,45,140
2012/08/23,12,45,140
2012/08/24,12,45,136
2012/08/25,12,43,139
2012/08/26,12,43,138
2012/08/27,12,45,134
2012/08/28,12,46,136
2012/08/29,12,46,137
2012/08/30,12,48,140
2012/08/31,11,50,140
2012/09/01,11,54,143
2012/09/02,10,54,144
2012/09/03,10,53,142
2012/09/04,10,52,142
2012/09/05,9,52,140
2012/09/06,10,52,140
2012/09/07,9,51,139
2012/09/08,9,52,136
2012/09/09,10,53,140
2012/09/10,10,54,139
2012/09/11,11,54,139
2012/09/12,11,54,135
2012/09/13,11,56,138
2012/09/14,10,56,139
2012/09/15,10,56,136
2012/09/16,10,56,132
2012/09/17,10,56,131
2012/09/18,10,56,127
2012/09/19,8,56,126
2012/09/20,8,54,121
2012/09/21,8,51,120
2012/09/22,8,51,116
2012/09/23,7,51,116
2012/09/24,7,51,114
2012/09/25,7,52,114
2012/09/26,6,53,115
2012/09/27,6,53,115
2012/09/28,6,55,115
2012/09/29,6,55,111
2012/09/30,7,54,111
2012/10/01,7,52,109
2012/10/02,8,51,109
2012/10/03,8,51,109
2012/10/04,9,52,104
2012/10/05,9,50,104
2012/10/06,9,50,108
2012/10/07,9,50,112
2012/10/08,9,50,115
2012/10/09,8,49,112
2012/10/10,8,50,114
2012/10/11,9,50,118
2012/10/12,9,49,121
2012/10/13,9,49,121
2012/10/14,9,49,121
2012/10/15,9,48,122
2012/10/16,9,50,128
2012/10/17,9,51,133
2012/10/18,9,49,134
2012/10/19,9,49,138
2012/10/20,10,49,144
2012/10/21,11,52,146
2012/10/22,11,52,145
2012/10/23,11,54,148
2012/10/24,11,56,148
2012/10/25,11,57,147
2012/10/26,11,57,150
2012/10/27,11,55,151
2012/10/28,11,55,153
2012/10/29,11,57,157
2012/10/30,10,57,155
2012/10/31,10,57,154
2012/11/01,11,57,151
2012/11/02,9,55,150
2012/11/03,10,53,150
2012/11/04,10,54,149
2012/11/05,10,55,147
2012/11/06,10,53,141
2012/11/07,10,53,138
2012/11/08,11,54,141
2012/11/09,11,53,137
2012/11/10,10,53,132
2012/11/11,10,49,131
2012/11/12,10,48,129
2012/11/13,10,48,129
2012/11/14,9,46,126
2012/11/15,9,43,123
2012/11/16,9,43,122
2012/11/17,11,43,130
2012/11/18,11,45,126
2012/11/19,10,45,125
2012/11/20,9,44,121
2012/11/21,8,45,127
2012/11/22,8,44,127
2012/11/23,8,42,128
2012/11/24,10,42,130
2012/11/25,10,42,130
2012/11/26,10,42,130
2012/11/27,10,43,127
2012/11/28,10,40,124
2012/11/29,10,41,123
2012/11/30,10,41,125
2012/12/01,10,41,128
2012/12/02,10,41,127
2012/12/03,10,42,124
2012/12/04,10,42,124
2012/12/05,10,41,126
2012/12/06,10,41,131
2012/12/07,10,41,129
2012/12/08,10,41,128
2012/12/09,10,48,140
2012/12/10,10,48,139
2012/12/11,10,48,136
2012/12/12,10,48,137
2012/12/13,9,47,138
2012/12/14,9,46,139
2012/12/15,8,44,137
2012/12/16,8,45,138
2012/12/17,8,46,135
2012/12/18,8,45,139
2012/12/19,9,47,138
2012/12/20,9,47,137
2012/12/21,9,47,135
2012/12/22,9,49,135
2012/12/23,8,51,133
2012/12/24,8,54,137
2012/12/25,8,55,136
2012/12/26,8,57,140
2012/12/27,7,60,139
2012/12/28,7,61,137
2012/12/29,7,60,136
2012/12/30,7,60,137
2012/12/31,7,57,137
2013/01/01,7,55,136
2013/01/02,7,55,137
2013/01/03,7,55,136
2013/01/04,7,55,135
2013/01/05,7,55,134
2013/01/06,8,55,140
2013/01/07,7,55,139
2013/01/08,7,49,126
2013/01/09,7,50,129
2013/01/10,7,49,129
2013/01/11,7,49,130
2013/01/12,7,49,131
2013/01/13,8,58,149
2013/01/14,9,62,157
2013/01/15,9,64,160
2013/01/16,9,62,161
2013/01/17,9,64,161
2013/01/18,8,62,166
2013/01/19,8,62,165
2013/01/20,8,62,169
2013/01/21,8,58,165
2013/01/22,8,55,163
2013/01/23,8,54,162
2013/01/24,6,51,159
2013/01/25,7,50,158
2013/01/26,7,50,157
2013/01/27,8,52,159
2013/01/28,8,52,160
2013/01/29,8,53,160
2013/01/30,8,53,163
2013/01/31,8,54,162
2013/02/01,8,53,165
2013/02/02,7,51,162
2013/02/03,7,51,167
2013/02/04,7,52,170
2013/02/05,7,53,170
2013/02/06,7,54,170
2013/02/07,7,56,173
2013/02/08,7,59,171
2013/02/09,7,59,175
2013/02/10,5,61,174
2013/02/11,5,61,171
2013/02/12,6,56,163
2013/02/13,6,54,154
2013/02/14,6,52,153
2013/02/15,5,51,150
2013/02/16,6,51,149
2013/02/17,6,51,140
2013/02/18,6,49,140
2013/02/19,6,49,134
2013/02/20,6,51,138
2013/02/21,5,51,139
2013/02/22,5,52,137
2013/02/23,5,53,141
2013/02/24,5,53,139
2013/02/25,5,53,137
2013/02/26,5,50,135
2013/02/27,4,49,133
2013/02/28,4,48,135
2013/03/01,4,47,131
2013/03/02,4,46,130
2013/03/03,4,46,124
2013/03/04,5,47,129
2013/03/05,5,47,128
2013/03/06,5,47,125
2013/03/07,5,47,124
2013/03/08,6,47,122
2013/03/09,6,48,122
2013/03/10,5,48,121
2013/03/11,5,48,119
2013/03/12,5,46,118
2013/03/13,6,47,116
2013/03/14,6,45,114
2013/03/15,6,41,112
2013/03/16,6,39,111
2013/03/17,6,39,113
2013/03/18,7,38,114
2013/03/19,6,38,116
2013/03/20,6,38,118
2013/03/21,6,38,119
2013/03/22,6,37,118
2013/03/23,7,37,118
2013/03/24,6,37,117
2013/03/25,6,36,116
2013/03/26,7,35,115
2013/03/27,7,34,117
2013/03/28,7,33,114
2013/03/29,7,34,115
2013/03/30,7,35,115
2013/03/31,7,33,113
2013/04/01,6,32,111
2013/04/02,6,36,115
2013/04/03,5,37,115
2013/04/04,5,37,109
2013/04/05,6,35,106
2013/04/06,6,33,109
2013/04/07,6,35,111
2013/04/08,6,36,110
2013/04/09,6,37,113
2013/04/10,5,37,114
2013/04/11,5,38,112
2013/04/12,5,35,114
2013/04/13,5,35,113
2013/04/14,5,34,111
2013/04/15,5,34,109
2013/04/16,5,34,106
2013/04/17,5,34,103
2013/04/18,5,33,99
2013/04/19,5,34,97
2013/04/20,5,34,96
2013/04/21,5,34,96
2013/04/22,5,34,96
2013/04/23,5,34,95
2013/04/24,5,35,95
2013/04/25,5,35,95
2013/04/26,5,35,94
2013/04/27,5,36,98
2013/04/28,5,36,95
2013/04/29,5,35,96
2013/04/30,4,35,94
2013/05/01,4,35,95
2013/05/02,4,34,89
2013/05/03,4,34,91
2013/05/04,4,33,89
2013/05/05,4,32,89
2013/05/06,4,32,90
2013/05/07,4,31,93
2013/05/08,4,32,93
2013/05/09,4,32,89
2013/05/10,4,33,90
2013/05/11,5,32,91
2013/05/12,5,31,94
2013/05/13,4,32,93
2013/05/14,4,32,94
2013/05/15,4,34,97
2013/05/16,4,34,95
2013/05/17,4,34,98
2013/05/18,4,34,102
2013/05/19,5,33,101
2013/05/20,5,33,102
2013/05/21,6,32,102
2013/05/22,6,31,101
2013/05/23,7,31,104
2013/05/24,7,29,102
2013/05/25,8,31,100
2013/05/26,7,31,100
2013/05/27,7,30,98
2013/05/28,7,30,96
2013/05/29,8,29,97
2013/05/30,8,30,96
2013/05/31,8,29,95
2013/06/01,6,29,98
2013/06/02,6,29,98
2013/06/03,6,29,100
2013/06/04,6,29,101
2013/06/05,6,29,101
2013/06/06,6,28,97
2013/06/07,5,29,99
2013/06/08,5,27,97
2013/06/09,5,26,93
2013/06/10,5,27,97
2013/06/11,5,26,96
2013/06/12,5,27,93
2013/06/13,5,25,95
2013/06/14,5,27,91
2013/06/15,5,26,92
2013/06/16,5,26,91
2013/06/17,5,25,91
2013/06/18,5,25,92
2013/06/19,6,25,91
2013/06/20,6,24,89
2013/06/21,6,25,89
2013/06/22,5,23,87
2013/06/23,5,23,89
2013/06/24,6,24,89
2013/06/25,6,22,86
2013/06/26,6,22,86
2013/06/27,6,23,88
2013/06/28,6,25,87
2013/06/29,6,26,86
2013/06/30,6,26,84
2013/07/01,6,25,83
2013/07/02,7,25,83
2013/07/03,7,27,86
2013/07/04,7,27,86
2013/07/05,7,27,85
2013/07/06,7,28,87
2013/07/07,7,26,84
2013/07/08,7,26,80
2013/07/09,6,26,83
2013/07/10,6,26,78
2013/07/11,6,26,76
2013/07/12,6,26,78
2013/07/13,6,26,77
2013/07/14,6,27,76
2013/07/15,6,26,73
2013/07/16,7,26,72
2013/07/17,7,24,74
2013/07/18,6,25,74
2013/07/19,6,24,77
2013/07/20,6,24,78
2013/07/21,6,23,78
2013/07/22,6,26,78
2013/07/23,6,26,75
2013/07/24,6,27,79
2013/07/25,6,27,80
2013/07/26,6,27,78
2013/07/27,6,26,77
2013/07/28,6,23,74
2013/07/29,6,23,76
2013/07/30,6,23,76
2013/07/31,6,24,78
2013/08/01,6,24,78
2013/08/02,6,26,81
2013/08/03,6,26,82
2013/08/04,6,25,82
2013/08/05,6,23,81
2013/08/06,6,23,83
2013/08/07,6,22,86
2013/08/08,6,23,85
2013/08/09,5,24,88
2013/08/10,5,26,90
2013/08/11,5,27,91
2013/08/12,5,27,94
2013/08/13,5,28,92
2013/08/14,5,28,93
2013/08/15,4,28,90
2013/08/16,5,32,94
2013/08/17,6,34,96
2013/08/18,5,35,94
2013/08/19,6,36,94
2013/08/20,5,36,95
2013/08/21,5,35,98
2013/08/22,5,37,99
2013/08/23,5,36,95
2013/08/24,5,38,96
2013/08/25,5,38,101
2013/08/26,5,38,101
2013/08/27,6,40,108
2013/08/28,5,41,110
2013/08/29,5,41,114
2013/08/30,5,41,115
2013/08/31,5,41,113
2013/09/01,5,41,111
2013/09/02,6,40,113
2013/09/03,7,40,112
2013/09/04,7,40,110
2013/09/05,7,41,109
2013/09/06,7,40,104
2013/09/07,7,39,101
2013/09/08,7,38,101
2013/09/09,6,38,99
2013/09/10,6,38,98
2013/09/11,6,38,94
2013/09/12,7,38,97
2013/09/13,7,39,99
2013/09/14,7,39,101
2013/09/15,7,34,97
2013/09/16,7,34,96
2013/09/17,8,33,95
2013/09/18,8,33,96
2013/09/19,8,33,96
2013/09/20,8,33,97
2013/09/21,7,32,99
2013/09/22,7,31,98
2013/09/23,6,31,98
2013/09/24,6,30,91
2013/09/25,6,30,92
2013/09/26,6,29,91
2013/09/27,6,30,90
2013/09/28,6,31,91
2013/09/29,6,30,90
2013/09/30,6,29,95
2013/10/01,6,30,96
2013/10/02,6,30,96
2013/10/03,6,31,97
2013/10/04,6,31,97
2013/10/05,6,31,99
2013/10/06,6,33,102
2013/10/07,6,33,103
2013/10/08,6,34,102
2013/10/09,6,35,102
2013/10/10,6,34,102
2013/10/11,6,35,102
2013/10/12,6,34,96
2013/10/13,6,32,96
2013/10/14,6,33,96
2013/10/15,6,34,98
2013/10/16,6,35,101
