date,bnwiki (100+),bnwiki (5+),bnwiki (all)
2012/08/19,12,63,208
2012/08/20,12,64,211
2012/08/21,12,63,210
2012/08/22,12,62,205
2012/08/23,12,59,209
2012/08/24,11,62,203
2012/08/25,10,61,207
2012/08/26,10,64,201
2012/08/27,10,64,202
2012/08/28,10,64,208
2012/08/29,10,66,212
2012/08/30,10,64,214
2012/08/31,10,66,215
2012/09/01,10,68,215
2012/09/02,11,69,211
2012/09/03,11,69,210
2012/09/04,10,72,216
2012/09/05,10,74,219
2012/09/06,10,75,222
2012/09/07,10,72,215
2012/09/08,10,70,211
2012/09/09,9,67,211
2012/09/10,9,66,211
2012/09/11,10,64,207
2012/09/12,9,65,203
2012/09/13,10,66,198
2012/09/14,10,66,195
2012/09/15,10,65,190
2012/09/16,10,66,192
2012/09/17,10,67,194
2012/09/18,9,67,196
2012/09/19,9,67,202
2012/09/20,9,69,201
2012/09/21,9,69,212
2012/09/22,8,68,209
2012/09/23,9,68,212
2012/09/24,10,68,210
2012/09/25,8,68,209
2012/09/26,8,68,204
2012/09/27,7,67,199
2012/09/28,7,65,199
2012/09/29,7,64,194
2012/09/30,8,67,196
2012/10/01,9,66,192
2012/10/02,8,66,195
2012/10/03,8,66,195
2012/10/04,8,62,190
2012/10/05,8,61,191
2012/10/06,8,62,191
2012/10/07,8,60,196
2012/10/08,8,63,200
2012/10/09,8,62,196
2012/10/10,10,65,195
2012/10/11,9,65,195
2012/10/12,8,63,199
2012/10/13,9,63,199
2012/10/14,9,66,201
2012/10/15,8,65,200
2012/10/16,8,65,198
2012/10/17,9,65,206
2012/10/18,9,65,208
2012/10/19,9,65,202
2012/10/20,9,68,206
2012/10/21,9,69,196
2012/10/22,9,69,199
2012/10/23,9,67,193
2012/10/24,9,65,193
2012/10/25,10,62,192
2012/10/26,10,63,196
2012/10/27,10,62,198
2012/10/28,9,63,196
2012/10/29,9,64,198
2012/10/30,9,64,198
2012/10/31,8,67,198
2012/11/01,8,69,200
2012/11/02,8,72,197
2012/11/03,8,73,199
2012/11/04,8,73,197
2012/11/05,8,74,196
2012/11/06,8,74,189
2012/11/07,8,74,189
2012/11/08,8,75,191
2012/11/09,8,74,195
2012/11/10,8,72,190
2012/11/11,8,72,188
2012/11/12,9,72,188
2012/11/13,9,70,189
2012/11/14,9,68,190
2012/11/15,9,70,192
2012/11/16,8,69,186
2012/11/17,9,70,189
2012/11/18,9,70,188
2012/11/19,10,67,180
2012/11/20,10,66,182
2012/11/21,10,64,180
2012/11/22,10,67,175
2012/11/23,9,66,173
2012/11/24,9,67,170
2012/11/25,10,66,170
2012/11/26,11,65,177
2012/11/27,11,65,180
2012/11/28,11,64,176
2012/11/29,11,65,172
2012/11/30,11,66,171
2012/12/01,11,65,166
2012/12/02,11,65,165
2012/12/03,11,64,168
2012/12/04,11,63,168
2012/12/05,11,60,167
2012/12/06,10,59,168
2012/12/07,11,58,165
2012/12/08,11,60,168
2012/12/09,11,61,172
2012/12/10,11,62,174
2012/12/11,11,62,177
2012/12/12,11,62,177
2012/12/13,11,60,179
2012/12/14,11,61,182
2012/12/15,12,61,184
2012/12/16,12,60,185
2012/12/17,11,60,185
2012/12/18,9,58,190
2012/12/19,9,61,193
2012/12/20,9,60,188
2012/12/21,9,60,189
2012/12/22,9,58,193
2012/12/23,9,59,192
2012/12/24,9,61,198
2012/12/25,9,64,202
2012/12/26,9,63,200
2012/12/27,9,60,200
2012/12/28,9,66,202
2012/12/29,9,65,202
2012/12/30,9,64,203
2012/12/31,9,64,205
2013/01/01,9,63,208
2013/01/02,9,65,211
2013/01/03,9,66,208
2013/01/04,9,67,207
2013/01/05,10,72,211
2013/01/06,11,74,213
2013/01/07,11,73,212
2013/01/08,11,70,211
2013/01/09,11,71,211
2013/01/10,12,69,210
2013/01/11,13,69,210
2013/01/12,12,68,209
2013/01/13,12,63,210
2013/01/14,12,63,210
2013/01/15,12,65,213
2013/01/16,12,64,211
2013/01/17,12,67,211
2013/01/18,12,70,209
2013/01/19,12,71,212
2013/01/20,12,72,209
2013/01/21,13,72,214
2013/01/22,13,74,216
2013/01/23,14,73,212
2013/01/24,13,73,212
2013/01/25,13,72,210
2013/01/26,13,74,210
2013/01/27,14,74,207
2013/01/28,14,74,209
2013/01/29,14,75,210
2013/01/30,15,77,209
2013/01/31,15,78,209
2013/02/01,15,74,205
2013/02/02,15,74,208
2013/02/03,15,76,208
2013/02/04,13,75,208
2013/02/05,11,74,210
2013/02/06,13,75,211
2013/02/07,12,76,207
2013/02/08,12,74,203
2013/02/09,12,75,207
2013/02/10,12,78,221
2013/02/11,12,80,224
2013/02/12,11,83,231
2013/02/13,11,85,235
2013/02/14,12,82,240
2013/02/15,12,85,244
2013/02/16,13,85,249
2013/02/17,12,87,252
2013/02/18,12,87,253
2013/02/19,13,89,258
2013/02/20,13,87,261
2013/02/21,13,87,255
2013/02/22,14,91,258
2013/02/23,13,91,263
2013/02/24,12,90,263
2013/02/25,12,87,260
2013/02/26,12,86,265
2013/02/27,13,88,268
2013/02/28,13,86,266
2013/03/01,13,86,274
2013/03/02,12,86,276
2013/03/03,12,84,275
2013/03/04,12,83,273
2013/03/05,12,82,272
2013/03/06,12,79,271
2013/03/07,12,78,270
2013/03/08,12,77,269
2013/03/09,12,79,271
2013/03/10,12,81,271
2013/03/11,12,80,268
2013/03/12,12,75,253
2013/03/13,12,74,256
2013/03/14,11,74,244
2013/03/15,11,73,240
2013/03/16,11,72,230
2013/03/17,11,72,224
2013/03/18,10,72,223
2013/03/19,10,66,216
2013/03/20,10,66,217
2013/03/21,9,65,217
2013/03/22,9,67,213
2013/03/23,9,67,218
2013/03/24,9,67,215
2013/03/25,9,67,211
2013/03/26,9,67,211
2013/03/27,10,69,209
2013/03/28,10,68,210
2013/03/29,10,68,209
2013/03/30,10,68,207
2013/03/31,10,68,200
2013/04/01,7,68,203
2013/04/02,8,68,204
2013/04/03,8,67,203
2013/04/04,8,65,203
2013/04/05,8,68,199
2013/04/06,9,68,195
2013/04/07,9,68,197
2013/04/08,7,71,203
2013/04/09,7,71,208
2013/04/10,7,72,217
2013/04/11,7,74,220
2013/04/12,7,70,215
2013/04/13,6,69,218
2013/04/14,7,69,220
2013/04/15,7,70,227
2013/04/16,6,70,236
2013/04/17,7,67,235
2013/04/18,5,69,235
2013/04/19,5,69,235
2013/04/20,5,69,239
2013/04/21,5,67,244
2013/04/22,5,64,238
2013/04/23,5,65,243
2013/04/24,5,69,244
2013/04/25,5,67,245
2013/04/26,6,67,246
2013/04/27,6,71,249
2013/04/28,6,71,243
2013/04/29,7,71,243
2013/04/30,7,72,243
2013/05/01,7,74,244
2013/05/02,8,74,245
2013/05/03,8,73,244
2013/05/04,8,74,248
2013/05/05,8,73,248
2013/05/06,8,73,249
2013/05/07,8,70,247
2013/05/08,7,73,241
