date,ffwiki (100+),ffwiki (5+),ffwiki (all)
2012/08/19,,8,22
2012/08/20,,8,22
2012/08/21,,8,22
2012/08/22,,9,21
2012/08/23,,9,22
2012/08/24,,9,21
2012/08/25,,10,24
2012/08/26,,9,23
2012/08/27,,9,24
2012/08/28,,8,25
2012/08/29,,8,27
2012/08/30,,8,26
2012/08/31,,8,26
2012/09/01,,8,26
2012/09/02,,8,26
2012/09/03,,8,26
2012/09/04,,8,26
2012/09/05,,8,26
2012/09/06,,8,26
2012/09/07,,8,25
2012/09/08,,8,24
2012/09/09,,8,24
2012/09/10,,9,26
2012/09/11,,9,27
2012/09/12,,9,27
2012/09/13,,9,27
2012/09/14,,9,27
2012/09/15,,9,28
2012/09/16,,9,29
2012/09/17,,9,28
2012/09/18,,9,27
2012/09/19,,9,27
2012/09/20,,9,28
2012/09/21,,9,27
2012/09/22,,10,27
2012/09/23,,10,27
2012/09/24,,10,25
2012/09/25,,10,25
2012/09/26,,10,24
2012/09/27,,10,25
2012/09/28,,10,24
2012/09/29,,10,23
2012/09/30,,10,23
2012/10/01,,10,23
2012/10/02,,10,24
2012/10/03,,10,25
2012/10/04,,10,27
2012/10/05,,10,27
2012/10/06,,10,27
2012/10/07,,10,27
2012/10/08,,10,27
2012/10/09,,10,27
2012/10/10,,10,24
2012/10/11,,10,24
2012/10/12,,10,24
2012/10/13,,10,24
2012/10/14,,10,24
2012/10/15,,9,23
2012/10/16,,9,23
2012/10/17,,9,22
2012/10/18,,9,22
2012/10/19,,8,22
2012/10/20,,8,20
2012/10/21,,8,20
2012/10/22,,8,21
2012/10/23,,8,21
2012/10/24,,7,20
2012/10/25,,7,21
2012/10/26,,7,21
2012/10/27,,6,20
2012/10/28,,6,20
2012/10/29,,6,21
2012/10/30,,6,21
2012/10/31,,6,21
2012/11/01,,6,20
2012/11/02,,5,21
2012/11/03,,6,21
2012/11/04,,6,21
2012/11/05,,6,22
2012/11/06,,6,22
2012/11/07,,6,22
2012/11/08,,6,23
2012/11/09,,6,22
2012/11/10,,6,22
2012/11/11,,6,22
2012/11/12,,6,22
2012/11/13,,7,22
2012/11/14,,7,22
2012/11/15,,7,22
2012/11/16,,7,22
2012/11/17,,7,20
2012/11/18,,7,20
2012/11/19,,7,19
2012/11/20,,7,20
2012/11/21,,7,20
2012/11/22,,7,21
2012/11/23,,7,21
2012/11/24,,7,21
2012/11/25,,7,21
2012/11/26,,7,21
2012/11/27,,7,22
2012/11/28,,7,22
2012/11/29,,7,24
2012/11/30,,7,23
2012/12/01,,7,23
2012/12/02,,7,23
2012/12/03,,7,22
2012/12/04,,7,22
2012/12/05,,7,22
2012/12/06,,7,22
2012/12/07,,7,23
2012/12/08,,7,21
2012/12/09,,8,21
2012/12/10,,9,21
2012/12/11,,9,21
2012/12/12,,9,19
2012/12/13,,8,19
2012/12/14,,7,19
2012/12/15,,7,19
2012/12/16,,7,20
2012/12/17,,7,21
2012/12/18,,7,21
2012/12/19,,7,21
2012/12/20,,7,22
2012/12/21,,7,22
2012/12/22,,6,22
2012/12/23,,6,23
2012/12/24,,6,23
2012/12/25,,6,23
2012/12/26,,6,23
2012/12/27,,6,22
2012/12/28,,6,22
2012/12/29,,7,21
2012/12/30,,7,21
2012/12/31,,7,23
2013/01/01,,7,23
2013/01/02,,6,22
2013/01/03,,6,22
2013/01/04,,6,22
2013/01/05,,6,22
2013/01/06,,7,20
2013/01/07,,7,21
2013/01/08,,7,21
2013/01/09,,7,20
2013/01/10,,7,20
2013/01/11,,7,20
2013/01/12,,7,20
2013/01/13,,6,20
2013/01/14,,7,19
2013/01/15,,7,18
2013/01/16,,7,16
2013/01/17,,7,18
2013/01/18,,7,18
2013/01/19,,7,18
2013/01/20,,7,21
2013/01/21,,7,22
2013/01/22,,7,21
2013/01/23,,7,21
2013/01/24,,7,21
2013/01/25,,7,22
2013/01/26,,7,22
2013/01/27,,7,22
2013/01/28,,7,22
2013/01/29,,7,22
2013/01/30,,6,21
2013/01/31,,6,21
2013/02/01,,6,20
2013/02/02,,5,20
2013/02/03,,5,20
2013/02/04,,5,20
2013/02/05,,5,20
2013/02/06,,6,19
2013/02/07,,6,19
2013/02/08,,5,20
2013/02/09,,5,20
2013/02/10,,5,22
2013/02/11,,5,22
2013/02/12,,5,22
2013/02/13,,5,23
2013/02/14,,5,24
2013/02/15,,5,23
2013/02/16,,5,24
2013/02/17,,4,24
2013/02/18,,4,23
2013/02/19,,5,20
2013/02/20,,5,19
2013/02/21,,5,19
2013/02/22,,5,19
2013/02/23,,5,19
2013/02/24,,5,19
2013/02/25,,5,19
2013/02/26,,5,20
2013/02/27,,5,20
2013/02/28,,5,21
2013/03/01,,5,21
2013/03/02,,5,21
2013/03/03,,6,21
2013/03/04,,6,21
2013/03/05,,6,21
2013/03/06,,6,22
2013/03/07,,7,23
2013/03/08,1,7,23
2013/03/09,1,7,23
2013/03/10,1,7,21
2013/03/11,1,7,21
2013/03/12,1,8,20
2013/03/13,1,9,20
2013/03/14,1,9,20
2013/03/15,1,9,17
2013/03/16,1,9,17
2013/03/17,1,9,17
2013/03/18,1,9,15
2013/03/19,1,9,15
2013/03/20,1,8,15
2013/03/21,1,8,15
2013/03/22,1,8,15
2013/03/23,1,8,15
2013/03/24,1,8,15
2013/03/25,1,8,16
2013/03/26,1,8,16
2013/03/27,1,8,16
2013/03/28,1,7,15
2013/03/29,1,7,14
2013/03/30,1,7,12
2013/03/31,1,8,13
2013/04/01,1,7,12
2013/04/02,1,4,12
2013/04/03,1,4,11
2013/04/04,1,4,9
2013/04/05,1,4,6
2013/04/06,1,4,6
2013/04/07,,3,5
2013/04/08,,3,5
2013/04/09,,2,5
2013/04/10,,2,5
2013/04/11,,1,4
2013/04/12,,,3
2013/04/13,,,4
2013/04/14,,,4
2013/04/15,,,4
2013/04/16,,,4
2013/04/17,,,4
2013/04/18,,,4
2013/04/19,,,4
2013/04/20,,,4
2013/04/21,,,3
2013/04/22,,,3
2013/04/23,,,3
2013/04/24,,,3
2013/04/25,,,2
2013/04/26,,,2
2013/04/27,,,2
2013/04/28,,,2
2013/04/29,,,2
2013/04/30,,,2
2013/05/01,,,2
2013/05/02,,,2
2013/05/03,,,2
2013/05/04,,,2
2013/05/05,,,2
2013/05/06,,,3
2013/05/07,,,4
2013/05/08,,,4
2013/05/09,,,4
2013/05/10,,,4
2013/05/11,,,3
2013/05/12,,,3
