date,roa_rupwiki (100+),roa_rupwiki (5+),roa_rupwiki (all)
2012/08/19,7,19,46
2012/08/20,7,21,47
2012/08/21,7,21,47
2012/08/22,7,21,48
2012/08/23,7,21,49
2012/08/24,7,21,48
2012/08/25,7,20,49
2012/08/26,7,21,47
2012/08/27,7,21,48
2012/08/28,7,20,48
2012/08/29,7,20,50
2012/08/30,7,20,49
2012/08/31,7,20,49
2012/09/01,8,20,50
2012/09/02,8,21,50
2012/09/03,8,21,51
2012/09/04,9,21,52
2012/09/05,9,21,51
2012/09/06,9,21,50
2012/09/07,9,21,48
2012/09/08,8,20,47
2012/09/09,7,21,47
2012/09/10,7,22,47
2012/09/11,7,20,48
2012/09/12,7,20,49
2012/09/13,7,20,53
2012/09/14,7,22,54
2012/09/15,7,22,53
2012/09/16,7,22,53
2012/09/17,7,22,54
2012/09/18,7,23,52
2012/09/19,7,20,50
2012/09/20,7,20,50
2012/09/21,7,20,48
2012/09/22,7,20,48
2012/09/23,7,21,49
2012/09/24,7,19,49
2012/09/25,6,21,49
2012/09/26,6,20,48
2012/09/27,6,20,48
2012/09/28,6,20,47
2012/09/29,6,20,45
2012/09/30,6,20,45
2012/10/01,6,20,43
2012/10/02,6,20,42
2012/10/03,6,20,42
2012/10/04,5,20,41
2012/10/05,7,20,40
2012/10/06,7,20,40
2012/10/07,7,20,41
2012/10/08,8,20,41
2012/10/09,8,20,41
2012/10/10,8,20,41
2012/10/11,8,20,40
2012/10/12,8,19,39
2012/10/13,8,19,36
2012/10/14,8,18,35
2012/10/15,8,19,35
2012/10/16,8,19,37
2012/10/17,8,19,36
2012/10/18,7,19,37
2012/10/19,7,19,40
2012/10/20,7,19,41
2012/10/21,8,19,42
2012/10/22,8,21,41
2012/10/23,7,21,40
2012/10/24,7,21,39
2012/10/25,7,21,39
2012/10/26,7,21,40
2012/10/27,7,19,41
2012/10/28,8,19,42
2012/10/29,8,19,41
2012/10/30,8,20,41
2012/10/31,8,20,41
2012/11/01,8,20,41
2012/11/02,8,20,42
2012/11/03,8,20,43
2012/11/04,7,20,43
2012/11/05,7,20,43
2012/11/06,7,20,42
2012/11/07,7,20,42
2012/11/08,7,20,43
2012/11/09,7,20,42
2012/11/10,7,20,42
2012/11/11,7,21,43
2012/11/12,7,20,43
2012/11/13,7,21,44
2012/11/14,6,19,45
2012/11/15,6,19,43
2012/11/16,5,19,42
2012/11/17,5,19,41
2012/11/18,5,19,38
2012/11/19,6,20,36
2012/11/20,6,19,36
2012/11/21,6,19,36
2012/11/22,6,18,37
2012/11/23,6,18,37
2012/11/24,6,18,37
2012/11/25,6,18,37
2012/11/26,6,18,37
2012/11/27,5,18,36
2012/11/28,5,18,35
2012/11/29,5,18,35
2012/11/30,5,17,34
2012/12/01,5,18,36
2012/12/02,5,18,36
2012/12/03,5,18,34
2012/12/04,5,18,33
2012/12/05,5,17,35
2012/12/06,5,17,35
2012/12/07,5,17,36
2012/12/08,6,17,36
2012/12/09,6,17,37
2012/12/10,6,17,37
2012/12/11,6,18,37
2012/12/12,6,17,36
2012/12/13,6,17,35
2012/12/14,5,17,36
2012/12/15,6,19,38
2012/12/16,6,20,39
2012/12/17,6,23,38
2012/12/18,6,24,38
2012/12/19,6,24,40
2012/12/20,6,24,41
2012/12/21,6,23,41
2012/12/22,6,22,41
2012/12/23,6,23,43
