date,arcwiki (100+),arcwiki (5+),arcwiki (all)
2012/08/19,3,21,35
2012/08/20,3,21,32
2012/08/21,3,20,32
2012/08/22,3,20,32
2012/08/23,3,20,34
2012/08/24,3,20,34
2012/08/25,3,20,35
2012/08/26,3,20,35
2012/08/27,3,20,35
2012/08/28,3,20,35
2012/08/29,3,20,38
2012/08/30,3,22,39
2012/08/31,3,21,40
2012/09/01,3,21,40
2012/09/02,3,21,40
2012/09/03,3,19,40
2012/09/04,3,17,40
2012/09/05,3,17,41
2012/09/06,3,18,41
2012/09/07,3,18,39
2012/09/08,3,17,39
2012/09/09,3,17,40
2012/09/10,3,17,39
2012/09/11,3,18,40
2012/09/12,3,19,41
2012/09/13,3,18,43
2012/09/14,3,20,45
2012/09/15,3,20,45
2012/09/16,3,20,45
2012/09/17,3,20,44
2012/09/18,3,20,43
2012/09/19,2,21,42
2012/09/20,2,21,43
2012/09/21,2,21,42
2012/09/22,2,20,43
2012/09/23,2,20,43
2012/09/24,2,20,44
2012/09/25,2,18,44
2012/09/26,2,15,44
2012/09/27,2,15,45
2012/09/28,2,16,44
2012/09/29,2,16,44
2012/09/30,2,17,42
2012/10/01,2,17,41
2012/10/02,2,17,41
2012/10/03,2,17,41
2012/10/04,2,17,40
2012/10/05,2,17,40
2012/10/06,2,16,39
2012/10/07,2,17,39
2012/10/08,2,18,39
2012/10/09,2,18,36
2012/10/10,2,20,36
2012/10/11,3,19,36
2012/10/12,3,20,35
2012/10/13,3,20,34
2012/10/14,3,19,31
2012/10/15,3,19,31
2012/10/16,3,19,31
2012/10/17,3,19,31
2012/10/18,3,18,32
2012/10/19,3,18,34
2012/10/20,3,20,33
2012/10/21,3,20,34
2012/10/22,3,21,34
2012/10/23,3,21,35
2012/10/24,4,22,33
2012/10/25,4,21,33
2012/10/26,4,21,35
2012/10/27,4,21,34
2012/10/28,4,21,35
2012/10/29,4,22,36
2012/10/30,4,22,37
2012/10/31,4,22,37
2012/11/01,4,21,37
2012/11/02,4,21,37
2012/11/03,4,21,37
2012/11/04,5,22,37
2012/11/05,5,22,38
2012/11/06,4,23,38
2012/11/07,4,24,40
2012/11/08,4,23,40
2012/11/09,3,22,41
2012/11/10,3,22,40
2012/11/11,4,20,38
2012/11/12,4,21,38
2012/11/13,3,21,38
2012/11/14,3,24,38
2012/11/15,3,25,39
2012/11/16,3,23,41
2012/11/17,3,22,40
2012/11/18,4,22,41
2012/11/19,4,21,40
2012/11/20,4,23,40
2012/11/21,3,22,39
2012/11/22,3,22,39
2012/11/23,3,22,40
2012/11/24,3,22,40
2012/11/25,3,23,40
2012/11/26,3,23,40
2012/11/27,3,23,39
2012/11/28,2,24,39
2012/11/29,2,23,38
