date,warwiki (100+),warwiki (5+),warwiki (all)
2012/08/19,11,28,81
2012/08/20,11,27,79
2012/08/21,11,26,77
2012/08/22,10,25,78
2012/08/23,11,26,76
2012/08/24,10,29,77
2012/08/25,10,28,78
2012/08/26,9,28,78
2012/08/27,9,29,83
2012/08/28,10,29,86
2012/08/29,11,30,89
2012/08/30,11,29,89
2012/08/31,8,28,87
2012/09/01,8,29,87
2012/09/02,8,29,88
2012/09/03,8,30,89
2012/09/04,8,30,88
2012/09/05,8,28,87
2012/09/06,8,28,89
2012/09/07,8,28,88
2012/09/08,8,27,87
2012/09/09,8,27,88
2012/09/10,8,27,86
2012/09/11,8,30,87
2012/09/12,8,29,86
2012/09/13,8,28,86
2012/09/14,8,29,86
2012/09/15,7,29,83
2012/09/16,7,29,82
2012/09/17,7,30,82
2012/09/18,7,29,83
2012/09/19,8,28,83
2012/09/20,9,28,81
2012/09/21,8,28,80
2012/09/22,8,28,80
2012/09/23,8,28,78
2012/09/24,10,27,78
2012/09/25,9,27,79
2012/09/26,9,27,75
2012/09/27,10,27,75
2012/09/28,10,26,74
2012/09/29,10,27,70
2012/09/30,10,26,69
2012/10/01,10,26,69
2012/10/02,10,26,68
2012/10/03,10,27,66
2012/10/04,10,27,67
2012/10/05,11,26,67
2012/10/06,11,26,65
2012/10/07,11,28,65
2012/10/08,11,28,65
2012/10/09,11,26,63
2012/10/10,11,24,63
2012/10/11,11,23,67
2012/10/12,11,23,62
2012/10/13,12,23,61
2012/10/14,12,23,61
2012/10/15,13,24,64
2012/10/16,14,24,65
2012/10/17,14,23,66
2012/10/18,14,23,63
2012/10/19,14,24,62
2012/10/20,14,25,65
2012/10/21,14,25,66
2012/10/22,14,25,67
2012/10/23,14,25,68
2012/10/24,11,25,67
2012/10/25,11,25,66
2012/10/26,9,26,67
2012/10/27,9,26,64
2012/10/28,9,26,63
2012/10/29,10,27,65
2012/10/30,10,27,65
2012/10/31,9,26,67
2012/11/01,9,27,67
2012/11/02,10,27,66
2012/11/03,10,27,69
2012/11/04,10,28,70
2012/11/05,10,27,69
2012/11/06,10,26,68
2012/11/07,10,26,67
2012/11/08,10,26,67
2012/11/09,10,26,67
2012/11/10,10,26,64
2012/11/11,10,26,68
2012/11/12,9,27,68
2012/11/13,9,27,68
2012/11/14,9,26,64
2012/11/15,6,27,64
2012/11/16,6,26,62
2012/11/17,6,27,60
2012/11/18,6,26,61
2012/11/19,6,25,62
2012/11/20,6,25,62
2012/11/21,6,25,64
2012/11/22,6,25,64
2012/11/23,6,25,65
2012/11/24,6,25,65
2012/11/25,6,25,66
2012/11/26,7,25,67
2012/11/27,7,27,68
2012/11/28,7,26,70
2012/11/29,7,26,70
2012/11/30,7,25,71
2012/12/01,7,26,72
2012/12/02,9,26,75
2012/12/03,10,25,74
2012/12/04,10,25,76
2012/12/05,11,26,80
2012/12/06,11,26,81
2012/12/07,11,26,82
2012/12/08,11,26,87
2012/12/09,11,26,90
2012/12/10,11,27,90
2012/12/11,12,27,87
2012/12/12,12,27,87
2012/12/13,12,26,88
2012/12/14,12,26,89
2012/12/15,12,26,90
2012/12/16,12,27,89
2012/12/17,12,27,88
2012/12/18,12,27,89
