date,map_bmswiki (100+),map_bmswiki (5+),map_bmswiki (all)
2012/08/19,2,11,33
2012/08/20,2,12,35
2012/08/21,2,13,36
2012/08/22,2,13,36
2012/08/23,2,12,37
2012/08/24,2,12,36
2012/08/25,1,12,36
2012/08/26,1,12,38
2012/08/27,1,11,39
2012/08/28,1,11,37
2012/08/29,1,11,40
2012/08/30,1,11,42
2012/08/31,1,11,43
2012/09/01,1,11,44
2012/09/02,1,11,45
2012/09/03,1,11,43
2012/09/04,1,11,44
2012/09/05,1,11,45
2012/09/06,1,11,46
2012/09/07,1,11,46
2012/09/08,1,10,42
2012/09/09,1,10,41
2012/09/10,1,10,41
2012/09/11,1,10,40
2012/09/12,1,10,39
2012/09/13,1,10,39
2012/09/14,1,10,40
2012/09/15,1,10,40
2012/09/16,1,10,40
2012/09/17,1,10,40
2012/09/18,1,9,40
2012/09/19,1,10,39
2012/09/20,1,10,38
2012/09/21,1,9,37
2012/09/22,1,11,38
2012/09/23,1,11,39
2012/09/24,1,11,40
2012/09/25,1,11,39
2012/09/26,1,11,38
2012/09/27,1,11,39
2012/09/28,1,11,37
2012/09/29,1,11,32
2012/09/30,1,11,32
2012/10/01,1,11,30
2012/10/02,1,11,30
2012/10/03,,11,30
2012/10/04,,11,30
2012/10/05,,11,28
2012/10/06,,11,28
2012/10/07,2,13,27
2012/10/08,2,13,25
2012/10/09,2,13,27
2012/10/10,2,14,27
2012/10/11,2,14,27
2012/10/12,2,13,28
2012/10/13,2,12,28
2012/10/14,2,12,28
2012/10/15,2,12,28
2012/10/16,2,13,28
2012/10/17,2,14,27
2012/10/18,2,13,27
2012/10/19,2,13,28
2012/10/20,2,13,29
2012/10/21,2,13,30
2012/10/22,2,13,30
2012/10/23,2,13,29
2012/10/24,2,13,30
2012/10/25,2,13,30
2012/10/26,2,14,30
2012/10/27,2,14,31
2012/10/28,2,14,31
2012/10/29,2,15,35
2012/10/30,2,14,35
2012/10/31,2,14,36
2012/11/01,2,15,34
2012/11/02,2,15,34
2012/11/03,2,15,33
2012/11/04,2,15,33
2012/11/05,2,16,32
2012/11/06,1,16,35
2012/11/07,1,15,35
2012/11/08,1,14,36
2012/11/09,1,13,36
2012/11/10,1,13,36
2012/11/11,1,13,36
2012/11/12,1,13,38
2012/11/13,1,13,38
2012/11/14,1,14,38
2012/11/15,1,13,37
2012/11/16,1,14,38
2012/11/17,1,15,38
2012/11/18,1,16,38
2012/11/19,1,14,37
2012/11/20,1,16,38
2012/11/21,1,15,37
2012/11/22,1,15,38
2012/11/23,1,15,37
2012/11/24,1,14,37
2012/11/25,1,15,40
2012/11/26,1,16,41
2012/11/27,1,16,41
2012/11/28,1,15,37
2012/11/29,1,16,37
2012/11/30,1,18,36
2012/12/01,1,18,37
2012/12/02,1,17,38
2012/12/03,1,17,39
2012/12/04,1,18,39
2012/12/05,1,18,40
2012/12/06,1,18,39
2012/12/07,1,17,38
2012/12/08,1,17,38
2012/12/09,1,17,38
2012/12/10,2,17,41
2012/12/11,3,18,42
2012/12/12,3,17,41
2012/12/13,2,19,41
2012/12/14,1,18,40
2012/12/15,1,19,43
2012/12/16,2,19,42
2012/12/17,2,19,43
2012/12/18,1,19,43
2012/12/19,1,17,42
2012/12/20,1,18,40
2012/12/21,1,18,41
2012/12/22,1,19,41
2012/12/23,1,19,41
2012/12/24,1,19,42
2012/12/25,1,18,41
2012/12/26,2,18,39
2012/12/27,2,18,40
