date,swwiki (100+),swwiki (5+),swwiki (all)
2013/06/07,2,12,55
2013/06/08,2,12,54
2013/06/09,2,12,54
2013/06/10,1,12,56
2013/06/11,,10,58
2013/06/12,,10,60
2013/06/13,,9,58
2013/06/14,,10,59
2013/06/15,,10,60
2013/06/16,,9,57
2013/06/17,,9,59
2013/06/18,,9,61
2013/06/19,,9,62
2013/06/20,,9,62
2013/06/21,,9,60
2013/06/22,,7,60
2013/06/23,,8,61
2013/06/24,1,8,60
2013/06/25,1,8,61
2013/06/26,1,8,61
2013/06/27,1,8,60
2013/06/28,1,8,60
2013/06/29,1,8,57
2013/06/30,1,8,53
2013/07/01,1,8,53
2013/07/02,1,8,53
2013/07/03,1,8,55
2013/07/04,1,8,57
2013/07/05,1,8,55
2013/07/06,1,8,53
2013/07/07,,9,55
2013/07/08,1,9,58
2013/07/09,1,9,59
2013/07/10,1,9,57
2013/07/11,1,9,52
2013/07/12,1,9,56
2013/07/13,1,9,54
2013/07/14,1,10,51
2013/07/15,1,10,51
2013/07/16,1,10,52
2013/07/17,1,10,51
2013/07/18,1,10,49
2013/07/19,1,11,49
2013/07/20,1,10,49
2013/07/21,1,11,50
2013/07/22,1,11,50
2013/07/23,1,11,49
2013/07/24,,12,50
2013/07/25,,12,49
2013/07/26,,11,52
2013/07/27,,10,49
2013/07/28,,10,49
2013/07/29,,10,49
2013/07/30,,10,49
2013/07/31,,10,46
2013/08/01,,10,48
2013/08/02,,11,47
2013/08/03,,11,45
2013/08/04,,11,45
2013/08/05,,11,45
2013/08/06,,11,47
2013/08/07,,11,46
2013/08/08,,11,45
2013/08/09,,11,44
2013/08/10,,11,44
2013/08/11,,10,42
2013/08/12,,10,45
2013/08/13,,10,45
2013/08/14,,12,45
2013/08/15,,13,45
2013/08/16,,14,47
2013/08/17,,15,47
2013/08/18,,14,47
2013/08/19,1,14,47
2013/08/20,1,14,47
2013/08/21,1,12,46
2013/08/22,1,12,46
2013/08/23,1,12,41
2013/08/24,1,12,41
2013/08/25,1,12,37
2013/08/26,1,12,39
2013/08/27,1,12,39
2013/08/28,1,12,39
2013/08/29,1,13,41
2013/08/30,1,13,42
2013/08/31,1,13,40
2013/09/01,1,13,42
2013/09/02,1,13,42
2013/09/03,1,12,42
2013/09/04,1,12,42
2013/09/05,1,11,39
2013/09/06,1,11,40
2013/09/07,1,12,39
2013/09/08,1,12,39
2013/09/09,1,11,40
2013/09/10,1,12,41
2013/09/11,1,11,37
2013/09/12,1,11,37
2013/09/13,1,11,37
2013/09/14,1,10,37
2013/09/15,1,9,36
2013/09/16,1,10,37
2013/09/17,1,10,38
2013/09/18,,11,40
2013/09/19,,11,40
2013/09/20,,11,42
2013/09/21,,10,41
2013/09/22,,10,41
2013/09/23,,10,39
2013/09/24,,10,40
2013/09/25,,9,38
2013/09/26,,10,39
2013/09/27,1,10,39
2013/09/28,1,10,37
2013/09/29,1,9,38
2013/09/30,1,9,41
2013/10/01,1,9,41
2013/10/02,1,10,40
2013/10/03,1,10,38
2013/10/04,1,11,40
2013/10/05,1,11,41
2013/10/06,1,11,41
2013/10/07,1,11,42
2013/10/08,1,11,43
2013/10/09,1,11,42
2013/10/10,1,10,43
2013/10/11,1,10,45
2013/10/12,1,10,47
2013/10/13,1,10,47
2013/10/14,1,10,48
2013/10/15,1,10,48
2013/10/16,1,10,48
2013/10/17,1,9,46
2013/10/18,1,8,47
2013/10/19,1,8,47
2013/10/20,1,8,46
2013/10/21,1,10,46
2013/10/22,1,10,46
2013/10/23,1,10,47
2013/10/24,1,10,48
2013/10/25,1,10,49
2013/10/26,1,10,51
2013/10/27,,10,50
2013/10/28,,10,49
2013/10/29,,10,48
2013/10/30,,10,48
2013/10/31,,10,50
2013/11/01,,10,51
2013/11/02,,11,49
2013/11/03,,11,48
2013/11/04,,11,47
2013/11/05,,11,46
2013/11/06,,10,46
2013/11/07,,10,46
2013/11/08,,10,46
2013/11/09,,10,46
2013/11/10,,9,45
2013/11/11,,9,43
2013/11/12,,9,44
2013/11/13,,9,42
2013/11/14,,9,43
2013/11/15,,9,41
2013/11/16,1,9,42
2013/11/17,1,9,40
2013/11/18,1,10,42
2013/11/19,1,12,43
2013/11/20,1,13,45
2013/11/21,1,13,45
2013/11/22,1,12,46
2013/11/23,1,12,46
2013/11/24,1,12,45
2013/11/25,1,12,43
2013/11/26,1,12,43
2013/11/27,1,11,43
2013/11/28,1,12,44
2013/11/29,2,13,42
2013/11/30,2,12,41
2013/12/01,2,12,42
2013/12/02,2,12,42
2013/12/03,2,12,43
2013/12/04,2,12,43
2013/12/05,2,12,45
2013/12/06,2,12,48
2013/12/07,2,12,50
2013/12/08,2,12,53
2013/12/09,2,12,55
2013/12/10,2,13,54
2013/12/11,2,13,55
2013/12/12,2,13,55
2013/12/13,2,13,55
2013/12/14,2,12,54
2013/12/15,2,12,54
2013/12/16,3,12,53
2013/12/17,3,12,52
2013/12/18,3,11,51
2013/12/19,3,11,51
2013/12/20,3,10,49
2013/12/21,2,10,50
2013/12/22,2,10,48
2013/12/23,2,10,51
2013/12/24,2,10,52
2013/12/25,2,11,51
2013/12/26,2,11,50
2013/12/27,2,11,51
2013/12/28,2,12,51
2013/12/29,1,12,50
2013/12/30,1,12,51
2013/12/31,1,10,50
2014/01/01,1,10,48
2014/01/02,1,9,46
2014/01/03,1,9,46
2014/01/04,1,9,47
2014/01/05,1,10,49
2014/01/06,1,10,49
2014/01/07,1,9,49
2014/01/08,1,9,48
2014/01/09,1,9,47
2014/01/10,1,11,50
2014/01/11,1,10,48
2014/01/12,1,11,49
2014/01/13,1,11,48
2014/01/14,2,11,50
2014/01/15,2,12,53
2014/01/16,2,12,55
2014/01/17,1,12,56
2014/01/18,1,13,55
2014/01/19,1,13,55
2014/01/20,1,13,56
2014/01/21,1,13,57
2014/01/22,1,13,54
2014/01/23,1,13,53
2014/01/24,1,12,58
2014/01/25,2,12,58
2014/01/26,2,13,58
2014/01/27,2,13,57
2014/01/28,2,13,58
2014/01/29,2,13,60
2014/01/30,2,13,62
2014/01/31,2,13,64
2014/02/01,2,13,62
2014/02/02,2,13,64
2014/02/03,2,13,65
2014/02/04,2,13,65
2014/02/05,3,13,62
2014/02/06,3,14,63
2014/02/07,3,13,61
2014/02/08,3,13,63
2014/02/09,3,12,65
2014/02/10,3,13,67
2014/02/11,3,12,65
2014/02/12,3,13,65
2014/02/13,3,13,64
2014/02/14,3,12,61
2014/02/15,3,12,59
2014/02/16,3,12,58
2014/02/17,3,13,57
2014/02/18,3,13,57
2014/02/19,3,12,59
2014/02/20,3,12,57
2014/02/21,3,14,58
2014/02/22,2,14,59
2014/02/23,1,14,57
2014/02/24,1,13,57
2014/02/25,1,12,59
2014/02/26,1,12,60
2014/02/27,1,11,59
2014/02/28,1,11,57
2014/03/01,1,11,58
2014/03/02,1,11,55
2014/03/03,1,12,56
2014/03/04,1,12,54
2014/03/05,,12,53
2014/03/06,,10,48
2014/03/07,1,9,47
2014/03/08,1,9,44
2014/03/09,1,9,45
2014/03/10,1,9,43
2014/03/11,1,9,41
2014/03/12,1,9,42
2014/03/13,1,8,44
2014/03/14,1,8,43
2014/03/15,,8,42
2014/03/16,,8,44
2014/03/17,1,8,47
2014/03/18,,7,48
2014/03/19,,6,49
2014/03/20,,7,48
2014/03/21,,7,44
2014/03/22,,7,44
2014/03/23,,8,42
2014/03/24,,8,43
2014/03/25,,8,42
2014/03/26,,9,44
2014/03/27,,9,41
2014/03/28,,9,40
2014/03/29,,9,43
2014/03/30,,10,43
2014/03/31,,10,41
2014/04/01,,10,42
2014/04/02,,10,40
2014/04/03,,10,42
2014/04/04,,12,45
2014/04/05,,12,46
2014/04/06,,12,46
2014/04/07,,12,47
2014/04/08,,12,47
2014/04/09,,12,48
2014/04/10,,12,48
2014/04/11,,11,46
2014/04/12,,11,48
2014/04/13,,11,48
2014/04/14,,11,50
2014/04/15,,13,52
2014/04/16,,14,49
2014/04/17,,14,51
2014/04/18,,14,50
2014/04/19,,13,52
2014/04/20,,13,53
2014/04/21,,14,54
2014/04/22,,12,52
2014/04/23,,12,51
2014/04/24,,12,49
2014/04/25,,13,46
2014/04/26,,13,47
2014/04/27,,11,47
2014/04/28,,11,46
2014/04/29,,11,46
2014/04/30,,11,48
2014/05/01,,11,47
2014/05/02,,11,48
2014/05/03,,11,49
2014/05/04,,9,48
2014/05/05,,9,47
2014/05/06,,9,48
2014/05/07,,9,48
2014/05/08,,9,48
2014/05/09,,9,49
2014/05/10,,9,50
2014/05/11,,9,50
2014/05/12,,9,50
2014/05/13,,9,50
2014/05/14,,9,50
2014/05/15,,9,51
2014/05/16,,8,50
2014/05/17,1,8,49
2014/05/18,1,8,50
2014/05/19,1,8,47
2014/05/20,1,8,49
2014/05/21,1,7,49
2014/05/22,1,7,52
2014/05/23,1,6,52
2014/05/24,1,6,52
2014/05/25,1,5,53
2014/05/26,1,5,53
2014/05/27,1,6,50
2014/05/28,2,6,49
2014/05/29,2,6,49
2014/05/30,2,6,48
2014/05/31,2,6,48
2014/06/01,2,6,49
2014/06/02,2,6,50
2014/06/03,2,6,50
2014/06/04,2,7,50
2014/06/05,2,7,50
2014/06/06,2,8,51
2014/06/07,2,9,49
2014/06/08,2,9,48
2014/06/09,2,9,49
2014/06/10,2,8,50
2014/06/11,2,8,50
2014/06/12,2,9,54
2014/06/13,2,10,57
2014/06/14,2,10,56
2014/06/15,2,11,55
2014/06/16,2,11,55
2014/06/17,2,11,57
2014/06/18,3,12,58
2014/06/19,3,12,57
2014/06/20,3,12,56
2014/06/21,3,13,54
2014/06/22,3,14,52
2014/06/23,3,14,52
2014/06/24,3,15,53
2014/06/25,2,16,53
2014/06/26,2,17,53
2014/06/27,2,17,53
2014/06/28,2,17,52
2014/06/29,2,15,52
2014/06/30,2,15,53
2014/07/01,2,16,51
2014/07/02,2,16,51
2014/07/03,2,16,50
2014/07/04,2,16,49
2014/07/05,2,16,49
2014/07/06,2,15,50
2014/07/07,2,14,51
2014/07/08,2,15,52
2014/07/09,2,15,51
2014/07/10,2,15,49
2014/07/11,2,14,50
2014/07/12,2,12,49
2014/07/13,2,13,49
2014/07/14,2,13,49
2014/07/15,2,13,49
2014/07/16,2,13,49
2014/07/17,2,12,50
2014/07/18,2,12,51
2014/07/19,2,13,50
2014/07/20,2,13,50
2014/07/21,2,12,50
2014/07/22,2,11,50
2014/07/23,2,12,50
2014/07/24,2,10,48
2014/07/25,2,11,48
2014/07/26,2,11,51
2014/07/27,2,11,50
2014/07/28,1,11,49
2014/07/29,1,11,49
2014/07/30,1,10,49
2014/07/31,,10,49
2014/08/01,,10,51
2014/08/02,,10,50
2014/08/03,,10,50
2014/08/04,1,11,51
2014/08/05,1,11,49
2014/08/06,,11,45
2014/08/07,,11,45
2014/08/08,,10,45
2014/08/09,,10,45
2014/08/10,,10,44
2014/08/11,1,10,41
2014/08/12,1,11,43
2014/08/13,1,11,46
2014/08/14,1,11,47
2014/08/15,1,11,46
2014/08/16,1,12,44
2014/08/17,2,12,44
2014/08/18,2,11,43
2014/08/19,2,11,44
2014/08/20,2,11,43
2014/08/21,2,11,42
2014/08/22,2,10,40
2014/08/23,2,10,40
2014/08/24,3,9,41
2014/08/25,3,10,40
2014/08/26,3,10,41
2014/08/27,4,10,42
2014/08/28,4,9,47
2014/08/29,4,8,47
2014/08/30,4,9,49
2014/08/31,4,10,46
2014/09/01,4,11,47
2014/09/02,4,11,45
2014/09/03,4,11,43
2014/09/04,4,12,46
2014/09/05,4,12,48
2014/09/06,4,13,50
2014/09/07,4,13,53
2014/09/08,4,12,51
2014/09/09,4,12,52
2014/09/10,4,12,52
2014/09/11,4,12,51
2014/09/12,4,13,48
2014/09/13,4,13,46
2014/09/14,4,13,46
2014/09/15,4,12,49
