date,swwiki (100+),swwiki (5+),swwiki (all)
2012/08/19,2,12,60
2012/08/20,2,13,58
2012/08/21,2,13,57
2012/08/22,2,13,54
2012/08/23,2,14,54
2012/08/24,2,15,52
2012/08/25,2,14,55
2012/08/26,2,15,52
2012/08/27,2,14,52
2012/08/28,2,13,53
2012/08/29,2,14,54
2012/08/30,2,14,54
2012/08/31,2,15,55
2012/09/01,2,15,58
2012/09/02,2,15,58
2012/09/03,2,16,58
2012/09/04,2,17,58
2012/09/05,2,17,59
2012/09/06,3,17,56
2012/09/07,3,18,58
2012/09/08,2,19,59
2012/09/09,2,19,60
2012/09/10,2,19,61
2012/09/11,2,20,62
2012/09/12,2,20,63
2012/09/13,2,19,64
2012/09/14,3,20,64
2012/09/15,3,20,62
2012/09/16,3,20,60
2012/09/17,3,20,58
2012/09/18,3,20,54
2012/09/19,3,19,55
2012/09/20,3,19,58
2012/09/21,3,19,60
2012/09/22,3,18,57
2012/09/23,3,18,57
2012/09/24,3,18,55
2012/09/25,3,19,57
2012/09/26,3,19,58
2012/09/27,3,19,59
2012/09/28,2,19,59
2012/09/29,2,19,58
2012/09/30,2,19,61
2012/10/01,2,18,58
2012/10/02,3,17,60
2012/10/03,3,16,57
2012/10/04,3,16,56
2012/10/05,3,16,57
2012/10/06,3,16,57
2012/10/07,3,15,54
2012/10/08,3,15,53
2012/10/09,3,15,53
2012/10/10,3,15,51
2012/10/11,3,14,49
2012/10/12,3,14,49
2012/10/13,3,14,51
2012/10/14,2,14,49
2012/10/15,2,13,49
2012/10/16,2,12,48
2012/10/17,2,12,50
2012/10/18,2,12,49
2012/10/19,2,12,50
2012/10/20,2,11,51
2012/10/21,2,11,50
2012/10/22,2,11,50
2012/10/23,2,11,53
2012/10/24,2,11,54
2012/10/25,2,10,50
2012/10/26,2,11,51
2012/10/27,2,11,50
2012/10/28,2,11,49
2012/10/29,2,11,48
2012/10/30,2,11,47
2012/10/31,2,11,49
2012/11/01,2,11,49
2012/11/02,2,12,49
2012/11/03,2,11,51
2012/11/04,3,11,51
2012/11/05,3,10,51
2012/11/06,3,10,52
2012/11/07,3,10,53
2012/11/08,3,12,52
2012/11/09,3,12,51
2012/11/10,3,12,50
2012/11/11,3,11,49
2012/11/12,3,11,50
2012/11/13,2,11,52
2012/11/14,2,12,52
2012/11/15,2,12,51
2012/11/16,2,12,51
2012/11/17,2,12,52
2012/11/18,2,12,50
2012/11/19,2,13,51
2012/11/20,2,13,50
2012/11/21,2,13,51
2012/11/22,2,13,52
2012/11/23,2,13,51
2012/11/24,2,13,51
2012/11/25,2,13,54
2012/11/26,2,14,55
2012/11/27,1,14,55
2012/11/28,1,14,55
2012/11/29,1,14,54
2012/11/30,1,14,54
2012/12/01,1,15,56
2012/12/02,1,15,56
2012/12/03,1,14,56
2012/12/04,1,16,57
2012/12/05,1,16,58
2012/12/06,1,16,58
2012/12/07,1,15,60
2012/12/08,1,14,60
2012/12/09,1,15,60
2012/12/10,1,15,60
2012/12/11,1,14,62
2012/12/12,1,14,59
2012/12/13,1,14,58
2012/12/14,1,14,58
2012/12/15,1,14,58
2012/12/16,1,14,58
2012/12/17,1,16,59
2012/12/18,1,16,60
2012/12/19,1,15,58
2012/12/20,1,13,56
2012/12/21,1,13,55
2012/12/22,1,13,54
2012/12/23,2,13,54
2012/12/24,2,15,57
2012/12/25,2,15,52
2012/12/26,2,14,52
2012/12/27,2,15,53
2012/12/28,3,16,57
2012/12/29,3,16,54
2012/12/30,3,16,53
2012/12/31,3,16,53
2013/01/01,3,16,54
2013/01/02,3,15,56
2013/01/03,3,14,54
2013/01/04,3,14,52
2013/01/05,3,14,52
2013/01/06,3,14,53
2013/01/07,3,14,51
2013/01/08,3,14,55
2013/01/09,3,14,57
2013/01/10,3,14,58
2013/01/11,3,14,60
2013/01/12,3,15,63
2013/01/13,3,16,64
2013/01/14,3,16,65
2013/01/15,3,14,64
2013/01/16,3,13,62
2013/01/17,3,13,59
2013/01/18,3,13,61
2013/01/19,3,13,62
2013/01/20,3,13,65
2013/01/21,3,14,69
2013/01/22,3,13,70
2013/01/23,3,13,69
2013/01/24,3,13,74
2013/01/25,3,14,75
2013/01/26,3,14,73
2013/01/27,2,12,69
2013/01/28,1,12,71
2013/01/29,1,12,72
2013/01/30,1,12,72
2013/01/31,1,13,73
2013/02/01,1,12,72
2013/02/02,1,11,71
2013/02/03,1,11,74
2013/02/04,1,11,74
2013/02/05,2,11,76
2013/02/06,2,11,79
2013/02/07,2,12,76
2013/02/08,1,13,75
2013/02/09,1,13,76
2013/02/10,2,13,76
2013/02/11,2,13,75
2013/02/12,2,13,78
2013/02/13,2,13,76
2013/02/14,2,12,75
2013/02/15,2,11,75
2013/02/16,2,11,76
2013/02/17,2,11,75
2013/02/18,2,10,73
2013/02/19,2,9,72
2013/02/20,2,9,74
2013/02/21,2,9,71
2013/02/22,2,10,69
2013/02/23,2,11,65
2013/02/24,2,11,65
2013/02/25,2,11,64
2013/02/26,2,11,66
2013/02/27,2,11,65
2013/02/28,2,12,63
2013/03/01,2,13,64
2013/03/02,2,13,61
2013/03/03,2,12,60
2013/03/04,2,12,60
2013/03/05,2,13,60
2013/03/06,2,13,58
2013/03/07,2,14,56
2013/03/08,3,15,52
2013/03/09,3,15,52
2013/03/10,3,14,52
2013/03/11,3,14,51
2013/03/12,4,15,52
2013/03/13,4,15,51
2013/03/14,4,15,49
2013/03/15,4,16,52
2013/03/16,4,16,54
2013/03/17,4,16,54
2013/03/18,3,15,53
2013/03/19,3,15,54
2013/03/20,3,15,54
2013/03/21,3,15,54
2013/03/22,3,15,53
2013/03/23,3,15,56
2013/03/24,3,15,55
2013/03/25,3,15,57
2013/03/26,3,15,56
2013/03/27,3,15,55
2013/03/28,3,16,56
2013/03/29,3,15,56
2013/03/30,3,13,57
2013/03/31,3,13,58
2013/04/01,3,13,58
2013/04/02,3,11,59
2013/04/03,3,11,57
2013/04/04,3,10,58
2013/04/05,3,11,59
2013/04/06,3,10,54
2013/04/07,3,11,55
2013/04/08,3,10,55
2013/04/09,3,10,55
2013/04/10,3,12,58
2013/04/11,3,14,57
2013/04/12,3,14,56
2013/04/13,2,14,56
2013/04/14,1,15,55
2013/04/15,1,14,57
2013/04/16,1,14,58
2013/04/17,1,14,57
2013/04/18,1,15,60
2013/04/19,1,15,60
2013/04/20,1,15,62
2013/04/21,1,15,63
2013/04/22,1,15,60
2013/04/23,1,15,62
2013/04/24,1,15,61
2013/04/25,1,15,62
2013/04/26,1,15,62
2013/04/27,1,15,63
2013/04/28,2,16,65
2013/04/29,3,16,63
2013/04/30,3,16,60
2013/05/01,3,15,59
2013/05/02,3,15,60
2013/05/03,3,13,60
2013/05/04,3,13,58
2013/05/05,3,13,57
2013/05/06,3,13,57
2013/05/07,3,13,56
2013/05/08,3,12,56
2013/05/09,3,13,55
2013/05/10,3,13,49
2013/05/11,3,11,48
2013/05/12,4,12,51
2013/05/13,4,13,49
2013/05/14,4,11,51
2013/05/15,4,11,49
2013/05/16,4,12,48
2013/05/17,4,13,50
2013/05/18,3,14,48
2013/05/19,3,13,49
2013/05/20,3,14,45
2013/05/21,3,14,44
2013/05/22,3,14,47
2013/05/23,3,15,46
2013/05/24,3,15,46
2013/05/25,3,15,46
2013/05/26,3,15,48
2013/05/27,3,12,47
2013/05/28,3,13,46
2013/05/29,3,12,46
2013/05/30,3,12,50
2013/05/31,2,12,54
2013/06/01,2,12,55
2013/06/02,1,12,56
2013/06/03,2,12,55
2013/06/04,2,12,54
2013/06/05,2,12,57
2013/06/06,2,12,58
