date,biwiki (100+),biwiki (5+),biwiki (all)
2012/08/19,,13,37
2012/08/20,1,14,38
2012/08/21,1,14,38
2012/08/22,1,14,39
2012/08/23,1,14,39
2012/08/24,1,16,37
2012/08/25,1,14,40
2012/08/26,1,14,38
2012/08/27,1,15,40
2012/08/28,1,15,40
2012/08/29,1,14,39
2012/08/30,1,15,39
2012/08/31,1,13,38
2012/09/01,1,13,39
2012/09/02,1,13,38
2012/09/03,1,13,37
2012/09/04,,12,36
2012/09/05,,12,37
2012/09/06,,12,37
2012/09/07,,12,36
2012/09/08,,12,36
2012/09/09,,11,34
2012/09/10,,12,34
2012/09/11,,12,34
2012/09/12,,11,33
2012/09/13,,11,32
2012/09/14,,11,31
2012/09/15,,12,31
2012/09/16,,12,31
2012/09/17,1,12,31
2012/09/18,,14,31
2012/09/19,,13,29
2012/09/20,,13,29
2012/09/21,,12,27
2012/09/22,,12,29
2012/09/23,,12,28
2012/09/24,,11,26
2012/09/25,,12,26
2012/09/26,,12,24
2012/09/27,,13,24
2012/09/28,,13,24
2012/09/29,,12,23
2012/09/30,,12,24
2012/10/01,,11,22
2012/10/02,,11,22
2012/10/03,,11,22
2012/10/04,,13,23
2012/10/05,,13,21
2012/10/06,,13,21
2012/10/07,,13,19
2012/10/08,,13,19
2012/10/09,,13,19
2012/10/10,,13,19
2012/10/11,,13,19
2012/10/12,1,13,20
2012/10/13,1,13,20
2012/10/14,,13,20
2012/10/15,,13,20
2012/10/16,,13,20
2012/10/17,,12,20
2012/10/18,,12,20
2012/10/19,,11,21
2012/10/20,,11,22
2012/10/21,,11,23
2012/10/22,,11,23
2012/10/23,,11,24
2012/10/24,,11,24
2012/10/25,,11,24
2012/10/26,,9,25
2012/10/27,,10,25
2012/10/28,,10,27
2012/10/29,1,10,28
2012/10/30,1,9,31
2012/10/31,,10,31
2012/11/01,,10,31
2012/11/02,,11,32
2012/11/03,,10,33
2012/11/04,,10,33
2012/11/05,,10,33
2012/11/06,,10,33
2012/11/07,,11,34
2012/11/08,,11,34
2012/11/09,,11,35
2012/11/10,,11,37
2012/11/11,,12,36
2012/11/12,,14,36
2012/11/13,,14,35
2012/11/14,,14,35
2012/11/15,,15,36
2012/11/16,,15,36
2012/11/17,,14,36
2012/11/18,,14,36
2012/11/19,1,15,36
2012/11/20,1,15,35
2012/11/21,,15,34
2012/11/22,,15,33
2012/11/23,1,16,35
2012/11/24,,17,35
2012/11/25,,17,35
2012/11/26,,16,34
2012/11/27,,17,35
2012/11/28,,18,35
