date,bgwiki (100+),bgwiki (5+),bgwiki (all)
2012/08/19,48,284,804
2012/08/20,48,284,800
2012/08/21,49,285,809
2012/08/22,46,284,816
2012/08/23,46,288,823
2012/08/24,46,286,802
2012/08/25,46,289,821
2012/08/26,48,289,818
2012/08/27,49,290,814
2012/08/28,49,292,818
2012/08/29,50,292,820
2012/08/30,50,287,810
2012/08/31,51,287,826
2012/09/01,49,279,823
2012/09/02,52,284,817
2012/09/03,51,281,814
2012/09/04,52,285,818
2012/09/05,52,281,817
2012/09/06,53,284,814
2012/09/07,52,280,802
2012/09/08,51,284,803
2012/09/09,50,282,795
2012/09/10,51,280,793
2012/09/11,55,286,793
2012/09/12,54,288,786
2012/09/13,55,288,782
2012/09/14,55,287,788
2012/09/15,54,287,776
2012/09/16,54,284,778
2012/09/17,56,282,781
2012/09/18,57,288,791
2012/09/19,57,291,790
2012/09/20,55,287,779
2012/09/21,56,287,772
2012/09/22,55,291,776
2012/09/23,58,289,775
2012/09/24,58,283,769
2012/09/25,60,281,777
2012/09/26,60,287,779
2012/09/27,60,284,770
2012/09/28,60,279,771
2012/09/29,60,284,776
2012/09/30,60,287,784
2012/10/01,58,286,791
2012/10/02,55,291,799
2012/10/03,56,299,798
2012/10/04,55,301,797
2012/10/05,56,302,808
2012/10/06,57,298,813
2012/10/07,56,299,814
2012/10/08,57,302,824
2012/10/09,57,306,826
2012/10/10,56,309,824
2012/10/11,57,309,836
2012/10/12,56,306,833
2012/10/13,54,303,843
2012/10/14,52,301,835
2012/10/15,51,303,840
2012/10/16,53,299,833
2012/10/17,53,297,845
2012/10/18,51,301,838
2012/10/19,52,299,848
2012/10/20,52,304,852
2012/10/21,52,300,862
2012/10/22,53,301,864
2012/10/23,49,300,864
2012/10/24,51,304,867
2012/10/25,56,303,869
2012/10/26,54,303,865
2012/10/27,55,301,872
2012/10/28,55,297,867
2012/10/29,56,299,870
2012/10/30,55,297,859
2012/10/31,54,309,873
2012/11/01,53,304,868
2012/11/02,52,299,874
2012/11/03,53,299,877
2012/11/04,52,301,872
2012/11/05,52,298,866
2012/11/06,53,297,861
2012/11/07,53,298,870
2012/11/08,49,292,858
2012/11/09,50,293,855
2012/11/10,51,289,844
2012/11/11,51,298,842
2012/11/12,52,296,831
2012/11/13,54,299,836
2012/11/14,54,299,832
2012/11/15,55,302,833
2012/11/16,55,300,826
2012/11/17,55,296,831
2012/11/18,53,296,831
2012/11/19,52,294,830
2012/11/20,53,293,832
2012/11/21,53,298,824
2012/11/22,54,299,818
2012/11/23,54,297,819
2012/11/24,51,301,815
2012/11/25,49,297,817
2012/11/26,48,300,826
2012/11/27,48,302,834
2012/11/28,49,299,834
2012/11/29,49,296,838
2012/11/30,50,290,830
2012/12/01,48,294,830
2012/12/02,48,293,825
2012/12/03,48,286,833
2012/12/04,50,288,838
2012/12/05,50,284,847
2012/12/06,51,292,863
2012/12/07,51,289,873
2012/12/08,52,287,880
2012/12/09,54,287,888
2012/12/10,53,287,885
2012/12/11,54,290,888
2012/12/12,52,295,899
2012/12/13,55,297,898
2012/12/14,55,297,905
2012/12/15,56,299,906
2012/12/16,56,301,908
2012/12/17,56,299,907
2012/12/18,57,297,896
2012/12/19,57,295,891
2012/12/20,57,299,886
2012/12/21,58,302,890
2012/12/22,57,298,902
2012/12/23,60,304,903
2012/12/24,60,303,905
2012/12/25,60,301,905
2012/12/26,59,295,898
2012/12/27,60,294,890
2012/12/28,59,296,897
2012/12/29,57,302,890
2012/12/30,58,302,894
2012/12/31,61,306,897
2013/01/01,60,307,889
2013/01/02,60,310,890
2013/01/03,61,311,892
2013/01/04,61,315,878
2013/01/05,65,314,879
2013/01/06,61,312,873
2013/01/07,61,314,864
2013/01/08,63,316,874
2013/01/09,60,313,877
2013/01/10,62,307,884
2013/01/11,62,314,885
2013/01/12,64,321,894
2013/01/13,64,330,897
2013/01/14,65,331,911
2013/01/15,64,331,919
2013/01/16,66,330,926
2013/01/17,67,326,927
2013/01/18,68,321,925
2013/01/19,67,321,927
2013/01/20,66,321,946
2013/01/21,66,322,954
2013/01/22,67,326,956
2013/01/23,66,328,955
2013/01/24,65,325,955
2013/01/25,67,333,976
2013/01/26,68,337,991
2013/01/27,68,344,989
2013/01/28,67,343,1000
2013/01/29,67,339,1001
2013/01/30,64,336,1005
2013/01/31,66,338,1016
2013/02/01,67,340,1018
2013/02/02,67,343,1013
2013/02/03,66,341,1021
2013/02/04,64,340,1018
2013/02/05,62,340,1016
2013/02/06,61,344,1016
2013/02/07,62,343,1005
2013/02/08,62,341,1011
2013/02/09,63,348,1013
