date,wawiki (100+),wawiki (5+),wawiki (all)
2012/08/19,5,19,40
2012/08/20,5,20,40
2012/08/21,5,20,41
2012/08/22,5,20,44
2012/08/23,5,20,44
2012/08/24,4,20,46
2012/08/25,5,20,47
2012/08/26,5,19,48
2012/08/27,5,19,48
2012/08/28,5,18,48
2012/08/29,5,18,50
2012/08/30,5,19,50
2012/08/31,5,19,49
2012/09/01,5,20,49
2012/09/02,5,20,49
2012/09/03,5,20,48
2012/09/04,5,20,47
2012/09/05,5,19,47
2012/09/06,5,19,50
2012/09/07,5,19,51
2012/09/08,5,18,52
2012/09/09,5,19,52
2012/09/10,5,19,51
2012/09/11,5,19,52
2012/09/12,5,19,53
2012/09/13,5,19,54
2012/09/14,5,19,53
2012/09/15,5,19,54
2012/09/16,5,19,54
2012/09/17,5,19,54
2012/09/18,5,20,53
2012/09/19,5,19,53
2012/09/20,5,19,54
2012/09/21,5,21,52
2012/09/22,5,21,55
2012/09/23,5,21,54
2012/09/24,5,21,51
2012/09/25,5,21,51
2012/09/26,5,20,51
2012/09/27,5,20,51
2012/09/28,5,19,52
2012/09/29,5,18,51
2012/09/30,5,18,51
2012/10/01,4,17,51
2012/10/02,4,16,51
2012/10/03,4,16,52
2012/10/04,5,17,52
2012/10/05,6,18,52
2012/10/06,6,19,50
2012/10/07,6,19,48
2012/10/08,6,18,47
2012/10/09,6,18,46
2012/10/10,6,19,46
2012/10/11,6,19,45
2012/10/12,6,19,44
2012/10/13,6,19,43
2012/10/14,6,19,45
2012/10/15,6,18,44
2012/10/16,6,18,44
2012/10/17,6,18,44
2012/10/18,6,18,45
2012/10/19,6,18,47
2012/10/20,6,18,47
2012/10/21,6,18,48
2012/10/22,6,20,49
2012/10/23,6,21,47
2012/10/24,6,21,47
2012/10/25,6,20,47
2012/10/26,6,21,48
2012/10/27,6,21,48
2012/10/28,7,22,49
2012/10/29,7,22,48
2012/10/30,7,22,48
2012/10/31,7,23,48
2012/11/01,7,23,48
2012/11/02,7,23,48
2012/11/03,6,22,46
2012/11/04,6,22,45
2012/11/05,6,22,45
2012/11/06,7,22,45
2012/11/07,7,22,44
2012/11/08,7,21,45
2012/11/09,5,21,45
2012/11/10,5,22,44
2012/11/11,5,24,45
2012/11/12,5,24,44
2012/11/13,5,23,42
2012/11/14,5,25,40
2012/11/15,5,25,40
2012/11/16,5,25,40
2012/11/17,6,23,40
2012/11/18,6,23,42
2012/11/19,6,23,41
2012/11/20,6,22,42
2012/11/21,6,22,41
2012/11/22,5,21,41
2012/11/23,5,22,40
2012/11/24,5,22,39
2012/11/25,5,22,40
2012/11/26,5,22,40
2012/11/27,5,22,41
2012/11/28,5,23,41
2012/11/29,5,23,41
