date,hawiki (100+),hawiki (5+),hawiki (all)
2012/08/19,,7,30
2012/08/20,,7,31
2012/08/21,,7,31
2012/08/22,,7,32
2012/08/23,,7,32
2012/08/24,,7,30
2012/08/25,,7,30
2012/08/26,,7,30
2012/08/27,,7,28
2012/08/28,,7,28
2012/08/29,,7,25
2012/08/30,,7,24
2012/08/31,,7,22
2012/09/01,,7,22
2012/09/02,,7,22
2012/09/03,,7,22
2012/09/04,,7,19
2012/09/05,,7,20
2012/09/06,,6,22
2012/09/07,,6,21
2012/09/08,,5,21
2012/09/09,,5,21
2012/09/10,,4,22
2012/09/11,,4,22
2012/09/12,,4,22
2012/09/13,,6,22
2012/09/14,,6,22
2012/09/15,,6,22
2012/09/16,,6,21
2012/09/17,,7,21
2012/09/18,,7,20
2012/09/19,,7,20
2012/09/20,,7,20
2012/09/21,,6,19
2012/09/22,,6,18
2012/09/23,,6,19
2012/09/24,,8,19
2012/09/25,,8,19
2012/09/26,,8,19
2012/09/27,,8,21
2012/09/28,,8,21
2012/09/29,,10,20
2012/09/30,,10,21
2012/10/01,,10,23
2012/10/02,,10,24
2012/10/03,,10,25
2012/10/04,,10,25
2012/10/05,,10,25
2012/10/06,,10,24
2012/10/07,,10,24
2012/10/08,,10,25
2012/10/09,,10,25
2012/10/10,,9,26
2012/10/11,,9,26
2012/10/12,,9,25
2012/10/13,,9,26
2012/10/14,,9,26
2012/10/15,,9,26
2012/10/16,,9,27
2012/10/17,,9,27
2012/10/18,,9,27
2012/10/19,,9,27
2012/10/20,,9,28
2012/10/21,,9,27
2012/10/22,,9,30
2012/10/23,,9,30
2012/10/24,,9,29
2012/10/25,,9,29
2012/10/26,,9,30
2012/10/27,,9,29
2012/10/28,,9,29
2012/10/29,,8,29
2012/10/30,,7,27
2012/10/31,,6,25
2012/11/01,,6,24
2012/11/02,,7,24
2012/11/03,,8,25
2012/11/04,,8,25
2012/11/05,,8,25
2012/11/06,,9,26
2012/11/07,,8,26
2012/11/08,,8,26
2012/11/09,,8,25
2012/11/10,,8,26
2012/11/11,,8,26
2012/11/12,,8,26
2012/11/13,,9,26
2012/11/14,,9,26
2012/11/15,,9,26
2012/11/16,,10,27
2012/11/17,,10,27
