date,szlwiki (100+),szlwiki (5+),szlwiki (all)
2012/08/19,2,17,44
2012/08/20,2,17,42
2012/08/21,2,17,43
2012/08/22,2,16,42
2012/08/23,2,16,42
2012/08/24,2,16,42
2012/08/25,2,15,44
2012/08/26,2,15,43
2012/08/27,2,15,41
2012/08/28,2,15,44
2012/08/29,2,15,45
2012/08/30,2,14,42
2012/08/31,2,14,41
2012/09/01,2,15,42
2012/09/02,2,15,42
2012/09/03,2,15,44
2012/09/04,2,15,46
2012/09/05,2,16,50
2012/09/06,2,15,51
2012/09/07,2,15,50
2012/09/08,2,15,51
2012/09/09,2,16,53
2012/09/10,2,16,53
2012/09/11,2,16,53
2012/09/12,2,16,53
2012/09/13,2,17,53
2012/09/14,2,17,53
2012/09/15,2,18,51
2012/09/16,2,19,53
2012/09/17,2,18,51
2012/09/18,2,18,49
2012/09/19,2,19,49
2012/09/20,2,18,48
2012/09/21,2,17,48
2012/09/22,2,17,46
2012/09/23,2,17,46
2012/09/24,2,16,45
2012/09/25,2,16,45
2012/09/26,2,16,47
2012/09/27,2,17,46
2012/09/28,2,17,45
2012/09/29,2,17,45
2012/09/30,2,16,45
2012/10/01,2,15,44
2012/10/02,2,14,43
2012/10/03,2,14,42
2012/10/04,2,14,42
2012/10/05,2,15,41
2012/10/06,2,15,42
2012/10/07,2,15,43
2012/10/08,2,16,44
2012/10/09,2,16,40
2012/10/10,2,17,38
2012/10/11,2,17,38
2012/10/12,3,18,37
2012/10/13,3,18,35
2012/10/14,3,17,36
2012/10/15,3,16,37
2012/10/16,3,17,35
2012/10/17,3,18,36
2012/10/18,3,18,36
2012/10/19,3,18,37
2012/10/20,3,19,39
2012/10/21,3,20,42
2012/10/22,3,18,44
2012/10/23,3,18,43
2012/10/24,3,19,42
2012/10/25,3,19,45
2012/10/26,3,19,45
2012/10/27,3,19,45
2012/10/28,3,20,46
2012/10/29,4,20,47
2012/10/30,4,21,46
2012/10/31,4,21,47
2012/11/01,4,21,48
2012/11/02,4,21,48
2012/11/03,4,20,48
2012/11/04,4,20,48
2012/11/05,4,20,48
2012/11/06,4,20,48
2012/11/07,4,22,49
2012/11/08,3,23,50
2012/11/09,3,23,49
2012/11/10,3,23,51
2012/11/11,2,23,52
2012/11/12,2,23,52
2012/11/13,2,23,50
2012/11/14,2,22,50
2012/11/15,2,22,51
2012/11/16,2,22,50
2012/11/17,2,22,50
2012/11/18,2,21,51
2012/11/19,2,22,49
2012/11/20,2,21,50
2012/11/21,2,22,50
2012/11/22,3,20,50
2012/11/23,3,21,51
2012/11/24,3,21,48
2012/11/25,3,22,48
2012/11/26,3,23,49
2012/11/27,3,23,49
2012/11/28,3,22,48
2012/11/29,3,22,48
2012/11/30,2,21,48
2012/12/01,2,22,48
2012/12/02,2,22,48
2012/12/03,2,21,46
2012/12/04,2,20,46
2012/12/05,2,19,45
2012/12/06,2,18,46
2012/12/07,3,17,46
2012/12/08,2,17,46
2012/12/09,2,18,48
2012/12/10,2,18,49
2012/12/11,2,18,49
2012/12/12,2,18,48
2012/12/13,2,18,48
2012/12/14,2,18,48
2012/12/15,3,19,47
2012/12/16,3,19,46
2012/12/17,2,19,45
2012/12/18,1,20,44
2012/12/19,2,20,43
2012/12/20,3,20,43
2012/12/21,3,20,40
2012/12/22,3,20,40
2012/12/23,3,20,41
2012/12/24,3,20,42
2012/12/25,3,19,42
2012/12/26,3,19,42
2012/12/27,2,18,41
2012/12/28,2,16,41
2012/12/29,2,16,42
2012/12/30,2,15,44
2012/12/31,2,17,43
2013/01/01,2,17,44
2013/01/02,2,18,44
2013/01/03,2,19,43
2013/01/04,2,21,44
2013/01/05,2,19,44
2013/01/06,2,19,44
2013/01/07,2,18,43
2013/01/08,2,19,44
2013/01/09,2,19,42
2013/01/10,2,19,39
2013/01/11,2,18,40
2013/01/12,2,19,41
2013/01/13,2,20,43
2013/01/14,2,19,44
2013/01/15,2,21,43
2013/01/16,2,21,43
2013/01/17,2,21,43
2013/01/18,2,22,42
2013/01/19,2,21,42
2013/01/20,2,21,41
2013/01/21,2,20,41
2013/01/22,2,20,39
2013/01/23,2,20,39
2013/01/24,2,20,40
2013/01/25,2,19,39
2013/01/26,2,19,39
2013/01/27,2,19,39
2013/01/28,2,18,38
2013/01/29,2,18,39
2013/01/30,2,17,41
2013/01/31,2,17,40
2013/02/01,2,17,40
2013/02/02,2,17,40
2013/02/03,2,15,41
2013/02/04,2,15,41
2013/02/05,2,15,41
2013/02/06,2,15,41
2013/02/07,2,16,40
2013/02/08,2,16,39
2013/02/09,2,17,38
2013/02/10,3,18,38
2013/02/11,2,18,39
2013/02/12,3,18,37
2013/02/13,3,18,38
2013/02/14,3,17,39
2013/02/15,3,17,38
2013/02/16,3,17,41
2013/02/17,2,18,42
2013/02/18,3,17,44
2013/02/19,3,18,44
2013/02/20,3,18,46
2013/02/21,3,18,46
2013/02/22,3,18,45
2013/02/23,2,18,45
2013/02/24,2,18,45
2013/02/25,2,18,45
2013/02/26,2,18,44
2013/02/27,2,18,43
2013/02/28,2,18,41
2013/03/01,2,18,39
2013/03/02,2,18,39
2013/03/03,1,18,39
2013/03/04,1,18,40
2013/03/05,2,18,41
2013/03/06,2,18,40
2013/03/07,2,18,42
2013/03/08,3,19,43
2013/03/09,3,19,43
2013/03/10,3,19,44
2013/03/11,3,19,44
2013/03/12,3,20,43
2013/03/13,3,20,41
2013/03/14,3,20,41
2013/03/15,3,20,40
2013/03/16,3,18,38
2013/03/17,3,17,39
2013/03/18,3,16,37
2013/03/19,3,16,37
2013/03/20,3,16,34
2013/03/21,3,16,34
2013/03/22,3,16,35
2013/03/23,3,16,34
2013/03/24,2,16,34
2013/03/25,2,14,35
2013/03/26,2,14,34
2013/03/27,2,14,34
2013/03/28,2,13,35
2013/03/29,2,13,34
2013/03/30,2,13,33
2013/03/31,2,12,33
2013/04/01,2,12,34
2013/04/02,2,12,33
2013/04/03,2,12,31
2013/04/04,2,11,25
2013/04/05,2,8,23
2013/04/06,2,5,20
2013/04/07,2,5,19
2013/04/08,2,4,19
2013/04/09,2,4,17
2013/04/10,2,4,19
2013/04/11,1,4,19
2013/04/12,,5,20
2013/04/13,,5,21
2013/04/14,,5,20
2013/04/15,1,5,22
2013/04/16,1,5,22
2013/04/17,1,4,22
2013/04/18,1,4,21
2013/04/19,1,4,22
2013/04/20,1,4,23
2013/04/21,1,4,22
2013/04/22,1,4,23
2013/04/23,1,4,24
2013/04/24,1,4,23
2013/04/25,1,4,23
2013/04/26,1,4,23
2013/04/27,1,4,23
2013/04/28,1,4,22
2013/04/29,1,4,22
2013/04/30,1,4,22
2013/05/01,1,4,22
2013/05/02,1,4,21
2013/05/03,1,3,20
2013/05/04,,3,21
2013/05/05,,3,21
2013/05/06,,3,20
2013/05/07,,3,20
2013/05/08,,3,19
2013/05/09,,3,19
2013/05/10,,3,18
2013/05/11,,3,19
2013/05/12,,3,18
2013/05/13,,3,18
2013/05/14,,3,18
2013/05/15,,3,18
2013/05/16,,3,19
2013/05/17,,3,19
2013/05/18,,3,19
2013/05/19,,4,20
2013/05/20,,4,19
2013/05/21,,4,20
2013/05/22,,4,20
2013/05/23,,4,19
2013/05/24,,4,20
2013/05/25,,5,20
2013/05/26,,5,21
2013/05/27,,5,20
2013/05/28,,5,21
2013/05/29,1,5,22
2013/05/30,1,5,23
2013/05/31,1,5,23
2013/06/01,1,5,23
2013/06/02,1,5,24
2013/06/03,1,5,23
2013/06/04,1,5,21
2013/06/05,1,5,21
2013/06/06,1,5,21
2013/06/07,1,5,20
2013/06/08,1,5,21
2013/06/09,1,5,21
2013/06/10,1,5,21
2013/06/11,1,5,25
2013/06/12,1,5,24
2013/06/13,1,5,24
2013/06/14,1,5,24
2013/06/15,1,5,24
2013/06/16,1,5,23
2013/06/17,1,5,23
