date,xhwiki (100+),xhwiki (5+),xhwiki (all)
2012/08/19,,7,18
2012/08/20,,6,18
2012/08/21,,6,18
2012/08/22,,7,18
2012/08/23,,7,20
2012/08/24,,7,20
2012/08/25,,7,20
2012/08/26,,7,19
2012/08/27,,7,19
2012/08/28,,6,20
2012/08/29,,8,21
2012/08/30,,8,21
2012/08/31,,9,22
2012/09/01,,9,23
2012/09/02,,9,23
2012/09/03,,9,24
2012/09/04,,8,25
2012/09/05,,8,24
2012/09/06,,8,24
2012/09/07,,8,23
2012/09/08,,8,23
2012/09/09,,9,24
2012/09/10,,9,25
2012/09/11,,9,26
2012/09/12,,9,25
2012/09/13,,9,25
2012/09/14,,9,25
2012/09/15,,9,25
2012/09/16,,9,25
2012/09/17,,9,25
2012/09/18,,9,25
2012/09/19,,10,25
2012/09/20,,10,25
2012/09/21,,9,24
2012/09/22,,9,23
2012/09/23,,10,24
2012/09/24,,10,23
2012/09/25,,11,24
2012/09/26,,11,24
2012/09/27,,11,25
2012/09/28,,11,25
2012/09/29,,11,25
2012/09/30,,11,24
2012/10/01,,10,24
2012/10/02,,10,25
2012/10/03,,10,26
2012/10/04,,10,25
2012/10/05,,10,24
2012/10/06,,10,24
2012/10/07,,10,23
2012/10/08,,10,23
2012/10/09,,10,22
2012/10/10,,10,21
2012/10/11,,10,21
2012/10/12,,10,21
2012/10/13,,9,21
2012/10/14,,9,21
2012/10/15,,8,21
2012/10/16,,8,22
2012/10/17,,8,22
2012/10/18,,8,22
2012/10/19,,8,22
2012/10/20,,8,22
2012/10/21,,8,22
2012/10/22,,9,22
2012/10/23,,8,20
2012/10/24,,8,20
2012/10/25,,6,19
2012/10/26,,6,20
2012/10/27,,6,19
2012/10/28,,6,19
2012/10/29,,5,19
2012/10/30,,5,20
2012/10/31,,5,20
2012/11/01,,5,19
2012/11/02,,5,18
2012/11/03,,5,18
2012/11/04,,5,17
2012/11/05,,5,17
2012/11/06,,5,17
2012/11/07,,5,17
2012/11/08,,5,18
2012/11/09,,5,17
2012/11/10,,5,17
2012/11/11,,6,17
2012/11/12,,6,17
2012/11/13,,6,18
2012/11/14,,6,18
2012/11/15,,6,18
2012/11/16,,6,18
2012/11/17,,6,17
2012/11/18,,6,17
2012/11/19,,6,17
2012/11/20,,6,17
2012/11/21,,6,17
2012/11/22,,6,17
2012/11/23,,6,16
2012/11/24,,6,16
2012/11/25,,6,16
2012/11/26,,7,16
2012/11/27,,7,18
2012/11/28,,6,21
2012/11/29,,6,19
2012/11/30,,6,19
2012/12/01,,6,19
2012/12/02,,6,18
2012/12/03,,7,17
2012/12/04,,8,18
2012/12/05,,8,18
2012/12/06,,8,19
2012/12/07,,9,19
2012/12/08,,9,20
2012/12/09,,9,20
2012/12/10,,9,21
2012/12/11,,9,21
2012/12/12,,9,21
2012/12/13,,9,21
2012/12/14,,9,22
2012/12/15,,9,22
2012/12/16,,9,23
2012/12/17,,9,24
2012/12/18,,9,24
2012/12/19,,9,24
2012/12/20,,9,24
2012/12/21,,9,24
2012/12/22,,9,24
2012/12/23,,10,24
2012/12/24,,9,24
2012/12/25,,9,24
2012/12/26,,8,24
2012/12/27,,8,23
2012/12/28,,8,24
2012/12/29,,8,23
2012/12/30,,8,25
2012/12/31,,8,26
2013/01/01,,8,27
2013/01/02,,8,27
2013/01/03,,8,26
2013/01/04,,8,27
2013/01/05,,8,26
2013/01/06,,7,25
2013/01/07,,7,24
2013/01/08,,7,24
2013/01/09,,7,22
2013/01/10,,7,22
2013/01/11,,7,21
2013/01/12,,7,20
2013/01/13,,7,20
2013/01/14,,7,21
2013/01/15,,7,20
2013/01/16,,7,20
2013/01/17,,7,20
2013/01/18,,7,21
2013/01/19,,7,21
2013/01/20,,6,21
2013/01/21,,7,21
2013/01/22,,6,21
2013/01/23,,6,21
2013/01/24,,6,21
2013/01/25,,6,21
2013/01/26,,7,20
2013/01/27,,7,19
2013/01/28,,6,18
2013/01/29,,6,16
2013/01/30,,4,14
2013/01/31,,4,13
2013/02/01,,4,13
2013/02/02,,4,13
2013/02/03,,4,11
2013/02/04,,4,10
2013/02/05,,4,10
2013/02/06,,4,12
2013/02/07,,4,12
2013/02/08,,4,12
2013/02/09,,4,13
2013/02/10,,4,13
2013/02/11,,4,13
2013/02/12,,4,16
2013/02/13,,4,17
2013/02/14,,4,18
2013/02/15,,4,18
2013/02/16,,4,20
2013/02/17,,4,18
2013/02/18,,4,18
2013/02/19,,4,18
2013/02/20,,4,18
2013/02/21,,4,18
2013/02/22,,4,18
2013/02/23,,4,18
2013/02/24,,4,19
2013/02/25,,4,18
2013/02/26,,4,19
2013/02/27,,4,19
2013/02/28,,4,19
2013/03/01,,4,19
2013/03/02,,4,19
2013/03/03,,4,21
2013/03/04,,3,24
2013/03/05,,4,27
2013/03/06,,4,28
2013/03/07,,4,28
2013/03/08,1,6,29
2013/03/09,1,6,29
2013/03/10,1,6,29
2013/03/11,1,6,29
2013/03/12,1,6,28
2013/03/13,1,6,28
2013/03/14,1,5,25
2013/03/15,1,5,24
2013/03/16,1,5,24
2013/03/17,1,6,27
2013/03/18,1,6,25
2013/03/19,1,6,25
2013/03/20,1,6,25
2013/03/21,1,5,25
2013/03/22,1,5,25
2013/03/23,1,5,25
2013/03/24,1,5,25
2013/03/25,1,4,25
2013/03/26,1,4,25
2013/03/27,1,4,24
2013/03/28,1,4,24
2013/03/29,1,3,24
2013/03/30,1,3,24
2013/03/31,1,3,24
2013/04/01,1,3,23
2013/04/02,1,3,21
2013/04/03,1,3,18
2013/04/04,1,2,10
2013/04/05,1,2,11
2013/04/06,1,2,10
2013/04/07,,2,7
2013/04/08,,1,6
2013/04/09,,1,6
2013/04/10,,1,6
2013/04/11,,1,6
2013/04/12,,1,6
2013/04/13,,1,6
2013/04/14,,1,6
2013/04/15,,1,7
2013/04/16,,,4
2013/04/17,,,4
2013/04/18,,,4
2013/04/19,,,4
2013/04/20,,,4
2013/04/21,,,5
2013/04/22,,,5
2013/04/23,,,5
2013/04/24,,,5
2013/04/25,,,5
2013/04/26,,,5
2013/04/27,,,5
2013/04/28,,,5
2013/04/29,,,7
2013/04/30,,,7
2013/05/01,,,8
2013/05/02,,,8
2013/05/03,,,7
2013/05/04,,,7
2013/05/05,,,5
2013/05/06,,,5
2013/05/07,,,5
2013/05/08,,,5
2013/05/09,,,5
2013/05/10,,,5
2013/05/11,,,5
2013/05/12,,,5
2013/05/13,,,5
2013/05/14,,,5
2013/05/15,,,4
2013/05/16,,,4
2013/05/17,,,4
2013/05/18,,,4
2013/05/19,,,4
2013/05/20,,,4
2013/05/21,,,3
2013/05/22,,,3
2013/05/23,,,3
2013/05/24,,,3
2013/05/25,,,3
2013/05/26,,,3
2013/05/27,,,3
2013/05/28,,,10
2013/05/29,,,9
2013/05/30,,,9
2013/05/31,,,9
2013/06/01,,,9
2013/06/02,,,8
2013/06/03,,,8
2013/06/04,,,8
2013/06/05,,,8
2013/06/06,,,8
2013/06/07,,,8
2013/06/08,,,8
2013/06/09,,,8
2013/06/10,,,8
2013/06/11,,,9
2013/06/12,,,9
2013/06/13,,,9
2013/06/14,,,9
2013/06/15,,,9
2013/06/16,,,9
2013/06/17,,,9
2013/06/18,,,9
2013/06/19,,,9
2013/06/20,,,9
2013/06/21,,,10
2013/06/22,,,10
2013/06/23,,,10
2013/06/24,,,10
2013/06/25,,,10
2013/06/26,,,10
2013/06/27,,,3
2013/06/28,,,2
2013/06/29,,,2
2013/06/30,,,3
2013/07/01,,,3
2013/07/02,,,12
2013/07/03,,,13
2013/07/04,,,13
2013/07/05,,,13
2013/07/06,,,13
2013/07/07,,,14
2013/07/08,,,14
2013/07/09,,,14
2013/07/10,,,14
