date,ikwiki (100+),ikwiki (5+),ikwiki (all)
2012/08/19,,13,29
2012/08/20,,12,29
2012/08/21,,12,28
2012/08/22,,12,28
2012/08/23,,12,28
2012/08/24,,12,26
2012/08/25,,12,26
2012/08/26,,12,26
2012/08/27,,12,27
2012/08/28,,13,27
2012/08/29,,12,29
2012/08/30,,12,29
2012/08/31,,12,27
2012/09/01,,11,27
2012/09/02,,11,26
2012/09/03,,11,26
2012/09/04,,11,27
2012/09/05,,11,27
2012/09/06,,10,27
2012/09/07,,10,26
2012/09/08,,10,25
2012/09/09,,10,24
2012/09/10,,10,24
2012/09/11,,10,24
2012/09/12,,11,22
2012/09/13,,11,22
2012/09/14,,12,21
2012/09/15,,12,22
2012/09/16,,12,22
2012/09/17,,12,21
2012/09/18,,11,21
2012/09/19,,10,21
2012/09/20,,10,22
2012/09/21,,11,21
2012/09/22,,11,22
2012/09/23,,11,22
2012/09/24,,11,22
2012/09/25,,10,22
2012/09/26,,10,20
2012/09/27,,10,21
2012/09/28,,10,19
2012/09/29,,10,19
2012/09/30,,10,20
2012/10/01,,10,20
2012/10/02,,10,21
2012/10/03,,10,21
2012/10/04,,10,21
2012/10/05,,10,20
2012/10/06,,10,20
2012/10/07,,10,19
2012/10/08,,10,19
2012/10/09,,10,19
2012/10/10,,10,19
2012/10/11,,10,19
2012/10/12,,10,21
2012/10/13,,10,21
2012/10/14,,9,22
2012/10/15,,8,22
2012/10/16,,8,23
2012/10/17,,8,23
2012/10/18,,8,23
2012/10/19,,8,22
2012/10/20,,8,23
2012/10/21,,8,24
2012/10/22,,7,23
2012/10/23,,7,23
2012/10/24,,7,26
2012/10/25,,7,28
2012/10/26,,7,28
2012/10/27,,7,27
2012/10/28,,7,27
2012/10/29,,6,28
2012/10/30,,6,27
2012/10/31,,7,28
2012/11/01,,7,27
2012/11/02,,7,28
2012/11/03,,8,29
2012/11/04,,9,29
2012/11/05,,9,29
2012/11/06,,10,29
2012/11/07,,10,29
2012/11/08,,10,29
2012/11/09,,10,28
2012/11/10,,10,28
2012/11/11,,9,26
2012/11/12,,9,27
2012/11/13,,10,28
2012/11/14,,10,28
2012/11/15,,10,29
2012/11/16,,9,29
2012/11/17,,10,29
2012/11/18,,11,28
2012/11/19,,11,27
2012/11/20,,11,26
2012/11/21,,11,25
2012/11/22,,11,27
2012/11/23,,10,27
2012/11/24,,11,26
