date,tswiki (100+),tswiki (5+),tswiki (all)
2012/08/19,,8,28
2012/08/20,,7,28
2012/08/21,,7,27
2012/08/22,,7,23
2012/08/23,,7,24
2012/08/24,,7,26
2012/08/25,,7,27
2012/08/26,,8,25
2012/08/27,,8,26
2012/08/28,,8,25
2012/08/29,,8,25
2012/08/30,,8,25
2012/08/31,,8,25
2012/09/01,,8,25
2012/09/02,,8,25
2012/09/03,,7,25
2012/09/04,,7,27
2012/09/05,,7,27
2012/09/06,,7,28
2012/09/07,,8,29
2012/09/08,,7,28
2012/09/09,,8,28
2012/09/10,,8,29
2012/09/11,,8,30
2012/09/12,,9,30
2012/09/13,,9,30
2012/09/14,,9,31
2012/09/15,,9,31
2012/09/16,,9,31
2012/09/17,,9,31
2012/09/18,,9,31
2012/09/19,,10,29
2012/09/20,,10,29
2012/09/21,,10,28
2012/09/22,,10,27
2012/09/23,,10,25
2012/09/24,,10,26
2012/09/25,,10,27
2012/09/26,,10,27
2012/09/27,,10,29
2012/09/28,,10,28
2012/09/29,,10,27
2012/09/30,,10,30
2012/10/01,,10,29
2012/10/02,,10,31
2012/10/03,,10,31
2012/10/04,,11,32
2012/10/05,,11,31
2012/10/06,,10,30
2012/10/07,,10,27
2012/10/08,,10,27
2012/10/09,,10,27
2012/10/10,,10,26
2012/10/11,,10,26
2012/10/12,,10,27
2012/10/13,,9,28
2012/10/14,,9,30
2012/10/15,,9,30
2012/10/16,,9,31
2012/10/17,,9,33
2012/10/18,,9,33
2012/10/19,,8,33
2012/10/20,,8,35
2012/10/21,,8,35
2012/10/22,,8,36
2012/10/23,,8,36
2012/10/24,,8,35
2012/10/25,,8,36
2012/10/26,,7,37
2012/10/27,,7,34
2012/10/28,,7,34
2012/10/29,,7,34
2012/10/30,,7,33
2012/10/31,,7,33
2012/11/01,,7,32
2012/11/02,,8,32
2012/11/03,,7,33
2012/11/04,,7,34
2012/11/05,,7,32
2012/11/06,,7,32
2012/11/07,,7,32
2012/11/08,,7,34
2012/11/09,,7,34
2012/11/10,,7,35
2012/11/11,,7,34
2012/11/12,,7,34
2012/11/13,,7,32
2012/11/14,,7,32
2012/11/15,,7,31
2012/11/16,,7,29
2012/11/17,,8,29
2012/11/18,,8,29
2012/11/19,,8,27
2012/11/20,,8,26
2012/11/21,,8,25
2012/11/22,,8,26
2012/11/23,,8,25
2012/11/24,,8,26
2012/11/25,,8,28
2012/11/26,,8,29
2012/11/27,,9,32
2012/11/28,,8,33
2012/11/29,,8,32
2012/11/30,,8,33
2012/12/01,,8,33
2012/12/02,,8,34
2012/12/03,,9,34
2012/12/04,,9,32
2012/12/05,,9,32
2012/12/06,,9,32
2012/12/07,,9,32
2012/12/08,,10,31
2012/12/09,,10,31
2012/12/10,,10,30
2012/12/11,,10,31
2012/12/12,,10,30
2012/12/13,,10,30
