date,stqwiki (100+),stqwiki (5+),stqwiki (all)
2013/04/01,2,14,24
2013/04/02,2,13,26
2013/04/03,2,12,26
2013/04/04,2,9,24
2013/04/05,2,8,20
2013/04/06,2,7,15
2013/04/07,2,7,16
2013/04/08,2,7,18
2013/04/09,2,7,18
2013/04/10,1,7,19
2013/04/11,1,7,18
2013/04/12,1,6,17
2013/04/13,1,6,18
2013/04/14,1,7,19
2013/04/15,1,7,19
2013/04/16,1,7,19
2013/04/17,1,7,20
2013/04/18,1,7,21
2013/04/19,1,7,22
2013/04/20,1,7,23
2013/04/21,1,7,23
2013/04/22,1,7,23
2013/04/23,1,6,23
2013/04/24,1,6,23
2013/04/25,1,6,23
2013/04/26,1,6,22
2013/04/27,1,5,21
2013/04/28,1,5,20
2013/04/29,1,5,20
2013/04/30,1,6,20
2013/05/01,1,6,20
2013/05/02,1,6,18
2013/05/03,1,5,17
2013/05/04,1,5,17
2013/05/05,1,6,17
2013/05/06,1,6,18
2013/05/07,1,6,18
2013/05/08,1,5,18
2013/05/09,1,5,17
2013/05/10,1,4,17
2013/05/11,1,4,17
2013/05/12,,4,17
2013/05/13,,3,16
2013/05/14,,2,16
2013/05/15,,2,17
2013/05/16,,2,16
2013/05/17,,2,15
2013/05/18,,2,13
2013/05/19,,2,13
2013/05/20,,3,12
2013/05/21,,3,13
2013/05/22,,4,14
2013/05/23,,4,14
2013/05/24,,4,14
2013/05/25,,4,15
2013/05/26,,4,15
2013/05/27,,4,15
2013/05/28,,4,15
2013/05/29,,4,15
2013/05/30,,4,16
2013/05/31,,4,15
2013/06/01,,4,17
2013/06/02,,4,17
2013/06/03,,4,17
2013/06/04,,3,16
2013/06/05,,3,15
2013/06/06,,3,15
2013/06/07,,3,17
2013/06/08,,3,18
2013/06/09,,3,17
2013/06/10,,3,17
2013/06/11,,3,17
2013/06/12,,3,19
2013/06/13,,4,20
2013/06/14,,4,19
2013/06/15,,4,20
2013/06/16,,4,20
2013/06/17,,4,21
2013/06/18,,4,24
2013/06/19,,6,24
2013/06/20,,6,23
2013/06/21,,6,23
2013/06/22,,6,24
2013/06/23,,6,25
2013/06/24,,6,24
2013/06/25,,6,24
2013/06/26,,6,24
2013/06/27,,6,25
2013/06/28,,6,25
2013/06/29,,6,24
2013/06/30,,6,24
2013/07/01,,6,23
2013/07/02,,5,23
2013/07/03,,5,24
2013/07/04,,5,25
2013/07/05,,5,24
2013/07/06,,6,25
2013/07/07,,7,23
2013/07/08,,7,22
2013/07/09,,7,22
2013/07/10,,7,22
2013/07/11,,7,21
2013/07/12,,7,21
2013/07/13,,4,21
2013/07/14,,4,21
2013/07/15,,4,20
2013/07/16,,4,21
2013/07/17,,4,21
2013/07/18,,3,19
2013/07/19,,3,17
2013/07/20,,3,17
2013/07/21,,3,17
2013/07/22,,3,17
2013/07/23,,3,16
2013/07/24,,3,17
2013/07/25,,3,19
2013/07/26,,3,19
2013/07/27,,4,19
2013/07/28,,4,19
2013/07/29,,4,18
2013/07/30,,4,18
2013/07/31,,4,18
2013/08/01,,4,18
2013/08/02,,4,15
2013/08/03,,4,16
2013/08/04,,4,16
2013/08/05,,4,16
2013/08/06,,4,16
2013/08/07,,5,16
2013/08/08,,5,15
2013/08/09,,5,15
2013/08/10,,5,15
2013/08/11,,5,15
2013/08/12,,5,16
2013/08/13,,4,14
2013/08/14,,4,15
2013/08/15,,4,14
2013/08/16,,4,14
2013/08/17,,4,15
2013/08/18,,4,15
2013/08/19,,6,15
2013/08/20,,6,15
2013/08/21,,7,15
2013/08/22,,6,15
2013/08/23,,6,14
2013/08/24,,6,14
2013/08/25,,6,13
2013/08/26,,6,13
2013/08/27,,7,13
2013/08/28,,7,14
2013/08/29,,6,14
2013/08/30,,6,14
2013/08/31,,6,14
2013/09/01,,6,13
2013/09/02,,6,13
2013/09/03,,6,13
2013/09/04,,6,14
2013/09/05,,5,14
2013/09/06,,6,14
2013/09/07,,6,14
2013/09/08,,6,13
2013/09/09,,6,13
2013/09/10,,6,13
2013/09/11,,6,12
2013/09/12,,6,13
2013/09/13,,6,12
2013/09/14,,6,12
2013/09/15,,6,12
2013/09/16,,6,11
2013/09/17,,6,11
2013/09/18,,4,10
2013/09/19,,4,10
2013/09/20,,4,11
2013/09/21,,4,12
2013/09/22,,5,12
2013/09/23,,5,11
2013/09/24,,5,11
2013/09/25,,5,11
2013/09/26,,4,10
2013/09/27,,4,9
2013/09/28,,4,10
2013/09/29,,4,10
2013/09/30,,4,10
2013/10/01,,4,11
2013/10/02,,4,12
2013/10/03,,4,13
2013/10/04,,4,13
2013/10/05,,4,13
2013/10/06,,3,12
2013/10/07,,3,12
2013/10/08,,3,12
2013/10/09,,3,12
2013/10/10,,3,13
2013/10/11,,3,13
2013/10/12,,3,14
2013/10/13,,3,14
2013/10/14,,3,15
2013/10/15,,3,16
2013/10/16,,3,16
2013/10/17,,3,16
2013/10/18,,3,16
2013/10/19,,3,17
2013/10/20,,3,17
2013/10/21,,2,17
2013/10/22,,2,16
2013/10/23,,2,16
2013/10/24,,1,16
2013/10/25,,1,16
2013/10/26,,1,17
2013/10/27,,1,16
2013/10/28,,1,15
2013/10/29,,1,16
2013/10/30,,1,17
2013/10/31,,1,18
2013/11/01,,1,18
2013/11/02,,1,17
2013/11/03,,1,16
2013/11/04,,1,16
2013/11/05,,1,16
2013/11/06,,1,16
2013/11/07,,1,16
2013/11/08,,1,17
2013/11/09,,1,16
2013/11/10,,1,16
2013/11/11,,1,15
2013/11/12,,1,15
2013/11/13,,1,14
2013/11/14,,1,15
2013/11/15,,1,13
2013/11/16,,1,13
2013/11/17,,1,11
2013/11/18,,1,11
2013/11/19,,1,11
2013/11/20,,1,11
2013/11/21,,1,11
2013/11/22,,1,11
2013/11/23,,,11
2013/11/24,,,11
2013/11/25,,,10
2013/11/26,,,10
2013/11/27,,,9
2013/11/28,,1,10
