date,stqwiki (100+),stqwiki (5+),stqwiki (all)
2012/08/19,5,23,46
2012/08/20,5,23,45
2012/08/21,5,22,46
2012/08/22,5,23,45
2012/08/23,5,23,45
2012/08/24,5,24,46
2012/08/25,5,23,48
2012/08/26,6,24,46
2012/08/27,6,24,46
2012/08/28,6,21,48
2012/08/29,5,20,48
2012/08/30,4,20,48
2012/08/31,4,20,49
2012/09/01,4,20,50
2012/09/02,4,22,52
2012/09/03,4,21,52
2012/09/04,4,21,53
2012/09/05,4,22,54
2012/09/06,4,21,54
2012/09/07,4,21,54
2012/09/08,4,21,53
2012/09/09,4,22,54
2012/09/10,4,22,53
2012/09/11,4,22,52
2012/09/12,4,22,53
2012/09/13,4,22,54
2012/09/14,4,21,53
2012/09/15,4,22,52
2012/09/16,4,22,52
2012/09/17,4,22,52
2012/09/18,4,22,51
2012/09/19,4,22,52
2012/09/20,4,22,51
2012/09/21,4,20,50
2012/09/22,4,21,49
2012/09/23,4,21,49
2012/09/24,4,20,47
2012/09/25,4,20,47
2012/09/26,4,22,47
2012/09/27,4,22,45
2012/09/28,4,22,45
2012/09/29,4,21,43
2012/09/30,4,21,42
2012/10/01,4,21,41
2012/10/02,4,23,40
2012/10/03,4,23,40
2012/10/04,4,23,41
2012/10/05,4,22,40
2012/10/06,4,22,40
2012/10/07,4,22,38
2012/10/08,4,22,38
2012/10/09,4,21,37
2012/10/10,4,22,36
2012/10/11,4,22,36
2012/10/12,4,22,34
2012/10/13,4,22,35
2012/10/14,4,22,35
2012/10/15,4,23,35
2012/10/16,4,22,35
2012/10/17,4,22,36
2012/10/18,4,21,36
2012/10/19,4,21,36
2012/10/20,4,23,39
2012/10/21,4,23,40
2012/10/22,4,24,40
2012/10/23,4,24,41
2012/10/24,4,25,41
2012/10/25,4,25,41
2012/10/26,4,24,42
2012/10/27,4,23,42
2012/10/28,4,23,42
2012/10/29,4,23,42
2012/10/30,6,24,42
2012/10/31,6,24,44
2012/11/01,6,24,45
2012/11/02,6,24,44
2012/11/03,6,24,44
2012/11/04,6,22,44
2012/11/05,6,21,43
2012/11/06,6,21,43
2012/11/07,6,22,43
2012/11/08,5,22,43
2012/11/09,5,23,45
2012/11/10,5,23,46
2012/11/11,5,23,46
2012/11/12,6,24,47
2012/11/13,6,24,47
2012/11/14,6,25,47
2012/11/15,5,26,47
2012/11/16,5,26,46
2012/11/17,6,24,46
2012/11/18,6,24,46
2012/11/19,6,22,44
2012/11/20,6,23,43
2012/11/21,6,22,43
2012/11/22,6,22,46
2012/11/23,6,24,47
2012/11/24,6,24,48
2012/11/25,6,24,45
2012/11/26,6,24,46
2012/11/27,6,25,48
2012/11/28,6,25,49
2012/11/29,6,25,49
2012/11/30,6,25,46
2012/12/01,6,25,47
2012/12/02,6,26,47
2012/12/03,6,26,45
2012/12/04,6,26,48
2012/12/05,6,24,48
2012/12/06,6,24,48
2012/12/07,6,24,48
2012/12/08,6,25,50
2012/12/09,7,24,49
2012/12/10,7,24,49
2012/12/11,7,25,47
2012/12/12,6,26,46
2012/12/13,6,26,46
2012/12/14,6,25,46
2012/12/15,6,25,47
2012/12/16,6,26,46
2012/12/17,6,26,47
2012/12/18,6,26,47
2012/12/19,6,25,47
2012/12/20,6,25,47
2012/12/21,6,25,47
2012/12/22,6,25,45
2012/12/23,6,25,46
2012/12/24,6,25,47
2012/12/25,6,25,47
2012/12/26,6,25,46
2012/12/27,6,25,46
2012/12/28,6,23,47
2012/12/29,6,24,47
2012/12/30,7,24,47
2012/12/31,7,25,47
2013/01/01,6,25,48
2013/01/02,5,26,48
2013/01/03,5,26,46
2013/01/04,5,27,46
2013/01/05,5,26,47
2013/01/06,5,25,47
2013/01/07,5,25,44
2013/01/08,5,26,45
2013/01/09,5,26,46
2013/01/10,5,25,46
2013/01/11,5,27,44
2013/01/12,5,26,44
2013/01/13,5,26,43
2013/01/14,5,25,43
2013/01/15,5,23,43
2013/01/16,5,23,46
2013/01/17,5,24,48
2013/01/18,5,25,49
2013/01/19,5,25,50
2013/01/20,5,25,50
2013/01/21,5,25,50
2013/01/22,5,25,49
2013/01/23,5,25,47
2013/01/24,4,26,47
2013/01/25,4,27,48
2013/01/26,4,27,48
2013/01/27,4,27,47
2013/01/28,4,24,49
2013/01/29,4,23,50
2013/01/30,3,24,50
2013/01/31,3,25,50
2013/02/01,3,23,50
2013/02/02,3,23,49
2013/02/03,3,22,48
2013/02/04,3,22,49
2013/02/05,3,22,51
2013/02/06,3,23,51
2013/02/07,3,24,51
2013/02/08,3,25,51
2013/02/09,3,25,50
2013/02/10,4,25,50
2013/02/11,4,26,52
2013/02/12,4,26,52
2013/02/13,4,25,51
2013/02/14,4,24,49
2013/02/15,4,22,47
2013/02/16,4,22,48
2013/02/17,4,22,48
2013/02/18,4,22,49
2013/02/19,4,22,48
2013/02/20,4,21,48
2013/02/21,4,23,48
2013/02/22,4,21,47
2013/02/23,4,21,47
2013/02/24,5,19,45
2013/02/25,5,19,43
2013/02/26,5,19,43
2013/02/27,5,19,40
2013/02/28,5,20,40
2013/03/01,5,19,42
2013/03/02,5,19,42
2013/03/03,5,19,41
2013/03/04,5,19,41
2013/03/05,5,19,41
2013/03/06,5,20,40
2013/03/07,5,20,39
2013/03/08,6,20,38
2013/03/09,6,20,37
2013/03/10,6,19,35
2013/03/11,6,19,36
2013/03/12,7,19,36
2013/03/13,7,19,36
2013/03/14,6,18,36
2013/03/15,6,17,34
2013/03/16,6,17,33
2013/03/17,5,17,34
2013/03/18,5,17,32
2013/03/19,5,15,32
2013/03/20,5,15,31
2013/03/21,5,15,31
2013/03/22,5,14,31
2013/03/23,5,14,30
2013/03/24,4,14,30
2013/03/25,4,14,30
2013/03/26,4,14,30
2013/03/27,3,15,29
2013/03/28,3,15,28
2013/03/29,2,15,29
2013/03/30,2,15,27
2013/03/31,2,14,25
