date,viwiki (100+),viwiki (5+),viwiki (all)
2012/08/19,55,320,1015
2012/08/20,57,322,1005
2012/08/21,55,319,1009
2012/08/22,56,312,999
2012/08/23,52,307,999
2012/08/24,51,299,974
2012/08/25,54,304,1001
2012/08/26,53,301,987
2012/08/27,53,299,980
2012/08/28,52,306,985
2012/08/29,50,300,1001
2012/08/30,50,294,1019
2012/08/31,51,294,1011
2012/09/01,50,301,1009
2012/09/02,48,301,1010
2012/09/03,49,298,1004
2012/09/04,51,298,1000
2012/09/05,51,307,1007
2012/09/06,51,305,1010
2012/09/07,52,305,1008
2012/09/08,51,303,1002
2012/09/09,50,294,1004
2012/09/10,49,293,999
2012/09/11,47,296,997
2012/09/12,47,295,994
2012/09/13,48,291,988
2012/09/14,48,288,990
2012/09/15,49,280,974
2012/09/16,49,285,949
2012/09/17,48,290,946
2012/09/18,48,288,955
2012/09/19,47,292,952
2012/09/20,48,303,948
2012/09/21,47,302,977
2012/09/22,46,308,982
2012/09/23,46,308,978
2012/09/24,45,300,962
2012/09/25,45,298,967
2012/09/26,45,300,963
2012/09/27,43,301,961
2012/09/28,42,302,967
2012/09/29,40,304,961
2012/09/30,40,302,966
2012/10/01,43,295,951
2012/10/02,41,292,944
2012/10/03,44,296,946
2012/10/04,46,300,940
2012/10/05,46,295,932
2012/10/06,46,301,940
2012/10/07,47,304,939
2012/10/08,46,303,939
2012/10/09,45,305,936
2012/10/10,44,311,941
2012/10/11,45,310,952
2012/10/12,45,319,954
2012/10/13,46,315,954
2012/10/14,46,316,959
2012/10/15,46,321,978
2012/10/16,46,323,997
2012/10/17,43,320,1007
2012/10/18,43,323,1004
2012/10/19,45,328,1007
2012/10/20,45,328,1003
2012/10/21,44,323,989
2012/10/22,44,316,984
2012/10/23,43,319,987
2012/10/24,42,319,993
2012/10/25,42,322,981
2012/10/26,43,328,977
2012/10/27,44,336,990
2012/10/28,43,338,981
2012/10/29,44,335,982
2012/10/30,43,333,978
2012/10/31,41,326,972
2012/11/01,40,325,968
2012/11/02,39,322,985
2012/11/03,39,321,984
2012/11/04,39,321,993
2012/11/05,38,321,975
2012/11/06,38,321,983
2012/11/07,38,321,984
2012/11/08,39,322,983
2012/11/09,39,319,987
2012/11/10,40,315,977
2012/11/11,42,316,965
2012/11/12,43,314,967
2012/11/13,44,308,954
2012/11/14,43,302,953
2012/11/15,46,295,947
2012/11/16,45,296,938
2012/11/17,45,295,936
2012/11/18,46,294,920
2012/11/19,45,296,924
2012/11/20,45,301,925
2012/11/21,44,302,932
2012/11/22,42,301,941
2012/11/23,42,299,939
2012/11/24,43,298,945
2012/11/25,42,293,944
2012/11/26,44,289,939
2012/11/27,45,293,947
2012/11/28,40,293,946
2012/11/29,39,293,950
2012/11/30,40,294,961
2012/12/01,39,292,959
2012/12/02,40,295,961
2012/12/03,39,296,960
2012/12/04,39,293,966
2012/12/05,40,294,975
2012/12/06,40,290,963
2012/12/07,43,291,961
2012/12/08,43,292,968
2012/12/09,42,293,971
2012/12/10,42,294,975
2012/12/11,43,290,970
2012/12/12,40,293,974
2012/12/13,39,292,977
2012/12/14,39,290,973
2012/12/15,40,293,968
2012/12/16,39,290,972
2012/12/17,39,293,973
2012/12/18,41,290,977
2012/12/19,41,291,983
2012/12/20,41,290,981
2012/12/21,43,286,964
2012/12/22,44,282,963
2012/12/23,44,288,963
2012/12/24,45,288,962
2012/12/25,44,287,958
2012/12/26,45,284,956
2012/12/27,45,285,959
2012/12/28,46,286,956
2012/12/29,45,287,960
2012/12/30,45,288,960
2012/12/31,44,284,970
2013/01/01,44,273,962
2013/01/02,45,270,950
2013/01/03,46,274,951
2013/01/04,48,277,950
2013/01/05,50,279,958
2013/01/06,51,282,965
2013/01/07,49,281,965
2013/01/08,51,278,958
2013/01/09,51,281,963
2013/01/10,49,278,963
2013/01/11,51,280,967
2013/01/12,51,282,966
2013/01/13,51,283,966
2013/01/14,52,284,968
2013/01/15,51,288,965
2013/01/16,52,290,971
2013/01/17,53,299,977
2013/01/18,53,296,981
2013/01/19,50,294,990
2013/01/20,51,295,997
2013/01/21,53,294,997
2013/01/22,53,299,992
2013/01/23,53,300,1001
2013/01/24,55,302,1005
2013/01/25,55,304,1010
2013/01/26,55,310,1010
2013/01/27,57,314,1017
2013/01/28,54,309,1006
2013/01/29,51,307,1008
2013/01/30,53,308,1008
2013/01/31,55,302,1012
2013/02/01,55,304,1016
2013/02/02,54,307,1016
2013/02/03,54,309,1014
2013/02/04,56,312,1005
2013/02/05,57,310,999
2013/02/06,58,313,1002
2013/02/07,55,324,1002
2013/02/08,54,326,995
2013/02/09,54,324,974
2013/02/10,55,325,973
2013/02/11,55,323,981
2013/02/12,54,318,975
2013/02/13,51,322,969
2013/02/14,51,321,978
2013/02/15,50,318,966
2013/02/16,51,316,967
2013/02/17,49,316,972
2013/02/18,49,320,967
2013/02/19,51,326,966
2013/02/20,51,335,978
2013/02/21,50,336,994
2013/02/22,49,335,1001
2013/02/23,50,340,993
2013/02/24,51,335,984
2013/02/25,51,332,974
2013/02/26,51,327,976
2013/02/27,50,339,987
2013/02/28,51,335,979
2013/03/01,51,335,978
2013/03/02,52,340,987
2013/03/03,54,346,985
2013/03/04,53,344,988
2013/03/05,51,344,989
2013/03/06,49,344,1004
2013/03/07,48,338,1008
2013/03/08,46,339,1009
2013/03/09,46,337,1018
2013/03/10,45,344,1024
2013/03/11,46,348,1036
2013/03/12,44,346,1044
2013/03/13,42,350,1045
2013/03/14,44,355,1062
2013/03/15,47,356,1074
2013/03/16,50,361,1067
2013/03/17,48,357,1063
2013/03/18,47,358,1073
2013/03/19,46,355,1065
2013/03/20,46,352,1071
2013/03/21,46,352,1076
2013/03/22,44,347,1069
2013/03/23,47,348,1064
2013/03/24,50,349,1061
2013/03/25,51,340,1054
2013/03/26,52,342,1054
2013/03/27,52,339,1044
2013/03/28,52,340,1042
2013/03/29,50,333,1037
2013/03/30,50,346,1044
2013/03/31,47,345,1030
2013/04/01,49,344,1029
2013/04/02,49,348,1041
2013/04/03,50,351,1035
2013/04/04,51,348,1039
2013/04/05,52,350,1028
2013/04/06,52,351,1026
2013/04/07,50,359,1029
2013/04/08,50,358,1029
2013/04/09,53,356,1026
2013/04/10,54,353,1027
2013/04/11,54,352,1024
2013/04/12,55,352,1020
2013/04/13,54,347,1002
2013/04/14,54,348,992
2013/04/15,56,340,991
2013/04/16,58,343,992
2013/04/17,56,337,986
2013/04/18,58,340,976
2013/04/19,58,345,968
2013/04/20,59,349,955
2013/04/21,57,347,967
2013/04/22,57,353,947
2013/04/23,57,354,946
2013/04/24,55,358,951
2013/04/25,56,360,950
2013/04/26,54,359,959
2013/04/27,55,359,957
2013/04/28,59,360,960
2013/04/29,59,357,946
2013/04/30,59,355,946
2013/05/01,61,356,943
2013/05/02,61,350,941
2013/05/03,61,350,935
2013/05/04,62,346,933
2013/05/05,61,339,927
2013/05/06,61,340,923
2013/05/07,61,332,914
2013/05/08,61,335,910
2013/05/09,61,339,911
2013/05/10,58,338,912
2013/05/11,57,337,909
2013/05/12,57,339,914
2013/05/13,57,341,929
2013/05/14,59,339,942
2013/05/15,57,337,955
2013/05/16,58,340,956
2013/05/17,54,341,957
2013/05/18,56,344,957
2013/05/19,58,349,954
2013/05/20,56,343,945
2013/05/21,54,347,939
2013/05/22,57,351,947
2013/05/23,57,347,946
2013/05/24,55,352,969
2013/05/25,55,356,979
2013/05/26,57,356,982
2013/05/27,55,360,982
2013/05/28,53,365,994
2013/05/29,53,373,1003
2013/05/30,53,376,1016
2013/05/31,53,380,1037
2013/06/01,53,381,1042
2013/06/02,54,382,1043
2013/06/03,52,384,1046
2013/06/04,52,385,1052
2013/06/05,53,391,1051
2013/06/06,54,394,1052
2013/06/07,51,396,1068
2013/06/08,51,392,1070
2013/06/09,52,398,1065
2013/06/10,55,400,1075
2013/06/11,55,398,1075
2013/06/12,57,397,1068
2013/06/13,58,398,1073
2013/06/14,58,396,1064
2013/06/15,59,392,1068
2013/06/16,59,393,1066
2013/06/17,56,389,1065
2013/06/18,54,392,1078
2013/06/19,56,387,1083
2013/06/20,58,390,1087
2013/06/21,59,383,1082
2013/06/22,61,388,1089
2013/06/23,61,381,1081
2013/06/24,59,376,1063
2013/06/25,59,374,1044
2013/06/26,58,375,1060
2013/06/27,59,365,1070
2013/06/28,60,366,1075
2013/06/29,59,368,1070
2013/06/30,59,366,1058
2013/07/01,59,367,1047
2013/07/02,58,371,1038
2013/07/03,57,372,1038
2013/07/04,57,377,1046
2013/07/05,58,372,1049
2013/07/06,59,369,1037
2013/07/07,57,366,1021
2013/07/08,58,369,1017
2013/07/09,55,367,1031
2013/07/10,53,366,1032
2013/07/11,52,351,1012
2013/07/12,51,352,1004
2013/07/13,50,349,987
2013/07/14,50,348,982
2013/07/15,50,340,974
2013/07/16,49,340,979
2013/07/17,54,330,971
2013/07/18,55,340,984
2013/07/19,55,343,1000
2013/07/20,53,339,992
2013/07/21,53,344,998
2013/07/22,53,345,1003
2013/07/23,52,345,996
2013/07/24,52,346,1006
2013/07/25,50,350,1023
2013/07/26,51,350,1023
2013/07/27,52,349,1014
2013/07/28,51,347,1006
2013/07/29,51,350,1003
2013/07/30,51,344,1023
2013/07/31,48,348,1041
2013/08/01,51,349,1062
2013/08/02,51,352,1052
2013/08/03,49,357,1040
2013/08/04,49,358,1040
2013/08/05,49,358,1046
2013/08/06,53,357,1041
2013/08/07,55,363,1053
2013/08/08,57,358,1065
2013/08/09,56,358,1069
2013/08/10,54,358,1084
2013/08/11,54,360,1084
2013/08/12,54,362,1083
2013/08/13,53,362,1087
2013/08/14,56,367,1099
2013/08/15,56,365,1108
2013/08/16,57,367,1121
2013/08/17,57,371,1115
2013/08/18,55,370,1108
2013/08/19,56,367,1101
2013/08/20,57,365,1101
2013/08/21,56,369,1102
