date,viwiki (100+),viwiki (5+),viwiki (all)
2013/08/22,56,368,1094
2013/08/23,56,365,1084
2013/08/24,55,373,1073
2013/08/25,54,373,1061
2013/08/26,55,380,1079
2013/08/27,55,379,1085
2013/08/28,56,377,1094
2013/08/29,56,378,1079
2013/08/30,57,379,1068
2013/08/31,57,375,1054
2013/09/01,58,374,1054
2013/09/02,59,369,1042
2013/09/03,60,366,1030
2013/09/04,59,362,1042
2013/09/05,58,359,1039
2013/09/06,58,355,1043
2013/09/07,60,348,1026
2013/09/08,60,350,1016
2013/09/09,63,351,1014
2013/09/10,60,346,1020
2013/09/11,61,346,1028
2013/09/12,60,350,1010
2013/09/13,60,346,1008
2013/09/14,58,349,1008
2013/09/15,55,342,1004
2013/09/16,57,341,994
2013/09/17,57,347,994
2013/09/18,56,354,1005
2013/09/19,56,352,1013
2013/09/20,55,343,1010
2013/09/21,57,343,1016
2013/09/22,58,346,1032
2013/09/23,57,354,1044
2013/09/24,58,356,1048
2013/09/25,58,366,1063
2013/09/26,58,366,1058
2013/09/27,58,368,1083
2013/09/28,57,365,1083
2013/09/29,56,364,1087
2013/09/30,60,367,1098
2013/10/01,57,370,1105
2013/10/02,58,375,1115
2013/10/03,56,381,1128
2013/10/04,57,383,1123
2013/10/05,58,389,1121
2013/10/06,59,390,1122
2013/10/07,56,395,1134
2013/10/08,57,407,1140
2013/10/09,56,405,1152
2013/10/10,57,415,1167
2013/10/11,53,416,1199
2013/10/12,50,431,1225
2013/10/13,50,430,1235
2013/10/14,51,425,1243
2013/10/15,48,426,1254
2013/10/16,50,436,1273
2013/10/17,50,437,1276
2013/10/18,50,435,1270
2013/10/19,51,438,1276
2013/10/20,52,430,1277
2013/10/21,52,431,1266
2013/10/22,54,428,1255
2013/10/23,54,425,1251
2013/10/24,53,419,1243
2013/10/25,53,416,1231
2013/10/26,53,417,1230
2013/10/27,52,409,1220
2013/10/28,51,413,1222
2013/10/29,52,414,1217
2013/10/30,53,408,1218
2013/10/31,52,403,1204
2013/11/01,50,387,1185
2013/11/02,52,383,1183
2013/11/03,52,386,1174
2013/11/04,50,384,1174
2013/11/05,49,381,1165
2013/11/06,49,376,1157
2013/11/07,50,369,1148
2013/11/08,49,362,1135
2013/11/09,49,354,1115
2013/11/10,50,351,1094
2013/11/11,48,333,1046
2013/11/12,48,339,1046
2013/11/13,46,343,1037
2013/11/14,48,336,1022
2013/11/15,48,333,1007
2013/11/16,47,329,1009
2013/11/17,48,320,998
2013/11/18,50,326,997
2013/11/19,52,329,1004
2013/11/20,48,330,1011
2013/11/21,47,333,1011
2013/11/22,49,327,1002
2013/11/23,49,328,1002
2013/11/24,48,329,1008
2013/11/25,46,325,1003
2013/11/26,45,328,1012
2013/11/27,44,324,1019
2013/11/28,45,320,1019
2013/11/29,42,324,1021
2013/11/30,44,321,1015
2013/12/01,44,320,1026
2013/12/02,42,322,1025
2013/12/03,41,321,1014
2013/12/04,40,319,1010
2013/12/05,40,315,1013
2013/12/06,40,318,1019
2013/12/07,40,318,1024
2013/12/08,42,324,1024
2013/12/09,42,324,1026
2013/12/10,43,321,1030
2013/12/11,44,326,1042
2013/12/12,43,322,1031
2013/12/13,44,316,1033
2013/12/14,44,314,1045
2013/12/15,44,315,1035
2013/12/16,43,317,1024
2013/12/17,43,327,1039
2013/12/18,44,320,1034
2013/12/19,44,319,1036
2013/12/20,43,314,1035
2013/12/21,43,312,1036
2013/12/22,44,312,1037
2013/12/23,45,310,1036
2013/12/24,44,314,1027
2013/12/25,45,316,1018
2013/12/26,46,319,1012
2013/12/27,47,312,1008
2013/12/28,46,314,995
2013/12/29,45,319,988
2013/12/30,45,310,986
2013/12/31,45,313,984
2014/01/01,45,313,980
2014/01/02,45,314,974
2014/01/03,45,322,970
2014/01/04,44,326,977
2014/01/05,44,325,980
2014/01/06,44,323,983
2014/01/07,43,321,986
2014/01/08,44,327,984
2014/01/09,44,331,974
2014/01/10,46,325,972
2014/01/11,46,326,966
2014/01/12,46,325,973
2014/01/13,45,318,962
2014/01/14,45,318,968
2014/01/15,46,325,981
2014/01/16,46,321,975
2014/01/17,45,324,984
2014/01/18,42,325,972
2014/01/19,41,320,963
2014/01/20,44,323,960
2014/01/21,42,317,953
2014/01/22,41,317,950
2014/01/23,41,316,949
2014/01/24,42,318,954
2014/01/25,42,325,958
2014/01/26,43,323,958
2014/01/27,43,320,955
2014/01/28,42,314,957
2014/01/29,41,307,952
2014/01/30,42,309,947
2014/01/31,43,301,944
2014/02/01,42,300,935
2014/02/02,42,298,933
2014/02/03,41,294,927
2014/02/04,38,292,922
2014/02/05,41,292,923
2014/02/06,41,290,934
2014/02/07,42,288,951
2014/02/08,43,290,956
2014/02/09,43,293,967
2014/02/10,42,297,979
2014/02/11,42,294,977
2014/02/12,41,295,989
2014/02/13,41,298,989
2014/02/14,41,295,979
2014/02/15,41,298,979
2014/02/16,43,296,988
2014/02/17,41,298,1002
2014/02/18,42,303,1015
2014/02/19,42,309,1028
2014/02/20,43,311,1038
2014/02/21,43,323,1052
2014/02/22,44,324,1052
2014/02/23,43,328,1052
2014/02/24,42,332,1059
2014/02/25,42,328,1061
2014/02/26,42,325,1074
2014/02/27,44,324,1071
2014/02/28,44,325,1080
2014/03/01,43,324,1082
2014/03/02,42,326,1078
2014/03/03,41,327,1081
2014/03/04,40,325,1084
2014/03/05,39,324,1087
2014/03/06,40,327,1094
2014/03/07,41,328,1101
2014/03/08,39,321,1089
2014/03/09,38,320,1064
2014/03/10,38,314,1053
2014/03/11,39,308,1045
2014/03/12,39,298,1034
2014/03/13,39,301,1036
2014/03/14,39,298,1035
2014/03/15,37,296,1031
2014/03/16,39,295,1033
2014/03/17,38,294,1035
2014/03/18,37,293,1020
2014/03/19,37,293,1027
2014/03/20,37,288,1012
2014/03/21,40,283,1008
2014/03/22,42,284,996
2014/03/23,43,279,986
2014/03/24,42,285,989
2014/03/25,42,287,991
2014/03/26,41,282,983
2014/03/27,41,286,987
2014/03/28,42,285,984
2014/03/29,42,284,992
2014/03/30,40,288,1001
2014/03/31,42,281,998
2014/04/01,42,289,1002
2014/04/02,44,292,1012
2014/04/03,43,301,1023
2014/04/04,41,293,1030
2014/04/05,41,301,1047
2014/04/06,41,300,1042
2014/04/07,42,310,1051
2014/04/08,42,312,1053
2014/04/09,39,312,1067
2014/04/10,39,318,1087
2014/04/11,38,319,1091
2014/04/12,38,317,1092
2014/04/13,40,321,1097
2014/04/14,40,324,1093
2014/04/15,39,325,1096
2014/04/16,39,322,1103
2014/04/17,39,325,1098
2014/04/18,40,325,1105
2014/04/19,41,327,1107
2014/04/20,39,330,1110
2014/04/21,41,330,1120
2014/04/22,41,329,1123
2014/04/23,41,326,1121
2014/04/24,41,320,1125
2014/04/25,39,323,1126
2014/04/26,39,320,1131
2014/04/27,39,320,1133
2014/04/28,41,322,1130
2014/04/29,39,323,1127
2014/04/30,40,326,1134
2014/05/01,42,321,1122
2014/05/02,42,324,1113
2014/05/03,41,315,1109
2014/05/04,40,318,1111
2014/05/05,40,320,1095
2014/05/06,41,322,1102
2014/05/07,42,321,1109
2014/05/08,42,323,1113
2014/05/09,43,328,1103
2014/05/10,43,333,1104
2014/05/11,43,334,1102
2014/05/12,45,334,1083
2014/05/13,45,332,1091
2014/05/14,47,340,1103
2014/05/15,45,341,1102
2014/05/16,45,345,1089
2014/05/17,47,345,1086
2014/05/18,45,346,1073
2014/05/19,44,345,1066
2014/05/20,44,343,1079
2014/05/21,43,350,1083
2014/05/22,43,351,1091
2014/05/23,43,348,1087
2014/05/24,42,355,1086
2014/05/25,44,358,1099
2014/05/26,43,358,1090
2014/05/27,45,354,1092
2014/05/28,43,359,1098
2014/05/29,44,356,1097
2014/05/30,43,354,1100
2014/05/31,44,352,1106
2014/06/01,44,353,1111
2014/06/02,45,356,1109
2014/06/03,44,357,1118
2014/06/04,41,353,1125
2014/06/05,47,351,1138
2014/06/06,48,349,1128
2014/06/07,47,356,1130
2014/06/08,48,353,1130
2014/06/09,45,351,1124
2014/06/10,46,349,1118
2014/06/11,45,351,1136
2014/06/12,43,350,1140
2014/06/13,42,348,1145
2014/06/14,41,345,1126
2014/06/15,41,352,1129
2014/06/16,40,360,1132
2014/06/17,42,363,1139
2014/06/18,42,369,1139
2014/06/19,44,367,1126
2014/06/20,47,363,1108
2014/06/21,49,361,1103
2014/06/22,49,358,1087
2014/06/23,50,355,1086
2014/06/24,51,350,1079
2014/06/25,51,346,1090
2014/06/26,50,347,1094
2014/06/27,50,343,1100
2014/06/28,51,339,1091
2014/06/29,52,351,1089
2014/06/30,51,354,1087
2014/07/01,52,356,1088
2014/07/02,51,350,1089
2014/07/03,50,346,1088
2014/07/04,48,341,1081
2014/07/05,49,342,1070
2014/07/06,50,343,1063
2014/07/07,57,336,1049
2014/07/08,58,337,1061
2014/07/09,60,339,1067
2014/07/10,61,335,1067
2014/07/11,60,334,1064
2014/07/12,60,335,1055
2014/07/13,61,333,1041
2014/07/14,61,345,1049
2014/07/15,61,346,1057
2014/07/16,61,341,1041
2014/07/17,61,336,1031
2014/07/18,62,336,1033
2014/07/19,61,337,1032
2014/07/20,62,338,1054
2014/07/21,64,335,1064
2014/07/22,61,339,1074
2014/07/23,57,339,1076
2014/07/24,57,336,1063
2014/07/25,59,337,1064
2014/07/26,58,336,1057
2014/07/27,57,335,1057
2014/07/28,56,341,1059
2014/07/29,58,342,1069
2014/07/30,59,335,1071
2014/07/31,59,332,1076
2014/08/01,60,345,1080
2014/08/02,59,350,1088
2014/08/03,59,361,1089
2014/08/04,61,364,1094
2014/08/05,64,371,1115
2014/08/06,63,374,1123
2014/08/07,62,369,1127
2014/08/08,62,376,1152
2014/08/09,63,374,1149
2014/08/10,62,379,1142
2014/08/11,62,377,1149
2014/08/12,63,380,1162
2014/08/13,64,374,1163
2014/08/14,63,372,1160
2014/08/15,64,372,1172
2014/08/16,60,381,1187
2014/08/17,62,375,1188
2014/08/18,61,372,1179
2014/08/19,60,361,1156
2014/08/20,58,360,1155
2014/08/21,59,374,1169
2014/08/22,58,371,1164
2014/08/23,54,378,1163
2014/08/24,54,380,1162
2014/08/25,56,373,1162
2014/08/26,58,373,1168
2014/08/27,60,376,1172
2014/08/28,62,372,1171
2014/08/29,61,379,1184
2014/08/30,63,388,1178
2014/08/31,61,393,1165
2014/09/01,62,385,1165
2014/09/02,64,391,1161
2014/09/03,64,387,1164
2014/09/04,63,383,1149
2014/09/05,64,381,1138
2014/09/06,63,383,1129
2014/09/07,65,375,1105
2014/09/08,64,375,1106
2014/09/09,65,371,1109
2014/09/10,67,369,1110
2014/09/11,67,365,1104
2014/09/12,65,367,1092
2014/09/13,63,365,1080
2014/09/14,62,357,1073
2014/09/15,59,352,1065
2014/09/16,56,344,1065
2014/09/17,57,343,1068
2014/09/18,59,338,1055
2014/09/19,57,330,1051
2014/09/20,54,322,1043
2014/09/21,58,324,1040
2014/09/22,57,320,1039
2014/09/23,57,314,1046
2014/09/24,57,316,1038
2014/09/25,56,315,1015
2014/09/26,56,309,1002
2014/09/27,52,304,993
2014/09/28,51,299,984
2014/09/29,51,298,976
2014/09/30,51,300,982
2014/10/01,46,294,986
2014/10/02,48,289,983
2014/10/03,47,301,989
2014/10/04,46,300,985
2014/10/05,46,299,989
2014/10/06,47,301,982
2014/10/07,47,299,973
2014/10/08,45,297,974
2014/10/09,45,298,967
2014/10/10,46,300,970
2014/10/11,47,301,962
2014/10/12,46,298,969
2014/10/13,47,296,982
2014/10/14,46,297,990
2014/10/15,46,295,990
2014/10/16,44,293,977
2014/10/17,47,295,991
2014/10/18,48,295,1013
2014/10/19,50,295,1011
2014/10/20,49,296,1016
2014/10/21,50,300,1015
2014/10/22,49,307,1021
2014/10/23,51,303,1010
2014/10/24,51,300,1023
2014/10/25,53,303,1033
2014/10/26,55,304,1037
2014/10/27,54,303,1039
2014/10/28,53,301,1037
2014/10/29,53,304,1040
2014/10/30,52,301,1052
2014/10/31,53,306,1062
2014/11/01,53,311,1064
2014/11/02,52,299,1054
2014/11/03,52,301,1049
2014/11/04,55,302,1060
2014/11/05,54,302,1064
2014/11/06,53,310,1072
2014/11/07,52,313,1071
2014/11/08,52,316,1081
2014/11/09,53,319,1079
2014/11/10,52,317,1080
2014/11/11,53,322,1093
2014/11/12,52,317,1090
2014/11/13,53,318,1099
2014/11/14,50,316,1101
2014/11/15,50,319,1093
2014/11/16,52,315,1069
2014/11/17,51,307,1066
2014/11/18,49,314,1072
2014/11/19,47,310,1077
2014/11/20,47,315,1079
2014/11/21,47,314,1074
2014/11/22,45,316,1073
2014/11/23,45,312,1068
2014/11/24,45,311,1065
2014/11/25,43,312,1067
2014/11/26,43,308,1059
2014/11/27,43,308,1075
2014/11/28,43,305,1071
2014/11/29,41,305,1070
2014/11/30,42,304,1065
2014/12/01,41,302,1057
2014/12/02,41,305,1062
2014/12/03,41,302,1053
2014/12/04,40,306,1046
2014/12/05,41,300,1036
2014/12/06,41,301,1039
2014/12/07,39,298,1028
2014/12/08,38,303,1042
2014/12/09,38,301,1054
2014/12/10,38,309,1057
2014/12/11,38,301,1041
2014/12/12,39,304,1046
2014/12/13,39,307,1054
2014/12/14,38,315,1048
2014/12/15,37,320,1054
2014/12/16,37,324,1068
2014/12/17,36,321,1070
2014/12/18,37,321,1083
2014/12/19,37,320,1071
2014/12/20,38,315,1069
2014/12/21,38,317,1072
2014/12/22,39,312,1072
2014/12/23,39,317,1076
2014/12/24,39,326,1076
2014/12/25,40,322,1069
2014/12/26,41,323,1085
2014/12/27,41,324,1078
2014/12/28,41,324,1090
2014/12/29,40,321,1087
2014/12/30,41,321,1082
2014/12/31,42,324,1084
2015/01/01,41,331,1092
2015/01/02,42,334,1087
2015/01/03,42,336,1092
2015/01/04,44,340,1102
2015/01/05,45,334,1105
2015/01/06,43,339,1109
2015/01/07,42,347,1114
2015/01/08,43,348,1107
2015/01/09,43,349,1097
2015/01/10,43,353,1102
2015/01/11,42,352,1114
2015/01/12,42,352,1098
2015/01/13,43,355,1094
2015/01/14,42,353,1088
2015/01/15,41,350,1089
2015/01/16,42,347,1073
2015/01/17,42,342,1066
2015/01/18,44,342,1066
2015/01/19,44,347,1072
2015/01/20,43,341,1074
2015/01/21,44,345,1076
2015/01/22,44,344,1072
2015/01/23,43,335,1068
2015/01/24,43,331,1078
2015/01/25,44,334,1081
2015/01/26,45,333,1089
2015/01/27,46,337,1097
2015/01/28,46,345,1105
2015/01/29,43,342,1108
2015/01/30,42,349,1118
2015/01/31,39,347,1108
2015/02/01,38,348,1117
2015/02/02,41,349,1116
2015/02/03,42,347,1122
2015/02/04,42,345,1119
2015/02/05,43,343,1119
2015/02/06,43,335,1111
2015/02/07,42,332,1107
2015/02/08,42,332,1096
2015/02/09,43,338,1102
2015/02/10,42,337,1089
2015/02/11,43,338,1095
2015/02/12,42,338,1101
2015/02/13,42,334,1105
2015/02/14,43,341,1123
2015/02/15,45,341,1127
2015/02/16,47,339,1122
2015/02/17,47,339,1118
2015/02/18,47,335,1113
2015/02/19,47,338,1106
2015/02/20,48,342,1105
2015/02/21,46,343,1103
2015/02/22,47,340,1089
2015/02/23,47,347,1088
2015/02/24,46,349,1083
2015/02/25,45,351,1085
2015/02/26,43,342,1093
2015/02/27,45,341,1094
2015/02/28,43,345,1106
2015/03/01,44,339,1110
2015/03/02,45,346,1124
2015/03/03,46,350,1129
2015/03/04,45,346,1122
2015/03/05,45,346,1121
2015/03/06,43,347,1130
2015/03/07,43,338,1130
2015/03/08,43,338,1132
2015/03/09,43,335,1133
2015/03/10,44,339,1129
2015/03/11,43,337,1135
2015/03/12,42,336,1130
2015/03/13,43,336,1134
2015/03/14,44,333,1134
2015/03/15,45,335,1142
2015/03/16,47,333,1125
2015/03/17,47,337,1118
2015/03/18,50,346,1132
2015/03/19,49,340,1140
2015/03/20,48,342,1150
2015/03/21,49,342,1168
2015/03/22,48,342,1175
2015/03/23,47,350,1190
2015/03/24,48,354,1213
2015/03/25,49,349,1215
2015/03/26,47,341,1226
2015/03/27,46,338,1211
2015/03/28,47,340,1197
2015/03/29,45,337,1185
2015/03/30,45,336,1180
2015/03/31,45,339,1185
2015/04/01,45,343,1185
2015/04/02,46,340,1194
2015/04/03,45,350,1205
2015/04/04,43,353,1207
2015/04/05,40,346,1200
2015/04/06,42,350,1200
2015/04/07,42,356,1193
2015/04/08,44,356,1194
2015/04/09,42,353,1187
2015/04/10,41,352,1186
2015/04/11,40,351,1190
2015/04/12,42,348,1192
2015/04/13,41,349,1202
2015/04/14,41,347,1195
2015/04/15,40,348,1209
2015/04/16,39,342,1211
2015/04/17,41,342,1205
2015/04/18,43,344,1205
2015/04/19,44,349,1208
2015/04/20,43,342,1193
2015/04/21,43,336,1191
2015/04/22,43,338,1194
2015/04/23,41,330,1181
2015/04/24,42,330,1174
2015/04/25,43,336,1170
2015/04/26,43,343,1173
2015/04/27,45,338,1160
2015/04/28,45,338,1164
2015/04/29,43,330,1159
2015/04/30,42,323,1144
2015/05/01,41,312,1110
2015/05/02,40,299,1076
2015/05/03,39,289,1040
2015/05/04,39,281,1006
2015/05/05,37,275,977
2015/05/06,37,267,949
2015/05/07,37,256,921
2015/05/08,37,250,887
2015/05/09,35,243,861
2015/05/10,33,236,837
2015/05/11,32,226,815
2015/05/12,31,222,783
2015/05/13,31,212,740
2015/05/14,30,203,704
2015/05/15,29,195,655
2015/05/16,27,185,622
2015/05/17,25,174,587
2015/05/18,23,163,553
2015/05/19,22,157,519
2015/05/20,22,154,480
2015/05/21,22,145,438
2015/05/22,20,135,387
2015/05/23,18,128,354
2015/05/24,15,118,321
2015/05/25,10,108,287
2015/05/26,9,97,255
2015/05/27,42,371,1172
2015/05/28,46,401,1309
2015/05/29,47,402,1314
2015/05/30,50,407,1327
2015/05/31,51,410,1321
2015/06/01,48,416,1315
2015/06/02,47,415,1312
2015/06/03,47,419,1311
