date,pswiki (100+),pswiki (5+),pswiki (all)
2012/08/19,5,23,53
2012/08/20,4,20,53
2012/08/21,4,20,52
2012/08/22,4,20,51
2012/08/23,4,20,53
2012/08/24,5,22,52
2012/08/25,4,20,53
2012/08/26,5,19,53
2012/08/27,5,20,55
2012/08/28,5,21,56
2012/08/29,5,24,56
2012/08/30,5,24,56
2012/08/31,5,24,56
2012/09/01,5,25,57
2012/09/02,4,24,57
2012/09/03,4,23,56
2012/09/04,4,23,57
2012/09/05,4,25,61
2012/09/06,4,26,61
2012/09/07,4,26,60
2012/09/08,4,26,59
2012/09/09,4,27,58
2012/09/10,4,27,57
2012/09/11,4,27,58
2012/09/12,4,28,58
2012/09/13,4,28,58
2012/09/14,4,28,59
2012/09/15,4,28,57
2012/09/16,4,29,57
2012/09/17,4,29,55
2012/09/18,4,30,56
2012/09/19,4,30,55
2012/09/20,4,30,55
2012/09/21,4,28,55
2012/09/22,5,26,54
2012/09/23,4,26,55
2012/09/24,4,26,55
2012/09/25,4,23,54
2012/09/26,4,25,53
2012/09/27,4,25,53
2012/09/28,4,25,54
2012/09/29,5,24,52
2012/09/30,5,24,54
2012/10/01,5,24,53
2012/10/02,4,23,54
2012/10/03,4,23,53
2012/10/04,4,23,53
2012/10/05,4,22,48
2012/10/06,4,22,49
2012/10/07,4,23,51
2012/10/08,5,24,51
2012/10/09,5,24,49
2012/10/10,5,25,49
2012/10/11,5,25,49
2012/10/12,5,26,51
2012/10/13,5,25,50
2012/10/14,5,25,50
2012/10/15,5,26,50
2012/10/16,4,29,51
2012/10/17,4,29,50
2012/10/18,4,28,51
2012/10/19,4,28,52
2012/10/20,4,28,55
2012/10/21,4,30,55
2012/10/22,4,30,56
2012/10/23,4,31,57
2012/10/24,4,31,55
2012/10/25,4,31,55
2012/10/26,4,28,57
2012/10/27,4,29,57
2012/10/28,4,29,58
2012/10/29,4,29,59
2012/10/30,4,27,56
2012/10/31,5,27,55
2012/11/01,5,27,55
2012/11/02,5,28,55
2012/11/03,5,27,55
2012/11/04,5,27,55
2012/11/05,5,27,54
2012/11/06,5,27,54
2012/11/07,5,27,54
2012/11/08,5,26,53
2012/11/09,4,26,51
2012/11/10,4,26,51
2012/11/11,4,27,50
2012/11/12,4,28,50
2012/11/13,4,28,49
2012/11/14,4,28,48
2012/11/15,4,25,47
2012/11/16,4,26,47
2012/11/17,4,26,48
2012/11/18,4,26,48
2012/11/19,5,27,44
2012/11/20,5,27,43
2012/11/21,5,25,43
2012/11/22,5,25,43
2012/11/23,5,26,45
2012/11/24,5,28,45
2012/11/25,4,29,44
2012/11/26,4,29,45
2012/11/27,3,29,45
2012/11/28,3,30,46
2012/11/29,4,30,47
2012/11/30,3,29,47
2012/12/01,3,28,47
2012/12/02,4,28,47
2012/12/03,4,28,50
2012/12/04,3,28,51
2012/12/05,3,29,51
2012/12/06,4,30,51
2012/12/07,4,31,52
2012/12/08,5,31,53
2012/12/09,4,32,54
2012/12/10,5,32,55
2012/12/11,4,32,55
2012/12/12,5,34,56
2012/12/13,5,34,56
2012/12/14,5,34,56
2012/12/15,5,34,56
2012/12/16,4,34,55
2012/12/17,4,35,54
2012/12/18,4,33,52
2012/12/19,4,32,51
2012/12/20,5,31,51
2012/12/21,5,31,52
2012/12/22,5,31,52
2012/12/23,4,31,52
2012/12/24,4,31,53
2012/12/25,5,31,56
2012/12/26,5,32,56
2012/12/27,4,32,57
2012/12/28,4,34,59
2012/12/29,4,34,58
