date,cbk_zamwiki (100+),cbk_zamwiki (5+),cbk_zamwiki (all)
2012/08/19,2,14,40
2012/08/20,2,14,39
2012/08/21,2,15,39
2012/08/22,2,14,40
2012/08/23,2,14,40
2012/08/24,,15,40
2012/08/25,,16,42
2012/08/26,,16,40
2012/08/27,,16,41
2012/08/28,,15,40
2012/08/29,,15,40
2012/08/30,,15,40
2012/08/31,,15,37
2012/09/01,,15,38
2012/09/02,,15,37
2012/09/03,,15,36
2012/09/04,,13,33
2012/09/05,,12,32
2012/09/06,,12,33
2012/09/07,,12,32
2012/09/08,,13,31
2012/09/09,,13,32
2012/09/10,,16,34
2012/09/11,,16,34
2012/09/12,,16,35
2012/09/13,,16,35
2012/09/14,2,16,35
2012/09/15,2,15,33
2012/09/16,2,15,33
2012/09/17,2,15,31
2012/09/18,2,15,30
2012/09/19,2,14,31
2012/09/20,2,12,31
2012/09/21,2,12,31
2012/09/22,2,12,31
2012/09/23,1,12,30
2012/09/24,1,11,29
2012/09/25,1,11,30
2012/09/26,1,12,29
2012/09/27,1,14,30
2012/09/28,1,14,32
2012/09/29,1,14,30
2012/09/30,1,14,31
2012/10/01,1,14,31
2012/10/02,1,15,32
2012/10/03,1,15,33
2012/10/04,3,16,34
2012/10/05,3,16,36
2012/10/06,3,16,36
2012/10/07,3,16,37
2012/10/08,3,16,37
2012/10/09,3,16,38
2012/10/10,3,15,36
2012/10/11,3,15,37
2012/10/12,3,14,37
2012/10/13,3,14,37
2012/10/14,2,14,37
2012/10/15,2,14,37
2012/10/16,2,14,37
2012/10/17,2,14,36
2012/10/18,2,14,37
2012/10/19,2,14,38
2012/10/20,2,14,38
2012/10/21,3,14,40
2012/10/22,3,14,41
2012/10/23,3,14,42
2012/10/24,3,14,42
2012/10/25,3,14,41
2012/10/26,3,15,41
2012/10/27,3,14,39
2012/10/28,3,14,37
2012/10/29,2,14,37
2012/10/30,2,13,37
2012/10/31,2,14,36
2012/11/01,2,15,37
2012/11/02,2,15,38
2012/11/03,1,14,39
2012/11/04,1,14,37
2012/11/05,,15,37
2012/11/06,,14,36
2012/11/07,,14,36
2012/11/08,,15,35
2012/11/09,,15,34
2012/11/10,,15,33
2012/11/11,,15,33
2012/11/12,,15,33
2012/11/13,,15,34
2012/11/14,,15,35
2012/11/15,,15,36
2012/11/16,,15,36
2012/11/17,,16,36
2012/11/18,,16,35
2012/11/19,,18,39
2012/11/20,,18,39
2012/11/21,,17,38
2012/11/22,,17,39
2012/11/23,,17,39
2012/11/24,,17,39
2012/11/25,,17,40
2012/11/26,,17,41
2012/11/27,,17,42
2012/11/28,,17,43
2012/11/29,,16,43
2012/11/30,,16,43
2012/12/01,,16,41
2012/12/02,,14,41
2012/12/03,,13,38
2012/12/04,,13,39
2012/12/05,,14,40
2012/12/06,,15,41
2012/12/07,,15,42
2012/12/08,,15,41
2012/12/09,,15,41
2012/12/10,,16,42
2012/12/11,,15,41
2012/12/12,,16,42
2012/12/13,,16,40
2012/12/14,1,16,40
2012/12/15,1,16,41
2012/12/16,1,16,41
2012/12/17,1,15,40
2012/12/18,1,15,40
2012/12/19,1,14,36
2012/12/20,1,13,34
2012/12/21,1,13,34
2012/12/22,1,13,33
2012/12/23,1,12,34
2012/12/24,1,12,34
2012/12/25,1,12,33
2012/12/26,1,12,32
2012/12/27,1,12,31
2012/12/28,1,12,32
2012/12/29,1,12,31
2012/12/30,1,12,31
2012/12/31,1,11,31
2013/01/01,1,12,33
2013/01/02,1,13,34
2013/01/03,1,14,33
2013/01/04,1,14,32
2013/01/05,1,14,32
2013/01/06,1,14,32
2013/01/07,1,14,30
2013/01/08,1,14,32
2013/01/09,1,13,32
2013/01/10,1,13,32
2013/01/11,1,12,31
2013/01/12,1,13,31
2013/01/13,,12,31
2013/01/14,1,12,31
2013/01/15,1,12,31
2013/01/16,1,13,35
2013/01/17,1,13,35
2013/01/18,1,13,35
2013/01/19,1,13,36
2013/01/20,1,13,34
2013/01/21,1,13,35
2013/01/22,1,13,33
2013/01/23,1,13,33
2013/01/24,1,13,33
2013/01/25,1,13,33
2013/01/26,1,13,32
2013/01/27,1,14,33
2013/01/28,1,14,33
2013/01/29,1,13,34
2013/01/30,1,12,35
2013/01/31,1,11,35
2013/02/01,1,11,35
2013/02/02,1,11,35
2013/02/03,2,12,36
2013/02/04,3,12,34
2013/02/05,3,13,35
2013/02/06,4,14,37
2013/02/07,4,16,35
2013/02/08,4,16,35
2013/02/09,4,17,35
2013/02/10,4,18,38
2013/02/11,4,18,38
2013/02/12,4,18,39
2013/02/13,4,19,39
2013/02/14,4,19,39
2013/02/15,4,18,37
2013/02/16,5,18,39
2013/02/17,5,19,40
2013/02/18,6,19,39
2013/02/19,6,20,40
2013/02/20,7,21,40
2013/02/21,7,21,41
2013/02/22,7,21,40
2013/02/23,7,21,40
2013/02/24,7,21,41
2013/02/25,7,21,41
2013/02/26,8,21,39
2013/02/27,9,22,41
2013/02/28,9,21,43
2013/03/01,12,25,46
2013/03/02,12,25,46
2013/03/03,12,25,45
2013/03/04,12,25,44
2013/03/05,12,25,44
2013/03/06,12,25,45
2013/03/07,12,24,44
2013/03/08,12,23,42
2013/03/09,12,23,41
