date,shwiki (100+),shwiki (5+),shwiki (all)
2012/08/19,16,60,201
2012/08/20,16,57,200
2012/08/21,15,56,197
2012/08/22,16,56,200
2012/08/23,15,57,198
2012/08/24,16,57,197
2012/08/25,17,53,203
2012/08/26,17,56,204
2012/08/27,17,58,198
2012/08/28,16,56,201
2012/08/29,16,56,200
2012/08/30,16,55,206
2012/08/31,16,53,204
2012/09/01,16,54,209
2012/09/02,16,54,210
2012/09/03,16,55,212
2012/09/04,16,55,215
2012/09/05,16,55,217
2012/09/06,15,56,213
2012/09/07,15,57,212
2012/09/08,15,57,215
2012/09/09,16,57,212
2012/09/10,16,56,218
2012/09/11,16,54,214
2012/09/12,16,55,211
2012/09/13,16,56,210
2012/09/14,17,58,205
2012/09/15,18,58,203
2012/09/16,17,57,202
2012/09/17,16,57,204
2012/09/18,15,56,199
2012/09/19,14,54,207
2012/09/20,14,53,208
2012/09/21,15,52,204
2012/09/22,15,51,204
2012/09/23,15,49,207
2012/09/24,16,47,207
2012/09/25,16,47,205
2012/09/26,16,47,206
2012/09/27,16,50,207
2012/09/28,16,52,208
2012/09/29,16,51,201
2012/09/30,16,53,200
2012/10/01,16,54,201
2012/10/02,16,54,202
2012/10/03,16,55,199
2012/10/04,16,55,196
2012/10/05,16,56,197
2012/10/06,17,54,197
2012/10/07,17,52,197
2012/10/08,17,50,192
2012/10/09,16,48,194
2012/10/10,16,48,195
2012/10/11,16,48,199
2012/10/12,15,49,198
2012/10/13,15,49,195
2012/10/14,16,49,192
2012/10/15,16,50,191
2012/10/16,16,52,192
2012/10/17,16,52,192
2012/10/18,16,52,190
2012/10/19,16,51,188
2012/10/20,16,53,190
2012/10/21,16,52,190
2012/10/22,15,53,194
2012/10/23,15,54,193
2012/10/24,15,53,191
2012/10/25,15,52,191
2012/10/26,15,52,196
2012/10/27,15,51,195
2012/10/28,16,55,203
2012/10/29,16,58,207
2012/10/30,16,57,205
2012/10/31,15,56,196
2012/11/01,15,57,194
2012/11/02,15,57,191
2012/11/03,16,58,196
2012/11/04,16,54,197
2012/11/05,16,53,197
2012/11/06,16,53,198
2012/11/07,16,53,202
2012/11/08,16,54,202
2012/11/09,16,55,202
2012/11/10,15,55,201
2012/11/11,16,54,201
2012/11/12,15,55,212
2012/11/13,15,54,218
2012/11/14,14,53,220
2012/11/15,14,51,224
2012/11/16,15,52,221
2012/11/17,16,52,221
2012/11/18,17,52,225
2012/11/19,16,52,225
2012/11/20,17,53,221
2012/11/21,16,55,220
2012/11/22,16,54,224
2012/11/23,16,53,231
2012/11/24,16,53,232
2012/11/25,18,53,228
2012/11/26,17,53,228
2012/11/27,17,52,218
2012/11/28,16,48,213
2012/11/29,16,47,212
2012/11/30,16,47,216
2012/12/01,16,49,216
2012/12/02,16,51,222
2012/12/03,16,51,214
2012/12/04,16,51,212
2012/12/05,16,54,214
2012/12/06,17,52,218
2012/12/07,17,52,215
2012/12/08,17,53,217
2012/12/09,17,54,218
2012/12/10,17,53,217
2012/12/11,17,53,220
2012/12/12,17,51,215
2012/12/13,18,50,219
2012/12/14,18,51,227
2012/12/15,19,52,223
2012/12/16,19,52,223
2012/12/17,19,53,230
2012/12/18,19,53,232
2012/12/19,19,55,229
2012/12/20,19,55,228
2012/12/21,19,55,229
2012/12/22,19,56,227
2012/12/23,18,56,224
2012/12/24,19,58,224
2012/12/25,19,58,223
2012/12/26,19,58,221
2012/12/27,19,58,225
2012/12/28,19,58,227
2012/12/29,18,58,232
2012/12/30,19,59,231
2012/12/31,21,60,233
2013/01/01,21,60,229
2013/01/02,22,61,231
2013/01/03,21,59,234
2013/01/04,21,58,232
2013/01/05,20,58,228
2013/01/06,21,59,228
2013/01/07,21,59,224
2013/01/08,21,55,225
2013/01/09,21,55,225
2013/01/10,21,55,226
2013/01/11,22,57,228
2013/01/12,22,58,226
2013/01/13,22,61,222
2013/01/14,21,61,220
2013/01/15,22,60,219
2013/01/16,22,61,213
2013/01/17,22,61,214
2013/01/18,21,60,215
2013/01/19,20,62,219
2013/01/20,20,63,223
2013/01/21,19,63,227
2013/01/22,20,65,231
2013/01/23,20,65,234
2013/01/24,19,65,236
2013/01/25,19,64,235
2013/01/26,20,64,236
2013/01/27,20,64,240
2013/01/28,22,65,240
2013/01/29,20,63,244
2013/01/30,20,63,246
