date,lnwiki (100+),lnwiki (5+),lnwiki (all)
2012/08/19,3,15,35
2012/08/20,4,15,35
2012/08/21,4,15,35
2012/08/22,4,14,36
2012/08/23,4,15,37
2012/08/24,4,15,37
2012/08/25,5,15,36
2012/08/26,5,15,36
2012/08/27,5,15,36
2012/08/28,5,15,37
2012/08/29,5,15,39
2012/08/30,5,15,41
2012/08/31,5,15,42
2012/09/01,5,15,43
2012/09/02,5,16,43
2012/09/03,5,16,43
2012/09/04,5,16,44
2012/09/05,5,15,44
2012/09/06,5,18,45
2012/09/07,5,18,44
2012/09/08,5,18,43
2012/09/09,5,17,42
2012/09/10,5,18,43
2012/09/11,5,18,43
2012/09/12,5,18,43
2012/09/13,4,18,41
2012/09/14,4,18,40
2012/09/15,4,18,39
2012/09/16,4,18,40
2012/09/17,4,18,40
2012/09/18,4,18,39
2012/09/19,4,17,39
2012/09/20,3,17,39
2012/09/21,3,16,37
2012/09/22,3,16,37
2012/09/23,2,16,37
2012/09/24,2,16,36
2012/09/25,2,15,37
2012/09/26,2,14,37
2012/09/27,2,15,36
2012/09/28,2,15,35
2012/09/29,2,14,34
2012/09/30,2,15,33
2012/10/01,2,15,33
2012/10/02,2,15,34
2012/10/03,2,15,34
2012/10/04,2,15,34
2012/10/05,2,14,33
2012/10/06,2,14,32
2012/10/07,2,14,32
2012/10/08,3,15,32
2012/10/09,3,15,31
2012/10/10,3,15,29
2012/10/11,3,15,30
2012/10/12,4,16,30
2012/10/13,4,16,30
2012/10/14,4,16,30
2012/10/15,4,15,31
2012/10/16,4,15,30
2012/10/17,3,15,31
2012/10/18,3,15,31
2012/10/19,3,15,31
2012/10/20,3,15,31
2012/10/21,3,14,32
2012/10/22,3,15,32
2012/10/23,3,15,32
2012/10/24,4,16,33
2012/10/25,4,16,33
2012/10/26,4,16,33
2012/10/27,3,16,35
2012/10/28,4,17,35
2012/10/29,2,17,35
2012/10/30,2,17,34
2012/10/31,3,18,34
2012/11/01,3,18,33
2012/11/02,2,18,33
2012/11/03,2,18,35
2012/11/04,2,19,35
2012/11/05,2,19,35
2012/11/06,1,18,34
2012/11/07,1,19,34
2012/11/08,1,18,34
2012/11/09,1,18,34
2012/11/10,2,18,33
2012/11/11,2,19,32
2012/11/12,2,19,32
2012/11/13,2,19,31
2012/11/14,2,20,32
2012/11/15,2,19,32
2012/11/16,2,19,32
2012/11/17,2,19,32
2012/11/18,2,19,33
2012/11/19,2,19,32
2012/11/20,2,19,31
2012/11/21,2,18,32
2012/11/22,2,18,32
2012/11/23,2,18,31
2012/11/24,2,17,31
2012/11/25,1,18,32
2012/11/26,1,20,32
2012/11/27,1,20,33
2012/11/28,1,20,33
2012/11/29,1,20,34
2012/11/30,1,21,36
2012/12/01,1,21,36
2012/12/02,1,21,36
2012/12/03,2,21,35
2012/12/04,2,21,36
2012/12/05,2,21,36
2012/12/06,2,21,36
2012/12/07,2,21,36
2012/12/08,2,21,36
2012/12/09,2,21,36
2012/12/10,2,21,36
