date,tgwiki (100+),tgwiki (5+),tgwiki (all)
2012/08/19,7,28,55
2012/08/20,7,28,54
2012/08/21,7,28,53
2012/08/22,8,28,52
2012/08/23,8,27,51
2012/08/24,6,30,51
2012/08/25,6,28,52
2012/08/26,5,28,52
2012/08/27,6,28,54
2012/08/28,6,27,54
2012/08/29,6,27,56
2012/08/30,6,29,58
2012/08/31,6,29,58
2012/09/01,6,30,58
2012/09/02,7,30,58
2012/09/03,7,29,56
2012/09/04,6,29,55
2012/09/05,7,29,55
2012/09/06,6,28,55
2012/09/07,6,28,53
2012/09/08,6,28,52
2012/09/09,6,27,53
2012/09/10,6,27,52
2012/09/11,5,26,50
2012/09/12,5,27,51
2012/09/13,5,27,53
2012/09/14,5,28,53
2012/09/15,5,26,52
2012/09/16,5,26,53
2012/09/17,5,27,52
2012/09/18,6,26,52
2012/09/19,6,26,51
2012/09/20,7,26,52
2012/09/21,7,26,53
2012/09/22,7,27,53
2012/09/23,7,27,53
2012/09/24,7,26,51
2012/09/25,7,26,50
2012/09/26,6,26,52
2012/09/27,7,26,52
2012/09/28,7,24,52
2012/09/29,7,24,51
2012/09/30,7,23,51
2012/10/01,7,22,51
2012/10/02,7,22,55
2012/10/03,7,22,52
2012/10/04,7,22,54
2012/10/05,7,22,53
2012/10/06,7,22,52
2012/10/07,7,22,51
2012/10/08,7,22,52
2012/10/09,7,21,51
2012/10/10,7,20,52
2012/10/11,7,20,54
2012/10/12,7,19,54
2012/10/13,7,19,53
2012/10/14,7,20,55
2012/10/15,7,20,55
2012/10/16,7,19,55
2012/10/17,7,19,55
2012/10/18,7,20,55
2012/10/19,7,20,57
2012/10/20,8,20,59
2012/10/21,8,21,59
2012/10/22,7,22,62
2012/10/23,6,22,62
2012/10/24,6,22,61
2012/10/25,6,22,59
2012/10/26,6,25,62
2012/10/27,6,25,61
2012/10/28,6,26,61
2012/10/29,6,27,61
2012/10/30,6,27,60
2012/10/31,6,28,58
2012/11/01,6,30,56
2012/11/02,6,31,61
2012/11/03,6,31,59
2012/11/04,6,31,60
2012/11/05,6,31,62
2012/11/06,6,30,62
2012/11/07,6,30,61
2012/11/08,7,30,60
2012/11/09,6,29,61
2012/11/10,7,29,60
2012/11/11,6,30,60
2012/11/12,7,30,61
2012/11/13,7,30,57
2012/11/14,7,30,57
2012/11/15,7,30,56
2012/11/16,7,30,58
2012/11/17,7,30,57
2012/11/18,7,31,57
2012/11/19,6,31,55
2012/11/20,6,31,57
2012/11/21,7,30,56
2012/11/22,7,30,55
2012/11/23,7,30,57
