date,mtwiki (100+),mtwiki (5+),mtwiki (all)
2012/08/19,,7,31
2012/08/20,,8,31
2012/08/21,1,8,34
2012/08/22,1,8,35
2012/08/23,1,7,35
2012/08/24,1,7,36
2012/08/25,1,8,36
2012/08/26,1,7,35
2012/08/27,1,7,35
2012/08/28,1,8,36
2012/08/29,1,8,37
2012/08/30,1,8,39
2012/08/31,2,8,39
2012/09/01,2,8,38
2012/09/02,2,8,38
2012/09/03,2,8,38
2012/09/04,2,7,37
2012/09/05,3,8,38
2012/09/06,3,9,38
2012/09/07,3,10,38
2012/09/08,3,11,39
2012/09/09,3,11,41
2012/09/10,3,11,40
2012/09/11,3,10,37
2012/09/12,3,11,36
2012/09/13,3,11,33
2012/09/14,3,11,34
2012/09/15,3,10,33
2012/09/16,3,10,33
2012/09/17,3,10,34
2012/09/18,3,10,31
2012/09/19,3,9,31
2012/09/20,2,9,28
2012/09/21,2,9,27
2012/09/22,2,9,27
2012/09/23,2,8,27
2012/09/24,2,7,25
2012/09/25,2,7,26
2012/09/26,2,7,26
2012/09/27,2,6,26
2012/09/28,2,6,25
2012/09/29,1,6,23
2012/09/30,1,6,22
2012/10/01,1,7,24
2012/10/02,1,7,24
2012/10/03,1,8,24
2012/10/04,1,8,24
2012/10/05,1,8,22
2012/10/06,1,8,23
2012/10/07,1,7,23
2012/10/08,1,8,24
2012/10/09,1,7,24
2012/10/10,1,7,25
2012/10/11,1,7,25
2012/10/12,1,5,25
2012/10/13,1,5,24
2012/10/14,1,5,23
2012/10/15,1,5,23
2012/10/16,1,5,25
2012/10/17,1,5,24
2012/10/18,1,5,24
2012/10/19,,5,22
2012/10/20,,6,23
2012/10/21,,7,24
2012/10/22,,8,25
2012/10/23,,8,26
2012/10/24,,8,27
2012/10/25,,8,25
2012/10/26,,8,25
2012/10/27,,8,25
2012/10/28,,10,27
2012/10/29,,10,26
2012/10/30,,10,26
2012/10/31,,11,25
2012/11/01,,10,25
2012/11/02,,9,25
2012/11/03,,10,26
2012/11/04,,10,28
2012/11/05,,11,29
2012/11/06,,11,29
2012/11/07,,11,29
2012/11/08,,11,30
2012/11/09,,12,28
2012/11/10,,12,28
2012/11/11,,13,28
2012/11/12,,14,26
2012/11/13,1,14,27
2012/11/14,1,14,28
2012/11/15,1,14,26
2012/11/16,1,13,26
2012/11/17,1,13,26
2012/11/18,1,13,27
2012/11/19,1,12,26
2012/11/20,1,13,28
2012/11/21,1,12,27
2012/11/22,1,12,27
2012/11/23,1,13,29
2012/11/24,2,13,29
2012/11/25,2,13,29
2012/11/26,3,13,29
2012/11/27,2,12,30
2012/11/28,2,12,31
2012/11/29,2,12,33
2012/11/30,2,12,34
2012/12/01,1,12,35
2012/12/02,1,12,35
2012/12/03,2,13,35
2012/12/04,2,13,33
2012/12/05,3,14,31
2012/12/06,3,13,32
2012/12/07,3,13,32
2012/12/08,3,12,32
2012/12/09,3,11,32
2012/12/10,3,11,32
2012/12/11,3,11,32
2012/12/12,3,11,34
2012/12/13,3,12,34
2012/12/14,2,12,33
2012/12/15,2,12,34
2012/12/16,2,12,33
2012/12/17,2,12,33
2012/12/18,2,12,35
2012/12/19,2,13,35
2012/12/20,2,12,34
2012/12/21,2,12,35
2012/12/22,2,12,37
2012/12/23,2,11,36
2012/12/24,2,11,36
2012/12/25,2,11,38
2012/12/26,2,11,38
2012/12/27,2,12,36
2012/12/28,2,12,36
2012/12/29,2,12,34
2012/12/30,2,12,34
2012/12/31,3,12,33
2013/01/01,3,12,34
2013/01/02,3,12,35
2013/01/03,3,12,36
2013/01/04,3,13,37
2013/01/05,3,13,37
2013/01/06,3,14,38
2013/01/07,3,14,38
2013/01/08,3,14,40
2013/01/09,3,14,41
2013/01/10,3,14,41
2013/01/11,3,14,40
2013/01/12,3,14,40
2013/01/13,3,14,43
2013/01/14,3,14,42
2013/01/15,2,14,41
2013/01/16,2,13,42
2013/01/17,2,13,42
2013/01/18,2,14,43
2013/01/19,2,13,41
2013/01/20,2,13,41
2013/01/21,2,13,40
2013/01/22,2,14,40
2013/01/23,2,14,41
2013/01/24,2,14,40
2013/01/25,2,14,41
2013/01/26,2,14,44
2013/01/27,2,14,46
2013/01/28,2,15,50
2013/01/29,1,16,51
2013/01/30,2,16,51
2013/01/31,2,16,50
2013/02/01,2,16,49
2013/02/02,2,15,48
2013/02/03,2,14,49
2013/02/04,2,14,49
2013/02/05,2,14,48
2013/02/06,2,14,50
2013/02/07,2,15,49
2013/02/08,2,16,48
2013/02/09,2,16,48
2013/02/10,2,15,48
2013/02/11,2,16,51
2013/02/12,2,16,49
2013/02/13,2,16,50
2013/02/14,2,17,50
2013/02/15,2,16,49
2013/02/16,2,16,48
2013/02/17,2,17,49
2013/02/18,2,17,52
2013/02/19,2,17,52
2013/02/20,2,17,51
2013/02/21,2,16,50
2013/02/22,2,15,48
2013/02/23,2,15,48
2013/02/24,2,14,44
2013/02/25,2,14,40
2013/02/26,2,14,38
2013/02/27,2,13,38
2013/02/28,2,13,37
2013/03/01,2,12,37
2013/03/02,2,12,36
2013/03/03,2,12,36
2013/03/04,2,12,35
2013/03/05,2,12,31
2013/03/06,2,12,30
2013/03/07,2,12,30
2013/03/08,2,12,30
2013/03/09,2,11,29
2013/03/10,2,11,29
2013/03/11,2,11,29
2013/03/12,2,10,31
2013/03/13,2,9,30
2013/03/14,2,9,30
2013/03/15,2,10,31
2013/03/16,2,10,31
2013/03/17,2,10,29
2013/03/18,3,10,29
2013/03/19,3,10,29
2013/03/20,3,10,27
2013/03/21,3,9,27
2013/03/22,3,8,26
2013/03/23,3,8,26
2013/03/24,3,7,27
