date,bclwiki (100+),bclwiki (5+),bclwiki (all)
2012/08/19,5,21,57
2012/08/20,5,20,56
2012/08/21,5,20,56
2012/08/22,5,19,55
2012/08/23,5,19,55
2012/08/24,6,20,54
2012/08/25,8,21,54
2012/08/26,8,21,56
2012/08/27,8,21,57
2012/08/28,8,21,56
2012/08/29,8,22,56
2012/08/30,8,22,56
2012/08/31,8,22,55
2012/09/01,8,23,56
2012/09/02,8,23,56
2012/09/03,8,23,55
2012/09/04,8,23,55
2012/09/05,8,22,57
2012/09/06,8,23,57
2012/09/07,8,23,54
2012/09/08,8,23,53
2012/09/09,8,23,55
2012/09/10,8,23,55
2012/09/11,8,23,56
2012/09/12,8,23,54
2012/09/13,8,24,53
2012/09/14,8,26,54
2012/09/15,8,24,51
2012/09/16,8,24,51
2012/09/17,8,25,50
2012/09/18,8,25,48
2012/09/19,8,25,48
2012/09/20,7,25,48
2012/09/21,7,24,50
2012/09/22,7,23,49
2012/09/23,7,23,48
2012/09/24,7,24,49
2012/09/25,7,22,47
2012/09/26,7,22,47
2012/09/27,7,22,47
2012/09/28,7,21,46
2012/09/29,7,21,46
2012/09/30,7,21,43
2012/10/01,7,20,40
2012/10/02,8,20,41
2012/10/03,8,20,41
2012/10/04,8,21,43
2012/10/05,8,21,41
2012/10/06,8,21,41
2012/10/07,8,21,42
2012/10/08,8,20,42
2012/10/09,8,20,40
2012/10/10,8,21,41
2012/10/11,9,21,41
2012/10/12,8,21,41
2012/10/13,9,21,41
2012/10/14,9,21,41
2012/10/15,9,21,42
2012/10/16,9,22,43
2012/10/17,7,22,42
2012/10/18,7,22,42
2012/10/19,7,23,43
2012/10/20,7,24,43
2012/10/21,7,23,44
2012/10/22,7,24,44
2012/10/23,7,23,44
2012/10/24,7,20,41
2012/10/25,6,22,41
2012/10/26,6,22,43
2012/10/27,6,23,44
2012/10/28,6,23,44
2012/10/29,7,26,47
2012/10/30,6,26,49
2012/10/31,7,27,49
2012/11/01,6,27,49
2012/11/02,7,25,49
2012/11/03,7,26,48
2012/11/04,7,27,49
2012/11/05,6,26,50
2012/11/06,7,27,48
2012/11/07,7,28,49
2012/11/08,6,28,50
2012/11/09,6,26,49
2012/11/10,6,26,49
2012/11/11,6,26,50
2012/11/12,6,26,49
2012/11/13,6,26,48
2012/11/14,5,26,47
2012/11/15,6,26,47
2012/11/16,6,26,48
2012/11/17,6,26,47
2012/11/18,5,27,48
2012/11/19,5,26,47
2012/11/20,5,25,47
2012/11/21,4,25,46
2012/11/22,4,25,48
2012/11/23,4,26,48
2012/11/24,4,26,48
2012/11/25,4,27,45
2012/11/26,4,26,46
2012/11/27,4,26,47
2012/11/28,4,25,47
2012/11/29,4,27,49
2012/11/30,3,27,47
2012/12/01,3,27,47
2012/12/02,3,27,47
2012/12/03,3,27,46
2012/12/04,3,26,46
2012/12/05,3,25,46
2012/12/06,4,24,46
2012/12/07,4,25,46
2012/12/08,4,27,45
2012/12/09,4,28,45
2012/12/10,5,28,45
2012/12/11,5,29,47
2012/12/12,5,28,49
2012/12/13,4,28,49
2012/12/14,4,28,50
2012/12/15,4,28,50
2012/12/16,4,27,48
2012/12/17,4,27,48
2012/12/18,4,26,48
2012/12/19,4,26,52
2012/12/20,4,26,51
2012/12/21,4,26,52
