date,bclwiki (100+),bclwiki (5+),bclwiki (all)
2012/12/22,4,26,51
2012/12/23,5,26,51
2012/12/24,5,26,51
2012/12/25,5,26,51
2012/12/26,5,26,51
2012/12/27,5,25,52
2012/12/28,5,24,51
2012/12/29,5,23,50
2012/12/30,6,24,49
2012/12/31,6,24,49
2013/01/01,6,24,50
2013/01/02,6,25,50
2013/01/03,6,25,49
2013/01/04,6,25,50
2013/01/05,6,25,51
2013/01/06,6,25,52
2013/01/07,6,22,51
2013/01/08,6,23,51
2013/01/09,6,24,51
2013/01/10,6,24,50
2013/01/11,6,23,48
2013/01/12,6,22,48
2013/01/13,6,22,45
2013/01/14,6,22,45
2013/01/15,6,22,45
2013/01/16,6,22,46
2013/01/17,6,23,45
2013/01/18,6,23,43
2013/01/19,6,24,43
2013/01/20,6,25,45
2013/01/21,6,25,44
2013/01/22,6,25,43
2013/01/23,6,25,44
2013/01/24,6,25,43
2013/01/25,6,26,43
2013/01/26,6,26,42
2013/01/27,6,26,43
2013/01/28,6,26,44
2013/01/29,6,26,44
2013/01/30,5,26,43
2013/01/31,5,26,43
2013/02/01,5,26,44
2013/02/02,5,26,43
2013/02/03,5,24,45
2013/02/04,5,25,44
2013/02/05,5,25,43
2013/02/06,5,25,45
2013/02/07,5,24,44
2013/02/08,5,24,44
2013/02/09,5,23,42
2013/02/10,5,23,43
2013/02/11,5,25,43
2013/02/12,5,25,43
2013/02/13,5,25,44
2013/02/14,5,25,43
2013/02/15,5,24,43
2013/02/16,5,24,45
2013/02/17,5,25,45
2013/02/18,5,24,45
2013/02/19,5,22,44
2013/02/20,5,22,44
2013/02/21,5,22,44
2013/02/22,5,23,44
2013/02/23,5,22,45
2013/02/24,5,22,44
2013/02/25,5,22,43
2013/02/26,5,22,40
2013/02/27,5,23,39
2013/02/28,5,23,40
2013/03/01,5,22,41
2013/03/02,5,23,41
2013/03/03,5,23,40
2013/03/04,5,23,41
2013/03/05,5,22,38
2013/03/06,5,21,37
2013/03/07,6,22,39
2013/03/08,6,22,38
2013/03/09,7,22,39
2013/03/10,7,22,38
2013/03/11,7,22,37
2013/03/12,7,21,36
2013/03/13,7,19,36
2013/03/14,7,18,36
2013/03/15,7,17,38
2013/03/16,5,16,37
2013/03/17,5,16,37
2013/03/18,5,16,36
2013/03/19,5,16,37
2013/03/20,5,15,37
2013/03/21,5,15,35
2013/03/22,5,15,35
2013/03/23,5,15,35
2013/03/24,5,15,35
2013/03/25,4,15,34
2013/03/26,4,15,34
2013/03/27,4,15,33
2013/03/28,4,14,34
2013/03/29,4,14,34
2013/03/30,3,14,34
2013/03/31,3,13,33
2013/04/01,3,12,32
2013/04/02,3,12,34
2013/04/03,3,11,31
2013/04/04,3,10,33
2013/04/05,2,7,31
2013/04/06,2,6,31
2013/04/07,2,5,27
2013/04/08,1,5,27
2013/04/09,,5,26
2013/04/10,,5,25
2013/04/11,,6,26
2013/04/12,,6,27
2013/04/13,,7,29
2013/04/14,,7,27
2013/04/15,,7,28
2013/04/16,,7,29
2013/04/17,,7,30
2013/04/18,,7,29
2013/04/19,,7,29
2013/04/20,,7,30
2013/04/21,,7,31
2013/04/22,,7,31
2013/04/23,,7,32
2013/04/24,,7,32
2013/04/25,,7,32
2013/04/26,,7,32
2013/04/27,,7,31
2013/04/28,,7,31
2013/04/29,,8,32
2013/04/30,,8,32
2013/05/01,,8,33
2013/05/02,,8,31
2013/05/03,,7,29
2013/05/04,,7,26
2013/05/05,,7,24
2013/05/06,,7,21
2013/05/07,,6,21
2013/05/08,,6,20
2013/05/09,,6,21
2013/05/10,,6,21
2013/05/11,,6,20
2013/05/12,,5,19
2013/05/13,,4,18
2013/05/14,,3,18
2013/05/15,,4,19
2013/05/16,,3,19
2013/05/17,,3,18
2013/05/18,,2,19
2013/05/19,,2,19
2013/05/20,1,2,18
2013/05/21,1,2,17
2013/05/22,,3,19
2013/05/23,,3,18
2013/05/24,,3,19
2013/05/25,,3,19
2013/05/26,,4,20
2013/05/27,,4,20
2013/05/28,,4,20
2013/05/29,,4,19
2013/05/30,,4,19
2013/05/31,1,4,18
2013/06/01,1,4,18
2013/06/02,1,4,18
2013/06/03,1,4,18
2013/06/04,1,4,18
2013/06/05,1,4,18
2013/06/06,1,4,18
2013/06/07,1,4,16
2013/06/08,1,4,14
2013/06/09,1,4,16
2013/06/10,1,4,17
2013/06/11,1,4,17
2013/06/12,1,4,17
2013/06/13,1,4,17
2013/06/14,1,4,16
2013/06/15,1,4,17
2013/06/16,1,4,17
2013/06/17,1,4,18
2013/06/18,1,4,18
2013/06/19,1,4,18
2013/06/20,1,4,18
2013/06/21,1,4,16
2013/06/22,1,4,17
2013/06/23,1,4,16
2013/06/24,1,4,16
2013/06/25,1,3,15
2013/06/26,1,3,15
2013/06/27,1,3,15
2013/06/28,1,3,16
2013/06/29,1,3,16
2013/06/30,1,3,16
2013/07/01,1,3,16
2013/07/02,1,3,16
2013/07/03,1,3,19
2013/07/04,1,4,21
2013/07/05,1,4,21
2013/07/06,2,4,21
2013/07/07,2,4,21
2013/07/08,2,5,22
2013/07/09,2,5,23
2013/07/10,2,5,22
2013/07/11,2,5,23
2013/07/12,2,5,25
2013/07/13,1,5,26
2013/07/14,1,4,27
2013/07/15,1,4,27
2013/07/16,1,4,26
2013/07/17,1,4,25
2013/07/18,1,4,25
2013/07/19,1,4,25
2013/07/20,1,4,25
2013/07/21,1,4,25
2013/07/22,1,4,25
2013/07/23,1,4,24
2013/07/24,1,4,25
2013/07/25,1,4,26
2013/07/26,1,4,27
2013/07/27,1,5,28
2013/07/28,1,4,28
2013/07/29,1,4,28
2013/07/30,1,3,29
2013/07/31,1,4,29
2013/08/01,1,4,29
2013/08/02,1,4,27
2013/08/03,1,4,25
2013/08/04,,4,23
2013/08/05,,4,23
2013/08/06,,4,24
2013/08/07,,3,23
2013/08/08,,3,22
2013/08/09,,3,22
2013/08/10,,3,23
2013/08/11,,3,21
2013/08/12,,3,21
2013/08/13,,3,20
2013/08/14,,3,21
2013/08/15,,3,20
2013/08/16,,3,20
2013/08/17,,3,21
2013/08/18,,3,21
2013/08/19,,3,21
2013/08/20,,3,21
2013/08/21,,3,21
2013/08/22,,3,20
2013/08/23,,3,19
2013/08/24,,3,17
2013/08/25,,3,16
2013/08/26,,3,14
2013/08/27,,3,14
2013/08/28,,3,14
2013/08/29,,4,18
2013/08/30,,3,18
2013/08/31,,3,18
2013/09/01,,3,17
2013/09/02,,3,16
2013/09/03,,3,15
2013/09/04,,3,15
2013/09/05,,3,14
2013/09/06,,3,14
2013/09/07,,3,13
2013/09/08,,2,12
2013/09/09,,2,10
2013/09/10,,2,10
2013/09/11,,2,9
2013/09/12,,2,9
2013/09/13,,2,9
2013/09/14,,2,9
2013/09/15,,2,9
2013/09/16,,2,8
2013/09/17,,2,8
2013/09/18,,2,8
2013/09/19,,2,9
2013/09/20,,1,8
2013/09/21,,1,8
2013/09/22,,1,9
2013/09/23,,1,9
2013/09/24,,1,9
2013/09/25,,1,9
2013/09/26,,1,9
2013/09/27,,1,9
2013/09/28,,1,6
2013/09/29,,1,5
2013/09/30,,1,6
2013/10/01,,1,7
2013/10/02,,1,8
2013/10/03,,1,8
2013/10/04,,1,8
2013/10/05,,1,8
2013/10/06,,1,8
2013/10/07,,1,8
2013/10/08,,1,8
2013/10/09,,1,8
2013/10/10,,1,9
2013/10/11,,1,11
2013/10/12,,1,11
2013/10/13,,1,10
2013/10/14,,2,10
2013/10/15,,2,10
2013/10/16,,2,10
2013/10/17,,2,10
2013/10/18,,2,10
2013/10/19,,3,9
2013/10/20,,3,9
2013/10/21,,3,9
2013/10/22,,3,9
2013/10/23,,3,9
2013/10/24,,3,10
2013/10/25,,3,10
2013/10/26,,3,13
2013/10/27,,3,13
2013/10/28,,3,14
2013/10/29,,3,14
2013/10/30,,3,13
2013/10/31,,3,13
2013/11/01,,3,12
2013/11/02,,3,12
2013/11/03,,3,12
2013/11/04,,3,12
2013/11/05,,3,12
2013/11/06,,3,12
2013/11/07,,3,14
2013/11/08,,3,16
2013/11/09,,3,16
2013/11/10,,3,15
2013/11/11,,3,16
2013/11/12,,3,16
2013/11/13,,3,15
2013/11/14,,3,15
2013/11/15,,3,15
2013/11/16,,2,15
2013/11/17,,2,15
2013/11/18,,2,16
2013/11/19,,2,16
2013/11/20,,2,17
2013/11/21,,2,16
