date,mrjwiki (100+),mrjwiki (5+),mrjwiki (all)
2012/08/19,5,17,32
2012/08/20,3,16,31
2012/08/21,4,16,30
2012/08/22,4,15,30
2012/08/23,4,15,31
2012/08/24,4,15,31
2012/08/25,4,15,30
2012/08/26,4,15,31
2012/08/27,4,15,31
2012/08/28,4,14,33
2012/08/29,4,13,32
2012/08/30,4,13,33
2012/08/31,4,13,34
2012/09/01,4,15,35
2012/09/02,4,16,34
2012/09/03,4,17,35
2012/09/04,4,18,37
2012/09/05,4,19,38
2012/09/06,4,20,38
2012/09/07,4,19,38
2012/09/08,4,19,38
2012/09/09,4,21,38
2012/09/10,4,20,37
2012/09/11,4,21,38
2012/09/12,4,19,38
2012/09/13,4,18,38
2012/09/14,5,21,39
2012/09/15,5,22,39
2012/09/16,5,23,39
2012/09/17,5,24,39
2012/09/18,5,24,38
2012/09/19,5,24,38
2012/09/20,5,24,38
2012/09/21,5,22,37
2012/09/22,5,22,36
2012/09/23,5,22,36
2012/09/24,5,22,36
2012/09/25,5,22,37
2012/09/26,5,22,37
2012/09/27,5,21,36
2012/09/28,5,21,36
2012/09/29,5,21,34
2012/09/30,5,21,34
2012/10/01,4,21,32
2012/10/02,4,21,32
2012/10/03,4,21,32
2012/10/04,4,21,31
2012/10/05,4,21,30
2012/10/06,4,20,30
2012/10/07,4,20,32
2012/10/08,4,20,32
2012/10/09,4,19,30
2012/10/10,4,19,29
2012/10/11,4,19,30
2012/10/12,4,20,30
2012/10/13,4,20,29
2012/10/14,3,17,28
2012/10/15,3,17,29
2012/10/16,3,17,29
2012/10/17,3,17,29
2012/10/18,3,17,29
2012/10/19,3,16,32
2012/10/20,3,17,32
2012/10/21,3,18,33
2012/10/22,3,18,34
2012/10/23,3,18,34
2012/10/24,3,18,34
2012/10/25,3,17,35
2012/10/26,3,17,36
2012/10/27,3,17,36
2012/10/28,3,18,37
2012/10/29,4,19,39
2012/10/30,4,19,39
2012/10/31,4,20,39
2012/11/01,4,20,39
2012/11/02,4,20,39
2012/11/03,4,20,40
2012/11/04,4,20,40
2012/11/05,4,19,40
2012/11/06,4,19,39
2012/11/07,4,19,39
2012/11/08,4,19,39
2012/11/09,4,19,39
2012/11/10,4,19,39
2012/11/11,4,20,38
2012/11/12,4,20,38
2012/11/13,4,20,38
2012/11/14,4,21,37
2012/11/15,4,20,38
2012/11/16,4,20,38
2012/11/17,5,20,37
2012/11/18,5,19,36
2012/11/19,5,19,35
2012/11/20,5,19,36
2012/11/21,4,18,37
2012/11/22,4,18,37
2012/11/23,4,18,40
2012/11/24,4,19,39
2012/11/25,4,20,37
2012/11/26,4,20,36
2012/11/27,4,19,37
2012/11/28,5,20,33
2012/11/29,6,20,33
2012/11/30,4,20,33
2012/12/01,4,21,33
2012/12/02,5,21,35
2012/12/03,5,21,35
2012/12/04,5,21,34
2012/12/05,5,22,35
2012/12/06,5,22,35
2012/12/07,5,22,37
2012/12/08,5,22,37
2012/12/09,5,23,38
2012/12/10,6,23,38
2012/12/11,6,23,38
2012/12/12,6,24,38
2012/12/13,6,24,38
2012/12/14,6,24,38
2012/12/15,6,23,37
2012/12/16,5,22,38
2012/12/17,5,22,40
2012/12/18,5,23,40
2012/12/19,4,23,41
2012/12/20,4,22,40
2012/12/21,4,22,38
2012/12/22,4,22,38
2012/12/23,4,22,37
2012/12/24,4,22,37
2012/12/25,4,21,37
2012/12/26,4,21,37
2012/12/27,4,21,38
2012/12/28,4,21,38
2012/12/29,4,21,37
2012/12/30,4,21,37
2012/12/31,4,20,38
2013/01/01,4,20,39
2013/01/02,4,21,39
2013/01/03,4,20,39
2013/01/04,4,20,38
2013/01/05,4,20,39
2013/01/06,4,19,38
2013/01/07,5,19,36
2013/01/08,5,19,36
2013/01/09,5,19,36
2013/01/10,4,19,38
2013/01/11,4,19,39
2013/01/12,4,19,40
2013/01/13,4,19,41
2013/01/14,5,20,41
2013/01/15,4,21,41
2013/01/16,4,21,39
2013/01/17,4,20,39
2013/01/18,4,21,38
2013/01/19,4,21,40
2013/01/20,4,21,39
2013/01/21,4,21,39
2013/01/22,4,21,39
2013/01/23,4,20,38
2013/01/24,4,20,39
2013/01/25,4,21,39
2013/01/26,4,21,39
2013/01/27,4,21,38
2013/01/28,4,21,39
2013/01/29,4,21,39
2013/01/30,4,21,38
2013/01/31,4,21,38
2013/02/01,4,21,38
2013/02/02,4,21,39
2013/02/03,4,20,39
2013/02/04,4,20,38
2013/02/05,4,20,39
2013/02/06,4,19,40
2013/02/07,4,19,39
2013/02/08,4,20,39
2013/02/09,4,20,38
2013/02/10,4,20,37
2013/02/11,4,20,35
2013/02/12,4,19,35
2013/02/13,4,20,36
2013/02/14,4,19,36
2013/02/15,4,19,36
2013/02/16,4,19,38
2013/02/17,4,18,38
2013/02/18,4,18,37
2013/02/19,4,18,37
2013/02/20,4,17,36
2013/02/21,4,16,36
2013/02/22,4,16,37
2013/02/23,4,16,35
2013/02/24,4,16,35
2013/02/25,4,16,32
2013/02/26,4,16,32
2013/02/27,4,16,31
2013/02/28,4,16,31
2013/03/01,4,16,31
2013/03/02,4,17,30
2013/03/03,5,16,31
2013/03/04,5,15,34
2013/03/05,5,15,34
2013/03/06,5,16,34
2013/03/07,5,16,33
2013/03/08,6,17,33
2013/03/09,6,17,34
2013/03/10,6,17,33
2013/03/11,6,16,32
2013/03/12,7,17,32
2013/03/13,7,16,32
2013/03/14,7,16,32
2013/03/15,6,14,31
2013/03/16,6,14,32
2013/03/17,6,14,32
2013/03/18,6,13,31
2013/03/19,6,13,31
2013/03/20,4,13,31
2013/03/21,4,13,32
2013/03/22,4,13,31
2013/03/23,4,13,31
2013/03/24,3,13,31
2013/03/25,3,13,31
2013/03/26,3,13,32
2013/03/27,2,13,30
2013/03/28,2,12,30
2013/03/29,2,12,30
2013/03/30,2,12,28
2013/03/31,2,11,27
2013/04/01,2,11,28
2013/04/02,2,8,25
2013/04/03,2,8,21
2013/04/04,2,6,20
2013/04/05,2,6,18
2013/04/06,2,5,16
2013/04/07,2,5,14
2013/04/08,1,4,13
2013/04/09,1,4,15
2013/04/10,1,4,15
2013/04/11,,4,16
2013/04/12,,4,15
2013/04/13,,4,16
2013/04/14,,4,17
2013/04/15,,4,16
2013/04/16,,4,15
2013/04/17,,4,15
2013/04/18,,4,15
2013/04/19,,4,15
2013/04/20,,4,15
2013/04/21,,4,15
2013/04/22,,4,15
2013/04/23,1,4,15
2013/04/24,1,4,16
2013/04/25,1,4,17
2013/04/26,1,4,17
2013/04/27,1,4,17
2013/04/28,1,4,17
2013/04/29,1,4,17
2013/04/30,1,4,17
2013/05/01,1,4,17
2013/05/02,1,4,16
2013/05/03,1,3,15
2013/05/04,1,3,15
2013/05/05,1,4,14
2013/05/06,1,4,14
2013/05/07,1,4,15
2013/05/08,1,4,14
2013/05/09,1,4,12
2013/05/10,1,4,12
2013/05/11,1,3,11
2013/05/12,1,3,11
2013/05/13,1,2,12
2013/05/14,1,2,12
2013/05/15,,2,12
2013/05/16,,2,12
2013/05/17,,2,10
2013/05/18,,2,10
2013/05/19,,2,10
2013/05/20,,2,9
2013/05/21,,2,9
2013/05/22,,2,9
2013/05/23,,3,10
2013/05/24,,3,9
2013/05/25,,3,8
2013/05/26,,3,8
2013/05/27,,3,9
2013/05/28,,3,9
2013/05/29,,3,10
2013/05/30,,3,10
2013/05/31,,3,10
2013/06/01,,3,10
2013/06/02,,3,11
2013/06/03,,3,11
2013/06/04,,3,11
2013/06/05,,3,11
2013/06/06,,3,10
2013/06/07,,4,10
2013/06/08,,4,10
2013/06/09,,4,11
2013/06/10,,4,11
2013/06/11,,4,12
2013/06/12,,4,12
2013/06/13,,4,11
2013/06/14,,4,11
2013/06/15,,4,11
2013/06/16,,3,11
2013/06/17,,3,11
2013/06/18,,3,11
2013/06/19,,3,11
2013/06/20,,3,11
2013/06/21,,3,11
2013/06/22,,2,12
2013/06/23,,2,11
2013/06/24,,2,10
2013/06/25,,2,10
2013/06/26,,,8
2013/06/27,,,8
2013/06/28,,,8
2013/06/29,,,8
2013/06/30,,,8
2013/07/01,,1,8
2013/07/02,,1,9
2013/07/03,,1,10
2013/07/04,,1,10
2013/07/05,,1,10
2013/07/06,,2,11
2013/07/07,,1,11
2013/07/08,,1,11
2013/07/09,,1,10
2013/07/10,,2,10
2013/07/11,,2,9
2013/07/12,,1,9
2013/07/13,,1,9
2013/07/14,,1,9
2013/07/15,,1,9
2013/07/16,,1,9
2013/07/17,,1,9
2013/07/18,,2,10
2013/07/19,,2,10
2013/07/20,,2,11
2013/07/21,,2,11
2013/07/22,,2,11
2013/07/23,,2,11
2013/07/24,,2,11
2013/07/25,,2,11
2013/07/26,,2,11
2013/07/27,,2,11
2013/07/28,,2,10
2013/07/29,,2,10
2013/07/30,,2,10
2013/07/31,,2,9
2013/08/01,,2,8
2013/08/02,,3,9
2013/08/03,,3,8
2013/08/04,,3,8
2013/08/05,,2,8
2013/08/06,,2,8
2013/08/07,,2,8
2013/08/08,,2,8
2013/08/09,,2,8
2013/08/10,,2,8
2013/08/11,,2,8
2013/08/12,,2,8
2013/08/13,,2,8
2013/08/14,,2,8
2013/08/15,,2,7
2013/08/16,,2,7
2013/08/17,,3,7
2013/08/18,,3,8
2013/08/19,,3,7
2013/08/20,,3,7
2013/08/21,,3,7
2013/08/22,,3,7
2013/08/23,,3,8
2013/08/24,,3,8
2013/08/25,,3,8
2013/08/26,,3,8
2013/08/27,,3,8
2013/08/28,,3,7
2013/08/29,,4,9
2013/08/30,,3,9
2013/08/31,,3,9
2013/09/01,,1,7
2013/09/02,,1,7
2013/09/03,,1,7
2013/09/04,,1,7
2013/09/05,,1,8
2013/09/06,,1,8
2013/09/07,,1,8
2013/09/08,,1,8
2013/09/09,,1,7
2013/09/10,,1,7
2013/09/11,,1,7
2013/09/12,,1,7
2013/09/13,,1,8
2013/09/14,,1,8
2013/09/15,,1,8
2013/09/16,,,7
2013/09/17,,,6
2013/09/18,,,6
2013/09/19,,,6
2013/09/20,,,7
2013/09/21,,,9
2013/09/22,,,8
2013/09/23,,,8
2013/09/24,,,8
2013/09/25,,,8
2013/09/26,,,8
2013/09/27,,,8
2013/09/28,,,8
2013/09/29,,,7
2013/09/30,,,7
2013/10/01,,,7
2013/10/02,,,7
2013/10/03,,,7
2013/10/04,,,7
2013/10/05,,,6
2013/10/06,,,6
2013/10/07,,,6
2013/10/08,,,7
2013/10/09,,,7
2013/10/10,,,7
2013/10/11,,,7
2013/10/12,,,7
2013/10/13,,,7
2013/10/14,,,6
2013/10/15,,,6
2013/10/16,,,6
2013/10/17,,,7
2013/10/18,,,7
2013/10/19,,,9
2013/10/20,,,8
2013/10/21,,,6
2013/10/22,,,6
2013/10/23,,,5
2013/10/24,,,5
2013/10/25,,,5
2013/10/26,,,5
2013/10/27,,1,5
2013/10/28,,1,4
2013/10/29,,1,5
2013/10/30,,1,6
2013/10/31,,1,6
2013/11/01,,1,6
2013/11/02,,1,6
2013/11/03,,1,6
2013/11/04,,1,6
2013/11/05,,1,6
2013/11/06,,1,6
2013/11/07,,1,6
2013/11/08,,1,6
2013/11/09,,1,5
2013/11/10,,1,5
2013/11/11,,1,5
2013/11/12,,1,5
2013/11/13,,1,5
2013/11/14,,1,5
2013/11/15,,1,6
2013/11/16,,1,6
2013/11/17,,1,7
2013/11/18,,,5
2013/11/19,,,5
2013/11/20,,,6
2013/11/21,,,6
2013/11/22,,,6
2013/11/23,,,7
2013/11/24,,,7
2013/11/25,,,7
2013/11/26,,,6
2013/11/27,,,6
2013/11/28,,,5
2013/11/29,,,5
2013/11/30,,,5
2013/12/01,,,5
2013/12/02,,,5
2013/12/03,,,5
2013/12/04,,,5
2013/12/05,,,5
2013/12/06,,,5
2013/12/07,,,5
2013/12/08,,,5
2013/12/09,,,6
2013/12/10,,,6
2013/12/11,,,7
2013/12/12,,,7
2013/12/13,,,8
2013/12/14,,,8
2013/12/15,,,8
2013/12/16,,,8
2013/12/17,,,7
2013/12/18,,,7
2013/12/19,,,7
2013/12/20,,,7
2013/12/21,,,7
2013/12/22,,,7
2013/12/23,,,6
2013/12/24,,,6
2013/12/25,,,6
2013/12/26,,,6
2013/12/27,,,6
2013/12/28,,,6
2013/12/29,,,6
2013/12/30,,,6
2013/12/31,,,6
2014/01/01,,,6
2014/01/02,,,6
2014/01/03,,,6
2014/01/04,,,6
2014/01/05,,,7
2014/01/06,,,7
2014/01/07,,,7
2014/01/08,,,6
2014/01/09,,,6
2014/01/10,,,6
2014/01/11,,,6
2014/01/12,,,5
2014/01/13,,,5
2014/01/14,,,4
2014/01/15,,,4
2014/01/16,,,5
2014/01/17,,1,6
2014/01/18,,1,6
2014/01/19,,1,6
2014/01/20,,1,7
2014/01/21,,1,7
2014/01/22,,1,7
2014/01/23,,2,9
2014/01/24,,2,9
2014/01/25,,2,10
2014/01/26,,2,10
2014/01/27,,2,10
2014/01/28,,2,10
2014/01/29,,2,10
2014/01/30,,2,11
2014/01/31,,2,11
2014/02/01,,2,11
2014/02/02,,2,11
2014/02/03,,2,12
2014/02/04,,2,11
2014/02/05,,2,11
2014/02/06,,2,11
2014/02/07,,2,11
2014/02/08,,2,11
2014/02/09,,2,11
2014/02/10,,2,12
2014/02/11,,2,12
2014/02/12,,2,12
2014/02/13,,2,11
2014/02/14,,2,11
2014/02/15,,2,9
2014/02/16,,1,7
2014/02/17,,1,7
2014/02/18,,1,7
2014/02/19,,1,8
2014/02/20,,1,7
2014/02/21,,1,7
2014/02/22,,1,6
2014/02/23,,1,6
2014/02/24,,1,6
2014/02/25,,1,6
2014/02/26,,1,6
2014/02/27,,1,6
2014/02/28,,1,6
2014/03/01,,1,5
2014/03/02,,,5
2014/03/03,,,5
2014/03/04,,,5
2014/03/05,,,4
2014/03/06,,,4
2014/03/07,,,4
2014/03/08,,,4
2014/03/09,,,4
2014/03/10,,,4
2014/03/11,,,5
2014/03/12,,,4
2014/03/13,,,4
2014/03/14,,,4
2014/03/15,,,4
2014/03/16,,,4
2014/03/17,,,4
2014/03/18,,,4
2014/03/19,,,4
2014/03/20,,,4
2014/03/21,,,3
2014/03/22,,,3
2014/03/23,,,3
2014/03/24,,,3
2014/03/25,,,3
2014/03/26,,,6
2014/03/27,,,8
2014/03/28,,,9
2014/03/29,,,10
2014/03/30,,,10
2014/03/31,,,10
2014/04/01,,,10
2014/04/02,,,10
2014/04/03,,,11
2014/04/04,,,11
2014/04/05,,,12
2014/04/06,,,12
2014/04/07,,,12
2014/04/08,,,12
2014/04/09,,2,14
2014/04/10,,3,20
2014/04/11,,3,20
2014/04/12,,3,20
2014/04/13,,3,20
2014/04/14,,3,20
2014/04/15,,3,20
2014/04/16,,3,20
2014/04/17,,3,20
2014/04/18,,3,20
2014/04/19,,3,20
2014/04/20,,3,20
2014/04/21,,3,20
2014/04/22,,3,21
2014/04/23,,3,21
2014/04/24,,3,22
2014/04/25,,2,19
2014/04/26,,2,18
2014/04/27,,2,17
2014/04/28,,2,16
2014/04/29,,2,17
2014/04/30,,2,17
2014/05/01,,2,17
2014/05/02,,2,17
2014/05/03,,1,16
2014/05/04,,1,17
2014/05/05,,1,17
2014/05/06,,1,17
2014/05/07,,1,17
2014/05/08,,1,17
2014/05/09,,1,14
2014/05/10,,,9
2014/05/11,,,9
2014/05/12,,,9
2014/05/13,,,9
2014/05/14,,,8
2014/05/15,,,8
2014/05/16,,,8
2014/05/17,1,2,9
2014/05/18,1,2,9
2014/05/19,1,2,9
2014/05/20,1,2,9
2014/05/21,1,2,9
2014/05/22,1,2,8
2014/05/23,1,2,8
2014/05/24,1,2,8
2014/05/25,1,2,10
2014/05/26,1,2,10
2014/05/27,1,2,10
2014/05/28,1,2,10
2014/05/29,1,2,9
2014/05/30,1,2,9
2014/05/31,1,2,9
2014/06/01,1,2,10
2014/06/02,1,2,11
2014/06/03,1,2,12
2014/06/04,1,2,12
2014/06/05,1,2,13
2014/06/06,1,2,12
2014/06/07,1,2,12
2014/06/08,1,2,12
2014/06/09,1,2,12
2014/06/10,1,2,11
2014/06/11,1,2,11
2014/06/12,1,2,11
2014/06/13,1,2,11
2014/06/14,1,2,11
2014/06/15,1,2,11
2014/06/16,1,2,11
2014/06/17,,1,10
2014/06/18,,1,10
2014/06/19,,1,10
2014/06/20,,,9
2014/06/21,,,9
2014/06/22,,1,9
2014/06/23,,1,9
2014/06/24,,1,7
2014/06/25,,1,6
2014/06/26,,1,6
2014/06/27,,1,7
2014/06/28,,1,7
2014/06/29,,1,9
2014/06/30,,1,9
2014/07/01,,1,8
2014/07/02,,1,7
2014/07/03,,1,6
2014/07/04,,,5
2014/07/05,,,5
2014/07/06,,,5
2014/07/07,,,5
2014/07/08,,,5
2014/07/09,,,5
2014/07/10,,1,5
2014/07/11,,1,5
2014/07/12,,1,5
2014/07/13,,1,5
2014/07/14,,,5
2014/07/15,,,5
2014/07/16,,,5
2014/07/17,,1,5
2014/07/18,,1,6
2014/07/19,,1,8
2014/07/20,,1,8
2014/07/21,,1,8
2014/07/22,,,8
2014/07/23,,,8
2014/07/24,,,8
2014/07/25,,,8
2014/07/26,,,8
2014/07/27,,,7
2014/07/28,,,7
2014/07/29,,,5
2014/07/30,,,5
2014/07/31,,,5
2014/08/01,,,5
2014/08/02,,,5
2014/08/03,,,5
2014/08/04,,,5
2014/08/05,,,5
2014/08/06,,,5
2014/08/07,,,5
2014/08/08,,,5
2014/08/09,,,5
2014/08/10,,,5
2014/08/11,,,5
2014/08/12,,1,5
2014/08/13,,1,5
2014/08/14,,1,5
2014/08/15,,1,5
2014/08/16,,,5
2014/08/17,,,4
2014/08/18,,,2
2014/08/19,,,2
2014/08/20,,,2
2014/08/21,,,2
2014/08/22,,,3
2014/08/23,,,3
2014/08/24,,,3
2014/08/25,,1,3
2014/08/26,,1,3
2014/08/27,,1,3
2014/08/28,,1,3
2014/08/29,,,3
2014/08/30,,,3
2014/08/31,,,3
2014/09/01,,,3
2014/09/02,,,3
2014/09/03,,,3
2014/09/04,,,3
2014/09/05,,,4
2014/09/06,,,4
2014/09/07,,,4
2014/09/08,,,4
2014/09/09,,,4
2014/09/10,,,5
2014/09/11,,,5
2014/09/12,,,5
2014/09/13,,,5
2014/09/14,,,5
2014/09/15,,,5
2014/09/16,,,6
2014/09/17,,,6
2014/09/18,,,6
2014/09/19,,,6
2014/09/20,,,6
