date,mlwiki (100+),mlwiki (5+),mlwiki (all)
2012/08/19,27,140,342
2012/08/20,27,138,337
2012/08/21,27,140,335
2012/08/22,28,142,333
2012/08/23,28,142,328
2012/08/24,27,142,317
2012/08/25,27,138,318
2012/08/26,28,139,318
2012/08/27,28,140,317
2012/08/28,28,140,317
2012/08/29,31,140,314
2012/08/30,29,141,314
2012/08/31,28,143,319
2012/09/01,30,145,320
2012/09/02,29,147,320
2012/09/03,29,145,317
2012/09/04,29,142,312
2012/09/05,32,137,307
2012/09/06,31,135,301
2012/09/07,28,137,302
2012/09/08,27,135,302
2012/09/09,26,132,298
2012/09/10,25,134,298
2012/09/11,26,126,297
2012/09/12,26,125,292
2012/09/13,26,123,295
2012/09/14,25,119,285
2012/09/15,27,119,285
2012/09/16,27,120,281
2012/09/17,28,120,282
2012/09/18,26,117,284
2012/09/19,26,120,283
2012/09/20,25,121,287
2012/09/21,25,120,280
2012/09/22,26,122,278
2012/09/23,27,121,281
2012/09/24,26,120,281
2012/09/25,26,121,284
2012/09/26,26,121,284
2012/09/27,25,118,280
2012/09/28,24,115,276
2012/09/29,24,113,275
2012/09/30,24,111,272
2012/10/01,25,111,270
2012/10/02,24,112,274
2012/10/03,24,105,266
2012/10/04,23,103,268
2012/10/05,23,105,268
2012/10/06,24,105,269
2012/10/07,25,102,265
2012/10/08,24,106,265
2012/10/09,25,107,265
2012/10/10,26,106,264
2012/10/11,26,108,263
2012/10/12,26,106,263
2012/10/13,26,106,258
2012/10/14,25,114,280
2012/10/15,25,111,279
2012/10/16,24,113,272
2012/10/17,23,114,275
2012/10/18,24,111,275
2012/10/19,23,110,276
2012/10/20,25,107,275
2012/10/21,26,108,277
2012/10/22,25,105,276
2012/10/23,24,102,271
2012/10/24,25,101,271
2012/10/25,25,99,268
2012/10/26,26,99,264
2012/10/27,26,99,261
2012/10/28,26,99,263
2012/10/29,25,101,267
2012/10/30,25,101,264
2012/10/31,25,102,264
2012/11/01,25,102,267
2012/11/02,25,104,269
2012/11/03,26,106,276
2012/11/04,27,105,274
2012/11/05,27,106,279
2012/11/06,26,108,277
2012/11/07,26,105,281
2012/11/08,26,104,283
2012/11/09,25,104,284
2012/11/10,23,103,279
2012/11/11,23,105,285
2012/11/12,23,107,285
2012/11/13,21,102,271
2012/11/14,21,102,272
2012/11/15,22,101,278
2012/11/16,22,99,276
2012/11/17,22,98,276
2012/11/18,22,98,277
2012/11/19,23,98,275
2012/11/20,23,100,272
2012/11/21,23,98,280
2012/11/22,22,99,286
2012/11/23,21,100,287
2012/11/24,21,97,286
2012/11/25,22,99,287
2012/11/26,21,107,297
2012/11/27,21,107,299
2012/11/28,21,105,296
2012/11/29,21,104,293
2012/11/30,20,104,292
2012/12/01,20,106,288
