date,slwiki (100+),slwiki (5+),slwiki (all)
2012/08/19,18,107,352
2012/08/20,18,109,349
2012/08/21,17,111,354
2012/08/22,17,114,363
2012/08/23,17,114,369
2012/08/24,17,113,365
2012/08/25,17,115,372
2012/08/26,18,114,379
2012/08/27,18,115,383
2012/08/28,17,117,383
2012/08/29,16,117,380
2012/08/30,16,117,387
2012/08/31,17,114,390
2012/09/01,17,116,396
2012/09/02,17,114,395
2012/09/03,15,119,393
2012/09/04,16,121,393
2012/09/05,16,120,393
2012/09/06,16,122,393
2012/09/07,16,120,393
2012/09/08,16,120,392
2012/09/09,16,117,387
2012/09/10,16,122,388
2012/09/11,16,123,384
2012/09/12,17,124,383
2012/09/13,17,126,385
2012/09/14,16,126,393
2012/09/15,16,126,393
2012/09/16,17,125,390
2012/09/17,17,126,386
2012/09/18,18,125,387
2012/09/19,17,124,393
2012/09/20,15,125,393
2012/09/21,16,122,382
2012/09/22,18,122,382
2012/09/23,19,125,381
2012/09/24,18,122,382
2012/09/25,17,123,383
2012/09/26,18,121,385
2012/09/27,18,119,382
2012/09/28,17,119,387
2012/09/29,17,117,380
2012/09/30,17,121,381
2012/10/01,16,120,380
2012/10/02,14,120,385
2012/10/03,14,118,383
2012/10/04,15,120,378
2012/10/05,15,120,377
2012/10/06,15,120,376
2012/10/07,15,120,375
2012/10/08,15,116,375
2012/10/09,15,118,390
2012/10/10,14,115,396
2012/10/11,14,118,407
2012/10/12,15,118,416
2012/10/13,16,116,412
2012/10/14,17,119,422
2012/10/15,16,121,417
2012/10/16,16,123,417
2012/10/17,15,122,422
2012/10/18,15,124,417
2012/10/19,15,124,414
2012/10/20,15,122,420
2012/10/21,16,123,427
2012/10/22,16,123,425
2012/10/23,16,123,429
2012/10/24,15,123,433
2012/10/25,15,126,432
2012/10/26,14,126,428
2012/10/27,15,131,434
2012/10/28,15,133,436
2012/10/29,18,135,439
2012/10/30,20,136,439
2012/10/31,19,135,437
2012/11/01,21,132,431
2012/11/02,20,132,423
2012/11/03,22,133,431
2012/11/04,22,129,433
2012/11/05,21,130,429
2012/11/06,21,131,435
2012/11/07,21,133,445
2012/11/08,21,132,443
2012/11/09,21,133,440
2012/11/10,21,135,436
2012/11/11,19,134,438
2012/11/12,19,136,439
2012/11/13,19,130,423
2012/11/14,19,129,421
2012/11/15,19,132,428
2012/11/16,19,131,426
2012/11/17,18,131,427
2012/11/18,18,130,426
2012/11/19,18,129,423
2012/11/20,17,129,420
2012/11/21,16,129,423
2012/11/22,15,132,417
2012/11/23,15,136,423
2012/11/24,18,132,420
2012/11/25,17,130,426
2012/11/26,17,128,425
2012/11/27,16,125,420
2012/11/28,13,122,419
2012/11/29,14,125,422
2012/11/30,13,126,426
2012/12/01,12,128,435
2012/12/02,13,125,438
2012/12/03,14,120,434
2012/12/04,14,120,432
2012/12/05,13,122,446
2012/12/06,13,124,440
2012/12/07,13,124,436
2012/12/08,13,126,440
2012/12/09,13,130,447
2012/12/10,15,133,456
2012/12/11,13,133,458
2012/12/12,12,131,454
2012/12/13,12,138,477
2012/12/14,12,138,479
2012/12/15,13,137,474
2012/12/16,13,137,477
2012/12/17,13,143,482
2012/12/18,13,150,500
2012/12/19,14,155,500
2012/12/20,14,160,499
2012/12/21,13,159,496
2012/12/22,12,158,494
2012/12/23,12,153,485
2012/12/24,11,156,483
2012/12/25,11,155,480
2012/12/26,12,153,475
2012/12/27,12,150,483
2012/12/28,11,152,484
2012/12/29,12,157,480
2012/12/30,11,155,480
2012/12/31,11,153,477
2013/01/01,11,156,476
2013/01/02,12,157,467
2013/01/03,13,158,480
2013/01/04,12,156,475
2013/01/05,13,155,480
2013/01/06,13,161,495
2013/01/07,13,157,496
2013/01/08,13,163,506
2013/01/09,13,165,508
2013/01/10,13,169,508
2013/01/11,13,173,515
2013/01/12,13,180,518
2013/01/13,12,180,508
2013/01/14,12,183,511
2013/01/15,13,186,520
2013/01/16,13,185,535
2013/01/17,13,180,525
2013/01/18,12,179,537
2013/01/19,12,179,540
2013/01/20,12,182,540
2013/01/21,12,184,549
2013/01/22,12,186,563
2013/01/23,12,188,567
2013/01/24,12,190,572
2013/01/25,12,189,576
2013/01/26,13,192,575
2013/01/27,13,193,573
2013/01/28,12,189,572
2013/01/29,12,190,575
2013/01/30,14,192,575
2013/01/31,13,192,579
2013/02/01,12,198,582
2013/02/02,11,196,576
2013/02/03,11,203,588
2013/02/04,12,205,593
2013/02/05,12,198,599
2013/02/06,12,203,609
2013/02/07,13,193,593
2013/02/08,14,189,587
2013/02/09,15,187,583
2013/02/10,17,184,581
2013/02/11,17,176,571
2013/02/12,17,177,584
2013/02/13,18,179,579
2013/02/14,18,179,579
2013/02/15,18,179,564
2013/02/16,19,178,566
2013/02/17,19,177,556
2013/02/18,19,173,555
2013/02/19,20,170,549
2013/02/20,21,167,546
2013/02/21,21,164,542
2013/02/22,21,165,548
2013/02/23,21,163,545
2013/02/24,21,158,544
2013/02/25,21,155,528
2013/02/26,20,166,552
2013/02/27,21,168,549
2013/02/28,21,163,551
2013/03/01,19,163,540
2013/03/02,19,162,535
2013/03/03,19,162,537
2013/03/04,21,158,537
