date,ilowiki (100+),ilowiki (5+),ilowiki (all)
2012/08/19,5,23,44
2012/08/20,5,22,43
2012/08/21,5,23,43
2012/08/22,5,22,42
2012/08/23,5,22,43
2012/08/24,6,22,44
2012/08/25,6,20,45
2012/08/26,6,20,47
2012/08/27,6,21,49
2012/08/28,6,22,48
2012/08/29,6,22,48
2012/08/30,6,23,47
2012/08/31,6,22,47
2012/09/01,6,22,49
2012/09/02,6,23,50
2012/09/03,6,23,49
2012/09/04,6,21,49
2012/09/05,6,20,49
2012/09/06,6,20,50
2012/09/07,6,20,50
2012/09/08,6,20,48
2012/09/09,6,20,48
2012/09/10,6,21,49
2012/09/11,6,22,50
2012/09/12,6,22,49
2012/09/13,6,24,49
2012/09/14,6,24,49
2012/09/15,6,24,49
2012/09/16,6,24,46
2012/09/17,6,24,46
2012/09/18,6,24,44
2012/09/19,6,24,44
2012/09/20,6,22,44
2012/09/21,6,21,44
2012/09/22,6,23,45
2012/09/23,6,22,46
2012/09/24,6,22,47
2012/09/25,6,22,47
2012/09/26,6,21,47
2012/09/27,6,20,49
2012/09/28,6,20,48
2012/09/29,6,20,47
2012/09/30,6,20,45
2012/10/01,6,21,41
2012/10/02,6,21,42
2012/10/03,6,21,41
2012/10/04,6,21,44
2012/10/05,6,21,43
2012/10/06,6,22,40
2012/10/07,6,22,40
2012/10/08,7,22,40
2012/10/09,7,22,39
2012/10/10,7,22,38
2012/10/11,7,21,39
2012/10/12,7,21,40
2012/10/13,7,21,41
2012/10/14,7,21,41
2012/10/15,7,20,41
2012/10/16,7,21,41
2012/10/17,7,21,39
2012/10/18,6,21,39
2012/10/19,6,21,40
2012/10/20,6,21,45
2012/10/21,6,22,45
2012/10/22,6,21,43
2012/10/23,6,21,43
2012/10/24,6,20,42
2012/10/25,6,20,42
2012/10/26,6,20,44
2012/10/27,5,22,43
2012/10/28,6,24,43
2012/10/29,6,24,44
2012/10/30,6,24,45
2012/10/31,6,24,45
2012/11/01,6,23,44
2012/11/02,6,23,45
2012/11/03,6,24,45
2012/11/04,6,24,45
2012/11/05,6,24,45
2012/11/06,6,24,44
2012/11/07,6,25,45
2012/11/08,6,25,45
2012/11/09,6,24,45
2012/11/10,6,24,45
2012/11/11,6,25,45
2012/11/12,6,25,44
2012/11/13,6,25,44
2012/11/14,6,25,45
2012/11/15,7,24,45
2012/11/16,7,25,45
2012/11/17,7,26,44
2012/11/18,7,26,44
2012/11/19,7,25,40
2012/11/20,7,25,40
2012/11/21,7,24,43
2012/11/22,7,24,44
2012/11/23,7,25,44
2012/11/24,7,25,44
2012/11/25,7,25,42
2012/11/26,7,24,41
2012/11/27,7,24,42
2012/11/28,7,24,41
2012/11/29,7,23,39
2012/11/30,7,23,40
2012/12/01,7,23,42
2012/12/02,7,24,43
2012/12/03,7,24,41
2012/12/04,7,24,41
2012/12/05,7,24,42
2012/12/06,7,24,42
2012/12/07,7,24,42
2012/12/08,7,24,45
2012/12/09,7,23,44
2012/12/10,7,23,46
2012/12/11,7,23,45
2012/12/12,7,22,45
2012/12/13,7,22,45
2012/12/14,7,22,44
2012/12/15,7,23,45
2012/12/16,7,21,45
2012/12/17,7,22,45
2012/12/18,7,21,46
2012/12/19,7,21,45
2012/12/20,7,21,44
2012/12/21,8,21,42
2012/12/22,8,21,43
2012/12/23,8,21,43
2012/12/24,8,21,43
2012/12/25,8,22,44
2012/12/26,8,22,45
2012/12/27,8,22,46
2012/12/28,8,24,45
2012/12/29,8,24,45
2012/12/30,9,24,44
2012/12/31,9,23,44
2013/01/01,9,23,44
2013/01/02,9,24,44
2013/01/03,9,23,43
2013/01/04,9,25,43
2013/01/05,8,25,44
2013/01/06,8,25,42
2013/01/07,8,24,42
2013/01/08,8,24,43
2013/01/09,8,25,41
2013/01/10,8,25,43
2013/01/11,8,25,43
2013/01/12,8,26,43
2013/01/13,8,26,44
2013/01/14,8,23,44
2013/01/15,9,23,44
2013/01/16,9,24,46
2013/01/17,8,24,44
2013/01/18,7,25,44
2013/01/19,7,25,43
2013/01/20,7,25,43
2013/01/21,7,25,42
2013/01/22,7,25,41
2013/01/23,7,25,43
2013/01/24,7,24,43
2013/01/25,7,25,42
2013/01/26,7,26,42
2013/01/27,7,25,42
2013/01/28,7,25,43
2013/01/29,7,25,44
2013/01/30,6,24,44
2013/01/31,6,24,43
2013/02/01,6,23,43
2013/02/02,6,23,44
2013/02/03,6,23,44
2013/02/04,6,24,44
2013/02/05,6,24,46
2013/02/06,6,24,46
2013/02/07,6,24,45
2013/02/08,6,24,46
2013/02/09,6,26,44
2013/02/10,6,26,45
2013/02/11,6,26,45
2013/02/12,6,26,46
2013/02/13,6,25,46
2013/02/14,6,25,44
2013/02/15,6,24,43
2013/02/16,6,24,46
2013/02/17,6,25,46
2013/02/18,6,24,46
2013/02/19,6,24,47
2013/02/20,6,24,47
2013/02/21,6,23,46
2013/02/22,7,22,45
2013/02/23,7,22,44
2013/02/24,7,22,44
2013/02/25,7,22,44
2013/02/26,7,22,45
2013/02/27,7,22,43
2013/02/28,7,22,43
2013/03/01,7,23,44
2013/03/02,6,22,44
2013/03/03,6,22,45
2013/03/04,6,22,45
2013/03/05,6,22,42
2013/03/06,8,21,41
2013/03/07,8,21,38
2013/03/08,8,21,38
2013/03/09,8,20,37
2013/03/10,8,20,37
2013/03/11,8,20,37
2013/03/12,9,21,38
2013/03/13,9,20,38
2013/03/14,9,19,36
2013/03/15,9,20,35
2013/03/16,9,19,35
2013/03/17,9,17,34
2013/03/18,9,17,32
2013/03/19,8,17,32
2013/03/20,7,16,32
2013/03/21,6,16,30
2013/03/22,6,16,30
2013/03/23,5,16,31
2013/03/24,5,16,30
2013/03/25,5,16,30
2013/03/26,5,16,31
2013/03/27,5,15,31
2013/03/28,5,13,31
2013/03/29,5,12,30
2013/03/30,5,12,29
2013/03/31,5,12,30
2013/04/01,5,11,29
2013/04/02,4,11,29
2013/04/03,4,11,29
2013/04/04,4,11,28
2013/04/05,4,7,28
2013/04/06,3,5,24
2013/04/07,3,5,21
2013/04/08,3,5,22
2013/04/09,3,5,22
2013/04/10,3,6,24
2013/04/11,1,5,24
2013/04/12,1,5,25
2013/04/13,1,5,25
2013/04/14,1,5,24
2013/04/15,1,5,25
2013/04/16,1,6,27
2013/04/17,1,6,27
2013/04/18,1,6,27
2013/04/19,1,6,27
2013/04/20,1,6,28
2013/04/21,1,6,29
2013/04/22,1,6,28
