date,kbdwiki (100+),kbdwiki (5+),kbdwiki (all)
2012/08/19,,8,22
2012/08/20,,8,21
2012/08/21,,8,22
2012/08/22,,8,21
2012/08/23,1,9,21
2012/08/24,1,7,21
2012/08/25,1,7,21
2012/08/26,1,7,21
2012/08/27,,7,21
2012/08/28,,7,21
2012/08/29,,7,22
2012/08/30,,7,22
2012/08/31,1,7,22
2012/09/01,1,7,21
2012/09/02,1,8,22
2012/09/03,1,8,24
2012/09/04,1,8,24
2012/09/05,1,8,23
2012/09/06,1,8,25
2012/09/07,1,7,25
2012/09/08,1,8,24
2012/09/09,1,8,28
2012/09/10,1,9,29
2012/09/11,1,9,28
2012/09/12,1,9,29
2012/09/13,1,10,30
2012/09/14,1,10,31
2012/09/15,1,10,30
2012/09/16,1,10,31
2012/09/17,1,10,32
2012/09/18,1,10,31
2012/09/19,1,10,31
2012/09/20,1,10,30
2012/09/21,1,9,29
2012/09/22,1,9,29
2012/09/23,1,9,29
2012/09/24,1,9,28
2012/09/25,1,9,28
2012/09/26,1,8,28
2012/09/27,1,9,28
2012/09/28,1,9,28
2012/09/29,1,10,28
2012/09/30,,10,28
2012/10/01,,10,28
2012/10/02,,9,27
2012/10/03,,9,27
2012/10/04,,9,26
2012/10/05,,9,27
2012/10/06,,9,26
2012/10/07,,9,26
2012/10/08,1,8,26
2012/10/09,1,8,23
2012/10/10,1,8,21
2012/10/11,1,8,24
2012/10/12,1,8,24
2012/10/13,1,8,22
2012/10/14,1,8,21
2012/10/15,1,8,21
2012/10/16,1,8,20
2012/10/17,1,8,20
2012/10/18,1,8,20
2012/10/19,1,8,20
2012/10/20,1,8,20
2012/10/21,1,8,20
2012/10/22,1,7,20
2012/10/23,,7,21
2012/10/24,1,7,21
2012/10/25,1,7,21
2012/10/26,1,6,21
2012/10/27,1,5,20
2012/10/28,1,6,22
2012/10/29,1,6,24
2012/10/30,1,6,24
2012/10/31,1,6,25
2012/11/01,1,6,24
2012/11/02,1,7,27
2012/11/03,1,7,27
2012/11/04,1,7,26
2012/11/05,1,8,26
2012/11/06,1,8,26
2012/11/07,1,8,26
2012/11/08,1,8,25
2012/11/09,1,8,23
2012/11/10,1,8,21
2012/11/11,1,9,20
2012/11/12,1,9,22
2012/11/13,1,9,23
2012/11/14,1,9,23
2012/11/15,1,9,23
2012/11/16,1,9,23
2012/11/17,1,9,23
2012/11/18,1,9,23
2012/11/19,1,9,24
2012/11/20,1,9,24
2012/11/21,1,9,23
2012/11/22,1,9,22
2012/11/23,1,9,22
2012/11/24,1,9,22
2012/11/25,1,10,23
2012/11/26,1,11,24
2012/11/27,,11,24
2012/11/28,,11,24
2012/11/29,,11,24
2012/11/30,,11,23
2012/12/01,,11,24
2012/12/02,,11,21
2012/12/03,,10,22
2012/12/04,,10,23
2012/12/05,,10,23
2012/12/06,,10,22
2012/12/07,,10,23
2012/12/08,,10,23
2012/12/09,,10,23
2012/12/10,,10,23
2012/12/11,,10,23
2012/12/12,,10,21
2012/12/13,,10,20
2012/12/14,,10,19
2012/12/15,,10,21
2012/12/16,,10,22
2012/12/17,,10,24
2012/12/18,,10,25
2012/12/19,,10,25
