date,rmwiki (100+),rmwiki (5+),rmwiki (all)
2012/12/12,2,27,52
2012/12/13,2,27,53
2012/12/14,2,27,53
2012/12/15,2,27,52
2012/12/16,2,27,51
2012/12/17,2,27,50
2012/12/18,2,25,49
2012/12/19,2,25,48
2012/12/20,1,25,47
2012/12/21,1,25,46
2012/12/22,1,23,44
2012/12/23,1,25,43
2012/12/24,2,25,44
2012/12/25,2,25,44
2012/12/26,3,23,44
2012/12/27,2,22,44
2012/12/28,2,21,45
2012/12/29,2,22,44
2012/12/30,2,23,45
2012/12/31,3,25,44
2013/01/01,3,26,45
2013/01/02,3,27,46
2013/01/03,3,27,49
2013/01/04,3,27,49
2013/01/05,3,26,50
2013/01/06,3,26,51
2013/01/07,3,26,52
2013/01/08,3,26,52
2013/01/09,3,28,51
2013/01/10,3,27,52
2013/01/11,3,25,51
2013/01/12,3,22,50
2013/01/13,2,23,50
2013/01/14,3,23,52
2013/01/15,3,26,54
2013/01/16,2,26,55
2013/01/17,3,27,56
2013/01/18,3,27,57
2013/01/19,3,27,57
2013/01/20,3,26,57
2013/01/21,3,25,55
2013/01/22,3,26,53
2013/01/23,3,26,54
2013/01/24,3,26,54
2013/01/25,3,27,55
2013/01/26,3,27,55
2013/01/27,3,27,54
2013/01/28,4,26,54
2013/01/29,4,25,55
2013/01/30,4,25,55
2013/01/31,4,26,54
2013/02/01,4,25,52
2013/02/02,4,25,49
2013/02/03,4,25,49
2013/02/04,4,25,50
2013/02/05,4,27,49
2013/02/06,4,27,47
2013/02/07,4,26,47
2013/02/08,4,26,47
2013/02/09,4,25,46
2013/02/10,4,27,46
2013/02/11,4,27,48
2013/02/12,4,27,48
2013/02/13,4,26,45
2013/02/14,4,25,44
2013/02/15,4,25,45
2013/02/16,4,26,48
2013/02/17,4,26,47
2013/02/18,4,27,48
2013/02/19,5,26,48
2013/02/20,4,26,48
2013/02/21,4,25,48
2013/02/22,4,25,48
2013/02/23,4,25,49
2013/02/24,4,24,49
2013/02/25,4,23,47
2013/02/26,4,23,45
2013/02/27,4,23,44
2013/02/28,3,23,43
2013/03/01,1,23,43
2013/03/02,1,22,45
2013/03/03,1,21,45
2013/03/04,1,21,45
2013/03/05,1,21,44
2013/03/06,1,21,43
2013/03/07,2,20,43
2013/03/08,2,21,42
2013/03/09,2,21,42
2013/03/10,2,21,41
2013/03/11,2,21,39
2013/03/12,3,19,41
2013/03/13,3,18,39
2013/03/14,3,17,39
2013/03/15,3,16,37
2013/03/16,3,16,35
2013/03/17,3,16,35
2013/03/18,3,16,32
2013/03/19,3,15,32
2013/03/20,3,15,30
2013/03/21,2,15,30
2013/03/22,2,15,29
2013/03/23,2,14,28
2013/03/24,2,14,26
2013/03/25,2,14,25
2013/03/26,2,14,25
2013/03/27,2,14,24
2013/03/28,3,13,24
2013/03/29,3,13,25
2013/03/30,3,12,25
2013/03/31,3,12,27
2013/04/01,3,12,26
2013/04/02,3,11,27
2013/04/03,3,10,26
2013/04/04,3,9,25
2013/04/05,3,8,26
2013/04/06,3,6,21
2013/04/07,3,6,21
2013/04/08,3,5,22
2013/04/09,3,5,22
2013/04/10,2,5,22
2013/04/11,1,5,21
2013/04/12,1,5,21
2013/04/13,1,5,22
2013/04/14,1,4,23
2013/04/15,1,4,24
2013/04/16,1,4,24
2013/04/17,1,4,24
2013/04/18,1,4,25
2013/04/19,1,4,24
2013/04/20,1,4,24
2013/04/21,1,4,24
2013/04/22,1,4,24
2013/04/23,1,4,24
2013/04/24,1,4,25
2013/04/25,1,5,25
2013/04/26,,5,26
2013/04/27,,5,26
2013/04/28,,5,25
2013/04/29,,5,25
2013/04/30,,5,25
2013/05/01,,5,25
2013/05/02,,5,23
2013/05/03,,5,20
2013/05/04,,5,21
2013/05/05,,5,19
2013/05/06,,5,19
2013/05/07,,5,20
2013/05/08,,5,19
2013/05/09,,5,19
2013/05/10,,5,19
2013/05/11,,5,19
2013/05/12,,5,20
2013/05/13,,5,19
2013/05/14,,5,20
2013/05/15,,5,19
2013/05/16,,5,19
2013/05/17,,5,20
2013/05/18,,5,21
2013/05/19,,7,21
2013/05/20,,7,21
2013/05/21,,7,20
2013/05/22,,8,20
2013/05/23,,8,21
2013/05/24,,8,20
2013/05/25,,7,21
2013/05/26,,7,20
2013/05/27,,7,20
2013/05/28,,7,20
2013/05/29,,7,20
2013/05/30,,7,17
2013/05/31,,7,19
2013/06/01,,7,19
2013/06/02,,7,19
2013/06/03,,7,18
2013/06/04,,7,18
2013/06/05,,6,18
2013/06/06,,6,18
2013/06/07,,6,18
2013/06/08,,6,18
2013/06/09,,6,18
2013/06/10,,6,18
2013/06/11,,5,16
2013/06/12,,4,16
2013/06/13,,4,14
2013/06/14,1,5,14
2013/06/15,1,4,15
2013/06/16,1,4,13
2013/06/17,1,4,16
2013/06/18,1,4,18
2013/06/19,1,4,18
2013/06/20,1,4,18
2013/06/21,1,3,18
2013/06/22,1,3,19
2013/06/23,1,3,19
2013/06/24,1,3,21
2013/06/25,1,3,21
2013/06/26,1,3,21
2013/06/27,1,3,21
2013/06/28,1,3,21
2013/06/29,1,3,21
2013/06/30,1,3,19
2013/07/01,1,4,19
2013/07/02,1,4,19
2013/07/03,1,4,19
2013/07/04,1,3,19
2013/07/05,1,4,18
2013/07/06,1,5,20
2013/07/07,1,5,20
2013/07/08,1,5,20
2013/07/09,1,5,19
2013/07/10,1,5,19
2013/07/11,1,5,20
2013/07/12,1,6,20
2013/07/13,1,6,21
2013/07/14,1,5,21
2013/07/15,1,6,21
2013/07/16,1,6,21
2013/07/17,1,6,19
2013/07/18,1,5,19
2013/07/19,1,4,19
2013/07/20,1,4,19
2013/07/21,1,4,19
2013/07/22,1,4,19
2013/07/23,1,5,20
2013/07/24,1,5,20
2013/07/25,1,5,20
2013/07/26,1,5,20
2013/07/27,1,6,21
2013/07/28,1,6,21
2013/07/29,1,6,20
2013/07/30,1,6,20
2013/07/31,1,6,19
2013/08/01,1,6,19
2013/08/02,1,6,19
2013/08/03,1,6,18
2013/08/04,1,6,18
2013/08/05,1,5,16
2013/08/06,1,5,17
2013/08/07,1,5,17
2013/08/08,1,6,17
2013/08/09,1,6,17
2013/08/10,1,6,16
2013/08/11,1,5,16
2013/08/12,,5,16
2013/08/13,,5,16
2013/08/14,,4,16
2013/08/15,,4,17
2013/08/16,,4,17
2013/08/17,,4,17
2013/08/18,,5,16
2013/08/19,,5,16
2013/08/20,,5,16
2013/08/21,,5,17
2013/08/22,,6,17
2013/08/23,,6,16
2013/08/24,,6,15
2013/08/25,,6,15
2013/08/26,,6,14
2013/08/27,,6,15
2013/08/28,,6,15
2013/08/29,,7,16
2013/08/30,,6,15
2013/08/31,,6,15
2013/09/01,,6,15
2013/09/02,,6,15
2013/09/03,,6,16
2013/09/04,,6,16
2013/09/05,,6,15
2013/09/06,,6,16
2013/09/07,,6,17
2013/09/08,,5,16
2013/09/09,,4,14
2013/09/10,,5,14
2013/09/11,,5,14
2013/09/12,,5,14
2013/09/13,,5,15
2013/09/14,,5,14
2013/09/15,,5,14
2013/09/16,,5,13
2013/09/17,,4,11
2013/09/18,,4,12
2013/09/19,,4,13
2013/09/20,,3,13
2013/09/21,,3,12
2013/09/22,,3,12
2013/09/23,,3,12
2013/09/24,,3,12
2013/09/25,,3,13
2013/09/26,,3,12
2013/09/27,,3,12
2013/09/28,,3,12
2013/09/29,,3,13
2013/09/30,,3,14
2013/10/01,,3,16
2013/10/02,,3,16
2013/10/03,,2,18
2013/10/04,,2,18
2013/10/05,,2,19
2013/10/06,,1,18
2013/10/07,,1,17
2013/10/08,,1,18
2013/10/09,,1,18
2013/10/10,,1,18
2013/10/11,,1,16
2013/10/12,,1,16
2013/10/13,,1,15
2013/10/14,,1,15
2013/10/15,,1,15
2013/10/16,,1,15
2013/10/17,,1,15
2013/10/18,,1,14
2013/10/19,,1,13
2013/10/20,,1,11
2013/10/21,,1,13
2013/10/22,,1,13
2013/10/23,,1,15
2013/10/24,,1,16
2013/10/25,,1,16
2013/10/26,,1,16
2013/10/27,,1,16
2013/10/28,,1,16
2013/10/29,,1,16
2013/10/30,,1,16
2013/10/31,,1,14
2013/11/01,,1,14
2013/11/02,,1,14
2013/11/03,,1,15
2013/11/04,,2,14
2013/11/05,,1,14
2013/11/06,,1,15
2013/11/07,,1,14
2013/11/08,,1,16
2013/11/09,,1,16
2013/11/10,,1,16
2013/11/11,,1,16
2013/11/12,,1,18
2013/11/13,,2,19
2013/11/14,,2,19
2013/11/15,,2,19
2013/11/16,,2,19
2013/11/17,,2,19
