date,rmwiki (100+),rmwiki (5+),rmwiki (all)
2012/08/19,4,21,51
2012/08/20,4,20,51
2012/08/21,3,20,51
2012/08/22,4,19,52
2012/08/23,3,19,54
2012/08/24,4,19,53
2012/08/25,5,19,52
2012/08/26,5,20,52
2012/08/27,5,19,53
2012/08/28,5,20,54
2012/08/29,5,21,56
2012/08/30,5,21,55
2012/08/31,5,21,54
2012/09/01,5,22,54
2012/09/02,5,22,53
2012/09/03,5,22,54
2012/09/04,5,22,53
2012/09/05,5,22,53
2012/09/06,5,21,54
2012/09/07,5,20,53
2012/09/08,5,20,53
2012/09/09,5,20,52
2012/09/10,5,21,53
2012/09/11,5,22,53
2012/09/12,5,21,54
2012/09/13,5,23,54
2012/09/14,5,23,54
2012/09/15,5,24,53
2012/09/16,5,25,53
2012/09/17,5,25,53
2012/09/18,5,25,52
2012/09/19,5,23,50
2012/09/20,5,23,51
2012/09/21,4,22,50
2012/09/22,3,23,48
2012/09/23,3,23,48
2012/09/24,3,24,48
2012/09/25,2,23,47
2012/09/26,3,23,47
2012/09/27,3,23,47
2012/09/28,3,23,45
2012/09/29,3,23,43
2012/09/30,3,23,43
2012/10/01,3,23,40
2012/10/02,3,22,39
2012/10/03,3,22,39
2012/10/04,3,23,43
2012/10/05,3,22,43
2012/10/06,3,22,43
2012/10/07,3,23,42
2012/10/08,4,23,43
2012/10/09,4,24,43
2012/10/10,4,22,42
2012/10/11,4,21,41
2012/10/12,4,21,41
2012/10/13,4,21,39
2012/10/14,4,21,39
2012/10/15,4,21,38
2012/10/16,4,22,38
2012/10/17,4,22,37
2012/10/18,4,23,38
2012/10/19,4,22,37
2012/10/20,4,23,40
2012/10/21,4,23,41
2012/10/22,4,23,42
2012/10/23,4,23,43
2012/10/24,4,23,43
2012/10/25,4,24,42
2012/10/26,4,24,42
2012/10/27,4,22,45
2012/10/28,4,22,46
2012/10/29,4,23,49
2012/10/30,4,25,51
2012/10/31,4,25,53
2012/11/01,5,25,54
2012/11/02,5,26,53
2012/11/03,5,26,52
2012/11/04,4,26,52
2012/11/05,4,26,52
2012/11/06,4,26,52
2012/11/07,4,26,51
2012/11/08,4,27,51
2012/11/09,4,26,51
2012/11/10,4,27,56
2012/11/11,4,28,56
2012/11/12,4,27,56
2012/11/13,4,27,55
2012/11/14,4,27,56
2012/11/15,4,26,55
2012/11/16,4,27,56
2012/11/17,4,27,59
2012/11/18,4,27,59
2012/11/19,4,27,56
2012/11/20,4,27,56
2012/11/21,4,26,55
2012/11/22,4,27,58
2012/11/23,3,29,59
2012/11/24,3,30,59
2012/11/25,3,30,59
2012/11/26,3,30,58
2012/11/27,2,29,58
2012/11/28,2,28,55
2012/11/29,2,26,55
2012/11/30,2,26,53
2012/12/01,2,25,53
2012/12/02,2,26,54
2012/12/03,2,26,52
2012/12/04,2,25,52
2012/12/05,2,25,53
2012/12/06,2,25,54
2012/12/07,2,24,54
2012/12/08,2,23,55
2012/12/09,2,24,56
2012/12/10,2,24,52
2012/12/11,2,26,51
