date,iuwiki (100+),iuwiki (5+),iuwiki (all)
2012/08/19,,6,22
2012/08/20,,6,21
2012/08/21,,6,21
2012/08/22,,7,20
2012/08/23,,7,22
2012/08/24,,7,22
2012/08/25,,7,22
2012/08/26,,7,22
2012/08/27,,7,22
2012/08/28,,7,23
2012/08/29,,7,24
2012/08/30,,7,24
2012/08/31,,8,24
2012/09/01,,8,24
2012/09/02,,9,24
2012/09/03,,9,26
2012/09/04,,9,25
2012/09/05,,9,24
2012/09/06,,8,25
2012/09/07,,8,25
2012/09/08,,8,25
2012/09/09,,9,27
2012/09/10,,9,27
2012/09/11,,9,27
2012/09/12,,7,25
2012/09/13,,6,25
2012/09/14,,7,25
2012/09/15,,7,26
2012/09/16,,7,25
2012/09/17,,7,24
2012/09/18,,8,24
2012/09/19,,8,24
2012/09/20,,8,24
2012/09/21,,8,25
2012/09/22,,8,25
2012/09/23,,8,24
2012/09/24,,8,23
2012/09/25,,8,24
2012/09/26,,8,23
2012/09/27,,9,23
2012/09/28,,9,22
2012/09/29,,9,22
2012/09/30,,9,23
2012/10/01,,9,22
2012/10/02,,9,23
2012/10/03,,9,24
2012/10/04,,9,24
2012/10/05,,9,24
2012/10/06,,9,26
2012/10/07,,9,26
2012/10/08,,9,26
2012/10/09,,9,24
2012/10/10,,9,24
2012/10/11,,9,25
2012/10/12,,9,25
2012/10/13,,9,25
2012/10/14,,9,27
2012/10/15,,8,26
2012/10/16,,7,26
2012/10/17,,7,26
2012/10/18,,7,26
2012/10/19,,8,26
2012/10/20,,8,27
2012/10/21,,8,29
2012/10/22,,9,29
2012/10/23,,9,29
2012/10/24,,9,31
2012/10/25,,9,32
2012/10/26,,9,32
2012/10/27,,8,32
2012/10/28,,8,31
2012/10/29,,8,30
2012/10/30,,7,31
2012/10/31,,8,31
2012/11/01,,9,28
2012/11/02,,9,28
2012/11/03,,9,28
2012/11/04,,9,28
2012/11/05,,10,27
2012/11/06,,10,27
2012/11/07,,10,27
2012/11/08,,10,27
2012/11/09,,11,27
2012/11/10,,10,27
2012/11/11,,11,28
2012/11/12,,10,28
2012/11/13,,10,28
2012/11/14,,10,27
2012/11/15,,10,28
2012/11/16,,10,28
2012/11/17,,11,28
2012/11/18,,10,28
2012/11/19,,10,27
2012/11/20,,10,28
2012/11/21,,12,27
2012/11/22,,12,27
2012/11/23,,11,28
2012/11/24,,10,26
2012/11/25,,11,26
2012/11/26,,13,26
2012/11/27,,14,26
2012/11/28,,14,28
2012/11/29,,14,27
2012/11/30,,14,27
2012/12/01,,14,27
2012/12/02,,14,27
2012/12/03,,14,26
2012/12/04,,13,28
2012/12/05,,13,28
2012/12/06,,13,28
2012/12/07,,12,28
2012/12/08,,12,28
2012/12/09,,12,27
2012/12/10,,12,27
2012/12/11,,12,28
2012/12/12,,12,28
2012/12/13,,12,27
2012/12/14,,12,27
2012/12/15,,12,29
2012/12/16,,12,31
2012/12/17,,11,31
2012/12/18,,11,31
2012/12/19,,11,31
2012/12/20,,11,29
2012/12/21,,11,30
2012/12/22,,11,30
2012/12/23,,11,30
2012/12/24,,11,30
2012/12/25,,11,30
2012/12/26,,10,31
2012/12/27,,10,30
2012/12/28,,10,30
2012/12/29,,10,30
2012/12/30,,9,29
2012/12/31,,9,28
2013/01/01,,9,28
2013/01/02,,9,28
2013/01/03,,9,26
2013/01/04,,9,26
2013/01/05,,9,27
2013/01/06,,9,26
2013/01/07,,9,26
2013/01/08,,9,26
2013/01/09,,9,27
2013/01/10,,9,26
2013/01/11,,9,25
2013/01/12,,9,25
2013/01/13,,9,25
2013/01/14,,9,23
2013/01/15,,9,20
2013/01/16,,9,21
2013/01/17,,9,21
2013/01/18,,10,24
2013/01/19,,10,23
2013/01/20,,10,22
2013/01/21,,10,22
2013/01/22,,10,22
2013/01/23,,10,22
2013/01/24,,10,22
2013/01/25,,11,20
2013/01/26,,11,20
2013/01/27,,10,20
2013/01/28,,10,20
2013/01/29,,9,18
2013/01/30,,7,18
2013/01/31,,7,18
2013/02/01,,7,20
2013/02/02,,7,20
2013/02/03,,9,21
2013/02/04,,10,21
2013/02/05,,10,22
2013/02/06,,9,23
2013/02/07,,9,23
2013/02/08,,8,22
2013/02/09,,11,24
2013/02/10,,11,24
2013/02/11,,10,24
2013/02/12,,10,24
2013/02/13,,10,23
2013/02/14,,10,22
2013/02/15,,10,22
2013/02/16,,10,23
2013/02/17,,9,21
2013/02/18,,9,20
2013/02/19,,9,21
2013/02/20,,9,21
2013/02/21,,9,21
2013/02/22,,9,21
2013/02/23,,10,21
2013/02/24,,10,21
2013/02/25,,9,21
2013/02/26,,10,20
2013/02/27,,10,21
2013/02/28,,10,22
2013/03/01,,10,22
2013/03/02,,10,22
2013/03/03,,10,21
2013/03/04,,11,23
2013/03/05,,9,21
2013/03/06,,9,21
2013/03/07,,9,20
2013/03/08,1,10,20
2013/03/09,1,10,21
2013/03/10,1,10,20
2013/03/11,1,9,18
2013/03/12,1,10,19
2013/03/13,1,10,19
2013/03/14,1,10,19
2013/03/15,1,10,19
2013/03/16,1,10,19
2013/03/17,1,10,19
2013/03/18,1,10,19
2013/03/19,1,10,19
2013/03/20,1,10,19
2013/03/21,1,10,19
2013/03/22,1,10,19
2013/03/23,1,9,19
2013/03/24,1,9,19
2013/03/25,1,9,19
2013/03/26,1,9,19
2013/03/27,1,9,19
2013/03/28,1,9,19
2013/03/29,1,9,18
2013/03/30,1,7,17
2013/03/31,1,7,16
2013/04/01,1,7,17
2013/04/02,1,6,17
2013/04/03,1,4,15
2013/04/04,1,3,13
2013/04/05,1,2,9
2013/04/06,1,2,8
2013/04/07,,2,6
2013/04/08,,2,5
2013/04/09,,2,5
2013/04/10,,2,6
2013/04/11,,1,6
2013/04/12,,1,6
2013/04/13,,1,5
2013/04/14,,1,4
2013/04/15,,1,4
2013/04/16,,1,4
2013/04/17,,1,5
2013/04/18,,1,5
2013/04/19,,1,5
2013/04/20,,1,5
2013/04/21,,,5
2013/04/22,,,5
2013/04/23,,,5
2013/04/24,,,5
2013/04/25,,1,5
2013/04/26,,1,5
2013/04/27,,,5
2013/04/28,,,5
2013/04/29,,,5
2013/04/30,,,5
2013/05/01,,,4
2013/05/02,,,4
2013/05/03,,,4
2013/05/04,,,4
2013/05/05,,,3
2013/05/06,,,3
2013/05/07,,,3
2013/05/08,,,4
2013/05/09,,,4
2013/05/10,,,4
2013/05/11,,,4
2013/05/12,,,4
2013/05/13,,,4
2013/05/14,,,4
2013/05/15,,,4
2013/05/16,,,4
2013/05/17,,,3
2013/05/18,,,3
2013/05/19,,,2
2013/05/20,,1,2
2013/05/21,,1,2
2013/05/22,,1,2
2013/05/23,,1,4
2013/05/24,,1,4
2013/05/25,,1,3
2013/05/26,,1,3
2013/05/27,,1,4
2013/05/28,,1,5
2013/05/29,,1,6
2013/05/30,,1,6
2013/05/31,,1,6
2013/06/01,,1,6
2013/06/02,,1,7
2013/06/03,,1,7
2013/06/04,,1,8
2013/06/05,,1,8
2013/06/06,,1,8
2013/06/07,,1,8
2013/06/08,,1,8
2013/06/09,,1,8
2013/06/10,,1,8
2013/06/11,,1,8
2013/06/12,,1,8
2013/06/13,,1,8
2013/06/14,,1,8
2013/06/15,,1,8
2013/06/16,,1,8
2013/06/17,,1,8
2013/06/18,,1,8
2013/06/19,,,8
2013/06/20,,,8
2013/06/21,,,8
2013/06/22,,,7
2013/06/23,,,8
2013/06/24,,,8
2013/06/25,,,8
2013/06/26,,,7
2013/06/27,,,6
2013/06/28,,,5
2013/06/29,,,5
2013/06/30,,,5
2013/07/01,,,4
2013/07/02,,,5
2013/07/03,,,4
2013/07/04,,,3
2013/07/05,,,3
2013/07/06,,,3
2013/07/07,,,4
2013/07/08,,,4
2013/07/09,,,4
2013/07/10,,,4
2013/07/11,,,4
2013/07/12,,,4
2013/07/13,,,4
2013/07/14,,,3
2013/07/15,,,3
2013/07/16,,,3
2013/07/17,,,3
2013/07/18,,,3
2013/07/19,,,3
2013/07/20,,,3
2013/07/21,,,3
2013/07/22,,,3
2013/07/23,,,2
2013/07/24,,,2
2013/07/25,,,2
2013/07/26,,,2
2013/07/27,,,2
2013/07/28,,,3
2013/07/29,,,3
2013/07/30,,,3
2013/07/31,,,3
2013/08/01,,,3
2013/08/02,,,3
2013/08/03,,,3
2013/08/04,,,3
2013/08/05,,,3
2013/08/06,,,3
2013/08/07,,,3
2013/08/08,,,3
2013/08/09,,,4
2013/08/10,,,4
2013/08/11,,,4
2013/08/12,,,5
2013/08/13,,,5
2013/08/14,,,5
2013/08/15,,,5
2013/08/16,,,5
2013/08/17,,,5
2013/08/18,,,5
2013/08/19,,,5
2013/08/20,,,5
2013/08/21,,,5
2013/08/22,,,5
2013/08/23,,,5
2013/08/24,,,5
2013/08/25,,,5
2013/08/26,,,5
