date,lbwiki (100+),lbwiki (5+),lbwiki (all)
2012/08/19,7,26,98
2012/08/20,7,26,98
2012/08/21,7,27,95
2012/08/22,7,29,98
2012/08/23,8,29,99
2012/08/24,9,28,97
2012/08/25,9,28,95
2012/08/26,9,28,95
2012/08/27,9,29,97
2012/08/28,9,30,94
2012/08/29,9,31,93
2012/08/30,9,31,96
2012/08/31,9,31,96
2012/09/01,9,30,97
2012/09/02,9,30,97
2012/09/03,9,30,103
2012/09/04,9,30,101
2012/09/05,9,31,99
2012/09/06,9,31,100
2012/09/07,9,32,100
2012/09/08,9,30,99
2012/09/09,9,28,97
2012/09/10,9,28,99
2012/09/11,9,28,102
2012/09/12,9,29,98
2012/09/13,9,29,98
2012/09/14,9,30,93
2012/09/15,9,30,91
2012/09/16,8,29,92
2012/09/17,8,28,91
2012/09/18,8,28,92
2012/09/19,8,28,93
2012/09/20,8,27,97
2012/09/21,8,27,96
2012/09/22,8,27,95
2012/09/23,8,26,95
2012/09/24,8,27,97
2012/09/25,8,26,100
2012/09/26,7,26,98
2012/09/27,8,27,100
2012/09/28,8,26,100
2012/09/29,8,25,97
2012/09/30,8,25,102
2012/10/01,8,25,100
2012/10/02,8,24,97
2012/10/03,8,24,91
2012/10/04,8,26,90
2012/10/05,8,26,93
2012/10/06,8,26,95
2012/10/07,8,27,96
2012/10/08,8,27,96
2012/10/09,8,27,98
2012/10/10,8,26,95
2012/10/11,7,26,93
2012/10/12,7,26,91
2012/10/13,7,23,90
2012/10/14,7,24,89
2012/10/15,7,24,89
2012/10/16,7,24,88
2012/10/17,7,24,88
2012/10/18,7,24,87
2012/10/19,7,23,86
2012/10/20,7,23,84
2012/10/21,7,23,82
2012/10/22,7,23,81
2012/10/23,7,23,82
2012/10/24,6,21,82
2012/10/25,6,20,81
2012/10/26,6,21,84
2012/10/27,6,20,84
2012/10/28,6,21,84
2012/10/29,6,22,85
2012/10/30,6,22,80
2012/10/31,6,22,83
2012/11/01,6,22,86
2012/11/02,6,21,90
2012/11/03,6,19,91
2012/11/04,6,20,89
2012/11/05,6,20,86
2012/11/06,6,20,87
2012/11/07,6,20,88
2012/11/08,6,21,86
2012/11/09,6,21,88
2012/11/10,6,20,88
2012/11/11,6,19,87
2012/11/12,6,19,87
2012/11/13,6,18,92
2012/11/14,7,18,91
2012/11/15,7,18,91
2012/11/16,7,19,88
2012/11/17,7,20,87
2012/11/18,7,20,85
2012/11/19,7,20,85
2012/11/20,7,21,84
2012/11/21,7,21,86
2012/11/22,7,22,89
2012/11/23,7,22,87
2012/11/24,8,22,88
2012/11/25,8,22,87
2012/11/26,8,23,90
2012/11/27,8,23,90
2012/11/28,8,22,92
2012/11/29,8,22,94
2012/11/30,8,23,93
2012/12/01,8,24,92
2012/12/02,7,25,90
2012/12/03,7,25,88
2012/12/04,7,24,88
2012/12/05,7,24,89
2012/12/06,7,24,87
2012/12/07,7,25,90
2012/12/08,7,26,90
2012/12/09,7,25,90
2012/12/10,7,25,91
2012/12/11,7,25,90
2012/12/12,7,25,91
2012/12/13,7,26,88
2012/12/14,7,27,88
2012/12/15,7,26,90
2012/12/16,8,28,91
2012/12/17,7,29,93
2012/12/18,7,30,93
2012/12/19,8,30,94
2012/12/20,8,31,94
2012/12/21,8,30,97
2012/12/22,8,30,96
2012/12/23,8,31,94
2012/12/24,8,31,93
2012/12/25,9,31,94
2012/12/26,9,31,94
