date,crhwiki (100+),crhwiki (5+),crhwiki (all)
2012/08/19,1,11,38
2012/08/20,1,11,36
2012/08/21,2,11,35
2012/08/22,2,12,35
2012/08/23,2,12,36
2012/08/24,2,12,33
2012/08/25,2,12,33
2012/08/26,2,12,33
2012/08/27,2,11,35
2012/08/28,2,11,35
2012/08/29,2,11,36
2012/08/30,2,12,36
2012/08/31,2,12,36
2012/09/01,2,15,37
2012/09/02,2,16,38
2012/09/03,2,16,38
2012/09/04,2,16,37
2012/09/05,2,17,37
2012/09/06,2,17,38
2012/09/07,2,17,37
2012/09/08,2,17,37
2012/09/09,2,18,38
2012/09/10,2,19,38
2012/09/11,2,19,38
2012/09/12,2,19,37
2012/09/13,2,18,38
2012/09/14,2,19,39
2012/09/15,2,18,36
2012/09/16,2,18,36
2012/09/17,3,17,37
2012/09/18,2,18,37
2012/09/19,2,18,37
2012/09/20,2,17,38
2012/09/21,2,16,36
2012/09/22,2,16,36
2012/09/23,2,16,36
2012/09/24,2,15,35
2012/09/25,2,15,34
2012/09/26,2,16,33
2012/09/27,2,17,32
2012/09/28,2,17,32
2012/09/29,2,17,31
2012/09/30,2,17,32
2012/10/01,2,16,32
2012/10/02,2,16,31
2012/10/03,2,17,31
2012/10/04,3,17,32
2012/10/05,3,16,31
2012/10/06,4,16,32
2012/10/07,4,15,33
2012/10/08,4,15,32
2012/10/09,4,14,30
2012/10/10,4,15,31
2012/10/11,4,16,30
2012/10/12,4,17,30
2012/10/13,4,17,31
2012/10/14,4,16,33
2012/10/15,4,16,35
2012/10/16,4,16,35
2012/10/17,3,16,34
2012/10/18,3,16,34
2012/10/19,3,16,35
2012/10/20,4,16,36
2012/10/21,4,17,37
2012/10/22,3,18,37
2012/10/23,3,18,38
2012/10/24,3,18,38
2012/10/25,4,18,38
2012/10/26,4,18,40
2012/10/27,4,18,42
2012/10/28,4,18,43
2012/10/29,4,18,44
2012/10/30,4,19,44
2012/10/31,4,18,44
2012/11/01,3,18,44
2012/11/02,3,18,47
2012/11/03,3,20,47
2012/11/04,3,19,47
2012/11/05,2,19,46
2012/11/06,1,21,46
2012/11/07,1,21,47
2012/11/08,1,21,47
2012/11/09,1,21,46
2012/11/10,1,21,46
2012/11/11,1,21,47
2012/11/12,1,21,45
2012/11/13,1,21,43
2012/11/14,1,21,41
2012/11/15,1,21,42
2012/11/16,1,21,41
2012/11/17,1,19,41
2012/11/18,1,18,41
2012/11/19,2,20,40
2012/11/20,2,19,38
2012/11/21,2,19,37
2012/11/22,2,19,37
2012/11/23,2,19,38
2012/11/24,2,20,38
2012/11/25,2,19,36
2012/11/26,2,20,36
2012/11/27,2,20,36
2012/11/28,2,20,35
2012/11/29,2,20,34
2012/11/30,3,20,36
2012/12/01,3,22,38
2012/12/02,3,22,36
2012/12/03,3,22,35
2012/12/04,3,22,36
2012/12/05,3,22,36
2012/12/06,3,22,36
2012/12/07,3,22,35
2012/12/08,3,20,34
2012/12/09,3,20,33
2012/12/10,3,20,33
2012/12/11,3,20,32
2012/12/12,3,19,32
2012/12/13,3,19,32
2012/12/14,3,19,33
2012/12/15,3,19,32
2012/12/16,3,20,32
2012/12/17,3,20,31
2012/12/18,3,21,32
2012/12/19,3,21,31
2012/12/20,3,21,31
2012/12/21,3,21,31
2012/12/22,3,22,30
2012/12/23,3,22,30
2012/12/24,3,22,31
2012/12/25,3,22,31
2012/12/26,3,21,32
2012/12/27,4,21,31
2012/12/28,4,22,33
2012/12/29,4,22,33
2012/12/30,4,21,33
2012/12/31,4,20,34
2013/01/01,4,19,35
2013/01/02,4,20,35
2013/01/03,4,20,34
2013/01/04,4,20,34
2013/01/05,2,20,34
2013/01/06,2,20,34
2013/01/07,2,19,35
2013/01/08,1,16,35
2013/01/09,1,16,34
2013/01/10,1,16,35
2013/01/11,1,16,35
2013/01/12,1,16,35
2013/01/13,1,17,34
2013/01/14,1,17,35
2013/01/15,1,16,36
2013/01/16,1,16,37
2013/01/17,1,16,36
2013/01/18,1,17,37
2013/01/19,1,18,37
2013/01/20,2,18,37
2013/01/21,2,17,38
2013/01/22,2,17,38
2013/01/23,2,17,37
2013/01/24,2,17,38
2013/01/25,2,18,39
2013/01/26,2,18,40
2013/01/27,2,17,41
2013/01/28,2,17,40
2013/01/29,2,17,42
2013/01/30,2,17,39
2013/01/31,2,18,39
2013/02/01,2,18,40
2013/02/02,2,18,40
2013/02/03,2,18,39
2013/02/04,2,18,41
2013/02/05,2,18,42
2013/02/06,2,17,42
2013/02/07,2,18,42
2013/02/08,2,18,43
2013/02/09,2,18,42
2013/02/10,2,19,42
2013/02/11,3,19,42
2013/02/12,3,18,41
2013/02/13,3,18,41
2013/02/14,3,19,39
2013/02/15,3,18,38
2013/02/16,3,18,39
2013/02/17,3,18,39
2013/02/18,3,17,39
2013/02/19,3,16,39
2013/02/20,3,16,37
2013/02/21,3,16,37
2013/02/22,3,16,38
2013/02/23,3,16,37
2013/02/24,3,16,36
2013/02/25,3,15,36
2013/02/26,3,15,34
2013/02/27,3,15,33
2013/02/28,4,15,32
2013/03/01,3,15,31
2013/03/02,3,13,32
2013/03/03,3,14,31
2013/03/04,3,13,33
2013/03/05,3,13,33
2013/03/06,3,13,32
2013/03/07,3,14,33
2013/03/08,4,14,33
2013/03/09,4,14,32
2013/03/10,3,14,31
2013/03/11,3,13,31
2013/03/12,4,13,32
2013/03/13,4,13,32
2013/03/14,4,13,32
2013/03/15,4,12,33
2013/03/16,3,11,32
2013/03/17,3,12,31
2013/03/18,3,11,30
2013/03/19,3,11,29
2013/03/20,3,11,28
2013/03/21,3,11,29
2013/03/22,2,11,30
2013/03/23,2,11,31
2013/03/24,2,11,31
2013/03/25,2,10,31
2013/03/26,2,10,32
2013/03/27,2,9,31
2013/03/28,2,9,30
2013/03/29,2,9,30
2013/03/30,2,8,30
2013/03/31,2,8,30
2013/04/01,2,7,30
2013/04/02,2,7,30
2013/04/03,2,7,27
