date,pmswiki (100+),pmswiki (5+),pmswiki (all)
2012/08/19,9,27,59
2012/08/20,9,26,57
2012/08/21,9,25,58
2012/08/22,8,25,59
2012/08/23,8,25,58
2012/08/24,9,28,61
2012/08/25,9,26,60
2012/08/26,9,27,62
2012/08/27,9,27,62
2012/08/28,10,27,66
2012/08/29,10,29,66
2012/08/30,10,28,68
2012/08/31,10,27,69
2012/09/01,10,29,69
2012/09/02,10,30,69
2012/09/03,10,30,69
2012/09/04,10,29,68
2012/09/05,10,28,66
2012/09/06,10,28,66
2012/09/07,9,27,63
2012/09/08,10,26,63
2012/09/09,10,27,63
2012/09/10,11,27,63
2012/09/11,11,27,62
2012/09/12,11,28,60
2012/09/13,11,28,61
2012/09/14,11,28,62
2012/09/15,11,28,63
2012/09/16,11,29,63
2012/09/17,11,28,63
2012/09/18,11,28,58
2012/09/19,11,29,59
2012/09/20,11,29,59
2012/09/21,11,29,59
2012/09/22,11,27,59
2012/09/23,11,27,58
2012/09/24,13,27,57
2012/09/25,12,27,55
2012/09/26,11,27,54
2012/09/27,11,25,53
2012/09/28,11,25,54
2012/09/29,11,25,50
2012/09/30,10,25,49
2012/10/01,10,23,49
2012/10/02,10,23,48
2012/10/03,10,23,49
2012/10/04,10,24,51
2012/10/05,10,24,51
2012/10/06,10,24,50
2012/10/07,10,24,50
2012/10/08,10,22,51
2012/10/09,10,20,47
2012/10/10,10,20,46
2012/10/11,10,20,47
2012/10/12,10,20,46
2012/10/13,10,20,47
2012/10/14,10,21,46
2012/10/15,11,21,45
2012/10/16,12,21,46
2012/10/17,11,20,47
2012/10/18,11,20,48
2012/10/19,11,20,47
2012/10/20,10,20,47
2012/10/21,10,21,48
2012/10/22,10,21,48
2012/10/23,8,21,46
2012/10/24,7,19,50
2012/10/25,7,19,52
2012/10/26,7,20,54
2012/10/27,7,21,57
2012/10/28,7,21,56
2012/10/29,6,21,58
2012/10/30,6,20,59
2012/10/31,6,20,60
2012/11/01,6,20,61
2012/11/02,6,20,59
2012/11/03,6,19,57
2012/11/04,6,19,57
2012/11/05,6,19,57
2012/11/06,6,19,56
2012/11/07,6,19,56
2012/11/08,6,19,58
2012/11/09,6,19,57
2012/11/10,6,19,56
