date,abwiki (100+),abwiki (5+),abwiki (all)
2012/08/19,,9,29
2012/08/20,,9,29
2012/08/21,,9,28
2012/08/22,,9,28
2012/08/23,,9,29
2012/08/24,,11,29
2012/08/25,,10,30
2012/08/26,,10,29
2012/08/27,,10,29
2012/08/28,,10,30
2012/08/29,,11,30
2012/08/30,,11,31
2012/08/31,,11,31
2012/09/01,,11,32
2012/09/02,,12,33
2012/09/03,,12,32
2012/09/04,,12,31
2012/09/05,,12,30
2012/09/06,,12,31
2012/09/07,,12,29
2012/09/08,,13,30
2012/09/09,,14,31
2012/09/10,,14,32
2012/09/11,,14,33
2012/09/12,,14,32
2012/09/13,,14,34
2012/09/14,,14,34
2012/09/15,,14,37
2012/09/16,,14,37
2012/09/17,,14,39
2012/09/18,,15,38
2012/09/19,,15,38
2012/09/20,,14,37
2012/09/21,,14,38
2012/09/22,,14,38
2012/09/23,,13,37
2012/09/24,,14,38
2012/09/25,1,14,38
2012/09/26,1,14,39
2012/09/27,1,14,39
2012/09/28,1,14,40
2012/09/29,1,14,37
2012/09/30,1,15,37
2012/10/01,,15,36
2012/10/02,,14,37
2012/10/03,,14,36
2012/10/04,,14,37
2012/10/05,,14,36
2012/10/06,1,15,36
2012/10/07,1,15,37
2012/10/08,1,14,36
2012/10/09,3,15,36
2012/10/10,4,15,35
2012/10/11,4,15,37
2012/10/12,4,15,36
2012/10/13,3,15,35
2012/10/14,3,15,35
2012/10/15,3,15,34
2012/10/16,3,15,35
2012/10/17,3,15,35
2012/10/18,3,15,35
2012/10/19,3,14,36
2012/10/20,3,14,37
2012/10/21,4,12,39
2012/10/22,3,12,39
2012/10/23,3,12,39
2012/10/24,3,12,38
2012/10/25,3,12,38
2012/10/26,3,12,40
2012/10/27,3,13,37
2012/10/28,3,13,36
2012/10/29,3,13,39
2012/10/30,3,12,39
2012/10/31,3,13,38
2012/11/01,3,14,37
2012/11/02,3,15,38
2012/11/03,3,14,38
2012/11/04,3,14,38
2012/11/05,2,13,39
2012/11/06,2,13,37
2012/11/07,2,12,37
2012/11/08,1,12,36
2012/11/09,,11,35
2012/11/10,,11,35
2012/11/11,,12,34
2012/11/12,,13,35
2012/11/13,,13,35
2012/11/14,,12,35
2012/11/15,,12,34
2012/11/16,,11,34
2012/11/17,,11,35
2012/11/18,,11,35
2012/11/19,,11,34
2012/11/20,,13,34
2012/11/21,,13,34
2012/11/22,,12,35
2012/11/23,,12,34
2012/11/24,,12,35
2012/11/25,,12,33
2012/11/26,,11,33
2012/11/27,,12,35
2012/11/28,,11,35
2012/11/29,,11,35
2012/11/30,,11,35
2012/12/01,,11,35
2012/12/02,,11,35
2012/12/03,,12,35
2012/12/04,,12,35
2012/12/05,,11,36
2012/12/06,,12,37
2012/12/07,,12,37
2012/12/08,,13,36
2012/12/09,,13,35
2012/12/10,,12,33
2012/12/11,,11,33
2012/12/12,,11,32
2012/12/13,,12,31
2012/12/14,,12,32
2012/12/15,,12,32
2012/12/16,,12,32
2012/12/17,,12,33
2012/12/18,,12,32
2012/12/19,,12,33
2012/12/20,,12,32
2012/12/21,,13,32
2012/12/22,,13,31
2012/12/23,,13,33
2012/12/24,,12,33
2012/12/25,,12,34
2012/12/26,,12,34
2012/12/27,,12,34
2012/12/28,,12,34
2012/12/29,,12,34
2012/12/30,,12,34
2012/12/31,,12,35
2013/01/01,,10,36
2013/01/02,,10,36
2013/01/03,,10,37
