date,frwiki (100+),frwiki (5+),frwiki (all)
2012/08/19,775,4968,14409
2012/08/20,780,4961,14363
2012/08/21,781,5022,14474
2012/08/22,786,5053,14539
2012/08/23,780,5075,14585
2012/08/24,763,4967,14217
2012/08/25,786,5067,14560
2012/08/26,793,5038,14531
2012/08/27,796,5063,14457
2012/08/28,809,5093,14550
2012/08/29,808,5116,14650
2012/08/30,810,5133,14677
2012/08/31,807,5151,14715
2012/09/01,803,5171,14759
2012/09/02,806,5171,14711
2012/09/03,813,5200,14741
2012/09/04,815,5247,14886
2012/09/05,819,5248,14965
2012/09/06,816,5264,15050
2012/09/07,818,5254,15059
2012/09/08,823,5237,15039
2012/09/09,811,5227,15010
2012/09/10,813,5233,15021
2012/09/11,807,5233,15078
2012/09/12,801,5270,15131
2012/09/13,798,5269,15150
2012/09/14,799,5244,15128
2012/09/15,803,5250,15160
2012/09/16,799,5238,15118
2012/09/17,801,5234,15100
2012/09/18,800,5239,15183
2012/09/19,791,5212,15244
2012/09/20,795,5189,15233
2012/09/21,792,5149,15222
2012/09/22,792,5131,15164
2012/09/23,799,5120,15170
2012/09/24,793,5096,15143
2012/09/25,793,5102,15196
2012/09/26,789,5092,15283
2012/09/27,786,5081,15261
2012/09/28,787,5087,15187
2012/09/29,779,5065,15133
2012/09/30,767,5048,15075
2012/10/01,772,5025,15039
2012/10/02,773,5030,15077
2012/10/03,767,5052,15081
2012/10/04,766,5068,15026
2012/10/05,766,5052,15007
2012/10/06,763,5034,14994
2012/10/07,767,5035,14931
2012/10/08,761,5039,14925
2012/10/09,761,5056,14991
2012/10/10,757,5062,15038
2012/10/11,751,5065,15172
2012/10/12,754,5044,15188
2012/10/13,750,4998,15149
2012/10/14,756,4997,15193
2012/10/15,763,5046,15237
2012/10/16,761,5078,15376
2012/10/17,760,5093,15444
2012/10/18,758,5114,15483
2012/10/19,753,5119,15480
2012/10/20,759,5120,15466
2012/10/21,762,5134,15441
2012/10/22,778,5148,15492
2012/10/23,790,5157,15551
2012/10/24,783,5156,15559
2012/10/25,793,5141,15557
2012/10/26,794,5128,15558
2012/10/27,792,5130,15522
2012/10/28,801,5126,15490
2012/10/29,807,5127,15529
2012/10/30,813,5150,15599
2012/10/31,806,5153,15596
2012/11/01,804,5155,15650
2012/11/02,807,5182,15658
2012/11/03,808,5183,15655
2012/11/04,811,5204,15661
2012/11/05,808,5222,15696
2012/11/06,804,5224,15812
2012/11/07,806,5212,15923
2012/11/08,806,5262,15920
2012/11/09,810,5332,16162
2012/11/10,809,5386,16324
2012/11/11,815,5418,16453
2012/11/12,823,5468,16621
2012/11/13,820,5512,16708
2012/11/14,818,5500,16722
2012/11/15,832,5519,16836
2012/11/16,827,5523,16863
2012/11/17,822,5550,16892
2012/11/18,830,5563,16920
2012/11/19,824,5587,16970
2012/11/20,822,5624,17058
2012/11/21,828,5620,17082
2012/11/22,819,5619,17084
2012/11/23,817,5638,17114
2012/11/24,820,5611,17164
2012/11/25,813,5628,17172
2012/11/26,828,5646,17233
2012/11/27,833,5656,17417
2012/11/28,837,5679,17487
2012/11/29,835,5691,17523
2012/11/30,829,5678,17580
2012/12/01,830,5685,17600
2012/12/02,831,5678,17615
2012/12/03,832,5683,17688
2012/12/04,828,5699,17751
2012/12/05,820,5668,17747
2012/12/06,820,5659,17782
2012/12/07,824,5641,17758
2012/12/08,822,5642,17798
2012/12/09,834,5624,17611
2012/12/10,831,5620,17501
2012/12/11,831,5602,17459
2012/12/12,821,5557,17445
2012/12/13,823,5553,17378
2012/12/14,824,5563,17375
2012/12/15,824,5525,17272
2012/12/16,835,5499,17242
2012/12/17,839,5490,17230
2012/12/18,839,5494,17260
2012/12/19,838,5462,17232
2012/12/20,838,5446,17219
2012/12/21,834,5430,17175
2012/12/22,830,5421,17072
2012/12/23,837,5390,16950
2012/12/24,846,5385,16872
2012/12/25,844,5332,16726
2012/12/26,849,5279,16545
2012/12/27,839,5256,16458
2012/12/28,832,5244,16413
2012/12/29,830,5214,16327
2012/12/30,829,5195,16234
2012/12/31,831,5219,16241
2013/01/01,823,5216,16196
2013/01/02,818,5220,16144
2013/01/03,835,5237,16165
2013/01/04,846,5284,16243
2013/01/05,859,5321,16247
2013/01/06,863,5346,16267
2013/01/07,866,5332,16247
2013/01/08,874,5341,16306
2013/01/09,880,5349,16320
2013/01/10,866,5375,16291
2013/01/11,863,5394,16261
2013/01/12,860,5404,16313
2013/01/13,857,5403,16230
2013/01/14,858,5416,16195
2013/01/15,857,5425,16286
2013/01/16,856,5417,16335
2013/01/17,857,5390,16357
2013/01/18,854,5385,16318
2013/01/19,847,5387,16289
2013/01/20,849,5399,16288
2013/01/21,863,5438,16394
