date,fowiki (100+),fowiki (5+),fowiki (all)
2012/08/19,6,22,50
2012/08/20,6,22,49
2012/08/21,6,24,48
2012/08/22,6,24,50
2012/08/23,6,25,52
2012/08/24,7,27,52
2012/08/25,7,25,54
2012/08/26,7,25,56
2012/08/27,7,26,56
2012/08/28,8,25,55
2012/08/29,8,27,60
2012/08/30,7,30,59
2012/08/31,7,31,59
2012/09/01,8,31,61
2012/09/02,7,31,62
2012/09/03,7,32,60
2012/09/04,7,33,59
2012/09/05,7,33,60
2012/09/06,7,34,63
2012/09/07,7,34,63
2012/09/08,7,34,62
2012/09/09,7,34,63
2012/09/10,7,34,63
2012/09/11,7,34,64
2012/09/12,7,35,64
2012/09/13,7,35,66
2012/09/14,7,35,65
2012/09/15,7,34,66
2012/09/16,7,34,67
2012/09/17,7,36,67
2012/09/18,7,36,67
2012/09/19,7,35,67
2012/09/20,7,35,69
2012/09/21,7,35,67
2012/09/22,8,34,64
2012/09/23,8,34,64
2012/09/24,8,33,64
2012/09/25,8,32,64
2012/09/26,8,30,63
2012/09/27,9,30,63
2012/09/28,9,28,61
2012/09/29,9,28,59
2012/09/30,8,25,59
2012/10/01,8,25,57
2012/10/02,8,25,56
2012/10/03,8,25,55
2012/10/04,7,24,54
2012/10/05,7,24,52
2012/10/06,7,23,49
2012/10/07,7,23,50
2012/10/08,8,23,51
2012/10/09,8,22,51
2012/10/10,8,22,51
2012/10/11,8,22,49
2012/10/12,7,22,52
2012/10/13,7,22,50
2012/10/14,7,23,50
2012/10/15,7,24,50
2012/10/16,7,25,48
2012/10/17,6,25,47
2012/10/18,6,25,46
2012/10/19,6,25,47
2012/10/20,6,25,46
2012/10/21,6,24,48
2012/10/22,6,22,48
2012/10/23,6,23,48
2012/10/24,6,24,47
2012/10/25,6,26,46
2012/10/26,6,26,48
2012/10/27,6,25,48
2012/10/28,7,25,50
2012/10/29,7,26,52
2012/10/30,7,26,51
2012/10/31,7,26,51
2012/11/01,7,26,52
2012/11/02,7,26,55
2012/11/03,7,26,55
2012/11/04,7,25,56
2012/11/05,7,24,56
2012/11/06,7,24,54
2012/11/07,7,24,54
2012/11/08,7,24,55
2012/11/09,6,24,52
2012/11/10,6,24,53
2012/11/11,6,23,49
2012/11/12,6,23,49
2012/11/13,6,23,49
2012/11/14,6,23,47
2012/11/15,6,23,47
2012/11/16,6,23,48
2012/11/17,6,23,48
2012/11/18,6,23,47
2012/11/19,6,23,49
2012/11/20,6,24,48
2012/11/21,6,24,49
2012/11/22,6,23,51
2012/11/23,7,23,52
2012/11/24,7,24,53
2012/11/25,7,25,51
2012/11/26,7,25,52
2012/11/27,7,25,53
2012/11/28,7,25,52
2012/11/29,7,26,53
2012/11/30,7,26,56
2012/12/01,7,26,55
2012/12/02,7,27,52
2012/12/03,7,27,53
2012/12/04,7,27,52
2012/12/05,7,27,51
2012/12/06,7,28,52
2012/12/07,7,28,54
2012/12/08,7,28,54
2012/12/09,7,28,54
2012/12/10,7,28,54
2012/12/11,7,27,53
2012/12/12,7,27,54
2012/12/13,7,27,57
2012/12/14,8,27,57
2012/12/15,8,27,58
2012/12/16,8,26,57
2012/12/17,8,27,60
2012/12/18,8,28,60
2012/12/19,8,28,63
2012/12/20,8,28,63
2012/12/21,9,28,63
2012/12/22,9,28,63
2012/12/23,9,27,65
2012/12/24,9,27,64
2012/12/25,9,28,65
2012/12/26,9,27,65
2012/12/27,9,27,65
2012/12/28,8,27,64
2012/12/29,8,28,63
2012/12/30,9,27,61
2012/12/31,9,26,60
2013/01/01,9,27,61
2013/01/02,9,27,59
2013/01/03,9,27,58
2013/01/04,9,27,59
2013/01/05,9,27,61
2013/01/06,9,27,60
2013/01/07,9,28,59
2013/01/08,9,28,59
2013/01/09,8,27,59
2013/01/10,8,26,61
2013/01/11,8,26,60
2013/01/12,8,27,60
2013/01/13,7,26,60
2013/01/14,7,27,62
2013/01/15,7,27,63
2013/01/16,7,24,65
2013/01/17,7,24,66
2013/01/18,7,26,64
2013/01/19,7,26,63
2013/01/20,7,26,62
2013/01/21,7,29,62
2013/01/22,7,29,59
2013/01/23,7,29,61
2013/01/24,7,29,61
2013/01/25,7,28,60
2013/01/26,7,28,60
2013/01/27,7,28,60
2013/01/28,7,29,60
2013/01/29,7,29,61
2013/01/30,6,29,62
2013/01/31,6,28,65
2013/02/01,6,27,65
2013/02/02,6,27,65
2013/02/03,6,27,67
2013/02/04,6,27,65
2013/02/05,6,27,67
2013/02/06,6,27,66
2013/02/07,6,26,65
2013/02/08,6,26,65
2013/02/09,6,26,65
2013/02/10,6,25,63
2013/02/11,7,25,59
2013/02/12,7,25,59
2013/02/13,7,26,58
2013/02/14,7,25,59
2013/02/15,7,25,58
2013/02/16,7,25,60
2013/02/17,7,26,59
2013/02/18,7,26,58
2013/02/19,7,25,59
2013/02/20,7,25,59
2013/02/21,7,23,59
2013/02/22,7,23,57
2013/02/23,7,23,57
2013/02/24,6,21,58
2013/02/25,6,21,57
2013/02/26,6,23,57
2013/02/27,6,23,56
2013/02/28,6,23,55
2013/03/01,6,23,54
2013/03/02,7,22,51
2013/03/03,7,22,50
2013/03/04,7,22,51
2013/03/05,7,23,50
2013/03/06,7,24,51
2013/03/07,7,25,50
2013/03/08,8,25,50
2013/03/09,8,24,51
2013/03/10,8,24,51
