date,omwiki (100+),omwiki (5+),omwiki (all)
2012/08/19,,8,16
2012/08/20,,8,16
2012/08/21,,9,16
2012/08/22,,9,16
2012/08/23,,9,17
2012/08/24,,9,18
2012/08/25,,9,17
2012/08/26,,9,18
2012/08/27,,9,16
2012/08/28,,8,17
2012/08/29,,8,17
2012/08/30,,8,18
2012/08/31,,8,18
2012/09/01,,9,18
2012/09/02,,9,18
2012/09/03,,9,19
2012/09/04,,9,19
2012/09/05,,9,19
2012/09/06,,9,20
2012/09/07,,9,21
2012/09/08,,9,21
2012/09/09,,9,21
2012/09/10,,8,21
2012/09/11,,8,22
2012/09/12,,7,22
2012/09/13,,7,23
2012/09/14,,6,22
2012/09/15,,6,22
2012/09/16,,6,22
2012/09/17,,7,22
2012/09/18,,7,22
2012/09/19,,7,23
2012/09/20,,7,23
2012/09/21,,7,22
2012/09/22,,7,21
2012/09/23,,7,19
2012/09/24,,8,19
2012/09/25,,8,18
2012/09/26,,9,18
2012/09/27,,9,18
2012/09/28,,9,19
2012/09/29,,9,19
2012/09/30,,9,20
2012/10/01,,8,19
2012/10/02,,9,20
2012/10/03,,9,19
2012/10/04,,9,19
2012/10/05,,9,19
2012/10/06,,9,20
2012/10/07,,9,20
2012/10/08,,9,19
2012/10/09,,9,19
2012/10/10,,9,19
2012/10/11,,8,19
2012/10/12,,8,19
2012/10/13,,8,19
2012/10/14,,8,20
2012/10/15,,7,21
2012/10/16,,7,22
2012/10/17,,7,21
2012/10/18,,7,21
2012/10/19,,7,21
2012/10/20,,8,21
2012/10/21,,8,21
2012/10/22,,8,21
2012/10/23,,8,21
2012/10/24,,7,21
2012/10/25,,7,22
2012/10/26,,7,22
2012/10/27,,8,23
2012/10/28,,7,22
2012/10/29,,7,21
2012/10/30,,7,22
2012/10/31,,7,23
2012/11/01,,7,23
2012/11/02,,8,23
2012/11/03,,8,23
2012/11/04,,7,22
2012/11/05,,7,21
2012/11/06,,7,20
2012/11/07,,7,21
2012/11/08,,7,23
2012/11/09,,7,23
2012/11/10,,6,24
2012/11/11,,8,24
2012/11/12,,8,24
2012/11/13,,8,24
2012/11/14,,8,25
2012/11/15,,8,26
2012/11/16,,8,26
2012/11/17,,8,26
2012/11/18,,8,26
2012/11/19,,7,27
2012/11/20,,7,28
2012/11/21,,7,28
2012/11/22,,7,28
2012/11/23,,7,30
2012/11/24,,7,29
2012/11/25,,7,29
2012/11/26,,7,27
2012/11/27,,7,27
2012/11/28,,8,27
2012/11/29,,8,26
2012/11/30,,8,25
2012/12/01,,8,26
2012/12/02,,7,26
2012/12/03,,8,26
2012/12/04,,8,26
2012/12/05,,8,25
2012/12/06,,8,25
2012/12/07,,8,25
2012/12/08,,8,25
2012/12/09,,8,24
2012/12/10,,8,22
2012/12/11,,8,23
2012/12/12,,7,24
2012/12/13,,8,24
2012/12/14,,8,23
2012/12/15,,8,22
2012/12/16,,9,23
2012/12/17,,9,23
2012/12/18,,8,23
2012/12/19,,8,23
2012/12/20,,8,22
2012/12/21,,8,23
2012/12/22,,9,23
2012/12/23,,8,23
2012/12/24,,8,23
2012/12/25,,8,23
2012/12/26,,7,23
2012/12/27,,7,21
2012/12/28,,7,23
2012/12/29,,7,24
2012/12/30,,7,24
2012/12/31,,7,24
2013/01/01,,7,24
2013/01/02,,8,24
2013/01/03,,8,24
2013/01/04,,8,23
2013/01/05,,8,23
2013/01/06,,8,22
2013/01/07,,9,22
2013/01/08,,8,23
2013/01/09,,8,23
2013/01/10,,9,24
2013/01/11,,9,24
2013/01/12,,8,24
2013/01/13,,8,24
2013/01/14,,8,24
2013/01/15,,7,23
2013/01/16,,7,23
2013/01/17,,6,23
2013/01/18,,6,23
2013/01/19,,6,23
2013/01/20,,6,22
2013/01/21,,7,22
2013/01/22,,7,21
2013/01/23,,6,20
2013/01/24,,6,20
2013/01/25,,6,21
2013/01/26,,6,21
2013/01/27,,6,20
2013/01/28,,6,20
2013/01/29,,6,20
2013/01/30,,5,19
2013/01/31,,5,19
2013/02/01,,6,20
2013/02/02,,6,19
2013/02/03,,5,19
2013/02/04,,6,19
2013/02/05,,6,19
2013/02/06,,6,19
2013/02/07,,6,18
2013/02/08,,6,18
2013/02/09,,6,17
2013/02/10,,6,18
2013/02/11,,6,16
2013/02/12,,6,17
2013/02/13,,6,18
2013/02/14,,6,18
2013/02/15,,6,19
2013/02/16,,6,21
2013/02/17,,6,21
2013/02/18,,6,22
2013/02/19,,6,22
2013/02/20,,5,21
2013/02/21,,6,21
2013/02/22,,6,21
2013/02/23,,6,21
2013/02/24,,6,20
2013/02/25,,6,20
2013/02/26,,7,20
2013/02/27,,7,18
2013/02/28,,7,18
2013/03/01,,7,18
2013/03/02,,6,17
2013/03/03,,6,17
2013/03/04,,6,17
2013/03/05,,6,17
2013/03/06,,6,20
2013/03/07,,6,20
2013/03/08,1,7,20
2013/03/09,1,7,20
2013/03/10,1,7,20
2013/03/11,1,7,20
2013/03/12,1,8,19
2013/03/13,1,8,19
2013/03/14,1,8,18
2013/03/15,1,8,17
2013/03/16,1,8,18
2013/03/17,1,8,17
2013/03/18,1,8,15
2013/03/19,1,8,15
2013/03/20,1,8,14
2013/03/21,1,7,14
2013/03/22,1,7,14
2013/03/23,1,7,14
2013/03/24,1,7,14
2013/03/25,1,6,14
2013/03/26,1,6,15
2013/03/27,1,5,15
2013/03/28,1,3,16
2013/03/29,1,3,15
2013/03/30,1,3,16
2013/03/31,1,3,15
2013/04/01,1,3,15
2013/04/02,1,4,16
2013/04/03,1,4,18
2013/04/04,1,4,16
2013/04/05,1,4,12
2013/04/06,1,4,12
2013/04/07,,4,12
2013/04/08,,3,12
2013/04/09,,3,11
2013/04/10,,3,11
2013/04/11,,2,13
2013/04/12,,2,13
2013/04/13,,2,13
