date,mswiki (100+),mswiki (5+),mswiki (all)
2012/08/19,15,97,318
2012/08/20,14,94,317
2012/08/21,13,90,316
2012/08/22,14,92,317
2012/08/23,14,93,314
2012/08/24,14,98,304
2012/08/25,14,95,308
2012/08/26,13,93,312
2012/08/27,13,96,314
2012/08/28,13,93,317
2012/08/29,13,95,321
2012/08/30,13,94,319
2012/08/31,13,95,318
2012/09/01,13,95,322
2012/09/02,13,102,323
2012/09/03,13,103,317
2012/09/04,13,103,315
2012/09/05,13,103,318
2012/09/06,13,105,322
2012/09/07,13,105,316
2012/09/08,14,103,317
2012/09/09,14,104,315
2012/09/10,14,101,317
2012/09/11,14,98,318
2012/09/12,14,97,311
2012/09/13,13,96,312
2012/09/14,13,94,306
2012/09/15,14,93,306
2012/09/16,14,93,303
2012/09/17,14,93,301
2012/09/18,14,90,299
2012/09/19,14,90,297
2012/09/20,14,90,295
2012/09/21,13,88,301
2012/09/22,13,89,303
2012/09/23,13,90,304
2012/09/24,14,93,303
2012/09/25,13,94,306
2012/09/26,12,94,305
2012/09/27,13,94,304
2012/09/28,13,95,301
2012/09/29,13,93,304
2012/09/30,13,90,309
2012/10/01,14,88,303
2012/10/02,14,88,296
2012/10/03,14,86,296
2012/10/04,14,87,295
2012/10/05,14,84,290
2012/10/06,14,82,293
2012/10/07,14,84,291
2012/10/08,13,87,288
2012/10/09,14,89,293
2012/10/10,14,92,295
2012/10/11,14,89,293
2012/10/12,14,92,295
2012/10/13,14,96,296
2012/10/14,13,100,299
2012/10/15,13,99,297
2012/10/16,14,99,296
2012/10/17,14,100,297
2012/10/18,15,101,300
2012/10/19,15,105,302
2012/10/20,15,106,311
2012/10/21,15,104,311
2012/10/22,15,104,309
2012/10/23,14,101,304
2012/10/24,14,101,298
2012/10/25,14,100,299
2012/10/26,13,100,299
2012/10/27,14,102,298
2012/10/28,13,101,302
2012/10/29,13,103,300
2012/10/30,13,104,296
2012/10/31,13,104,298
2012/11/01,14,103,302
2012/11/02,15,103,307
2012/11/03,15,105,315
2012/11/04,15,106,315
2012/11/05,14,107,319
2012/11/06,14,105,321
2012/11/07,13,103,322
2012/11/08,13,104,322
2012/11/09,14,101,327
2012/11/10,14,100,332
2012/11/11,14,100,331
2012/11/12,12,102,332
2012/11/13,14,98,336
2012/11/14,14,96,332
2012/11/15,14,92,326
2012/11/16,13,92,319
2012/11/17,13,92,322
2012/11/18,14,89,320
2012/11/19,14,89,326
2012/11/20,14,90,317
2012/11/21,15,90,319
