date,mswiki (100+),mswiki (5+),mswiki (all)
2012/11/22,15,91,322
2012/11/23,15,92,328
2012/11/24,16,93,324
2012/11/25,17,93,323
2012/11/26,15,93,322
2012/11/27,15,98,321
2012/11/28,16,98,321
2012/11/29,15,100,322
2012/11/30,16,101,325
2012/12/01,17,105,326
2012/12/02,18,103,322
2012/12/03,18,101,318
2012/12/04,20,106,324
2012/12/05,19,103,323
2012/12/06,20,102,320
2012/12/07,20,100,316
2012/12/08,21,102,322
2012/12/09,21,103,318
2012/12/10,21,103,322
2012/12/11,23,102,322
2012/12/12,23,100,321
2012/12/13,23,101,326
2012/12/14,24,104,335
2012/12/15,23,108,345
2012/12/16,24,109,350
2012/12/17,24,109,344
2012/12/18,24,112,351
2012/12/19,24,119,340
2012/12/20,24,118,344
2012/12/21,24,119,343
2012/12/22,25,125,347
2012/12/23,24,123,348
2012/12/24,24,123,351
2012/12/25,26,122,344
2012/12/26,26,122,344
2012/12/27,27,121,345
2012/12/28,27,116,348
2012/12/29,26,118,346
2012/12/30,26,121,350
2012/12/31,27,117,349
2013/01/01,27,114,346
2013/01/02,28,117,345
2013/01/03,29,117,341
2013/01/04,28,119,342
2013/01/05,26,122,353
2013/01/06,25,121,356
2013/01/07,25,122,353
2013/01/08,26,117,362
2013/01/09,26,119,364
2013/01/10,25,117,367
2013/01/11,25,116,364
2013/01/12,25,118,363
2013/01/13,24,117,360
2013/01/14,26,119,354
2013/01/15,26,119,352
2013/01/16,25,122,355
2013/01/17,25,118,350
2013/01/18,25,118,353
2013/01/19,25,115,357
2013/01/20,23,114,362
2013/01/21,23,116,363
2013/01/22,23,116,358
2013/01/23,23,116,361
2013/01/24,23,117,369
2013/01/25,23,117,373
2013/01/26,22,119,378
2013/01/27,20,119,377
2013/01/28,20,124,376
2013/01/29,20,123,378
2013/01/30,20,122,374
2013/01/31,18,121,379
2013/02/01,18,125,379
2013/02/02,18,123,374
2013/02/03,19,120,373
2013/02/04,18,118,367
2013/02/05,17,121,368
2013/02/06,18,120,372
2013/02/07,18,118,379
2013/02/08,20,118,370
2013/02/09,20,118,370
2013/02/10,20,118,368
2013/02/11,20,114,368
2013/02/12,19,115,367
2013/02/13,18,111,372
2013/02/14,18,112,372
2013/02/15,19,112,372
2013/02/16,19,115,389
2013/02/17,21,116,392
2013/02/18,20,112,399
2013/02/19,20,115,394
2013/02/20,20,111,394
2013/02/21,20,114,397
2013/02/22,19,113,400
2013/02/23,19,113,396
2013/02/24,19,113,398
2013/02/25,18,110,383
2013/02/26,18,113,401
2013/02/27,18,113,409
2013/02/28,20,114,407
2013/03/01,19,114,413
2013/03/02,19,114,410
2013/03/03,19,111,412
2013/03/04,20,113,417
2013/03/05,19,114,416
2013/03/06,18,112,420
2013/03/07,19,110,420
2013/03/08,20,115,440
2013/03/09,20,117,440
2013/03/10,20,114,437
2013/03/11,20,115,440
2013/03/12,19,111,441
2013/03/13,20,112,453
2013/03/14,20,112,456
2013/03/15,20,114,454
2013/03/16,19,116,450
2013/03/17,20,118,452
2013/03/18,19,118,440
2013/03/19,19,114,432
2013/03/20,18,112,420
2013/03/21,18,112,421
2013/03/22,18,113,421
2013/03/23,18,113,424
2013/03/24,18,111,411
2013/03/25,18,114,415
2013/03/26,18,116,422
2013/03/27,18,116,410
2013/03/28,18,114,404
2013/03/29,18,114,394
2013/03/30,17,112,393
2013/03/31,17,111,393
2013/04/01,17,109,390
2013/04/02,17,109,387
2013/04/03,17,109,386
2013/04/04,17,109,379
2013/04/05,15,111,382
2013/04/06,14,109,383
2013/04/07,13,103,361
2013/04/08,14,106,354
2013/04/09,14,108,356
2013/04/10,16,110,356
2013/04/11,16,109,355
2013/04/12,16,108,341
2013/04/13,16,105,340
2013/04/14,15,105,346
2013/04/15,14,107,349
2013/04/16,15,106,345
2013/04/17,15,105,346
2013/04/18,15,105,354
2013/04/19,14,106,359
2013/04/20,14,104,365
2013/04/21,15,103,362
2013/04/22,15,101,369
2013/04/23,14,102,368
2013/04/24,15,101,363
2013/04/25,16,102,356
2013/04/26,16,102,361
2013/04/27,17,103,363
2013/04/28,17,103,363
2013/04/29,17,104,364
2013/04/30,17,104,362
2013/05/01,17,103,358
2013/05/02,17,106,362
2013/05/03,16,104,356
2013/05/04,17,103,358
2013/05/05,17,104,352
2013/05/06,18,105,348
2013/05/07,17,102,347
2013/05/08,17,101,349
2013/05/09,17,98,348
2013/05/10,18,97,350
2013/05/11,19,94,346
2013/05/12,18,97,346
2013/05/13,19,98,343
2013/05/14,19,98,336
2013/05/15,19,96,331
2013/05/16,18,99,336
2013/05/17,20,103,330
2013/05/18,21,101,332
2013/05/19,21,103,335
2013/05/20,22,102,323
2013/05/21,21,107,333
2013/05/22,21,106,323
2013/05/23,22,105,323
2013/05/24,21,106,320
2013/05/25,20,102,313
2013/05/26,19,101,305
2013/05/27,19,101,308
2013/05/28,20,102,315
2013/05/29,20,103,314
2013/05/30,21,103,320
2013/05/31,20,104,327
2013/06/01,20,105,326
2013/06/02,19,102,333
2013/06/03,18,100,330
2013/06/04,18,99,325
2013/06/05,18,102,329
2013/06/06,17,101,332
2013/06/07,17,102,330
2013/06/08,17,101,328
2013/06/09,17,101,326
2013/06/10,17,102,321
2013/06/11,17,107,323
2013/06/12,17,108,325
2013/06/13,15,110,333
2013/06/14,15,110,333
2013/06/15,15,108,328
2013/06/16,14,104,326
2013/06/17,14,106,326
2013/06/18,14,106,323
2013/06/19,13,106,322
2013/06/20,12,102,319
2013/06/21,12,99,319
2013/06/22,12,99,317
2013/06/23,11,96,322
2013/06/24,11,96,325
2013/06/25,11,92,321
2013/06/26,11,89,321
2013/06/27,10,87,322
2013/06/28,10,87,314
2013/06/29,9,86,310
2013/06/30,10,86,316
2013/07/01,11,90,320
2013/07/02,11,88,319
2013/07/03,11,87,320
2013/07/04,12,87,323
2013/07/05,12,87,323
2013/07/06,12,84,309
2013/07/07,12,83,308
2013/07/08,12,85,310
2013/07/09,12,84,304
2013/07/10,12,87,305
2013/07/11,13,85,301
2013/07/12,12,86,298
2013/07/13,12,85,292
2013/07/14,11,82,289
2013/07/15,12,83,292
2013/07/16,11,84,294
2013/07/17,11,82,293
2013/07/18,11,82,292
2013/07/19,11,83,293
2013/07/20,11,83,292
2013/07/21,11,84,293
2013/07/22,12,85,294
2013/07/23,11,85,290
2013/07/24,11,84,284
2013/07/25,12,84,280
2013/07/26,12,87,277
2013/07/27,12,89,280
2013/07/28,14,91,278
2013/07/29,13,91,278
2013/07/30,12,91,278
2013/07/31,12,90,275
2013/08/01,12,92,270
2013/08/02,12,94,268
2013/08/03,12,94,267
2013/08/04,9,90,261
2013/08/05,10,91,266
2013/08/06,9,97,268
2013/08/07,10,98,266
2013/08/08,11,97,264
2013/08/09,11,96,258
2013/08/10,12,95,258
2013/08/11,13,93,257
2013/08/12,13,92,259
2013/08/13,13,90,253
2013/08/14,14,92,250
2013/08/15,15,95,250
2013/08/16,15,96,254
2013/08/17,15,94,250
2013/08/18,16,92,251
2013/08/19,16,95,252
2013/08/20,16,98,251
2013/08/21,16,95,249
2013/08/22,16,96,247
2013/08/23,16,95,251
2013/08/24,17,96,257
2013/08/25,16,98,258
2013/08/26,17,98,254
2013/08/27,17,98,258
2013/08/28,18,99,257
2013/08/29,19,97,259
2013/08/30,18,97,256
2013/08/31,18,94,256
2013/09/01,19,92,260
2013/09/02,19,92,268
2013/09/03,19,91,276
2013/09/04,18,94,276
2013/09/05,18,92,276
2013/09/06,18,89,275
2013/09/07,17,89,282
2013/09/08,17,88,281
2013/09/09,17,86,283
2013/09/10,17,87,285
2013/09/11,17,87,288
2013/09/12,16,90,289
2013/09/13,15,89,296
2013/09/14,14,88,299
2013/09/15,14,88,293
2013/09/16,12,88,294
2013/09/17,13,91,295
2013/09/18,13,94,305
2013/09/19,12,94,307
2013/09/20,12,97,307
2013/09/21,13,94,307
2013/09/22,13,93,298
2013/09/23,13,94,297
2013/09/24,12,94,293
2013/09/25,12,95,294
2013/09/26,11,94,291
2013/09/27,10,89,288
2013/09/28,11,88,283
2013/09/29,11,84,281
2013/09/30,11,87,278
2013/10/01,11,84,276
2013/10/02,11,85,273
2013/10/03,11,86,265
2013/10/04,11,86,269
2013/10/05,12,85,263
2013/10/06,12,86,262
2013/10/07,12,85,252
2013/10/08,12,87,254
2013/10/09,11,87,255
2013/10/10,11,86,260
2013/10/11,11,88,262
2013/10/12,12,90,260
2013/10/13,12,93,256
2013/10/14,12,91,257
2013/10/15,12,89,262
2013/10/16,12,91,263
2013/10/17,12,87,266
2013/10/18,12,81,261
2013/10/19,13,81,263
2013/10/20,13,78,269
2013/10/21,13,82,275
2013/10/22,13,82,277
2013/10/23,13,82,276
2013/10/24,13,79,279
2013/10/25,13,81,281
2013/10/26,13,82,283
2013/10/27,14,81,286
2013/10/28,14,81,287
2013/10/29,14,83,288
2013/10/30,13,85,291
2013/10/31,13,83,287
2013/11/01,14,84,291
2013/11/02,14,85,290
2013/11/03,14,83,286
2013/11/04,14,86,294
2013/11/05,14,85,293
2013/11/06,14,86,294
2013/11/07,14,85,290
2013/11/08,13,85,293
2013/11/09,13,85,291
2013/11/10,14,83,296
2013/11/11,14,81,294
2013/11/12,14,78,300
2013/11/13,14,78,295
2013/11/14,14,81,296
2013/11/15,14,81,300
2013/11/16,14,80,296
2013/11/17,14,79,291
2013/11/18,14,78,288
2013/11/19,14,79,286
2013/11/20,15,83,289
2013/11/21,15,82,297
2013/11/22,15,79,297
2013/11/23,15,78,298
2013/11/24,15,76,305
2013/11/25,15,78,311
2013/11/26,16,78,312
2013/11/27,16,80,313
2013/11/28,16,81,308
2013/11/29,16,78,306
2013/11/30,16,78,307
2013/12/01,16,76,298
2013/12/02,16,77,301
2013/12/03,17,78,299
2013/12/04,17,78,297
2013/12/05,16,78,295
2013/12/06,16,75,297
2013/12/07,17,75,301
2013/12/08,15,75,297
2013/12/09,14,78,300
2013/12/10,15,80,300
2013/12/11,16,80,298
2013/12/12,16,78,293
2013/12/13,15,79,292
2013/12/14,14,76,294
2013/12/15,14,79,293
2013/12/16,12,75,298
2013/12/17,13,75,301
2013/12/18,13,77,303
2013/12/19,12,79,302
2013/12/20,13,80,308
2013/12/21,13,79,298
2013/12/22,13,79,302
2013/12/23,13,81,303
2013/12/24,14,82,301
2013/12/25,13,81,299
2013/12/26,14,81,304
2013/12/27,13,81,300
2013/12/28,13,84,306
2013/12/29,13,84,303
2013/12/30,13,85,309
2013/12/31,13,86,306
2014/01/01,13,85,312
2014/01/02,14,84,306
2014/01/03,14,81,308
2014/01/04,14,84,314
2014/01/05,14,85,319
2014/01/06,14,85,318
2014/01/07,14,87,319
2014/01/08,14,89,319
2014/01/09,16,89,322
2014/01/10,16,91,323
2014/01/11,16,92,330
2014/01/12,16,93,328
2014/01/13,15,95,325
2014/01/14,15,92,336
2014/01/15,13,91,339
2014/01/16,13,91,335
2014/01/17,13,91,330
2014/01/18,14,93,336
2014/01/19,14,95,332
2014/01/20,14,92,336
2014/01/21,14,91,338
2014/01/22,14,90,337
2014/01/23,15,89,338
2014/01/24,15,89,334
2014/01/25,15,87,326
2014/01/26,14,87,330
2014/01/27,14,85,332
2014/01/28,13,85,331
2014/01/29,13,88,334
2014/01/30,12,90,338
2014/01/31,11,92,335
2014/02/01,11,95,340
2014/02/02,10,96,340
2014/02/03,10,93,334
2014/02/04,9,91,330
2014/02/05,9,93,331
2014/02/06,9,93,336
2014/02/07,8,92,336
2014/02/08,8,91,338
2014/02/09,9,93,340
2014/02/10,10,96,331
2014/02/11,10,93,336
2014/02/12,10,94,336
2014/02/13,10,91,325
2014/02/14,10,94,321
2014/02/15,9,94,325
2014/02/16,9,97,328
2014/02/17,9,96,324
2014/02/18,9,96,320
2014/02/19,9,95,318
2014/02/20,8,93,315
2014/02/21,8,93,311
2014/02/22,8,91,310
2014/02/23,7,91,312
2014/02/24,6,90,311
2014/02/25,7,89,311
2014/02/26,8,85,302
2014/02/27,9,82,299
2014/02/28,9,80,301
2014/03/01,9,80,302
2014/03/02,10,80,301
2014/03/03,10,78,303
2014/03/04,9,77,300
2014/03/05,9,77,296
2014/03/06,9,76,296
2014/03/07,9,73,301
2014/03/08,8,70,289
2014/03/09,7,72,287
2014/03/10,8,72,282
2014/03/11,8,69,279
2014/03/12,8,68,276
2014/03/13,8,69,274
2014/03/14,8,67,278
2014/03/15,8,68,276
2014/03/16,8,67,282
2014/03/17,8,66,278
2014/03/18,8,62,275
2014/03/19,8,64,271
2014/03/20,8,62,267
2014/03/21,8,64,261
2014/03/22,8,65,265
2014/03/23,8,68,269
2014/03/24,9,69,268
2014/03/25,10,68,270
2014/03/26,10,68,271
2014/03/27,11,68,270
2014/03/28,11,69,274
2014/03/29,11,71,278
2014/03/30,12,72,281
2014/03/31,12,67,272
2014/04/01,11,67,277
2014/04/02,11,67,275
2014/04/03,11,68,272
2014/04/04,11,69,271
2014/04/05,11,72,277
2014/04/06,11,70,278
2014/04/07,11,72,278
2014/04/08,11,71,279
2014/04/09,12,72,279
2014/04/10,12,73,278
2014/04/11,12,75,278
2014/04/12,12,72,277
2014/04/13,12,73,274
2014/04/14,12,73,275
2014/04/15,12,76,276
2014/04/16,12,77,283
2014/04/17,12,78,293
2014/04/18,12,78,293
2014/04/19,12,79,300
2014/04/20,12,81,303
2014/04/21,13,81,296
2014/04/22,14,78,289
2014/04/23,13,78,299
2014/04/24,12,78,300
2014/04/25,12,79,300
2014/04/26,11,78,303
2014/04/27,11,79,303
2014/04/28,11,79,304
2014/04/29,11,80,305
2014/04/30,11,80,305
2014/05/01,11,82,298
2014/05/02,11,84,293
2014/05/03,11,83,291
2014/05/04,11,84,292
2014/05/05,11,85,289
2014/05/06,12,84,280
2014/05/07,13,85,283
2014/05/08,13,89,284
2014/05/09,12,87,279
2014/05/10,11,84,275
2014/05/11,11,83,272
2014/05/12,11,84,267
2014/05/13,11,83,265
2014/05/14,11,86,268
2014/05/15,12,84,264
2014/05/16,12,84,260
2014/05/17,13,82,254
2014/05/18,13,82,252
2014/05/19,13,83,248
2014/05/20,13,82,245
2014/05/21,12,83,246
2014/05/22,12,83,256
2014/05/23,11,81,243
2014/05/24,11,81,239
2014/05/25,11,81,241
2014/05/26,10,84,243
2014/05/27,10,78,245
2014/05/28,10,78,243
2014/05/29,10,77,243
2014/05/30,10,77,243
2014/05/31,10,78,243
2014/06/01,10,80,247
2014/06/02,10,79,254
2014/06/03,10,79,259
2014/06/04,10,78,256
2014/06/05,11,79,253
2014/06/06,12,80,249
2014/06/07,12,80,249
2014/06/08,11,79,255
2014/06/09,11,80,256
2014/06/10,12,81,258
2014/06/11,12,80,260
2014/06/12,12,79,262
2014/06/13,12,80,263
2014/06/14,12,81,266
2014/06/15,11,79,260
2014/06/16,11,78,258
2014/06/17,10,74,260
2014/06/18,10,79,260
2014/06/19,11,78,263
2014/06/20,9,82,271
2014/06/21,9,83,264
2014/06/22,9,84,266
2014/06/23,9,84,267
2014/06/24,9,82,264
2014/06/25,9,80,263
2014/06/26,9,80,262
2014/06/27,10,79,269
2014/06/28,10,76,270
2014/06/29,9,75,267
2014/06/30,9,76,267
2014/07/01,9,73,266
2014/07/02,7,72,267
2014/07/03,7,73,267
2014/07/04,7,72,265
2014/07/05,7,72,272
2014/07/06,7,71,271
2014/07/07,7,70,272
2014/07/08,7,72,265
2014/07/09,8,72,265
2014/07/10,8,72,264
2014/07/11,8,70,268
2014/07/12,9,72,271
2014/07/13,9,76,272
2014/07/14,9,75,279
2014/07/15,9,72,282
2014/07/16,10,75,286
2014/07/17,10,77,289
2014/07/18,10,75,288
2014/07/19,10,74,291
2014/07/20,10,71,290
2014/07/21,10,71,289
2014/07/22,9,71,289
2014/07/23,9,71,287
2014/07/24,9,70,290
2014/07/25,9,67,289
2014/07/26,9,68,288
2014/07/27,10,70,285
2014/07/28,10,70,282
2014/07/29,10,72,287
2014/07/30,9,68,283
2014/07/31,8,67,279
2014/08/01,7,69,277
2014/08/02,7,67,276
2014/08/03,7,70,276
2014/08/04,6,70,273
2014/08/05,6,71,275
2014/08/06,7,72,272
2014/08/07,7,72,273
2014/08/08,7,76,281
2014/08/09,7,74,283
2014/08/10,7,72,284
2014/08/11,7,70,282
2014/08/12,8,73,280
2014/08/13,8,71,274
2014/08/14,9,72,269
2014/08/15,9,73,277
2014/08/16,9,70,273
2014/08/17,10,71,273
2014/08/18,11,69,268
2014/08/19,10,69,270
2014/08/20,11,65,267
2014/08/21,10,63,268
2014/08/22,10,66,265
2014/08/23,10,70,267
2014/08/24,11,72,272
2014/08/25,12,71,273
2014/08/26,15,70,280
2014/08/27,14,69,284
2014/08/28,13,68,283
2014/08/29,13,67,283
2014/08/30,13,67,288
2014/08/31,13,71,288
2014/09/01,13,70,282
2014/09/02,13,66,279
2014/09/03,14,64,280
2014/09/04,13,65,280
2014/09/05,13,66,283
2014/09/06,12,65,281
2014/09/07,12,66,274
2014/09/08,12,68,274
2014/09/09,12,69,279
2014/09/10,12,67,276
2014/09/11,11,67,270
2014/09/12,11,68,268
2014/09/13,11,67,267
2014/09/14,10,65,259
2014/09/15,11,66,257
2014/09/16,10,63,253
2014/09/17,9,65,257
2014/09/18,10,63,252
2014/09/19,10,64,252
2014/09/20,10,63,256
2014/09/21,11,60,256
2014/09/22,10,58,249
2014/09/23,10,56,247
2014/09/24,9,56,244
2014/09/25,7,56,240
2014/09/26,7,55,236
2014/09/27,7,57,232
2014/09/28,8,56,237
2014/09/29,8,59,239
2014/09/30,8,60,242
2014/10/01,7,60,243
2014/10/02,6,62,242
2014/10/03,6,64,244
2014/10/04,6,64,243
2014/10/05,6,63,245
2014/10/06,6,63,250
2014/10/07,6,61,243
2014/10/08,5,62,242
2014/10/09,6,63,244
2014/10/10,6,66,243
2014/10/11,6,66,248
2014/10/12,7,66,250
2014/10/13,7,67,257
2014/10/14,7,67,258
2014/10/15,7,70,259
2014/10/16,7,71,258
2014/10/17,7,69,255
2014/10/18,8,69,258
2014/10/19,9,70,256
2014/10/20,9,73,255
2014/10/21,9,76,258
2014/10/22,10,76,255
2014/10/23,10,76,257
2014/10/24,10,77,255
2014/10/25,10,80,262
2014/10/26,10,83,265
2014/10/27,10,83,268
2014/10/28,10,84,266
2014/10/29,10,84,270
2014/10/30,10,82,267
2014/10/31,10,82,272
2014/11/01,10,83,272
2014/11/02,10,82,271
2014/11/03,10,84,273
2014/11/04,9,84,272
2014/11/05,9,86,269
2014/11/06,9,85,272
2014/11/07,10,87,273
2014/11/08,11,89,267
2014/11/09,11,88,268
2014/11/10,11,83,265
2014/11/11,11,84,267
2014/11/12,12,85,265
2014/11/13,12,85,263
2014/11/14,12,81,265
2014/11/15,12,80,265
2014/11/16,12,78,262
2014/11/17,12,79,265
2014/11/18,12,80,266
2014/11/19,11,78,260
2014/11/20,10,78,267
2014/11/21,10,76,263
2014/11/22,11,79,262
2014/11/23,11,78,257
2014/11/24,11,74,255
2014/11/25,12,75,250
2014/11/26,13,74,252
2014/11/27,13,75,254
2014/11/28,13,75,254
2014/11/29,13,75,258
2014/11/30,13,76,252
2014/12/01,13,79,250
2014/12/02,13,83,253
2014/12/03,13,85,254
2014/12/04,14,85,257
2014/12/05,14,87,254
2014/12/06,14,88,254
2014/12/07,12,89,260
2014/12/08,11,84,263
2014/12/09,11,85,264
2014/12/10,12,86,265
2014/12/11,12,88,261
2014/12/12,12,89,263
2014/12/13,12,87,266
2014/12/14,12,87,268
2014/12/15,12,84,268
2014/12/16,13,88,271
2014/12/17,13,87,270
2014/12/18,13,86,266
2014/12/19,13,83,266
2014/12/20,13,84,259
2014/12/21,13,85,262
2014/12/22,14,85,264
2014/12/23,14,82,263
2014/12/24,13,88,268
2014/12/25,12,87,269
2014/12/26,10,86,270
2014/12/27,10,87,270
2014/12/28,10,87,277
2014/12/29,10,84,272
2014/12/30,10,86,276
2014/12/31,10,88,274
2015/01/01,11,88,270
2015/01/02,11,87,273
2015/01/03,10,88,268
2015/01/04,9,87,269
2015/01/05,9,90,270
2015/01/06,9,88,264
2015/01/07,9,93,264
2015/01/08,9,95,265
2015/01/09,11,96,265
2015/01/10,11,97,267
2015/01/11,11,96,268
2015/01/12,11,96,265
2015/01/13,11,95,265
2015/01/14,11,93,264
2015/01/15,11,91,265
2015/01/16,11,92,263
2015/01/17,11,95,266
2015/01/18,11,97,270
2015/01/19,11,95,269
2015/01/20,11,99,266
2015/01/21,12,101,270
2015/01/22,13,106,268
2015/01/23,13,110,270
2015/01/24,13,109,272
2015/01/25,13,108,277
2015/01/26,13,107,281
2015/01/27,12,106,278
2015/01/28,12,105,278
2015/01/29,13,103,273
2015/01/30,14,99,275
2015/01/31,12,100,276
2015/02/01,11,102,279
2015/02/02,12,104,284
2015/02/03,12,102,287
2015/02/04,12,101,283
2015/02/05,12,102,291
2015/02/06,13,98,297
2015/02/07,13,95,299
2015/02/08,13,94,302
2015/02/09,14,92,304
2015/02/10,14,90,308
2015/02/11,14,90,311
2015/02/12,16,88,309
2015/02/13,15,90,313
2015/02/14,15,88,311
2015/02/15,14,85,310
2015/02/16,14,89,318
2015/02/17,14,91,316
2015/02/18,15,92,317
2015/02/19,14,91,313
2015/02/20,13,90,312
2015/02/21,12,87,305
2015/02/22,12,83,297
2015/02/23,13,85,299
2015/02/24,13,83,297
2015/02/25,12,85,295
2015/02/26,12,85,296
2015/02/27,12,84,290
2015/02/28,11,83,294
2015/03/01,11,84,288
2015/03/02,11,83,288
2015/03/03,11,86,286
2015/03/04,10,85,279
2015/03/05,10,85,277
2015/03/06,11,81,282
2015/03/07,11,80,275
2015/03/08,11,81,276
2015/03/09,12,80,267
