date,kshwiki (100+),kshwiki (5+),kshwiki (all)
2012/08/19,,2,9
2012/08/20,,2,10
2012/08/21,,2,10
2012/08/22,,2,11
2012/08/23,,2,13
2012/08/24,,2,12
2012/08/25,,2,11
2012/08/26,,2,12
2012/08/27,,2,12
2012/08/28,,2,12
2012/08/29,,2,12
2012/08/30,,2,13
2012/08/31,,2,13
2012/09/01,,2,13
2012/09/02,,2,13
2012/09/03,,2,13
2012/09/04,,2,13
2012/09/05,,2,13
2012/09/06,,2,14
2012/09/07,,2,14
2012/09/08,,2,13
2012/09/09,,2,13
2012/09/10,,2,13
2012/09/11,,1,13
2012/09/12,,1,13
2012/09/13,,2,14
2012/09/14,,2,14
2012/09/15,,2,14
2012/09/16,,2,16
2012/09/17,,2,16
2012/09/18,,2,15
2012/09/19,,2,15
2012/09/20,,1,14
2012/09/21,,,12
2012/09/22,,,10
2012/09/23,,,10
2012/09/24,,,10
2012/09/25,,,9
2012/09/26,,,9
2012/09/27,,,9
2012/09/28,,1,11
2012/09/29,,1,10
2012/09/30,,1,11
2012/10/01,,2,11
2012/10/02,,2,11
2012/10/03,,2,11
2012/10/04,,2,11
2012/10/05,,2,11
2012/10/06,,2,10
2012/10/07,,2,11
2012/10/08,,2,11
2012/10/09,,2,10
2012/10/10,,2,10
2012/10/11,,2,11
2012/10/12,,2,12
2012/10/13,,2,11
2012/10/14,,2,12
2012/10/15,,2,13
2012/10/16,,2,12
2012/10/17,,2,13
2012/10/18,,2,13
2012/10/19,,2,12
2012/10/20,,2,12
2012/10/21,,2,13
2012/10/22,,2,13
2012/10/23,,2,13
2012/10/24,,2,13
2012/10/25,,2,13
2012/10/26,,2,13
2012/10/27,,2,13
2012/10/28,,1,12
2012/10/29,,1,13
2012/10/30,,,13
2012/10/31,,,12
2012/11/01,,,12
2012/11/02,,,12
2012/11/03,,,14
2012/11/04,,,14
2012/11/05,,,14
2012/11/06,,,14
2012/11/07,,,14
2012/11/08,,,14
2012/11/09,,1,14
2012/11/10,,1,13
2012/11/11,,1,13
2012/11/12,,2,13
2012/11/13,,2,12
2012/11/14,,2,13
2012/11/15,,2,12
2012/11/16,,2,11
2012/11/17,,2,11
2012/11/18,,2,12
2012/11/19,,2,13
2012/11/20,,2,12
2012/11/21,,2,14
2012/11/22,,2,14
2012/11/23,,2,14
2012/11/24,,2,15
2012/11/25,,2,15
2012/11/26,,2,15
2012/11/27,,2,15
2012/11/28,,2,15
2012/11/29,,2,15
2012/11/30,,2,16
2012/12/01,,2,16
2012/12/02,,2,16
2012/12/03,,2,14
2012/12/04,,2,14
2012/12/05,,2,14
2012/12/06,,2,13
2012/12/07,,2,12
2012/12/08,,2,14
2012/12/09,,2,14
2012/12/10,,2,14
2012/12/11,,2,13
2012/12/12,,3,14
2012/12/13,,3,14
2012/12/14,,3,14
2012/12/15,,3,14
2012/12/16,,3,15
2012/12/17,,3,14
2012/12/18,,3,13
2012/12/19,,3,13
2012/12/20,,3,13
2012/12/21,,3,12
2012/12/22,,3,13
2012/12/23,,3,13
2012/12/24,,3,12
2012/12/25,,3,12
2012/12/26,,2,13
2012/12/27,,2,13
2012/12/28,,2,13
2012/12/29,,3,12
2012/12/30,,3,13
2012/12/31,,2,13
2013/01/01,,2,14
2013/01/02,,2,14
2013/01/03,,2,14
2013/01/04,,2,15
2013/01/05,,2,15
2013/01/06,,2,15
2013/01/07,,2,13
2013/01/08,,2,13
2013/01/09,,2,14
2013/01/10,,2,14
2013/01/11,,1,13
2013/01/12,,1,13
2013/01/13,,1,12
2013/01/14,,1,15
2013/01/15,,2,14
2013/01/16,,2,15
2013/01/17,,2,15
2013/01/18,,2,14
2013/01/19,,2,14
2013/01/20,,2,13
2013/01/21,,2,12
2013/01/22,,2,13
2013/01/23,,2,13
2013/01/24,,2,14
2013/01/25,,2,14
2013/01/26,,2,14
2013/01/27,,2,14
2013/01/28,,2,15
2013/01/29,,2,14
2013/01/30,,2,15
2013/01/31,,2,16
2013/02/01,,2,16
2013/02/02,,2,16
2013/02/03,,2,15
2013/02/04,,2,15
2013/02/05,,2,17
2013/02/06,,3,18
2013/02/07,,3,18
2013/02/08,1,3,17
2013/02/09,1,3,18
2013/02/10,1,3,19
2013/02/11,1,3,19
2013/02/12,1,3,19
2013/02/13,1,3,18
2013/02/14,1,3,18
2013/02/15,1,3,17
2013/02/16,1,3,18
2013/02/17,1,3,18
2013/02/18,1,3,20
