date,aswiki (100+),aswiki (5+),aswiki (all)
2012/08/19,3,31,71
2012/08/20,3,31,72
2012/08/21,3,31,75
2012/08/22,3,30,75
2012/08/23,3,29,76
2012/08/24,3,30,76
2012/08/25,3,31,78
2012/08/26,3,31,79
2012/08/27,4,29,78
2012/08/28,4,30,76
2012/08/29,4,30,74
2012/08/30,4,30,76
2012/08/31,4,30,75
2012/09/01,4,31,74
2012/09/02,4,33,75
2012/09/03,5,33,75
2012/09/04,5,33,76
2012/09/05,5,32,78
2012/09/06,5,34,79
2012/09/07,5,34,80
2012/09/08,5,33,79
2012/09/09,5,32,76
2012/09/10,4,32,77
2012/09/11,4,32,78
2012/09/12,5,33,79
2012/09/13,5,35,80
2012/09/14,5,36,81
2012/09/15,7,36,80
2012/09/16,6,36,79
2012/09/17,7,34,79
2012/09/18,6,34,78
2012/09/19,7,34,74
2012/09/20,6,34,73
2012/09/21,6,34,74
2012/09/22,6,33,73
2012/09/23,6,35,74
2012/09/24,7,35,75
2012/09/25,7,37,76
2012/09/26,7,36,76
2012/09/27,7,37,74
2012/09/28,7,35,75
2012/09/29,7,36,73
2012/09/30,7,36,75
2012/10/01,7,36,74
2012/10/02,7,34,74
2012/10/03,8,34,75
2012/10/04,8,33,76
2012/10/05,8,37,74
2012/10/06,8,36,75
2012/10/07,8,35,74
2012/10/08,8,34,74
2012/10/09,8,35,73
2012/10/10,7,34,72
2012/10/11,8,36,73
2012/10/12,8,35,73
2012/10/13,7,35,73
2012/10/14,7,35,72
2012/10/15,6,36,72
2012/10/16,6,37,76
2012/10/17,6,37,74
2012/10/18,6,38,76
2012/10/19,6,38,76
2012/10/20,6,37,77
2012/10/21,7,36,76
2012/10/22,7,37,77
2012/10/23,6,37,76
2012/10/24,6,37,76
2012/10/25,6,37,75
2012/10/26,6,36,74
2012/10/27,5,36,76
2012/10/28,5,36,75
2012/10/29,6,36,75
2012/10/30,7,39,75
2012/10/31,6,40,77
2012/11/01,7,40,76
2012/11/02,6,40,79
2012/11/03,5,40,79
2012/11/04,4,42,81
2012/11/05,4,43,81
2012/11/06,4,41,81
2012/11/07,5,41,78
2012/11/08,5,42,78
2012/11/09,5,43,81
2012/11/10,4,44,82
2012/11/11,5,44,82
2012/11/12,5,44,81
2012/11/13,4,43,81
2012/11/14,4,43,80
2012/11/15,4,41,80
2012/11/16,4,41,78
2012/11/17,4,40,77
2012/11/18,4,40,77
2012/11/19,4,40,76
2012/11/20,4,40,78
2012/11/21,4,41,76
2012/11/22,4,41,76
2012/11/23,4,42,77
2012/11/24,3,41,76
2012/11/25,3,43,75
2012/11/26,3,40,73
2012/11/27,3,40,73
2012/11/28,3,40,72
2012/11/29,3,39,69
2012/11/30,3,38,68
2012/12/01,2,39,67
2012/12/02,2,39,68
2012/12/03,2,37,67
2012/12/04,2,36,65
2012/12/05,3,35,65
2012/12/06,3,36,66
2012/12/07,3,37,67
2012/12/08,3,38,67
2012/12/09,2,38,65
2012/12/10,3,39,62
2012/12/11,3,37,62
2012/12/12,3,36,61
2012/12/13,3,35,62
2012/12/14,3,38,62
2012/12/15,4,39,62
2012/12/16,5,39,65
2012/12/17,5,39,66
2012/12/18,4,38,65
2012/12/19,4,39,66
2012/12/20,4,38,65
2012/12/21,4,37,64
2012/12/22,4,37,62
2012/12/23,4,38,62
2012/12/24,4,37,63
2012/12/25,4,37,63
2012/12/26,4,35,63
2012/12/27,4,35,63
2012/12/28,4,34,65
2012/12/29,4,34,67
2012/12/30,4,33,69
2012/12/31,5,34,70
2013/01/01,5,34,71
2013/01/02,5,35,72
2013/01/03,4,33,70
2013/01/04,4,35,70
2013/01/05,4,37,72
2013/01/06,4,37,72
2013/01/07,4,38,71
2013/01/08,4,38,70
2013/01/09,5,38,69
2013/01/10,5,38,71
2013/01/11,5,38,72
2013/01/12,5,38,72
2013/01/13,5,36,72
2013/01/14,6,33,69
2013/01/15,6,34,69
2013/01/16,6,35,70
2013/01/17,6,33,69
2013/01/18,6,34,68
2013/01/19,6,35,68
2013/01/20,6,33,67
2013/01/21,7,32,67
2013/01/22,7,31,66
2013/01/23,7,32,67
2013/01/24,7,34,67
2013/01/25,7,35,68
2013/01/26,6,37,68
2013/01/27,6,35,67
2013/01/28,7,35,66
2013/01/29,7,34,65
2013/01/30,7,35,66
2013/01/31,7,36,67
2013/02/01,7,37,68
2013/02/02,7,38,69
2013/02/03,7,36,68
2013/02/04,7,34,66
2013/02/05,7,34,65
2013/02/06,7,36,67
2013/02/07,8,37,67
2013/02/08,8,37,67
2013/02/09,8,36,66
2013/02/10,8,36,66
2013/02/11,8,37,65
2013/02/12,8,39,66
2013/02/13,7,39,65
2013/02/14,7,40,66
2013/02/15,7,39,67
2013/02/16,6,39,68
2013/02/17,7,37,70
2013/02/18,7,37,69
2013/02/19,7,37,69
2013/02/20,8,37,68
2013/02/21,7,38,68
2013/02/22,5,39,67
2013/02/23,5,38,68
2013/02/24,4,38,69
2013/02/25,4,38,68
2013/02/26,5,39,69
2013/02/27,5,39,68
2013/02/28,4,39,67
2013/03/01,5,39,68
2013/03/02,5,37,65
2013/03/03,3,36,64
2013/03/04,3,33,63
2013/03/05,3,33,64
2013/03/06,2,34,63
2013/03/07,2,34,65
2013/03/08,3,32,62
2013/03/09,4,32,63
2013/03/10,4,31,63
2013/03/11,4,28,63
2013/03/12,4,28,59
2013/03/13,4,29,59
2013/03/14,4,28,59
2013/03/15,4,28,58
2013/03/16,4,27,56
2013/03/17,4,26,56
2013/03/18,4,26,55
2013/03/19,4,27,53
2013/03/20,3,27,53
2013/03/21,3,27,54
2013/03/22,3,28,53
2013/03/23,3,27,52
2013/03/24,3,25,50
2013/03/25,3,24,48
2013/03/26,3,25,46
2013/03/27,3,24,46
2013/03/28,4,24,45
2013/03/29,4,24,45
2013/03/30,3,27,47
2013/03/31,3,27,46
2013/04/01,3,27,47
2013/04/02,3,27,45
2013/04/03,3,25,45
2013/04/04,4,24,40
2013/04/05,4,24,39
2013/04/06,4,24,36
2013/04/07,4,24,35
2013/04/08,3,23,35
2013/04/09,3,21,35
2013/04/10,2,21,35
2013/04/11,3,21,35
2013/04/12,3,22,36
2013/04/13,2,23,38
2013/04/14,2,23,38
2013/04/15,2,22,37
2013/04/16,2,22,37
2013/04/17,3,22,36
2013/04/18,3,21,36
2013/04/19,3,21,35
2013/04/20,3,21,35
2013/04/21,3,21,36
2013/04/22,3,22,37
2013/04/23,2,22,38
2013/04/24,2,22,38
2013/04/25,1,22,37
2013/04/26,1,22,36
2013/04/27,,23,37
2013/04/28,1,24,38
2013/04/29,,23,37
2013/04/30,1,24,38
2013/05/01,1,22,36
2013/05/02,1,22,36
2013/05/03,1,21,34
2013/05/04,,21,34
2013/05/05,2,21,34
2013/05/06,2,21,33
2013/05/07,2,21,33
2013/05/08,2,21,34
2013/05/09,2,22,35
2013/05/10,2,22,37
2013/05/11,2,22,38
2013/05/12,2,22,38
2013/05/13,2,20,37
2013/05/14,2,21,38
2013/05/15,2,20,40
2013/05/16,2,20,40
2013/05/17,2,19,40
2013/05/18,2,18,40
2013/05/19,2,18,40
2013/05/20,2,18,40
2013/05/21,2,18,40
2013/05/22,2,17,37
2013/05/23,2,17,36
2013/05/24,2,17,37
2013/05/25,2,17,38
2013/05/26,2,16,39
2013/05/27,2,16,39
2013/05/28,2,16,39
2013/05/29,2,16,41
2013/05/30,2,16,41
2013/05/31,2,15,41
2013/06/01,2,13,41
2013/06/02,2,13,41
2013/06/03,2,13,41
2013/06/04,2,13,41
2013/06/05,1,13,41
2013/06/06,1,13,41
2013/06/07,1,13,40
2013/06/08,1,11,40
2013/06/09,1,11,40
2013/06/10,1,12,40
2013/06/11,1,13,39
2013/06/12,1,13,41
2013/06/13,1,12,40
2013/06/14,1,12,36
2013/06/15,1,14,39
2013/06/16,1,14,42
2013/06/17,1,14,45
2013/06/18,1,13,44
2013/06/19,1,12,44
2013/06/20,1,12,44
2013/06/21,1,12,46
2013/06/22,,12,48
2013/06/23,,12,49
2013/06/24,,13,50
2013/06/25,,13,48
2013/06/26,,13,48
2013/06/27,,14,47
2013/06/28,,15,45
2013/06/29,,14,44
2013/06/30,,14,44
2013/07/01,,14,44
2013/07/02,,14,43
2013/07/03,,13,44
2013/07/04,,13,42
2013/07/05,,13,42
2013/07/06,,14,41
2013/07/07,,14,42
2013/07/08,,15,42
2013/07/09,,14,42
2013/07/10,1,14,43
2013/07/11,1,14,42
2013/07/12,1,15,39
2013/07/13,1,14,38
2013/07/14,1,14,38
2013/07/15,1,15,38
2013/07/16,1,13,36
2013/07/17,1,12,36
2013/07/18,1,13,39
2013/07/19,1,12,39
2013/07/20,1,11,39
2013/07/21,1,11,39
2013/07/22,1,13,37
2013/07/23,1,13,36
2013/07/24,1,13,33
2013/07/25,1,13,33
2013/07/26,1,13,33
2013/07/27,1,12,31
2013/07/28,1,12,31
2013/07/29,1,11,31
2013/07/30,1,11,31
2013/07/31,1,13,31
2013/08/01,1,13,30
2013/08/02,1,13,27
2013/08/03,1,13,27
2013/08/04,1,14,28
2013/08/05,1,14,28
2013/08/06,1,14,26
2013/08/07,1,15,28
2013/08/08,1,16,28
2013/08/09,1,15,29
2013/08/10,1,16,32
2013/08/11,1,17,33
2013/08/12,1,16,35
2013/08/13,1,14,36
2013/08/14,1,14,35
2013/08/15,1,14,35
2013/08/16,1,15,36
2013/08/17,1,15,35
2013/08/18,1,17,35
2013/08/19,1,17,36
2013/08/20,1,16,35
2013/08/21,1,16,34
2013/08/22,1,16,35
2013/08/23,1,16,36
2013/08/24,1,16,37
2013/08/25,1,18,37
2013/08/26,1,17,37
2013/08/27,2,17,36
2013/08/28,2,17,36
2013/08/29,2,18,37
2013/08/30,2,16,36
2013/08/31,2,16,37
2013/09/01,2,17,36
2013/09/02,2,18,38
2013/09/03,2,18,37
2013/09/04,2,17,37
2013/09/05,2,17,37
2013/09/06,2,17,36
2013/09/07,2,17,37
2013/09/08,2,17,34
2013/09/09,2,16,33
2013/09/10,2,14,35
2013/09/11,3,14,34
2013/09/12,3,13,33
2013/09/13,3,13,33
2013/09/14,2,13,33
2013/09/15,2,13,33
2013/09/16,2,13,32
2013/09/17,2,12,31
2013/09/18,2,12,30
2013/09/19,2,12,30
2013/09/20,2,12,30
2013/09/21,2,12,30
2013/09/22,1,13,31
2013/09/23,1,12,32
2013/09/24,,12,30
2013/09/25,,13,31
2013/09/26,,13,31
2013/09/27,,13,32
2013/09/28,,13,33
