date,aswiki (100+),aswiki (5+),aswiki (all)
2013/09/29,,13,35
2013/09/30,,12,35
2013/10/01,,13,35
2013/10/02,,14,33
2013/10/03,,14,33
2013/10/04,,14,33
2013/10/05,,14,33
2013/10/06,,14,34
2013/10/07,,14,34
2013/10/08,2,13,35
2013/10/09,2,13,35
2013/10/10,2,13,35
2013/10/11,2,13,34
2013/10/12,3,13,34
2013/10/13,3,15,36
2013/10/14,3,14,36
2013/10/15,2,13,35
2013/10/16,2,13,35
2013/10/17,2,12,34
2013/10/18,2,12,34
2013/10/19,2,13,34
2013/10/20,2,13,33
2013/10/21,2,13,30
2013/10/22,2,12,29
2013/10/23,2,12,28
2013/10/24,2,12,29
2013/10/25,1,12,28
2013/10/26,1,12,28
2013/10/27,1,12,28
2013/10/28,1,11,25
2013/10/29,1,11,24
2013/10/30,1,11,24
2013/10/31,1,11,25
2013/11/01,1,10,25
2013/11/02,1,10,24
2013/11/03,1,12,27
2013/11/04,1,12,27
2013/11/05,1,12,28
2013/11/06,1,12,27
2013/11/07,1,11,24
2013/11/08,1,10,23
2013/11/09,1,10,24
2013/11/10,,10,26
2013/11/11,,10,26
2013/11/12,,10,25
2013/11/13,,10,24
2013/11/14,,10,24
2013/11/15,,10,24
2013/11/16,,10,24
2013/11/17,,12,26
2013/11/18,,13,29
2013/11/19,,16,29
2013/11/20,,17,29
2013/11/21,,17,31
2013/11/22,1,17,31
2013/11/23,,17,32
2013/11/24,,17,34
2013/11/25,,17,34
2013/11/26,,17,35
2013/11/27,,17,35
2013/11/28,,17,36
2013/11/29,,17,38
2013/11/30,,17,38
2013/12/01,,17,39
2013/12/02,,18,41
2013/12/03,,17,40
2013/12/04,,17,40
2013/12/05,,17,41
2013/12/06,,18,43
2013/12/07,,18,44
2013/12/08,,17,44
2013/12/09,,18,43
2013/12/10,,21,45
2013/12/11,,21,46
2013/12/12,1,20,46
2013/12/13,1,20,47
2013/12/14,2,20,47
2013/12/15,1,19,47
2013/12/16,1,20,50
2013/12/17,1,19,51
2013/12/18,1,18,49
2013/12/19,1,18,50
2013/12/20,2,19,52
2013/12/21,2,19,51
2013/12/22,1,19,51
2013/12/23,1,18,50
2013/12/24,2,18,50
2013/12/25,1,18,49
2013/12/26,2,18,48
2013/12/27,2,18,48
2013/12/28,2,19,48
2013/12/29,3,19,48
2013/12/30,3,20,49
2013/12/31,3,20,49
2014/01/01,3,19,49
2014/01/02,4,19,49
2014/01/03,4,19,48
2014/01/04,4,20,47
2014/01/05,4,20,47
2014/01/06,4,21,47
2014/01/07,4,20,46
2014/01/08,4,20,46
2014/01/09,4,18,46
2014/01/10,4,18,47
2014/01/11,4,18,47
2014/01/12,4,19,51
2014/01/13,4,21,53
2014/01/14,4,23,53
2014/01/15,4,22,50
2014/01/16,4,22,50
2014/01/17,4,23,50
2014/01/18,4,22,49
2014/01/19,4,22,47
2014/01/20,4,23,47
2014/01/21,4,24,47
2014/01/22,5,24,44
2014/01/23,6,24,44
2014/01/24,7,24,45
2014/01/25,7,24,46
2014/01/26,8,25,46
2014/01/27,8,25,47
2014/01/28,8,22,46
2014/01/29,8,21,45
2014/01/30,8,21,46
2014/01/31,8,21,47
2014/02/01,8,20,45
2014/02/02,8,20,45
2014/02/03,7,20,43
2014/02/04,7,20,43
2014/02/05,7,20,42
2014/02/06,7,20,42
2014/02/07,7,20,42
2014/02/08,7,20,43
2014/02/09,7,20,39
2014/02/10,6,21,40
2014/02/11,7,20,40
2014/02/12,7,19,37
2014/02/13,7,20,37
2014/02/14,7,20,38
2014/02/15,7,20,36
2014/02/16,7,20,36
2014/02/17,7,21,38
2014/02/18,7,21,39
2014/02/19,7,20,38
2014/02/20,7,20,38
2014/02/21,6,20,37
2014/02/22,3,20,36
2014/02/23,3,19,37
2014/02/24,2,19,35
2014/02/25,2,17,35
2014/02/26,2,17,34
2014/02/27,1,16,33
2014/02/28,1,16,32
2014/03/01,1,15,30
2014/03/02,1,15,28
2014/03/03,1,14,27
2014/03/04,1,14,26
2014/03/05,1,14,25
2014/03/06,1,13,27
2014/03/07,1,14,28
2014/03/08,1,15,26
2014/03/09,1,16,26
2014/03/10,1,16,24
2014/03/11,2,16,25
2014/03/12,2,15,25
2014/03/13,2,14,24
2014/03/14,2,14,24
2014/03/15,1,13,23
2014/03/16,1,14,26
2014/03/17,1,15,32
2014/03/18,3,15,33
2014/03/19,3,15,30
2014/03/20,4,14,30
2014/03/21,4,14,31
2014/03/22,4,14,32
2014/03/23,4,14,32
2014/03/24,4,14,33
2014/03/25,4,14,33
2014/03/26,4,14,33
2014/03/27,4,14,32
2014/03/28,4,16,34
2014/03/29,4,15,35
2014/03/30,4,16,36
2014/03/31,3,15,35
2014/04/01,3,15,35
2014/04/02,3,15,35
2014/04/03,3,17,35
2014/04/04,3,17,37
2014/04/05,3,17,37
2014/04/06,3,17,37
2014/04/07,3,17,38
2014/04/08,3,19,42
2014/04/09,3,19,43
2014/04/10,3,19,43
2014/04/11,3,19,43
2014/04/12,3,19,42
2014/04/13,3,20,41
2014/04/14,3,20,41
2014/04/15,2,19,41
2014/04/16,2,18,36
2014/04/17,1,17,36
2014/04/18,1,16,38
2014/04/19,,16,37
2014/04/20,,16,38
2014/04/21,,17,38
2014/04/22,,17,37
2014/04/23,,17,36
2014/04/24,,16,36
2014/04/25,,16,36
2014/04/26,,17,37
2014/04/27,1,17,36
2014/04/28,1,15,35
2014/04/29,1,14,33
2014/04/30,1,14,35
2014/05/01,1,15,36
2014/05/02,1,16,37
2014/05/03,1,16,37
2014/05/04,1,16,39
2014/05/05,1,16,38
2014/05/06,1,16,41
2014/05/07,1,16,41
2014/05/08,1,16,40
2014/05/09,1,15,40
2014/05/10,1,15,40
2014/05/11,2,15,40
2014/05/12,1,15,40
2014/05/13,1,15,40
2014/05/14,1,14,41
2014/05/15,1,14,41
2014/05/16,1,14,39
2014/05/17,1,14,40
2014/05/18,1,14,37
2014/05/19,1,14,37
2014/05/20,1,15,35
2014/05/21,1,13,35
2014/05/22,1,12,35
2014/05/23,,12,34
2014/05/24,,12,34
2014/05/25,,12,34
2014/05/26,,13,33
2014/05/27,,13,35
2014/05/28,,13,35
2014/05/29,,13,35
2014/05/30,,13,35
2014/05/31,,13,35
2014/06/01,,12,37
2014/06/02,,13,36
2014/06/03,,13,34
2014/06/04,,12,34
2014/06/05,,12,30
2014/06/06,,11,29
2014/06/07,,11,30
2014/06/08,,12,31
2014/06/09,1,13,30
2014/06/10,1,13,30
2014/06/11,1,12,32
2014/06/12,1,12,33
2014/06/13,1,12,31
2014/06/14,1,12,31
2014/06/15,1,13,33
2014/06/16,1,14,32
2014/06/17,1,14,32
2014/06/18,1,14,34
2014/06/19,1,14,36
2014/06/20,1,16,38
2014/06/21,1,17,39
2014/06/22,1,17,39
2014/06/23,1,17,40
2014/06/24,1,17,40
2014/06/25,1,15,40
2014/06/26,1,15,39
2014/06/27,1,15,40
2014/06/28,1,14,40
2014/06/29,1,14,40
2014/06/30,1,15,41
2014/07/01,1,15,38
2014/07/02,,15,36
2014/07/03,,15,35
2014/07/04,,15,34
2014/07/05,,16,35
2014/07/06,,16,35
2014/07/07,,15,35
2014/07/08,,15,33
2014/07/09,,14,31
2014/07/10,,14,31
2014/07/11,,14,31
2014/07/12,,14,31
2014/07/13,,14,31
2014/07/14,,13,32
2014/07/15,,13,33
2014/07/16,,12,34
2014/07/17,,13,35
2014/07/18,,14,34
2014/07/19,,14,32
2014/07/20,,15,34
2014/07/21,,14,34
2014/07/22,,13,36
2014/07/23,,13,36
2014/07/24,,12,36
2014/07/25,,11,37
2014/07/26,,11,39
2014/07/27,,10,39
2014/07/28,,10,41
2014/07/29,,10,40
2014/07/30,,10,41
2014/07/31,,10,41
2014/08/01,,10,42
2014/08/02,,10,43
2014/08/03,,10,43
2014/08/04,,11,43
2014/08/05,,10,42
2014/08/06,,10,42
2014/08/07,,11,42
2014/08/08,,12,42
2014/08/09,,12,41
2014/08/10,,13,40
2014/08/11,,12,40
2014/08/12,,12,43
2014/08/13,,14,42
2014/08/14,,14,42
2014/08/15,,15,41
2014/08/16,,15,42
2014/08/17,1,14,39
2014/08/18,1,14,38
2014/08/19,1,14,38
2014/08/20,1,14,39
2014/08/21,1,15,38
2014/08/22,1,15,37
2014/08/23,2,15,36
2014/08/24,2,15,34
2014/08/25,2,15,33
2014/08/26,2,16,32
2014/08/27,2,16,30
2014/08/28,2,16,31
2014/08/29,2,16,30
2014/08/30,2,15,27
2014/08/31,2,15,27
2014/09/01,2,15,26
2014/09/02,2,15,26
2014/09/03,2,15,25
2014/09/04,2,15,25
2014/09/05,2,15,26
2014/09/06,2,15,26
2014/09/07,2,15,26
2014/09/08,2,14,28
2014/09/09,2,13,29
2014/09/10,2,15,29
2014/09/11,2,15,28
2014/09/12,2,15,27
2014/09/13,2,14,25
2014/09/14,2,14,26
2014/09/15,2,14,26
2014/09/16,2,14,26
2014/09/17,2,14,26
2014/09/18,2,14,24
2014/09/19,1,14,24
2014/09/20,2,14,23
2014/09/21,2,14,24
2014/09/22,,14,24
2014/09/23,1,13,22
2014/09/24,1,13,22
2014/09/25,1,14,23
2014/09/26,1,14,23
2014/09/27,1,14,22
2014/09/28,1,14,24
2014/09/29,1,14,24
2014/09/30,1,13,24
2014/10/01,1,13,24
2014/10/02,1,13,23
2014/10/03,1,13,23
2014/10/04,1,14,25
2014/10/05,1,13,25
2014/10/06,1,12,27
2014/10/07,1,13,29
2014/10/08,1,11,26
2014/10/09,1,13,30
2014/10/10,1,11,29
2014/10/11,1,12,30
2014/10/12,1,12,30
2014/10/13,1,13,31
2014/10/14,1,14,31
2014/10/15,1,14,33
2014/10/16,1,14,33
2014/10/17,1,13,33
2014/10/18,1,14,34
2014/10/19,1,15,34
2014/10/20,1,16,34
2014/10/21,1,17,35
2014/10/22,1,16,35
2014/10/23,1,16,37
2014/10/24,1,16,37
2014/10/25,1,15,37
2014/10/26,1,16,38
2014/10/27,,16,42
2014/10/28,,18,42
2014/10/29,,19,43
2014/10/30,1,21,44
2014/10/31,1,22,45
2014/11/01,1,22,45
2014/11/02,1,22,45
2014/11/03,1,22,44
2014/11/04,1,22,44
2014/11/05,1,23,43
2014/11/06,1,23,41
2014/11/07,1,23,41
2014/11/08,1,25,40
2014/11/09,1,25,38
2014/11/10,1,25,38
2014/11/11,1,25,39
2014/11/12,1,25,41
2014/11/13,1,25,43
2014/11/14,1,25,43
2014/11/15,1,26,44
2014/11/16,1,26,44
2014/11/17,1,24,43
2014/11/18,1,24,43
2014/11/19,1,24,43
2014/11/20,1,23,42
2014/11/21,2,23,40
2014/11/22,2,23,40
2014/11/23,2,23,41
2014/11/24,2,23,42
2014/11/25,2,21,42
2014/11/26,2,19,40
2014/11/27,2,19,39
2014/11/28,2,20,38
2014/11/29,2,18,36
2014/11/30,1,20,34
2014/12/01,1,21,33
2014/12/02,1,22,33
2014/12/03,1,22,33
2014/12/04,1,22,34
2014/12/05,1,21,32
2014/12/06,1,21,33
2014/12/07,1,20,34
2014/12/08,1,19,33
2014/12/09,1,19,34
2014/12/10,1,19,34
2014/12/11,1,19,35
2014/12/12,1,19,34
2014/12/13,1,19,34
2014/12/14,1,19,35
2014/12/15,1,19,36
2014/12/16,1,20,37
2014/12/17,1,20,37
2014/12/18,1,19,37
2014/12/19,1,20,39
2014/12/20,1,20,39
2014/12/21,1,19,40
2014/12/22,1,20,40
2014/12/23,1,19,41
2014/12/24,1,19,40
2014/12/25,1,18,38
2014/12/26,1,18,40
2014/12/27,1,19,41
2014/12/28,1,20,41
2014/12/29,1,22,42
2014/12/30,1,21,42
2014/12/31,1,20,42
2015/01/01,1,20,42
2015/01/02,1,20,42
2015/01/03,1,20,41
2015/01/04,1,20,45
2015/01/05,1,21,48
2015/01/06,1,21,48
2015/01/07,1,20,47
2015/01/08,,20,45
2015/01/09,,21,46
2015/01/10,,21,46
2015/01/11,,21,46
2015/01/12,,25,48
2015/01/13,,25,48
2015/01/14,,24,49
2015/01/15,,24,47
2015/01/16,,23,46
2015/01/17,,23,46
2015/01/18,,22,45
2015/01/19,,23,46
2015/01/20,,24,46
2015/01/21,,23,44
2015/01/22,,23,44
2015/01/23,,24,43
2015/01/24,,24,44
2015/01/25,,24,44
2015/01/26,,23,43
2015/01/27,,23,46
2015/01/28,,21,46
2015/01/29,,22,45
2015/01/30,,22,45
2015/01/31,,22,44
2015/02/01,,21,44
2015/02/02,,22,47
2015/02/03,,20,46
2015/02/04,,19,43
2015/02/05,,19,44
2015/02/06,,19,44
2015/02/07,,18,45
2015/02/08,,18,46
2015/02/09,,20,47
2015/02/10,,20,48
2015/02/11,1,17,44
2015/02/12,1,16,43
2015/02/13,1,16,41
2015/02/14,1,17,41
2015/02/15,1,17,42
2015/02/16,1,20,44
2015/02/17,1,20,43
2015/02/18,1,19,41
2015/02/19,2,19,39
2015/02/20,2,20,41
2015/02/21,2,18,41
2015/02/22,2,19,40
2015/02/23,2,19,40
2015/02/24,2,18,39
2015/02/25,1,18,39
2015/02/26,1,18,37
2015/02/27,1,18,36
2015/02/28,2,17,38
2015/03/01,2,16,39
2015/03/02,2,17,41
2015/03/03,2,17,40
2015/03/04,2,18,42
2015/03/05,2,19,44
2015/03/06,2,19,45
2015/03/07,1,19,44
2015/03/08,1,19,42
2015/03/09,1,19,42
2015/03/10,1,19,42
2015/03/11,1,18,39
2015/03/12,1,17,38
2015/03/13,1,17,38
2015/03/14,1,18,41
2015/03/15,1,19,39
2015/03/16,1,19,40
2015/03/17,1,21,40
2015/03/18,2,19,40
2015/03/19,2,19,40
2015/03/20,2,19,41
2015/03/21,2,19,41
2015/03/22,2,19,39
2015/03/23,2,20,41
2015/03/24,2,20,41
2015/03/25,2,20,40
2015/03/26,2,20,41
2015/03/27,2,20,41
2015/03/28,2,21,43
2015/03/29,2,21,43
2015/03/30,2,21,43
2015/03/31,2,21,44
2015/04/01,2,20,41
2015/04/02,2,22,43
2015/04/03,2,22,42
2015/04/04,2,21,39
2015/04/05,2,21,38
2015/04/06,2,21,37
2015/04/07,2,21,38
2015/04/08,3,20,41
2015/04/09,4,19,39
2015/04/10,4,19,39
2015/04/11,4,19,39
2015/04/12,4,19,39
2015/04/13,4,19,40
2015/04/14,3,20,39
2015/04/15,3,20,38
2015/04/16,3,20,39
2015/04/17,3,21,38
2015/04/18,3,22,41
2015/04/19,3,24,42
2015/04/20,2,24,42
2015/04/21,2,22,42
2015/04/22,2,21,42
2015/04/23,2,21,44
2015/04/24,2,23,45
2015/04/25,1,23,44
2015/04/26,1,23,44
2015/04/27,1,24,44
2015/04/28,1,23,44
2015/04/29,1,22,44
2015/04/30,1,20,42
2015/05/01,1,20,41
2015/05/02,1,19,38
2015/05/03,1,20,40
2015/05/04,1,20,43
2015/05/05,1,19,44
2015/05/06,1,18,45
2015/05/07,1,18,44
2015/05/08,,16,41
2015/05/09,,16,41
2015/05/10,,16,40
2015/05/11,,16,40
2015/05/12,,16,40
2015/05/13,,17,41
2015/05/14,,15,45
2015/05/15,,15,46
2015/05/16,,15,48
2015/05/17,,15,51
2015/05/18,,13,49
2015/05/19,,13,47
2015/05/20,,12,47
2015/05/21,,12,44
2015/05/22,,12,43
2015/05/23,,11,42
2015/05/24,,11,42
2015/05/25,,11,42
2015/05/26,,12,43
2015/05/27,,12,41
2015/05/28,,12,39
2015/05/29,,12,40
2015/05/30,,12,41
2015/05/31,,13,43
2015/06/01,,13,43
2015/06/02,,12,41
2015/06/03,,12,39
2015/06/04,,13,39
2015/06/05,,13,39
2015/06/06,,12,39
2015/06/07,,12,39
2015/06/08,,12,41
2015/06/09,,12,42
2015/06/10,,12,42
2015/06/11,,14,45
2015/06/12,1,18,46
2015/06/13,1,17,42
2015/06/14,1,17,41
2015/06/15,1,16,40
2015/06/16,1,16,39
2015/06/17,1,16,39
2015/06/18,1,16,39
2015/06/19,1,18,39
2015/06/20,1,19,41
2015/06/21,1,20,41
2015/06/22,1,23,44
2015/06/23,1,24,46
2015/06/24,1,24,47
2015/06/25,1,23,45
2015/06/26,1,23,48
2015/06/27,1,25,49
2015/06/28,1,25,49
2015/06/29,1,25,48
2015/06/30,1,26,47
2015/07/01,1,25,47
2015/07/02,1,26,46
2015/07/03,1,26,48
2015/07/04,2,26,49
2015/07/05,2,26,48
2015/07/06,2,25,49
2015/07/07,2,25,49
2015/07/08,2,25,48
2015/07/09,2,25,46
2015/07/10,2,27,46
2015/07/11,2,25,44
2015/07/12,1,22,42
2015/07/13,1,23,43
2015/07/14,1,24,46
2015/07/15,1,24,46
2015/07/16,1,24,45
2015/07/17,1,24,45
2015/07/18,1,23,45
2015/07/19,1,23,45
2015/07/20,1,23,43
2015/07/21,1,23,41
2015/07/22,2,20,39
2015/07/23,1,20,38
2015/07/24,1,20,37
2015/07/25,1,20,38
2015/07/26,1,19,38
2015/07/27,1,18,37
2015/07/28,1,18,37
2015/07/29,,18,36
2015/07/30,,17,36
2015/07/31,,18,36
2015/08/01,,17,36
2015/08/02,,18,34
2015/08/03,,18,34
2015/08/04,,18,33
2015/08/05,,18,32
2015/08/06,,19,33
2015/08/07,,19,33
2015/08/08,,19,34
2015/08/09,,19,37
2015/08/10,,19,38
2015/08/11,,19,39
2015/08/12,,20,39
2015/08/13,,20,40
